FL	Q2	x	FLerr
0.091	1.5	0.0000279	0.226
0.102	2.0	0.0000372	0.16
0.419	2.0	0.0000415	0.223
0.035	2.0	0.0000464	0.121
0.007	2.5	0.0000465	0.141
0.093	2.5	0.0000519	0.149
0.167	2.5	0.0000580	0.117
0.161	2.5	0.0000658	0.125
0.396	2.5	0.0000759	0.199
0.128	3.5	0.0000651	0.159
0.198	3.5	0.0000727	0.153
0.248	3.5	0.0000812	0.112
0.227	3.5	0.0000921	0.112
0.144	3.5	0.000106	0.141
0.630	3.5	0.000141	0.278
0.411	5.0	0.0000931	0.194
0.341	5.0	0.000104	0.163
0.254	5.0	0.000116	0.129
0.305	5.0	0.000131	0.123
0.217	5.0	0.000152	0.149
0.512	5.0	0.000201	0.229
0.429	6.5	0.000121	0.218
0.196	6.5	0.000135	0.172
0.136	6.5	0.000151	0.136
0.356	6.5	0.000171	0.134
0.316	6.5	0.000197	0.162
0.186	6.5	0.000262	0.231
0.497	8.5	0.000158	0.244
0.480	8.5	0.000177	0.211
0.268	8.5	0.000197	0.148
0.240	8.5	0.000224	0.140
-0.123	8.5	0.000258	0.157
0.163	8.5	0.000342	0.241
