#: table_doi: 10.17182/hepdata.49392.v1/t2
#: name: Table 2
#: description: No description provided.
#: data_file: Table2.yaml
#: keyword reactions: E+ E- --> E- E+ HADRONS | GAMMA GAMMA --> HADRONS
#: keyword observables: F2
#: keyword phrases: Exclusive | Structure Function | Photoproduction | Two-Photon | E+ E- Scattering | Electron production
#: keyword cmenergies: 0.0
#: RE,,,GAMMA GAMMA --> HADRONS
#: Q2 [GeV^2],,,5.0
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,F2(C=SET1)/ALPHA,stat +,stat -,sys +,sys -
0.0075,0.005,0.01,0.307,0.021,-0.021,0.035,-0.035
0.015,0.01,0.02,0.282,0.014,-0.014,0.027,-0.027
0.03,0.02,0.04,0.263,0.011,-0.011,0.015,-0.015
0.05,0.04,0.06,0.278,0.013,-0.013,0.007,-0.007
0.08,0.06,0.1,0.27,0.012,-0.012,0.008,-0.008
0.15000000000000002,0.1,0.2,0.252,0.011,-0.011,0.029,-0.029

#: RE,,,GAMMA GAMMA --> HADRONS
#: Q2 [GeV^2],,,5.0
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,F2(C=SET2)/ALPHA,stat +,stat -,sys +,sys -
0.0075,0.005,0.01,0.394,0.027,-0.027,0.045,-0.045
0.015,0.01,0.02,0.318,0.016,-0.016,0.031,-0.031
0.03,0.02,0.04,0.277,0.012,-0.012,0.016,-0.016
0.05,0.04,0.06,0.279,0.013,-0.013,0.007,-0.007
0.08,0.06,0.1,0.275,0.012,-0.012,0.008,-0.008
0.15000000000000002,0.1,0.2,0.287,0.013,-0.013,0.032,-0.032

