#: table_doi: 10.17182/hepdata.30545.v1/t4
#: name: Table 4
#: description: No description provided.
#: data_file: Table4.yaml
#: keyword reactions: GAMMA GAMMA --> HADRONS
#: keyword observables: F2
#: keyword phrases: Exclusive | Structure Function | Photoproduction | Two-Photon
#: keyword cmenergies: 0.0
#: RE,,,GAMMA GAMMA --> HADRONS
#: Q**2 [GEV**2],,,5.3(BIN = 1.5 TO 16)
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,F2/ALPHA,error +,error -
0.0535,0.035,0.072,0.245,0.015,-0.015
0.123,0.072,0.174,0.307,0.01,-0.01
0.2465,0.174,0.319,0.277,0.025,-0.025
0.40449999999999997,0.319,0.49,0.329,0.037,-0.037
0.5700000000000001,0.49,0.65,0.439,0.052,-0.052
0.745,0.65,0.84,0.361,0.076,-0.076

#: RE,,,GAMMA GAMMA --> HADRONS
#: Q**2 [GEV**2],,,5.3(BIN = 1.5 TO 16)
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,(F2/ALPHA) - CHARM,error +,error -
0.0535,0.035,0.072,0.216,0.015,-0.015
0.123,0.072,0.174,0.258,0.01,-0.01
0.2465,0.174,0.319,0.222,0.025,-0.025
0.40449999999999997,0.319,0.49,0.329,0.037,-0.037
0.5700000000000001,0.49,0.65,0.439,0.052,-0.052
0.745,0.65,0.84,0.361,0.076,-0.076

