#: table_doi: 10.17182/hepdata.15858.v1/t1
#: name: Table 1
#: description: No description provided.
#: data_file: Table1.yaml
#: keyword reactions: GAMMA GAMMA --> HADRONS
#: keyword observables: F2
#: keyword phrases: Exclusive | Structure Function | Photoproduction | Two-Photon
#: keyword cmenergies: 0.0
#: RE,,,GAMMA GAMMA --> HADRONS
#: Q**2 [GEV**2],,,23 (BIN=7 TO 70)
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,F2/ALPHA,error +,error -
0.11,0.02,0.2,0.366,0.089,-0.089
0.30000000000000004,0.2,0.4,0.67,0.086,-0.086
0.5,0.4,0.6,0.722,0.104,-0.104
0.7,0.6,0.8,0.693,0.116,-0.116
0.9,0.8,1.0,0.407,0.222,-0.222

#: RE,,,GAMMA GAMMA --> HADRONS
#: Q**2 [GEV**2],,,23 (BIN=7 TO 70)
#: SQRT(S) [GeV],,,0.0
X,X LOW,X HIGH,(F2/ALPHA) - CHARM,error +,error -
0.11,0.02,0.2,0.281,0.087,-0.087
0.30000000000000004,0.2,0.4,0.441,0.085,-0.085
0.5,0.4,0.6,0.469,0.104,-0.104
0.7,0.6,0.8,0.549,0.115,-0.115
0.9,0.8,1.0,0.422,0.224,-0.224

