#: table_doi: 10.17182/hepdata.38377.v1/t6
#: name: Table 6
#: description: Jet fractions using a cone algorithm with cone radius R = SQRT(DELTA(phi)**2 + DELTA(eta)**2) = 1.

#: data_file: Table6.yaml
#: keyword reactions: GAMMA GAMMA --> 0JET X | GAMMA GAMMA --> 1JET X | GAMMA GAMMA --> 2JET X | GAMMA GAMMA --> HADRONS | GAMMA GAMMA --> JET(S) X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Exclusive | Inclusive | Integrated Cross Section | Cross Section | Jet Production | Dijet Production | Photoproduction | Two-Photon
#: keyword cmenergies: 58.0
#: RE,,,GAMMA GAMMA --> 0JET X
#: RE(Q=JETS),,,GAMMA GAMMA --> JET(S) X
#: SQRT(S) [GeV],,,58.0
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,SIG/SIG(Q=JETS)
16.5,3.0,30.0,0.49

#: RE,,,GAMMA GAMMA --> 1JET X
#: RE(Q=JETS),,,GAMMA GAMMA --> JET(S) X
#: SQRT(S) [GeV],,,58.0
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,SIG/SIG(Q=JETS)
16.5,3.0,30.0,0.45

#: RE,,,GAMMA GAMMA --> 2JET X
#: RE(Q=JETS),,,GAMMA GAMMA --> JET(S) X
#: SQRT(S) [GeV],,,58.0
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,SIG/SIG(Q=JETS)
16.5,3.0,30.0,0.06

