#: table_doi: 10.17182/hepdata.3355.v1/t1
#: name: Table 1
#: description: No description provided.
#: data_file: Table1.yaml
#: keyword reactions: GAMMA P --> HADRONS
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction
#: keyword cmenergies: 5.934-18.537
#: RE,GAMMA P --> HADRONS
#: SQRT(S) [GeV],5.934-18.537
E [GEV],SIG [MUB],error +,error -,sys +,sys -
18.3,116.91,0.7,-0.7,0.7%,-0.7%
23.2,115.37,0.74,-0.74,0.7%,-0.7%
27.7,113.74,1.03,-1.03,0.7%,-0.7%
30.9,114.34,1.09,-1.09,0.7%,-0.7%
34.2,114.84,1.1,-1.1,0.7%,-0.7%
36.5,112.18,1.41,-1.41,0.7%,-0.7%
31.4,114.19,0.55,-0.55,0.7%,-0.7%
37.9,113.5,0.6,-0.6,0.7%,-0.7%
43.9,114.57,0.83,-0.83,0.7%,-0.7%
48.4,114.57,0.87,-0.87,0.7%,-0.7%
52.6,114.25,0.88,-0.88,0.7%,-0.7%
55.6,114.06,1.14,-1.14,0.7%,-0.7%
44.5,114.84,0.5,-0.5,0.7%,-0.7%
54.9,113.11,0.54,-0.54,0.7%,-0.7%
64.3,114.81,0.76,-0.76,0.7%,-0.7%
71.4,114.0,0.79,-0.79,0.7%,-0.7%
77.9,114.02,0.79,-0.79,0.7%,-0.7%
82.4,116.61,1.02,-1.02,0.7%,-0.7%
67.9,114.58,0.56,-0.56,0.7%,-0.7%
83.9,115.89,0.61,-0.61,0.7%,-0.7%
98.6,115.59,0.89,-0.89,0.7%,-0.7%
109.1,113.82,0.89,-0.89,0.7%,-0.7%
118.8,116.52,0.99,-0.99,0.7%,-0.7%
126.0,114.3,1.13,-1.13,0.7%,-0.7%
98.9,115.85,0.74,-0.74,0.7%,-0.7%
121.8,116.37,0.87,-0.87,0.7%,-0.7%
142.0,115.8,1.31,-1.31,0.7%,-0.7%
157.8,119.78,1.3,-1.3,0.7%,-0.7%
172.2,116.37,1.34,-1.34,0.7%,-0.7%
182.7,118.49,1.62,-1.62,0.7%,-0.7%

