A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-76.55	-3.21194e-35	119.993	350.95	-3.23251e-35	-1.5048	-7.1074	-3.25348e-35	-6.15127e-05	0.0522199	0.000245707
-76.54	-3.24443e-35	119.978	350.879	-3.26521e-35	-1.5048	-7.10688	-3.28639e-35	-6.15285e-05	0.0522227	0.000231643
-76.53	-3.27725e-35	119.963	350.808	-3.29824e-35	-1.5048	-7.10636	-3.31964e-35	-6.15443e-05	0.0522256	0.000234145
-76.52	-3.3104e-35	119.948	350.737	-3.33161e-35	-1.5048	-7.10583	-3.35322e-35	-6.15601e-05	0.0522285	0.000239763
-76.51	-3.34388e-35	119.933	350.666	-3.36531e-35	-1.5048	-7.10531	-3.38714e-35	-6.1576e-05	0.0522313	0.000254305
-76.5	-3.37771e-35	119.918	350.595	-3.39935e-35	-1.5048	-7.10479	-3.42141e-35	-6.15918e-05	0.0522342	0.000272211
-76.49	-3.41187e-35	119.903	350.524	-3.43374e-35	-1.5048	-7.10427	-3.45602e-35	-6.16076e-05	0.0522371	0.000284291
-76.48	-3.44638e-35	119.888	350.453	-3.46847e-35	-1.5048	-7.10374	-3.49099e-35	-6.16235e-05	0.0522399	0.000299926
-76.47	-3.48124e-35	119.873	350.382	-3.50356e-35	-1.5048	-7.10322	-3.5263e-35	-6.16393e-05	0.0522428	0.000307112
-76.46	-3.51645e-35	119.858	350.311	-3.539e-35	-1.5048	-7.1027	-3.56198e-35	-6.16552e-05	0.0522457	0.000304899
-76.45	-3.55202e-35	119.843	350.24	-3.5748e-35	-1.5048	-7.10218	-3.59801e-35	-6.16711e-05	0.0522485	0.000296179
-76.44	-3.58795e-35	119.828	350.169	-3.61096e-35	-1.5048	-7.10166	-3.63441e-35	-6.16869e-05	0.0522514	0.000276771
-76.43	-3.62424e-35	119.813	350.098	-3.64749e-35	-1.5048	-7.10113	-3.67118e-35	-6.17028e-05	0.0522543	0.000256295
-76.42	-3.6609e-35	119.797	350.027	-3.68438e-35	-1.5048	-7.10061	-3.70832e-35	-6.17187e-05	0.0522571	0.000238597
-76.41	-3.69793e-35	119.782	349.956	-3.72165e-35	-1.5048	-7.10009	-3.74584e-35	-6.17346e-05	0.05226	0.000230965
-76.4	-3.73534e-35	119.767	349.885	-3.7593e-35	-1.5048	-7.09956	-3.78373e-35	-6.17505e-05	0.0522629	0.000234942
-76.39	-3.77312e-35	119.752	349.814	-3.79733e-35	-1.50481	-7.09904	-3.82201e-35	-6.17664e-05	0.0522658	0.000248473
-76.38	-3.81128e-35	119.737	349.743	-3.83574e-35	-1.50481	-7.09852	-3.86068e-35	-6.17823e-05	0.0522686	0.000263742
-76.37	-3.84983e-35	119.722	349.672	-3.87455e-35	-1.50481	-7.098	-3.89973e-35	-6.17982e-05	0.0522715	0.000278325
-76.36	-3.88878e-35	119.707	349.601	-3.91374e-35	-1.50481	-7.09747	-3.93919e-35	-6.18141e-05	0.0522744	0.000294218
-76.35	-3.92811e-35	119.692	349.53	-3.95333e-35	-1.50481	-7.09695	-3.97904e-35	-6.183e-05	0.0522772	0.000303095
-76.34	-3.96784e-35	119.677	349.459	-3.99332e-35	-1.50481	-7.09643	-4.01929e-35	-6.1846e-05	0.0522801	0.000305618
-76.33	-4.00798e-35	119.662	349.388	-4.03372e-35	-1.50481	-7.09591	-4.05995e-35	-6.18619e-05	0.052283	0.000302569
-76.32	-4.04852e-35	119.647	349.317	-4.07452e-35	-1.50481	-7.09538	-4.10103e-35	-6.18779e-05	0.0522859	0.000283216
-76.31	-4.08947e-35	119.632	349.246	-4.11574e-35	-1.50481	-7.09486	-4.14252e-35	-6.18938e-05	0.0522888	0.000265086
-76.3	-4.13084e-35	119.617	349.175	-4.15737e-35	-1.50481	-7.09434	-4.18442e-35	-6.19098e-05	0.0522916	0.000246676
-76.29	-4.17262e-35	119.602	349.104	-4.19943e-35	-1.50481	-7.09381	-4.22676e-35	-6.19257e-05	0.0522945	0.000232531
-76.28	-4.21483e-35	119.587	349.033	-4.24191e-35	-1.50481	-7.09329	-4.26952e-35	-6.19417e-05	0.0522974	0.000235716
