A	Vg	Vf	k	w
-76.78	1.37588e+70	2.18212e+102	9.8353e-69	1.81873e-67
-76.77	1.34846e+70	2.11749e+102	1.0034e-68	1.85535e-67
-76.76	1.32159e+70	2.05478e+102	1.02367e-68	1.89271e-67
-76.75	1.29526e+70	1.99392e+102	1.04435e-68	1.93082e-67
-76.74	1.26944e+70	1.93487e+102	1.06544e-68	1.9697e-67
-76.73	1.24415e+70	1.87757e+102	1.08697e-68	2.00936e-67
-76.72	1.21935e+70	1.82196e+102	1.10893e-68	2.04982e-67
-76.71	1.19506e+70	1.768e+102	1.13133e-68	2.09109e-67
-76.7	1.17124e+70	1.71564e+102	1.15418e-68	2.1332e-67
-76.69	1.1479e+70	1.66483e+102	1.1775e-68	2.17615e-67
-76.68	1.12503e+70	1.61552e+102	1.20128e-68	2.21997e-67
-76.67	1.10261e+70	1.56768e+102	1.22555e-68	2.26467e-67
-76.66	1.08064e+70	1.52125e+102	1.25031e-68	2.31027e-67
-76.65	1.0591e+70	1.47619e+102	1.27557e-68	2.35679e-67
-76.64	1.038e+70	1.43247e+102	1.30133e-68	2.40424e-67
-76.63	1.01731e+70	1.39005e+102	1.32762e-68	2.45265e-67
-76.62	9.97038e+69	1.34888e+102	1.35444e-68	2.50204e-67
-76.61	9.7717e+69	1.30893e+102	1.3818e-68	2.55242e-67
-76.6	9.57697e+69	1.27016e+102	1.40972e-68	2.60382e-67
-76.59	9.38612e+69	1.23255e+102	1.4382e-68	2.65625e-67
-76.58	9.19908e+69	1.19604e+102	1.46725e-68	2.70973e-67
-76.57	9.01576e+69	1.16062e+102	1.49689e-68	2.76429e-67
-76.56	8.8361e+69	1.12624e+102	1.52713e-68	2.81995e-67
-76.55	8.66001e+69	1.09289e+102	1.55798e-68	2.87673e-67
-76.54	8.48744e+69	1.06052e+102	1.58945e-68	2.93466e-67
-76.53	8.3183e+69	1.02911e+102	1.62156e-68	2.99375e-67
-76.52	8.15254e+69	9.98631e+101	1.65432e-68	3.05403e-67
-76.51	7.99007e+69	9.69054e+101	1.68774e-68	3.11553e-67
-76.5	7.83085e+69	9.40354e+101	1.72183e-68	3.17826e-67
-76.49	7.6748e+69	9.12503e+101	1.75661e-68	3.24225e-67
-76.48	7.52185e+69	8.85477e+101	1.7921e-68	3.30754e-67
-76.47	7.37196e+69	8.59251e+101	1.8283e-68	3.37414e-67
-76.46	7.22505e+69	8.33802e+101	1.86523e-68	3.44208e-67
-76.45	7.08107e+69	8.09107e+101	1.90291e-68	3.51139e-67
-76.44	6.93996e+69	7.85143e+101	1.94136e-68	3.58209e-67
-76.43	6.80166e+69	7.61889e+101	1.98057e-68	3.65422e-67
-76.42	6.66612e+69	7.39324e+101	2.02058e-68	3.7278e-67
-76.41	6.53327e+69	7.17426e+101	2.0614e-68	3.80286e-67
-76.4	6.40308e+69	6.96178e+101	2.10304e-68	3.87943e-67
-76.39	6.27548e+69	6.75559e+101	2.14553e-68	3.95754e-67
-76.38	6.15042e+69	6.5555e+101	2.18887e-68	4.03723e-67
-76.37	6.02785e+69	6.36134e+101	2.23309e-68	4.11852e-67
-76.36	5.90773e+69	6.17293e+101	2.2782e-68	4.20145e-67
-76.35	5.79e+69	5.9901e+101	2.32422e-68	4.28605e-67
-76.34	5.67462e+69	5.81268e+101	2.37117e-68	4.37235e-67
-76.33	5.56153e+69	5.64052e+101	2.41907e-68	4.46039e-67
-76.32	5.4507e+69	5.47346e+101	2.46794e-68	4.5502e-67
-76.31	5.34208e+69	5.31134e+101	2.5178e-68	4.64182e-67
-76.3	5.23562e+69	5.15403e+101	2.56866e-68	4.73528e-67
-76.29	5.13128e+69	5.00138e+101	2.62055e-68	4.83063e-67
-76.28	5.02903e+69	4.85324e+101	2.67349e-68	4.9279e-67
-76.27	4.92881e+69	4.7095e+101	2.72749e-68	5.02712e-67
-76.26	4.83058e+69	4.57001e+101	2.78259e-68	5.12835e-67
-76.25	4.73432e+69	4.43465e+101	2.8388e-68	5.23161e-67
-76.24	4.63997e+69	4.3033e+101	2.89615e-68	5.33695e-67
-76.23	4.54751e+69	4.17585e+101	2.95466e-68	5.44441e-67
-76.22	4.45688e+69	4.05216e+101	3.01434e-68	5.55403e-67
-76.21	4.36806e+69	3.93214e+101	3.07524e-68	5.66587e-67
-76.2	4.28101e+69	3.81568e+101	3.13736e-68	5.77995e-67
-76.19	4.1957e+69	3.70266e+101	3.20074e-68	5.89633e-67
-76.18	4.11209e+69	3.59299e+101	3.2654e-68	6.01505e-67
-76.17	4.03014e+69	3.48657e+101	3.33136e-68	6.13617e-67
-76.16	3.94983e+69	3.3833e+101	3.39866e-68	6.25972e-67
-76.15	3.87111e+69	3.28309e+101	3.46732e-68	6.38576e-67
-76.14	3.79397e+69	3.18585e+101	3.53736e-68	6.51434e-67
-76.13	3.71836e+69	3.09149e+101	3.60882e-68	6.64551e-67
-76.12	3.64426e+69	2.99992e+101	3.68172e-68	6.77932e-67
-76.11	3.57163e+69	2.91106e+101	3.7561e-68	6.91582e-67
-76.1	3.50046e+69	2.82484e+101	3.83197e-68	7.05507e-67
-76.09	3.4307e+69	2.74117e+101	3.90938e-68	7.19713e-67
-76.08	3.36233e+69	2.65998e+101	3.98836e-68	7.34204e-67
-76.07	3.29532e+69	2.58119e+101	4.06893e-68	7.48988e-67
-76.06	3.22965e+69	2.50474e+101	4.15113e-68	7.64069e-67
-76.05	3.16529e+69	2.43055e+101	4.23498e-68	7.79453e-67
-76.04	3.10221e+69	2.35856e+101	4.32053e-68	7.95148e-67
-76.03	3.04039e+69	2.2887e+101	4.40781e-68	8.11158e-67
-76.02	2.97979e+69	2.22091e+101	4.49686e-68	8.27491e-67
-76.01	2.92041e+69	2.15512e+101	4.5877e-68	8.44153e-67
-76	2.86221e+69	2.09129e+101	4.68038e-68	8.6115e-67
-75.99	2.80517e+69	2.02935e+101	4.77492e-68	8.78489e-67
-75.98	2.74927e+69	1.96924e+101	4.87138e-68	8.96178e-67
-75.97	2.69448e+69	1.91091e+101	4.96979e-68	9.14222e-67
-75.96	2.64078e+69	1.85431e+101	5.07019e-68	9.3263e-67
-75.95	2.58815e+69	1.79938e+101	5.17261e-68	9.51409e-67
-75.94	2.53657e+69	1.74608e+101	5.2771e-68	9.70566e-67
-75.93	2.48602e+69	1.69437e+101	5.38371e-68	9.90108e-67
-75.92	2.43648e+69	1.64418e+101	5.49246e-68	1.01004e-66
-75.91	2.38792e+69	1.59548e+101	5.60342e-68	1.03038e-66
-75.9	2.34034e+69	1.54822e+101	5.71661e-68	1.05113e-66
-75.89	2.29369e+69	1.50236e+101	5.83209e-68	1.07229e-66
-75.88	2.24798e+69	1.45786e+101	5.94991e-68	1.09388e-66
-75.87	2.20318e+69	1.41468e+101	6.0701e-68	1.11591e-66
-75.86	2.15928e+69	1.37277e+101	6.19273e-68	1.13838e-66
-75.85	2.11625e+69	1.33211e+101	6.31783e-68	1.1613e-66
-75.84	2.07407e+69	1.29265e+101	6.44546e-68	1.18468e-66
-75.83	2.03274e+69	1.25436e+101	6.57566e-68	1.20853e-66
-75.82	1.99223e+69	1.21721e+101	6.7085e-68	1.23287e-66
-75.81	1.95252e+69	1.18115e+101	6.84402e-68	1.25769e-66
-75.8	1.91361e+69	1.14617e+101	6.98227e-68	1.28302e-66
-75.79	1.87547e+69	1.11222e+101	7.12332e-68	1.30885e-66
-75.78	1.8381e+69	1.07927e+101	7.26722e-68	1.3352e-66
-75.77	1.80147e+69	1.0473e+101	7.41403e-68	1.36209e-66
-75.76	1.76557e+69	1.01628e+101	7.5638e-68	1.38951e-66
-75.75	1.73038e+69	9.86178e+100	7.7166e-68	1.41749e-66
-75.74	1.69589e+69	9.56966e+100	7.87248e-68	1.44603e-66
-75.73	1.6621e+69	9.2862e+100	8.03152e-68	1.47515e-66
-75.72	1.62897e+69	9.01113e+100	8.19376e-68	1.50485e-66
-75.71	1.59651e+69	8.74421e+100	8.35928e-68	1.53515e-66
-75.7	1.56469e+69	8.4852e+100	8.52815e-68	1.56606e-66
-75.69	1.53351e+69	8.23385e+100	8.70043e-68	1.59759e-66
-75.68	1.50295e+69	7.98996e+100	8.87619e-68	1.62976e-66
-75.67	1.47299e+69	7.75328e+100	9.0555e-68	1.66257e-66
-75.66	1.44364e+69	7.52362e+100	9.23843e-68	1.69605e-66
-75.65	1.41487e+69	7.30076e+100	9.42506e-68	1.7302e-66
-75.64	1.38667e+69	7.0845e+100	9.61545e-68	1.76504e-66
-75.63	1.35903e+69	6.87465e+100	9.8097e-68	1.80057e-66
-75.62	1.33195e+69	6.67101e+100	1.00079e-67	1.83683e-66
-75.61	1.30541e+69	6.4734e+100	1.021e-67	1.87381e-66
-75.6	1.27939e+69	6.28165e+100	1.04163e-67	1.91154e-66
-75.59	1.25389e+69	6.09557e+100	1.06267e-67	1.95003e-66
-75.58	1.2289e+69	5.91501e+100	1.08414e-67	1.98929e-66
-75.57	1.20441e+69	5.7398e+100	1.10604e-67	2.02935e-66
-75.56	1.18041e+69	5.56977e+100	1.12838e-67	2.07021e-66
-75.55	1.15688e+69	5.40479e+100	1.15118e-67	2.11189e-66
-75.54	1.13383e+69	5.24469e+100	1.17443e-67	2.15441e-66
-75.53	1.11123e+69	5.08933e+100	1.19816e-67	2.19779e-66
-75.52	1.08908e+69	4.93857e+100	1.22236e-67	2.24204e-66
-75.51	1.06738e+69	4.79228e+100	1.24705e-67	2.28719e-66
-75.5	1.04611e+69	4.65032e+100	1.27225e-67	2.33324e-66
-75.49	1.02526e+69	4.51257e+100	1.29795e-67	2.38022e-66
-75.48	1.00483e+69	4.3789e+100	1.32417e-67	2.42814e-66
-75.47	9.848e+68	4.24918e+100	1.35092e-67	2.47703e-66
-75.46	9.65173e+68	4.12331e+100	1.37821e-67	2.52691e-66
-75.45	9.45938e+68	4.00117e+100	1.40605e-67	2.57778e-66
-75.44	9.27086e+68	3.88265e+100	1.43445e-67	2.62969e-66
-75.43	9.08609e+68	3.76763e+100	1.46343e-67	2.68263e-66
