A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-9.99	-6.8182e-06	19.4309	15.9201	-7.12335e-06	-1.5332	-2.34967	-7.46869e-06	-0.00285445	0.119972	0.00468244
-9.98	-6.88981e-06	19.4155	15.8966	-7.19843e-06	-1.53323	-2.34847	-7.54773e-06	-0.00285887	0.120019	0.00468963
-9.97	-6.96217e-06	19.4002	15.8731	-7.27431e-06	-1.53326	-2.34727	-7.62761e-06	-0.0028633	0.120066	0.00469682
-9.96	-7.0353e-06	19.3849	15.8497	-7.35099e-06	-1.53329	-2.34607	-7.70834e-06	-0.00286775	0.120113	0.00470405
-9.95	-7.10919e-06	19.3695	15.8262	-7.42848e-06	-1.53331	-2.34487	-7.78993e-06	-0.00287219	0.12016	0.00471131
-9.94	-7.18387e-06	19.3542	15.8028	-7.50679e-06	-1.53334	-2.34366	-7.87239e-06	-0.00287665	0.120207	0.00471858
-9.93	-7.25933e-06	19.3389	15.7793	-7.58593e-06	-1.53337	-2.34246	-7.95573e-06	-0.00288112	0.120254	0.00472589
-9.92	-7.33559e-06	19.3235	15.7559	-7.66591e-06	-1.5334	-2.34126	-8.03995e-06	-0.0028856	0.120302	0.00473322
-9.91	-7.41265e-06	19.3082	15.7325	-7.74673e-06	-1.53343	-2.34006	-8.12507e-06	-0.00289008	0.120349	0.00474057
-9.9	-7.49053e-06	19.2929	15.7091	-7.82841e-06	-1.53346	-2.33885	-8.21109e-06	-0.00289457	0.120396	0.00474795
-9.89	-7.56922e-06	19.2775	15.6857	-7.91096e-06	-1.53349	-2.33765	-8.29803e-06	-0.00289907	0.120444	0.00475535
-9.88	-7.64875e-06	19.2622	15.6624	-7.99438e-06	-1.53352	-2.33644	-8.38589e-06	-0.00290358	0.120491	0.00476279
-9.87	-7.72911e-06	19.2469	15.639	-8.07868e-06	-1.53355	-2.33524	-8.47469e-06	-0.0029081	0.120539	0.00477025
-9.86	-7.81033e-06	19.2315	15.6157	-8.16387e-06	-1.53357	-2.33403	-8.56443e-06	-0.00291263	0.120587	0.00477773
-9.85	-7.89239e-06	19.2162	15.5923	-8.24997e-06	-1.5336	-2.33283	-8.65513e-06	-0.00291716	0.120635	0.00478524
-9.84	-7.97533e-06	19.2008	15.569	-8.33698e-06	-1.53363	-2.33162	-8.74679e-06	-0.00292171	0.120683	0.00479278
