A	Vg	Vf	k	w
-9.99	1.90711e+11	6.5476e-96	3.26495e-10	1.44576e-09
-9.98	1.86765e+11	1.34077e-95	3.33079e-10	1.47415e-09
-9.97	1.829e+11	2.74147e-95	3.39796e-10	1.50309e-09
-9.96	1.79115e+11	5.59715e-95	3.46649e-10	1.53259e-09
-9.95	1.75409e+11	1.14106e-94	3.53639e-10	1.56268e-09
-9.94	1.71779e+11	2.32276e-94	3.60771e-10	1.59336e-09
-9.93	1.68224e+11	4.72126e-94	3.68046e-10	1.62463e-09
-9.92	1.64742e+11	9.58233e-94	3.75468e-10	1.65652e-09
-9.91	1.61332e+11	1.94197e-93	3.83039e-10	1.68904e-09
-9.9	1.57993e+11	3.92984e-93	3.90764e-10	1.72219e-09
-9.89	1.54723e+11	7.94084e-93	3.98644e-10	1.75599e-09
-9.88	1.5152e+11	1.60221e-92	4.06682e-10	1.79046e-09
-9.87	1.48384e+11	3.228e-92	4.14883e-10	1.82559e-09
-9.86	1.45312e+11	6.49398e-92	4.23249e-10	1.86142e-09
-9.85	1.42304e+11	1.30452e-91	4.31784e-10	1.89795e-09
-9.84	1.39358e+11	2.6167e-91	4.40491e-10	1.9352e-09
-9.83	1.36472e+11	5.2411e-91	4.49373e-10	1.97317e-09
-9.82	1.33647e+11	1.04823e-90	4.58435e-10	2.01189e-09
-9.81	1.3088e+11	2.09341e-90	4.67679e-10	2.05136e-09
-9.8	1.2817e+11	4.17464e-90	4.77109e-10	2.09161e-09
-9.79	1.25516e+11	8.31287e-90	4.8673e-10	2.13265e-09
-9.78	1.22917e+11	1.65292e-89	4.96544e-10	2.17449e-09
-9.77	1.20371e+11	3.28185e-89	5.06557e-10	2.21715e-09
-9.76	1.17878e+11	6.50663e-89	5.16771e-10	2.26065e-09
-9.75	1.15437e+11	1.28814e-88	5.27191e-10	2.305e-09
-9.74	1.13046e+11	2.54648e-88	5.37821e-10	2.35022e-09
-9.73	1.10705e+11	5.02676e-88	5.48665e-10	2.39632e-09
-9.72	1.08412e+11	9.9085e-88	5.59728e-10	2.44332e-09
-9.71	1.06167e+11	1.95029e-87	5.71014e-10	2.49125e-09
-9.7	1.03967e+11	3.83323e-87	5.82527e-10	2.54011e-09
-9.69	1.01814e+11	7.52322e-87	5.94273e-10	2.58993e-09
-9.68	9.97046e+10	1.47441e-86	6.06255e-10	2.64073e-09
-9.67	9.7639e+10	2.8854e-86	6.18479e-10	2.69252e-09
-9.66	9.56162e+10	5.63857e-86	6.30949e-10	2.74532e-09
-9.65	9.36352e+10	1.1003e-85	6.4367e-10	2.79916e-09
-9.64	9.16952e+10	2.14401e-85	6.56648e-10	2.85405e-09
-9.63	8.97953e+10	4.17178e-85	6.69887e-10	2.91002e-09
-9.62	8.79347e+10	8.10578e-85	6.83394e-10	2.96708e-09
-9.61	8.61126e+10	1.57271e-84	6.97172e-10	3.02525e-09
-9.6	8.43281e+10	3.04705e-84	7.11228e-10	3.08457e-09
-9.59	8.25806e+10	5.89511e-84	7.25568e-10	3.14505e-09
-9.58	8.08692e+10	1.1389e-83	7.40196e-10	3.20671e-09
-9.57	7.91932e+10	2.19715e-83	7.5512e-10	3.26958e-09
-9.56	7.75519e+10	4.2327e-83	7.70344e-10	3.33367e-09
-9.55	7.59445e+10	8.1425e-83	7.85875e-10	3.39902e-09
-9.54	7.43704e+10	1.56416e-82	8.01719e-10	3.46565e-09
-9.53	7.28288e+10	3.00048e-82	8.17882e-10	3.53359e-09
-9.52	7.13191e+10	5.74756e-82	8.34371e-10	3.60285e-09
-9.51	6.98407e+10	1.09942e-81	8.51192e-10	3.67347e-09
-9.5	6.83929e+10	2.10004e-81	8.68353e-10	3.74547e-09
-9.49	6.6975e+10	4.00572e-81	8.85859e-10	3.81888e-09
-9.48	6.55864e+10	7.62993e-81	9.03718e-10	3.89372e-09
-9.47	6.42266e+10	1.45127e-80	9.21936e-10	3.97003e-09
-9.46	6.28949e+10	2.75655e-80	9.40522e-10	4.04783e-09
-9.45	6.15908e+10	5.22846e-80	9.59483e-10	4.12715e-09
-9.44	6.03137e+10	9.9031e-80	9.78826e-10	4.20802e-09
-9.43	5.9063e+10	1.87309e-79	9.98558e-10	4.29048e-09
-9.42	5.78382e+10	3.53785e-79	1.01869e-09	4.37454e-09
-9.41	5.66387e+10	6.67286e-79	1.03922e-09	4.46026e-09
-9.4	5.54641e+10	1.25683e-78	1.06017e-09	4.54764e-09
-9.39	5.43137e+10	2.36394e-78	1.08155e-09	4.63674e-09
-9.38	5.31872e+10	4.44006e-78	1.10335e-09	4.72758e-09
-9.37	5.2084e+10	8.32794e-78	1.12559e-09	4.82019e-09
-9.36	5.10037e+10	1.55984e-77	1.14828e-09	4.91462e-09
