u	GluePotFac	MesonPotFac
0.001	4.19613	1.15233
0.011	5.40075	1.07697
0.021	5.92824	1.05319
0.031	6.29157	1.03524
0.041	6.55778	1.01866
0.051	6.75178	1.00206
0.061	6.88647	0.984894
0.071	6.97005	0.966954
0.081	7.00862	0.948172
0.091	7.00724	0.928562
0.101	6.97042	0.908189
0.111	6.90236	0.887144
0.121	6.80704	0.865533
0.131	6.68828	0.843472
0.141	6.54969	0.821081
0.151	6.39474	0.798476
0.161	6.22664	0.775774
0.171	6.04841	0.753082
0.181	5.8628	0.730505
0.191	5.67233	0.708134
0.201	5.47922	0.686057
0.211	5.28546	0.664347
0.221	5.09277	0.643072
0.231	4.9026	0.622288
0.241	4.7162	0.602043
0.251	4.53456	0.582377
0.261	4.35852	0.563319
0.271	4.18868	0.544894
0.281	4.02551	0.527117
0.291	3.86934	0.509998
0.301	3.72036	0.493541
0.311	3.57866	0.477745
0.321	3.44425	0.462605
0.331	3.31704	0.44811
0.341	3.1969	0.43425
0.351	3.08365	0.421008
0.361	2.97707	0.408366
0.371	2.8769	0.396306
0.381	2.78287	0.384806
0.391	2.6947	0.373845
0.401	2.61208	0.3634
0.411	2.53474	0.353448
0.421	2.46235	0.343965
0.431	2.39463	0.334928
0.441	2.33128	0.326314
0.451	2.27203	0.318101
0.461	2.21659	0.310265
0.471	2.16469	0.302784
0.481	2.1161	0.295638
0.491	2.07054	0.288806
0.501	2.0278	0.282267
0.511	1.98764	0.276003
0.521	1.94985	0.269995
0.531	1.91423	0.264225
0.541	1.88057	0.258677
0.551	1.84871	0.253335
0.561	1.81845	0.248184
0.571	1.78963	0.243208
0.581	1.7621	0.238395
0.591	1.7357	0.233732
0.601	1.7103	0.229206
0.611	1.68575	0.224807
0.621	1.66193	0.220523
0.631	1.63871	0.216344
0.641	1.61599	0.212261
0.651	1.59365	0.208264
0.661	1.5716	0.204347
0.671	1.54973	0.200501
0.681	1.52797	0.19672
0.691	1.50622	0.192995
0.701	1.48441	0.189323
0.711	1.46247	0.185697
0.721	1.44034	0.182112
0.731	1.41795	0.178563
0.741	1.39525	0.175047
0.751	1.3722	0.17156
0.761	1.34875	0.168098
0.771	1.32488	0.164659
0.781	1.30055	0.161241
0.791	1.27574	0.15784
0.801	1.25043	0.154456
0.811	1.22462	0.151087
0.821	1.1983	0.147731
0.831	1.17148	0.144389
0.841	1.14416	0.141059
0.851	1.11637	0.137741
0.861	1.08811	0.134436
0.871	1.05942	0.131144
0.881	1.03033	0.127865
0.891	1.00087	0.1246
0.901	0.971087	0.121351
0.911	0.941026	0.118117
0.921	0.910736	0.114901
0.931	0.880269	0.111705
0.941	0.849682	0.108529
0.951	0.819033	0.105376
0.961	0.788383	0.102247
0.971	0.757793	0.0991443
0.981	0.727326	0.0960702
0.991	0.697045	0.0930265
1.001	0.667013	0.0900154
1.011	0.637293	0.087039
1.021	0.607945	0.0840995
1.031	0.57903	0.0811989
1.041	0.550603	0.0783394
1.051	0.522719	0.075523
1.061	0.495431	0.0727517
1.071	0.468785	0.0700275
1.081	0.442825	0.0673522
1.091	0.417593	0.0647276
1.101	0.393123	0.0621554
1.111	0.369448	0.059637
1.121	0.346594	0.0571741
1.131	0.324583	0.0547678
1.141	0.303434	0.0524195
1.151	0.283159	0.0501301
1.161	0.263767	0.0479005
1.171	0.245263	0.0457316
1.181	0.227646	0.043624
1.191	0.210912	0.0415782
1.201	0.195053	0.0395946
1.211	0.180059	0.0376733
1.221	0.165913	0.0358145
1.231	0.152599	0.0340181
1.241	0.140095	0.0322839
1.251	0.12838	0.0306116
1.261	0.117428	0.0290008
1.271	0.107212	0.0274509
1.281	0.0977046	0.0259612
1.291	0.0888757	0.0245309
1.301	0.0806952	0.0231593
1.311	0.0731324	0.0218452
1.321	0.0661559	0.0205877
1.331	0.0597343	0.0193857
1.341	0.0538365	0.0182379
1.351	0.0484314	0.017143
1.361	0.0434886	0.0160998
1.371	0.0389783	0.0151069
1.381	0.0348714	0.0141628
1.391	0.0311398	0.0132661
1.401	0.0277565	0.0124153
1.411	0.0246954	0.011609
1.421	0.0219316	0.0108456
1.431	0.0194415	0.0101236
1.441	0.0172027	0.00944139
1.451	0.0151939	0.00879754
1.461	0.0133953	0.00819047
1.471	0.0117881	0.00761869
1.481	0.010355	0.0070807
1.491	0.00907962	0.00657501
1.501	0.00794697	0.00610017
1.511	0.00694308	0.00565475
1.521	0.0060551	0.00523734
1.531	0.00527122	0.00484659
1.541	0.00458061	0.00448114
1.551	0.00397337	0.00413971
1.561	0.0034405	0.00382102
1.571	0.00297379	0.00352386
1.581	0.00256584	0.00324705
1.591	0.00220994	0.00298945
1.601	0.00190005	0.00274995
1.611	0.00163074	0.0025275
