u	GluePotFac	MesonPotFac
4.84808e-05	3.46108	1.2394
5.0221e-05	3.46726	1.23844
5.20201e-05	3.47348	1.23748
5.388e-05	3.47972	1.23652
5.58024e-05	3.48599	1.23556
5.77895e-05	3.49228	1.2346
5.9843e-05	3.49861	1.23364
6.19652e-05	3.50496	1.23268
6.41581e-05	3.51134	1.23172
6.64238e-05	3.51775	1.23077
6.87645e-05	3.52419	1.22981
7.11826e-05	3.53065	1.22886
7.36802e-05	3.53715	1.2279
7.62598e-05	3.54367	1.22695
7.89238e-05	3.55022	1.226
8.16747e-05	3.5568	1.22504
8.4515e-05	3.56341	1.22409
8.74473e-05	3.57004	1.22314
9.04743e-05	3.57671	1.2222
9.35986e-05	3.5834	1.22125
9.68231e-05	3.59012	1.2203
0.00010015	3.59687	1.21936
0.000103584	3.60365	1.21841
0.000107126	3.61045	1.21747
0.000110779	3.61729	1.21653
0.000114548	3.62415	1.21559
0.000118434	3.63104	1.21465
0.000122442	3.63796	1.21371
0.000126573	3.6449	1.21277
0.000130832	3.65188	1.21184
0.000135222	3.65888	1.21091
0.000139746	3.6659	1.20997
0.000144407	3.67296	1.20904
0.000149209	3.68004	1.20812
0.000154155	3.68714	1.20719
0.000159249	3.69427	1.20626
0.000164494	3.70143	1.20534
0.000169894	3.70861	1.20442
0.000175452	3.71582	1.2035
0.000181171	3.72305	1.20258
0.000187056	3.7303	1.20167
0.000193109	3.73758	1.20076
0.000199334	3.74488	1.19985
0.000205736	3.7522	1.19894
0.000212316	3.75954	1.19804
0.000219079	3.7669	1.19713
0.000226028	3.77428	1.19624
0.000233166	3.78168	1.19534
0.000240497	3.78909	1.19445
0.000248024	3.79653	1.19356
0.00025575	3.80398	1.19267
0.000263677	3.81144	1.19179
0.00027181	3.81892	1.1909
0.000280151	3.82641	1.19003
0.000288702	3.83391	1.18916
0.000297467	3.84142	1.18829
0.000306447	3.84895	1.18742
0.000315645	3.85648	1.18656
0.000325064	3.86401	1.1857
0.000334705	3.87155	1.18485
0.00034457	3.8791	1.184
0.000354662	3.88665	1.18316
0.000364981	3.8942	1.18232
0.00037553	3.90175	1.18148
0.000386308	3.9093	1.18065
0.000397319	3.91685	1.17983
0.000408561	3.92439	1.17901
0.000420037	3.93193	1.17819
0.000431747	3.93946	1.17738
0.000443691	3.94699	1.17658
0.000455869	3.9545	1.17578
0.000468282	3.96201	1.17499
0.00048093	3.9695	1.1742
0.000493813	3.97698	1.17342
0.00050693	3.98444	1.17265
0.000520282	3.99189	1.17188
0.000533867	3.99933	1.17111
0.000547685	4.00674	1.17035
0.000561736	4.01414	1.1696
0.000576019	4.02152	1.16886
0.000590534	4.02888	1.16812
0.000605279	4.03621	1.16738
0.000620254	4.04353	1.16666
0.000635458	4.05082	1.16593
0.000650891	4.0581	1.16522
0.000666552	4.06534	1.16451
0.000682439	4.07257	1.16381
0.000698552	4.07977	1.16311
0.00071489	4.08694	1.16242
0.000731452	4.0941	1.16173
0.000748239	4.10122	1.16105
0.000765248	4.10832	1.16038
0.000782479	4.1154	1.15971
0.000799931	4.12245	1.15905
0.000817605	4.12947	1.15839
0.000835498	4.13647	1.15774
0.000853611	4.14344	1.1571
0.000871942	4.15038	1.15646
0.000890492	4.1573	1.15583
0.000909259	4.1642	1.1552
0.000928244	4.17107	1.15458
0.000947445	4.17791	1.15396
0.000966862	4.18473	1.15335
0.000986495	4.19152	1.15274
0.00100634	4.19829	1.15214
0.00102641	4.20503	1.15154
0.00104668	4.21174	1.15095
0.00106718	4.21844	1.15036
0.00108788	4.22511	1.14978
0.0011088	4.23175	1.1492
0.00112993	4.23837	1.14863
0.00115128	4.24496	1.14807
0.00117283	4.25154	1.1475
0.0011946	4.25809	1.14694
0.00121659	4.26461	1.14639
0.00123878	4.27111	1.14584
0.00126119	4.27759	1.1453
0.0012838	4.28405	1.14476
0.00130663	4.29049	1.14422
0.00132967	4.2969	1.14369
0.00135292	4.30329	1.14316
0.00137638	4.30966	1.14264
0.00140006	4.31601	1.14212
0.00142394	4.32234	1.1416
0.00144803	4.32865	1.14109
0.00147234	4.33494	1.14058
0.00149685	4.34121	1.14008
0.00152157	4.34745	1.13958
0.00154651	4.35368	1.13908
0.00157165	4.35989	1.13859
0.00159701	4.36608	1.1381
0.00162257	4.37225	1.13761
0.00164834	4.3784	1.13713
0.00167433	4.38453	1.13665
0.00170052	4.39065	1.13617
0.00172692	4.39675	1.1357
0.00175353	4.40282	1.13523
0.00178035	4.40888	1.13477
0.00180739	4.41493	1.1343
0.00183463	4.42095	1.13385
0.00186208	4.42696	1.13339
0.00188973	4.43296	1.13294
0.0019176	4.43893	1.13249
0.00194568	4.44489	1.13204
0.00197397	4.45084	1.1316
0.00200246	4.45676	1.13115
0.00203117	4.46267	1.13072
0.00206008	4.46857	1.13028
0.00208921	4.47445	1.12985
0.00211854	4.48031	1.12942
0.00214808	4.48616	1.12899
0.00217783	4.492	1.12857
0.00220779	4.49782	1.12815
0.00223796	4.50363	1.12773
0.00226834	4.50942	1.12731
0.00229893	4.51519	1.1269
0.00232972	4.52096	1.12649
0.00236073	4.52671	1.12608
0.00239195	4.53244	1.12567
0.00242337	4.53816	1.12527
0.002455	4.54387	1.12487
0.00248684	4.54957	1.12447
0.0025189	4.55525	1.12407
0.00255116	4.56092	1.12368
0.00258363	4.56657	1.12329
0.0026163	4.57221	1.1229
0.00264919	4.57785	1.12251
0.00268229	4.58346	1.12212
0.00271559	4.58907	1.12174
0.00274911	4.59466	1.12136
0.00278283	4.60024	1.12098
0.00281677	4.60581	1.12061
0.00285091	4.61137	1.12023
0.00288526	4.61692	1.11986
