z	u	VVM	VAVM	VPSM	VSM	VSAVM
2.78152	7.18759	1663.5	1996.49	2000.89	1663.66	1996.49
2.78003	7.17821	1658.7	1991.07	1995.47	1658.86	1991.07
2.77854	7.16884	1653.91	1985.65	1990.06	1654.07	1985.65
2.77705	7.15948	1649.13	1980.25	1984.66	1649.29	1980.25
2.77556	7.15012	1644.36	1974.86	1979.27	1644.52	1974.86
2.77407	7.14076	1639.6	1969.48	1973.88	1639.76	1969.48
2.77258	7.13141	1634.84	1964.11	1968.51	1635	1964.11
2.77109	7.12206	1630.1	1958.74	1963.15	1630.26	1958.74
2.7696	7.11272	1625.37	1953.39	1957.8	1625.53	1953.39
2.76811	7.10338	1620.64	1948.05	1952.45	1620.8	1948.05
2.76661	7.09405	1615.93	1942.72	1947.12	1616.09	1942.72
2.76512	7.08472	1611.22	1937.39	1941.8	1611.38	1937.39
2.76363	7.0754	1606.53	1932.08	1936.49	1606.69	1932.08
2.76213	7.06608	1601.84	1926.78	1931.18	1602	1926.78
2.76063	7.05677	1597.16	1921.49	1925.89	1597.32	1921.49
2.75914	7.04746	1592.49	1916.2	1920.61	1592.65	1916.2
2.75764	7.03816	1587.84	1910.93	1915.34	1587.99	1910.93
2.75614	7.02886	1583.19	1905.67	1910.07	1583.34	1905.67
2.75464	7.01956	1578.54	1900.41	1904.82	1578.7	1900.41
2.75314	7.01027	1573.91	1895.17	1899.58	1574.07	1895.17
2.75164	7.00099	1569.29	1889.94	1894.34	1569.45	1889.94
2.75014	6.99171	1564.68	1884.71	1889.12	1564.84	1884.71
2.74864	6.98243	1560.08	1879.5	1883.91	1560.23	1879.5
2.74714	6.97316	1555.48	1874.29	1878.7	1555.64	1874.29
2.74564	6.9639	1550.9	1869.1	1873.51	1551.05	1869.1
2.74413	6.95464	1546.32	1863.92	1868.32	1546.48	1863.92
2.74263	6.94538	1541.75	1858.74	1863.15	1541.91	1858.74
2.74113	6.93613	1537.2	1853.58	1857.98	1537.35	1853.58
2.73962	6.92688	1532.65	1848.42	1852.83	1532.8	1848.42
2.73811	6.91764	1528.11	1843.28	1847.68	1528.27	1843.28
2.73661	6.9084	1523.58	1838.14	1842.55	1523.74	1838.14
