j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-3.21898	-2.48206	-2.16865	-1.76634
0.11	-3.1618	-2.45636	-2.14176	-1.73712
0.12	-3.10609	-2.43069	-2.11476	-1.70786
0.13	-3.05181	-2.40503	-2.08767	-1.67856
0.14	-2.99894	-2.37937	-2.06048	-1.64922
0.15	-2.94743	-2.35371	-2.03319	-1.61983
0.16	-2.89726	-2.32804	-2.00581	-1.5904
0.17	-2.84839	-2.30236	-1.97834	-1.56094
0.18	-2.8008	-2.27666	-1.95077	-1.53144
0.19	-2.75445	-2.25092	-1.92312	-1.5019
0.2	-2.70931	-2.22515	-1.89537	-1.47233
0.21	-2.66535	-2.19934	-1.86755	-1.44273
0.22	-2.62254	-2.17348	-1.83964	-1.4131
0.23	-2.58084	-2.14757	-1.81166	-1.38345
0.24	-2.54023	-2.1216	-1.7836	-1.35378
0.25	-2.50067	-2.09557	-1.75548	-1.32409
0.26	-2.46213	-2.06948	-1.72729	-1.29438
0.27	-2.42457	-2.04331	-1.69904	-1.26465
0.28	-2.38797	-2.01708	-1.67074	-1.23492
0.29	-2.35229	-1.99079	-1.64239	-1.20517
0.3	-2.31748	-1.96442	-1.614	-1.17542
0.31	-2.28353	-1.938	-1.58558	-1.14567
0.32	-2.25039	-1.91151	-1.55712	-1.11592
0.33	-2.21802	-1.88497	-1.52863	-1.08618
0.34	-2.18639	-1.85838	-1.50013	-1.05643
0.35	-2.15546	-1.83175	-1.47161	-1.0267
0.36	-2.1252	-1.80509	-1.44308	-0.996978
0.37	-2.09556	-1.7784	-1.41454	-0.96727
0.38	-2.06652	-1.75169	-1.38601	-0.937577
0.39	-2.03805	-1.72497	-1.35748	-0.907903
0.4	-2.01009	-1.69824	-1.32896	-0.878248
0.41	-1.98264	-1.67153	-1.30045	-0.848616
0.42	-1.95565	-1.64482	-1.27196	-0.819008
0.43	-1.92909	-1.61814	-1.2435	-0.789426
0.44	-1.90294	-1.59149	-1.21505	-0.759871
0.45	-1.87717	-1.56487	-1.18664	-0.730345
0.46	-1.85176	-1.53829	-1.15826	-0.70085
0.47	-1.82667	-1.51176	-1.12991	-0.671386
0.48	-1.8019	-1.48528	-1.1016	-0.641955
0.49	-1.77742	-1.45885	-1.07332	-0.612557
0.5	-1.7532	-1.43247	-1.04509	-0.583194
0.51	-1.72924	-1.40616	-1.0169	-0.553867
0.52	-1.70552	-1.37991	-0.988747	-0.524576
0.53	-1.68202	-1.35372	-0.960642	-0.495321
0.54	-1.65872	-1.3276	-0.932583	-0.466103
0.55	-1.63562	-1.30155	-0.904571	-0.436923
0.56	-1.6127	-1.27556	-0.876606	-0.407781
0.57	-1.58995	-1.24964	-0.848688	-0.378678
0.58	-1.56736	-1.22379	-0.820819	-0.349612
0.59	-1.54492	-1.198	-0.792998	-0.320585
0.6	-1.52263	-1.17229	-0.765227	-0.291597
0.61	-1.50046	-1.14664	-0.737504	-0.262647
0.62	-1.47843	-1.12106	-0.70983	-0.233735
0.63	-1.45651	-1.09554	-0.682205	-0.204862
0.64	-1.43471	-1.07009	-0.654628	-0.176026
0.65	-1.41301	-1.04471	-0.6271	-0.147229
0.66	-1.39141	-1.01939	-0.599621	-0.11847
0.67	-1.36991	-0.994127	-0.572189	-0.0897481
0.68	-1.3485	-0.96893	-0.544805	-0.0610634
0.69	-1.32718	-0.943794	-0.517469	-0.0324157
0.7	-1.30594	-0.918718	-0.490179	-0.0038046
0.71	-1.28478	-0.8937	-0.462936	0.0247702
0.72	-1.26369	-0.86874	-0.435738	0.0533092
0.73	-1.24268	-0.843837	-0.408587	0.0818126
0.74	-1.22173	-0.818989	-0.38148	0.110281
0.75	-1.20085	-0.794196	-0.354418	0.138714
0.76	-1.18003	-0.769456	-0.3274	0.167114
0.77	-1.15927	-0.744768	-0.300425	0.195479
0.78	-1.13857	-0.720132	-0.273494	0.22381
0.79	-1.11792	-0.695546	-0.246605	0.252109
0.8	-1.09733	-0.67101	-0.219757	0.280374
0.81	-1.07679	-0.646522	-0.192952	0.308608
0.82	-1.0563	-0.622082	-0.166187	0.336809
0.83	-1.03585	-0.597689	-0.139463	0.364979
0.84	-1.01545	-0.573341	-0.112779	0.393118
0.85	-0.995095	-0.549039	-0.0861341	0.421226
0.86	-0.974782	-0.52478	-0.0595284	0.449303
0.87	-0.954509	-0.500565	-0.0329611	0.477351
0.88	-0.934275	-0.476392	-0.00643178	0.505369
0.89	-0.91408	-0.452261	0.02006	0.533358
0.9	-0.893922	-0.428171	0.0465147	0.561317
0.91	-0.873799	-0.404121	0.0729328	0.589249
0.92	-0.853712	-0.380111	0.0993147	0.617152
0.93	-0.833657	-0.356139	0.125661	0.645027
0.94	-0.813636	-0.332206	0.151972	0.672875
0.95	-0.793646	-0.30831	0.178248	0.700695
0.96	-0.773686	-0.284451	0.204489	0.728489
0.97	-0.753757	-0.260628	0.230697	0.756256
0.98	-0.733856	-0.236841	0.256871	0.783997
0.99	-0.713984	-0.213088	0.283012	0.811711
1	-0.694139	-0.189371	0.309119	0.839401
