j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-4.03378e+09	-6.7624e+08	-1.68734e+08	-5.75388e+07
0.11	-3.98842e+09	-6.68564e+08	-1.66799e+08	-5.68729e+07
0.12	-3.94305e+09	-6.60887e+08	-1.64864e+08	-5.62071e+07
0.13	-3.89769e+09	-6.5321e+08	-1.62929e+08	-5.55414e+07
0.14	-3.85232e+09	-6.45534e+08	-1.60994e+08	-5.48758e+07
0.15	-3.80696e+09	-6.37858e+08	-1.59059e+08	-5.42102e+07
0.16	-3.7616e+09	-6.30182e+08	-1.57125e+08	-5.35448e+07
0.17	-3.71623e+09	-6.22507e+08	-1.55191e+08	-5.28794e+07
0.18	-3.67087e+09	-6.14831e+08	-1.53257e+08	-5.22142e+07
0.19	-3.6255e+09	-6.07156e+08	-1.51323e+08	-5.1549e+07
0.2	-3.58014e+09	-5.99481e+08	-1.49389e+08	-5.08839e+07
0.21	-3.53478e+09	-5.91807e+08	-1.47456e+08	-5.02189e+07
0.22	-3.48942e+09	-5.84132e+08	-1.45522e+08	-4.9554e+07
0.23	-3.44405e+09	-5.76458e+08	-1.43589e+08	-4.88892e+07
0.24	-3.39869e+09	-5.68784e+08	-1.41657e+08	-4.82245e+07
0.25	-3.35333e+09	-5.61111e+08	-1.39724e+08	-4.75599e+07
0.26	-3.30797e+09	-5.53438e+08	-1.37792e+08	-4.68954e+07
0.27	-3.2626e+09	-5.45765e+08	-1.3586e+08	-4.62311e+07
0.28	-3.21724e+09	-5.38092e+08	-1.33928e+08	-4.55668e+07
0.29	-3.17188e+09	-5.3042e+08	-1.31996e+08	-4.49026e+07
0.3	-3.12652e+09	-5.22748e+08	-1.30065e+08	-4.42386e+07
0.31	-3.08116e+09	-5.15076e+08	-1.28134e+08	-4.35747e+07
0.32	-3.0358e+09	-5.07405e+08	-1.26203e+08	-4.29109e+07
0.33	-2.99044e+09	-4.99735e+08	-1.24273e+08	-4.22472e+07
0.34	-2.94508e+09	-4.92064e+08	-1.22343e+08	-4.15837e+07
0.35	-2.89972e+09	-4.84394e+08	-1.20413e+08	-4.09202e+07
0.36	-2.85436e+09	-4.76725e+08	-1.18483e+08	-4.0257e+07
0.37	-2.809e+09	-4.69056e+08	-1.16554e+08	-3.95938e+07
0.38	-2.76364e+09	-4.61387e+08	-1.14625e+08	-3.89308e+07
0.39	-2.71828e+09	-4.53719e+08	-1.12696e+08	-3.82679e+07
0.4	-2.67292e+09	-4.46052e+08	-1.10768e+08	-3.76052e+07
0.41	-2.62756e+09	-4.38385e+08	-1.0884e+08	-3.69426e+07
0.42	-2.58221e+09	-4.30719e+08	-1.06913e+08	-3.62802e+07
0.43	-2.53685e+09	-4.23053e+08	-1.04986e+08	-3.5618e+07
0.44	-2.49149e+09	-4.15388e+08	-1.03059e+08	-3.49559e+07
0.45	-2.44614e+09	-4.07724e+08	-1.01133e+08	-3.4294e+07
0.46	-2.40078e+09	-4.0006e+08	-9.92074e+07	-3.36322e+07
0.47	-2.35543e+09	-3.92397e+08	-9.72821e+07	-3.29707e+07
0.48	-2.31007e+09	-3.84735e+08	-9.53572e+07	-3.23093e+07
0.49	-2.26472e+09	-3.77073e+08	-9.34329e+07	-3.16481e+07
0.5	-2.21936e+09	-3.69412e+08	-9.1509e+07	-3.09871e+07
0.51	-2.17401e+09	-3.61753e+08	-8.95857e+07	-3.03263e+07
0.52	-2.12866e+09	-3.54094e+08	-8.76629e+07	-2.96657e+07
0.53	-2.08331e+09	-3.46436e+08	-8.57407e+07	-2.90054e+07
0.54	-2.03796e+09	-3.3878e+08	-8.3819e+07	-2.83452e+07
0.55	-1.99261e+09	-3.31124e+08	-8.1898e+07	-2.76853e+07
0.56	-1.94726e+09	-3.23469e+08	-7.99776e+07	-2.70256e+07
0.57	-1.90191e+09	-3.15816e+08	-7.80579e+07	-2.63662e+07
0.58	-1.85656e+09	-3.08164e+08	-7.61389e+07	-2.5707e+07
0.59	-1.81122e+09	-3.00514e+08	-7.42206e+07	-2.50481e+07
0.6	-1.76587e+09	-2.92865e+08	-7.2303e+07	-2.43895e+07
0.61	-1.72053e+09	-2.85217e+08	-7.03862e+07	-2.37312e+07
0.62	-1.67519e+09	-2.77571e+08	-6.84703e+07	-2.30731e+07
0.63	-1.62985e+09	-2.69927e+08	-6.65552e+07	-2.24154e+07
0.64	-1.58451e+09	-2.62285e+08	-6.4641e+07	-2.1758e+07
0.65	-1.53917e+09	-2.54645e+08	-6.27278e+07	-2.1101e+07
0.66	-1.49384e+09	-2.47007e+08	-6.08155e+07	-2.04443e+07
0.67	-1.4485e+09	-2.39371e+08	-5.89043e+07	-1.9788e+07
0.68	-1.40317e+09	-2.31738e+08	-5.69942e+07	-1.91321e+07
0.69	-1.35784e+09	-2.24108e+08	-5.50852e+07	-1.84766e+07
0.7	-1.31252e+09	-2.1648e+08	-5.31775e+07	-1.78216e+07
0.71	-1.26719e+09	-2.08856e+08	-5.1271e+07	-1.7167e+07
0.72	-1.22187e+09	-2.01235e+08	-4.9366e+07	-1.65129e+07
0.73	-1.17656e+09	-1.93617e+08	-4.74623e+07	-1.58594e+07
0.74	-1.13124e+09	-1.86004e+08	-4.55602e+07	-1.52064e+07
0.75	-1.08594e+09	-1.78395e+08	-4.36597e+07	-1.4554e+07
0.76	-1.04063e+09	-1.70791e+08	-4.17609e+07	-1.39022e+07
0.77	-9.95336e+08	-1.63191e+08	-3.9864e+07	-1.32512e+07
0.78	-9.50045e+08	-1.55598e+08	-3.79691e+07	-1.26008e+07
0.79	-9.04761e+08	-1.48011e+08	-3.60764e+07	-1.19513e+07
0.8	-8.59485e+08	-1.40431e+08	-3.41859e+07	-1.13027e+07
0.81	-8.14218e+08	-1.32859e+08	-3.22979e+07	-1.06549e+07
0.82	-7.68963e+08	-1.25295e+08	-3.04127e+07	-1.00083e+07
0.83	-7.2372e+08	-1.17741e+08	-2.85304e+07	-9.36279e+06
0.84	-6.78492e+08	-1.10198e+08	-2.66514e+07	-8.71858e+06
0.85	-6.33281e+08	-1.02667e+08	-2.4776e+07	-8.0758e+06
0.86	-5.88092e+08	-9.515e+07	-2.29046e+07	-7.43465e+06
0.87	-5.42929e+08	-8.76488e+07	-2.10377e+07	-6.79535e+06
0.88	-4.97798e+08	-8.01657e+07	-1.91759e+07	-6.1582e+06
0.89	-4.52706e+08	-7.27038e+07	-1.73201e+07	-5.52357e+06
0.9	-4.07665e+08	-6.52665e+07	-1.5471e+07	-4.89195e+06
0.91	-3.62689e+08	-5.78583e+07	-1.36301e+07	-4.26398e+06
0.92	-3.17799e+08	-5.04851e+07	-1.1799e+07	-3.64059e+06
0.93	-2.73029e+08	-4.31543e+07	-9.98022e+06	-3.02317e+06
0.94	-2.28427e+08	-3.58765e+07	-8.17717e+06	-2.41386e+06
0.95	-1.84076e+08	-2.86667e+07	-6.39547e+06	-1.81642e+06
0.96	-1.40116e+08	-2.15484e+07	-4.64474e+06	-1.23818e+06
0.97	-9.68253e+07	-1.45626e+07	-2.94432e+06	-696337
0.98	-5.48159e+07	-7.7938e+06	-1.34633e+06	-240868
0.99	-1.60562e+07	-1.53995e+06	-126608	-9255.18
1	0.601029	1.66008	2.75409	3.93402
1.01	0.66201	1.87927	3.14889	4.45958
1.02	0.701676	1.9903	3.32098	4.68094
1.03	0.734348	2.07432	3.44431	4.83536
1.04	0.763131	2.14467	3.54422	4.9582
1.05	0.789363	2.20654	3.63003	5.06229
1.06	0.813764	2.26258	3.70629	5.15382
1.07	0.836775	2.31432	3.77562	5.23629
1.08	0.858686	2.36277	3.83967	5.31189
1.09	0.8797	2.40861	3.89953	5.38209
1.1	0.899964	2.45233	3.95601	5.44791
1.11	0.91959	2.4943	4.00969	5.51012
1.12	0.938664	2.53479	4.061	5.56929
1.13	0.957252	2.57401	4.1103	5.62587
1.14	0.975411	2.61215	4.15786	5.6802
1.15	0.993184	2.64935	4.20389	5.73257
1.16	1.01061	2.68571	4.24859	5.78322
1.17	1.02771	2.72134	4.29211	5.83234
1.18	1.04453	2.75632	4.33456	5.88009
1.19	1.06107	2.79071	4.37607	5.92662
1.2	1.07737	2.82458	4.41672	5.97203
1.21	1.09343	2.85797	4.4566	6.01644
1.22	1.10927	2.89093	4.49577	6.05993
1.23	1.12491	2.9235	4.53429	6.10258
1.24	1.14035	2.9557	4.57222	6.14446
1.25	1.15561	2.98758	4.60961	6.18562
1.26	1.17069	3.01916	4.6465	6.22613
1.27	1.18561	3.05045	4.68293	6.26603
1.28	1.20037	3.08148	4.71892	6.30537
1.29	1.21498	3.11227	4.75452	6.34417
1.3	1.22944	3.14284	4.78974	6.38249
1.31	1.24376	3.1732	4.82462	6.42034
1.32	1.25794	3.20336	4.85918	6.45777
1.33	1.272	3.23334	4.89343	6.49479
1.34	1.28593	3.26315	4.92739	6.53143
1.35	1.29973	3.2928	4.96109	6.56771
1.36	1.31342	3.32229	4.99454	6.60366
1.37	1.327	3.35164	5.02775	6.63928
1.38	1.34046	3.38085	5.06074	6.67461
1.39	1.35382	3.40993	5.09351	6.70964
1.4	1.36707	3.43889	5.12609	6.74441
1.41	1.38022	3.46773	5.15848	6.77892
1.42	1.39326	3.49646	5.19069	6.81319
1.43	1.40622	3.52509	5.22273	6.84723
1.44	1.41907	3.55361	5.25461	6.88104
1.45	1.43184	3.58204	5.28634	6.91465
1.46	1.44451	3.61037	5.31792	6.94805
1.47	1.4571	3.63862	5.34937	6.98126
1.48	1.4696	3.66678	5.38068	7.01429
1.49	1.48201	3.69485	5.41187	7.04715
1.5	1.49434	3.72285	5.44294	7.07983
1.51	1.50659	3.75077	5.47389	7.11236
1.52	1.51876	3.77861	5.50474	7.14473
1.53	1.53085	3.80638	5.53548	7.17696
1.54	1.54287	3.83408	5.56612	7.20905
1.55	1.55481	3.86172	5.59667	7.241
1.56	1.56668	3.88929	5.62713	7.27282
1.57	1.57847	3.91679	5.6575	7.30451
1.58	1.5902	3.94424	5.68779	7.33609
1.59	1.60185	3.97162	5.71799	7.36755
1.6	1.61343	3.99894	5.74813	7.39889
1.61	1.62495	4.0262	5.77818	7.43014
1.62	1.6364	4.05341	5.80817	7.46127
1.63	1.64779	4.08056	5.83809	7.49231
1.64	1.65911	4.10766	5.86795	7.52325
1.65	1.67036	4.13471	5.89775	7.5541
1.66	1.68156	4.1617	5.92748	7.58487
1.67	1.69269	4.18864	5.95716	7.61554
