j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-445420	-5688.97	-142.762	-10.9117
0.11	-437905	-5530.81	-137.979	-10.6154
0.12	-430298	-5372.92	-133.253	-10.3231
0.13	-422603	-5215.47	-128.587	-10.035
0.14	-414826	-5058.58	-123.986	-9.75106
0.15	-406971	-4902.43	-119.453	-9.4715
0.16	-399044	-4747.14	-114.991	-9.19639
0.17	-391049	-4592.87	-110.604	-8.92581
0.18	-382992	-4439.76	-106.296	-8.65985
0.19	-374878	-4287.94	-102.068	-8.39856
0.2	-366712	-4137.57	-97.9237	-8.14201
0.21	-358500	-3988.77	-93.8659	-7.89023
0.22	-350247	-3841.67	-89.8969	-7.64327
0.23	-341959	-3696.41	-86.0189	-7.40115
0.24	-333642	-3553.1	-82.2338	-7.16388
0.25	-325302	-3411.88	-78.5434	-6.93148
0.26	-316943	-3272.85	-74.9494	-6.70394
0.27	-308574	-3136.13	-71.4531	-6.48125
0.28	-300198	-3001.82	-68.0557	-6.26339
0.29	-291824	-2870.04	-64.7582	-6.05035
0.3	-283456	-2740.88	-61.5614	-5.84208
0.31	-275101	-2614.43	-58.4658	-5.63856
0.32	-266765	-2490.79	-55.4717	-5.43972
0.33	-258455	-2370.03	-52.5794	-5.24553
0.34	-250176	-2252.23	-49.7888	-5.05594
0.35	-241937	-2137.46	-47.0997	-4.87087
0.36	-233742	-2025.79	-44.5116	-4.69027
0.37	-225599	-1917.28	-42.0239	-4.51408
0.38	-217514	-1811.97	-39.6358	-4.34222
0.39	-209494	-1709.92	-37.3464	-4.17464
0.4	-201545	-1611.16	-35.1545	-4.01125
0.41	-193673	-1515.73	-33.0587	-3.852
0.42	-185887	-1423.64	-31.0576	-3.6968
0.43	-178191	-1334.93	-29.1495	-3.5456
0.44	-170593	-1249.6	-27.3327	-3.39832
0.45	-163100	-1167.65	-25.6053	-3.25491
0.46	-155717	-1089.09	-23.9652	-3.11529
0.47	-148451	-1013.9	-22.4102	-2.9794
0.48	-141309	-942.065	-20.9381	-2.84718
