j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-4.26504	-3.03711	-2.16493	-1.46682
0.11	-4.21889	-3.00027	-2.13554	-1.44177
0.12	-4.17279	-2.96351	-2.10624	-1.41676
0.13	-4.12673	-2.92683	-2.07704	-1.39178
0.14	-4.08072	-2.89022	-2.04792	-1.36685
0.15	-4.03475	-2.85369	-2.01891	-1.34195
0.16	-3.98883	-2.81723	-1.98998	-1.31709
0.17	-3.94296	-2.78085	-1.96115	-1.29227
0.18	-3.89714	-2.74456	-1.93242	-1.26748
0.19	-3.85136	-2.70834	-1.90378	-1.24273
0.2	-3.80563	-2.67221	-1.87524	-1.21801
0.21	-3.75995	-2.63616	-1.84679	-1.19332
0.22	-3.71432	-2.6002	-1.81845	-1.16867
0.23	-3.66875	-2.56432	-1.7902	-1.14405
0.24	-3.62322	-2.52853	-1.76205	-1.11946
0.25	-3.57775	-2.49283	-1.734	-1.0949
0.26	-3.53233	-2.45722	-1.70605	-1.07037
0.27	-3.48697	-2.4217	-1.6782	-1.04586
0.28	-3.44166	-2.38627	-1.65045	-1.02139
0.29	-3.39641	-2.35094	-1.6228	-0.996944
0.3	-3.35121	-2.31571	-1.59525	-0.972524
0.31	-3.30608	-2.28057	-1.5678	-0.94813
0.32	-3.261	-2.24554	-1.54045	-0.923761
0.33	-3.21598	-2.2106	-1.5132	-0.899416
0.34	-3.17103	-2.17577	-1.48606	-0.875094
0.35	-3.12613	-2.14105	-1.45901	-0.850795
0.36	-3.0813	-2.10643	-1.43206	-0.826518
0.37	-3.03654	-2.07192	-1.40522	-0.802262
0.38	-2.99184	-2.03752	-1.37847	-0.778027
0.39	-2.9472	-2.00324	-1.35182	-0.75381
0.4	-2.90264	-1.96907	-1.32526	-0.729613
0.41	-2.85814	-1.93502	-1.29881	-0.705434
0.42	-2.81372	-1.90109	-1.27245	-0.681273
0.43	-2.76937	-1.86728	-1.24619	-0.657127
0.44	-2.72509	-1.83359	-1.22001	-0.632998
0.45	-2.68089	-1.80004	-1.19394	-0.608884
0.46	-2.63676	-1.76661	-1.16795	-0.584785
0.47	-2.59271	-1.73332	-1.14205	-0.560699
0.48	-2.54874	-1.70016	-1.11624	-0.536626
0.49	-2.50486	-1.66714	-1.09052	-0.512565
