j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-0.622699	0.310489	1.15575	1.94879
0.11	-0.603604	0.329979	1.17511	1.96926
0.12	-0.584674	0.349294	1.19433	1.98975
0.13	-0.565907	0.368438	1.21342	2.01026
0.14	-0.547302	0.387414	1.2324	2.03081
0.15	-0.528857	0.406222	1.25125	2.05139
0.16	-0.510571	0.424866	1.26999	2.07202
0.17	-0.492443	0.443349	1.28863	2.0927
0.18	-0.474471	0.461672	1.30717	2.11344
0.19	-0.456655	0.479839	1.32562	2.13424
0.2	-0.438993	0.497851	1.34398	2.1551
0.21	-0.421484	0.515713	1.36227	2.17602
0.22	-0.404125	0.533425	1.38047	2.19701
0.23	-0.386917	0.550992	1.39861	2.21807
0.24	-0.369858	0.568415	1.41667	2.23919
0.25	-0.352945	0.585698	1.43468	2.26038
0.26	-0.336179	0.602843	1.45264	2.28164
0.27	-0.319557	0.619854	1.47054	2.30297
0.28	-0.303079	0.636732	1.48839	2.32437
0.29	-0.286742	0.653481	1.5062	2.34582
0.3	-0.270545	0.670104	1.52397	2.36735
0.31	-0.254488	0.686603	1.54171	2.38893
0.32	-0.238568	0.702981	1.55941	2.41057
0.33	-0.222784	0.719242	1.57709	2.43227
0.34	-0.207135	0.735387	1.59473	2.45403
0.35	-0.19162	0.75142	1.61236	2.47584
0.36	-0.176236	0.767344	1.62996	2.4977
0.37	-0.160983	0.783161	1.64754	2.51961
0.38	-0.145858	0.798875	1.66511	2.54157
0.39	-0.130861	0.814487	1.68266	2.56358
0.4	-0.115991	0.830001	1.70021	2.58563
0.41	-0.101245	0.845419	1.71774	2.60772
0.42	-0.0866215	0.860744	1.73526	2.62984
0.43	-0.0721202	0.875979	1.75277	2.65201
0.44	-0.0577391	0.891126	1.77028	2.67421
0.45	-0.0434766	0.906189	1.78778	2.69644
0.46	-0.0293313	0.921168	1.80528	2.7187
0.47	-0.0153018	0.936068	1.82278	2.741
0.48	-0.00138644	0.95089	1.84028	2.76332
0.49	0.0124162	0.965636	1.85777	2.78566
0.5	0.0261076	0.980311	1.87527	2.80803
0.51	0.0396892	0.994914	1.89277	2.83042
0.52	0.0531627	1.00945	1.91026	2.85284
0.53	0.0665294	1.02392	1.92776	2.87527
0.54	0.0797909	1.03833	1.94527	2.89772
0.55	0.0929487	1.05267	1.96277	2.92019
0.56	0.106004	1.06695	1.98028	2.94267
0.57	0.118959	1.08118	1.99779	2.96517
0.58	0.131815	1.09535	2.01531	2.98768
0.59	0.144573	1.10947	2.03283	3.0102
0.6	0.157234	1.12354	2.05036	3.03273
0.61	0.169801	1.13756	2.06789	3.05527
0.62	0.182275	1.15153	2.08542	3.07782
0.63	0.194657	1.16545	2.10296	3.10037
0.64	0.206948	1.17933	2.1205	3.12294
0.65	0.219151	1.19316	2.13805	3.14551
0.66	0.231266	1.20696	2.1556	3.16808
0.67	0.243296	1.22072	2.17316	3.19066
0.68	0.255241	1.23443	2.19072	3.21324
0.69	0.267103	1.24811	2.20828	3.23582
0.7	0.278883	1.26176	2.22585	3.2584
0.71	0.290583	1.27537	2.24343	3.28099
0.72	0.302204	1.28895	2.261	3.30357
0.73	0.313748	1.3025	2.27859	3.32615
0.74	0.325216	1.31601	2.29617	3.34874
0.75	0.33661	1.3295	2.31376	3.37132
0.76	0.34793	1.34296	2.33135	3.3939
0.77	0.359179	1.3564	2.34895	3.41647
0.78	0.370357	1.3698	2.36654	3.43904
0.79	0.381465	1.38319	2.38415	3.46161
0.8	0.392506	1.39655	2.40175	3.48418
0.81	0.403481	1.40989	2.41935	3.50674
0.82	0.414391	1.4232	2.43696	3.52929
0.83	0.425236	1.4365	2.45457	3.55184
0.84	0.436019	1.44978	2.47219	3.57438
0.85	0.446741	1.46303	2.4898	3.59692
0.86	0.457402	1.47627	2.50742	3.61945
0.87	0.468005	1.48949	2.52503	3.64197
0.88	0.47855	1.5027	2.54265	3.66449
0.89	0.489039	1.51588	2.56027	3.687
0.9	0.499473	1.52906	2.57789	3.7095
0.91	0.509853	1.54222	2.59551	3.73199
0.92	0.520179	1.55536	2.61313	3.75447
0.93	0.530455	1.56849	2.63075	3.77695
0.94	0.540679	1.58161	2.64837	3.79942
0.95	0.550855	1.59471	2.66599	3.82187
0.96	0.560982	1.60781	2.68361	3.84432
0.97	0.571061	1.62089	2.70123	3.86676
0.98	0.581095	1.63396	2.71885	3.88919
0.99	0.591084	1.64702	2.73647	3.91161
1	0.601029	1.66008	2.75409	3.93402
1.01	0.610931	1.67312	2.77171	3.95642
1.02	0.62079	1.68615	2.78932	3.97881
1.03	0.63061	1.69918	2.80694	4.00119
1.04	0.640389	1.71219	2.82455	4.02356
1.05	0.650129	1.7252	2.84216	4.04592
1.06	0.659831	1.7382	2.85977	4.06827
1.07	0.669496	1.7512	2.87738	4.09061
1.08	0.679125	1.76419	2.89499	4.11293
1.09	0.688719	1.77717	2.91259	4.13525
1.1	0.698279	1.79014	2.9302	4.15755
1.11	0.707806	1.80311	2.9478	4.17985
1.12	0.7173	1.81608	2.96539	4.20213
1.13	0.726762	1.82904	2.98299	4.2244
1.14	0.736193	1.84199	3.00059	4.24666
1.15	0.745595	1.85494	3.01818	4.26891
1.16	0.754967	1.86789	3.03577	4.29115
