j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-0.894188	0.0301689	0.875013	1.65759
0.11	-0.869621	0.0554506	0.90008	1.6829
0.12	-0.84529	0.0804756	0.924909	1.7081
0.13	-0.821194	0.105246	0.949504	1.73321
0.14	-0.797331	0.129765	0.973873	1.75825
0.15	-0.773699	0.154036	0.998022	1.78322
0.16	-0.750296	0.17806	1.02196	1.80814
0.17	-0.727121	0.20184	1.04569	1.83301
0.18	-0.704172	0.225381	1.06922	1.85785
0.19	-0.681447	0.248684	1.09256	1.88267
0.2	-0.658943	0.271752	1.11571	1.90748
0.21	-0.63666	0.29459	1.13868	1.93228
0.22	-0.614595	0.317199	1.16148	1.95708
0.23	-0.592747	0.339584	1.18412	1.98188
0.24	-0.571113	0.361747	1.2066	2.0067
0.25	-0.549691	0.383692	1.22894	2.03154
0.26	-0.528481	0.405423	1.25112	2.0564
0.27	-0.507479	0.426943	1.27318	2.08128
0.28	-0.486684	0.448255	1.2951	2.10619
0.29	-0.466094	0.469363	1.3169	2.13113
0.3	-0.445706	0.490272	1.33858	2.1561
0.31	-0.42552	0.510983	1.36015	2.1811
0.32	-0.405533	0.531502	1.38162	2.20614
0.33	-0.385742	0.551832	1.40299	2.23121
0.34	-0.366147	0.571977	1.42426	2.25631
0.35	-0.346744	0.59194	1.44545	2.28145
0.36	-0.327533	0.611725	1.46655	2.30662
0.37	-0.30851	0.631337	1.48758	2.33183
0.38	-0.289674	0.650779	1.50853	2.35706
0.39	-0.271023	0.670055	1.52941	2.38233
0.4	-0.252555	0.689169	1.55023	2.40763
0.41	-0.234267	0.708125	1.57099	2.43296
0.42	-0.216157	0.726926	1.59169	2.45831
0.43	-0.198224	0.745576	1.61234	2.48369
0.44	-0.180466	0.76408	1.63294	2.5091
0.45	-0.162879	0.782441	1.6535	2.53453
0.46	-0.145463	0.800663	1.67401	2.55998
0.47	-0.128214	0.818749	1.69448	2.58545
0.48	-0.111132	0.836703	1.71491	2.61094
0.49	-0.094213	0.854529	1.73531	2.63645
0.5	-0.0774556	0.87223	1.75568	2.66197
0.51	-0.0608576	0.889811	1.77601	2.68751
0.52	-0.0444168	0.907274	1.79632	2.71306
0.53	-0.0281311	0.924623	1.8166	2.73862
0.54	-0.0119983	0.941861	1.83685	2.76419
0.55	0.00398377	0.958993	1.85708	2.78977
0.56	0.0198172	0.97602	1.87729	2.81536
0.57	0.0355043	0.992946	1.89748	2.84095
0.58	0.051047	1.00977	1.91765	2.86655
0.59	0.0664477	1.02651	1.9378	2.89215
0.6	0.0817084	1.04315	1.95793	2.91775
0.61	0.0968313	1.05971	1.97805	2.94335
0.62	0.111819	1.07617	1.99815	2.96896
0.63	0.126672	1.09256	2.01824	2.99456
0.64	0.141395	1.10887	2.03832	3.02016
0.65	0.155988	1.12509	2.05838	3.04575
0.66	0.170454	1.14125	2.07843	3.07134
0.67	0.184795	1.15733	2.09846	3.09693
0.68	0.199013	1.17334	2.11849	3.12251
0.69	0.213111	1.18928	2.1385	3.14808
0.7	0.227089	1.20516	2.1585	3.17364
0.71	0.240952	1.22098	2.17849	3.1992
0.72	0.254699	1.23673	2.19848	3.22475
0.73	0.268334	1.25243	2.21845	3.25028
0.74	0.281859	1.26807	2.23841	3.27581
0.75	0.295276	1.28365	2.25836	3.30132
0.76	0.308585	1.29918	2.2783	3.32682
0.77	0.321791	1.31466	2.29823	3.35231
0.78	0.334894	1.33009	2.31816	3.37778
0.79	0.347897	1.34548	2.33807	3.40324
0.8	0.360801	1.36082	2.35798	3.42869
0.81	0.373609	1.37611	2.37787	3.45412
0.82	0.386322	1.39136	2.39776	3.47954
0.83	0.398942	1.40657	2.41763	3.50494
0.84	0.411471	1.42175	2.4375	3.53032
0.85	0.423911	1.43688	2.45736	3.55569
0.86	0.436265	1.45197	2.47721	3.58104
0.87	0.448532	1.46703	2.49705	3.60638
0.88	0.460716	1.48206	2.51688	3.63169
0.89	0.472819	1.49705	2.5367	3.65699
0.9	0.484841	1.51201	2.55651	3.68227
0.91	0.496785	1.52694	2.57631	3.70753
0.92	0.508652	1.54184	2.5961	3.73277
0.93	0.520444	1.55671	2.61588	3.758
0.94	0.532163	1.57155	2.63566	3.7832
0.95	0.543811	1.58637	2.65542	3.80839
0.96	0.555388	1.60116	2.67517	3.83355
0.97	0.566897	1.61592	2.69492	3.8587
0.98	0.578339	1.63066	2.71465	3.88383
0.99	0.589716	1.64538	2.73437	3.90894
1	0.601029	1.66008	2.75409	3.93402
1.01	0.612279	1.67475	2.77379	3.95909
1.02	0.623469	1.6894	2.79349	3.98414
1.03	0.6346	1.70403	2.81317	4.00916
1.04	0.645672	1.71864	2.83284	4.03417
1.05	0.656688	1.73323	2.85251	4.05915
1.06	0.667649	1.7478	2.87216	4.08412
1.07	0.678556	1.76236	2.8918	4.10906
1.08	0.689411	1.7769	2.91144	4.13399
1.09	0.700214	1.79142	2.93106	4.15889
1.1	0.710968	1.80592	2.95067	4.18378
1.11	0.721673	1.82041	2.97028	4.20864
1.12	0.732331	1.83488	2.98987	4.23348
1.13	0.742943	1.84934	3.00945	4.2583
1.14	0.75351	1.86379	3.02902	4.2831
1.15	0.764033	1.87822	3.04858	4.30788
1.16	0.774514	1.89264	3.06813	4.33264
1.17	0.784954	1.90704	3.08767	4.35738
1.18	0.795353	1.92143	3.10721	4.3821
1.19	0.805713	1.93581	3.12673	4.4068
1.2	0.816035	1.95018	3.14624	4.43147
1.21	0.82632	1.96454	3.16574	4.45613
1.22	0.836569	1.97889	3.18522	4.48077
1.23	0.846783	1.99322	3.2047	4.50539
1.24	0.856963	2.00755	3.22417	4.52998
1.25	0.86711	2.02186	3.24363	4.55456
1.26	0.877225	2.03617	3.26308	4.57912
1.27	0.887309	2.05046	3.28252	4.60365
1.28	0.897363	2.06475	3.30195	4.62817
1.29	0.907388	2.07903	3.32137	4.65267
1.3	0.917384	2.0933	3.34078	4.67714
1.31	0.927353	2.10756	3.36018	4.7016
1.32	0.937296	2.12182	3.37956	4.72604
1.33	0.947212	2.13607	3.39894	4.75046
1.34	0.957104	2.1503	3.41831	4.77486
1.35	0.966971	2.16454	3.43767	4.79924
1.36	0.976815	2.17876	3.45702	4.8236
1.37	0.986637	2.19298	3.47636	4.84795
1.38	0.996436	2.2072	3.4957	4.87227
1.39	1.00621	2.2214	3.51502	4.89657
1.4	1.01597	2.2356	3.53433	4.92086
1.41	1.02571	2.2498	3.55363	4.94513
1.42	1.03543	2.26399	3.57293	4.96938
1.43	1.04513	2.27817	3.59221	4.99361
1.44	1.05482	2.29235	3.61149	5.01782
1.45	1.06448	2.30653	3.63075	5.04202
1.46	1.07413	2.3207	3.65001	5.0662
1.47	1.08377	2.33486	3.66926	5.09036
1.48	1.09339	2.34903	3.6885	5.1145
1.49	1.10299	2.36318	3.70773	5.13862
1.5	1.11258	2.37734	3.72695	5.16273
1.51	1.12216	2.39149	3.74616	5.18682
1.52	1.13173	2.40563	3.76537	5.21089
1.53	1.14128	2.41978	3.78457	5.23494
1.54	1.15082	2.43392	3.80375	5.25898
1.55	1.16035	2.44805	3.82293	5.283
1.56	1.16987	2.46219	3.84211	5.30701
1.57	1.17938	2.47632	3.86127	5.331
1.58	1.18888	2.49045	3.88042	5.35497
1.59	1.19837	2.50458	3.89957	5.37892
1.6	1.20786	2.5187	3.91871	5.40286
1.61	1.21733	2.53282	3.93784	5.42679
1.62	1.2268	2.54694	3.95697	5.45069
1.63	1.23626	2.56106	3.97609	5.47459
1.64	1.24571	2.57518	3.99519	5.49846
1.65	1.25516	2.5893	4.0143	5.52232
1.66	1.2646	2.60341	4.03339	5.54617
1.67	1.27403	2.61752	4.05248	5.57
1.68	1.28346	2.63164	4.07156	5.59381
1.69	1.29289	2.64575	4.09063	5.61761
1.7	1.30231	2.65986	4.1097	5.6414
1.71	1.31172	2.67397	4.12876	5.66517
1.72	1.32114	2.68808	4.14781	5.68892
1.73	1.33055	2.70219	4.16686	5.71266
