j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-1.39932	-0.494842	0.350449	1.13473
0.11	-1.36396	-0.458092	0.387081	1.17064
0.12	-1.32899	-0.421763	0.423278	1.20617
0.13	-1.29441	-0.385853	0.459046	1.24134
0.14	-1.26021	-0.350359	0.49439	1.27616
0.15	-1.22639	-0.315278	0.529317	1.31064
0.16	-1.19296	-0.280608	0.563831	1.34481
0.17	-1.15989	-0.246344	0.59794	1.37867
0.18	-1.1272	-0.212484	0.631651	1.41226
0.19	-1.09488	-0.179025	0.664971	1.44558
0.2	-1.06293	-0.145962	0.697907	1.47866
0.21	-1.03134	-0.113293	0.730467	1.51151
0.22	-1.00011	-0.0810128	0.762659	1.54415
0.23	-0.969232	-0.0491186	0.794493	1.57659
0.24	-0.938713	-0.0176059	0.825976	1.60886
0.25	-0.908544	0.0135293	0.857117	1.64096
0.26	-0.878724	0.0442915	0.887925	1.67292
0.27	-0.849248	0.074685	0.91841	1.70474
0.28	-0.820114	0.104714	0.948582	1.73644
0.29	-0.791318	0.134384	0.97845	1.76804
0.3	-0.762858	0.1637	1.00802	1.79954
0.31	-0.734729	0.192665	1.03731	1.83096
0.32	-0.70693	0.221287	1.06633	1.86231
0.33	-0.679456	0.249568	1.09508	1.89359
0.34	-0.652304	0.277516	1.12357	1.92481
0.35	-0.625471	0.305135	1.15182	1.95598
0.36	-0.598954	0.33243	1.17984	1.98711
0.37	-0.57275	0.359408	1.20763	2.0182
0.38	-0.546854	0.386075	1.2352	2.04926
0.39	-0.521264	0.412434	1.26257	2.0803
0.4	-0.495977	0.438494	1.28974	2.11131
0.41	-0.470988	0.464259	1.31672	2.1423
0.42	-0.446294	0.489736	1.34352	2.17327
0.43	-0.421893	0.51493	1.37015	2.20423
0.44	-0.397781	0.539848	1.39662	2.23517
0.45	-0.373953	0.564496	1.42293	2.2661
0.46	-0.350407	0.588879	1.44909	2.29702
0.47	-0.327139	0.613004	1.47511	2.32793
0.48	-0.304146	0.636878	1.501	2.35883
0.49	-0.281424	0.660505	1.52676	2.38973
0.5	-0.258969	0.683894	1.55241	2.42061
0.51	-0.236779	0.707048	1.57794	2.45148
0.52	-0.214848	0.729975	1.60335	2.48234
0.53	-0.193175	0.752681	1.62867	2.51319
0.54	-0.171755	0.775171	1.65389	2.54402
0.55	-0.150584	0.797451	1.67901	2.57485
0.56	-0.12966	0.819528	1.70405	2.60566
0.57	-0.108977	0.841407	1.729	2.63646
0.58	-0.0885338	0.863094	1.75388	2.66724
0.59	-0.0683255	0.884594	1.77867	2.698
0.6	-0.0483487	0.905913	1.8034	2.72875
0.61	-0.0285998	0.927057	1.82805	2.75948
0.62	-0.00907516	0.948031	1.85264	2.79018
0.63	0.0102288	0.968839	1.87717	2.82087
0.64	0.0293158	0.989488	1.90163	2.85154
0.65	0.0481893	1.00998	1.92604	2.88218
0.66	0.0668531	1.03033	1.95039	2.9128
0.67	0.0853106	1.05052	1.97468	2.94339
0.68	0.103565	1.07058	1.99893	2.97396
0.69	0.121621	1.0905	2.02312	3.0045
0.7	0.139482	1.1103	2.04727	3.03501
0.71	0.15715	1.12996	2.07137	3.06549
0.72	0.17463	1.1495	2.09542	3.09594
0.73	0.191925	1.16892	2.11944	3.12636
0.74	0.209038	1.18823	2.1434	3.15675
0.75	0.225974	1.20742	2.16733	3.18711
0.76	0.242735	1.22651	2.19122	3.21744
0.77	0.259325	1.2455	2.21507	3.24773
0.78	0.275747	1.26438	2.23888	3.27798
0.79	0.292004	1.28317	2.26265	3.3082
0.8	0.308101	1.30186	2.28638	3.33839
0.81	0.32404	1.32046	2.31008	3.36854
0.82	0.339824	1.33897	2.33374	3.39865
