z	u	VVM	VAVM	VPSM	VSM	VSAVM
8.5885	10.1524	484.773	507.035	510.501	417.414	2.32994e+128
8.58793	10.1517	484.704	506.965	510.431	417.255	2.24241e+128
8.58736	10.1509	484.635	506.895	510.361	417.097	2.15816e+128
8.5868	10.1502	484.566	506.825	510.291	416.939	2.07708e+128
8.58623	10.1495	484.496	506.755	510.222	416.78	1.99905e+128
8.58567	10.1488	484.427	506.685	510.152	416.622	1.92395e+128
8.5851	10.1481	484.358	506.616	510.082	416.463	1.85166e+128
8.58454	10.1474	484.289	506.546	510.012	416.304	1.7821e+128
8.58397	10.1467	484.22	506.476	509.942	416.145	1.71514e+128
8.5834	10.146	484.15	506.406	509.872	415.986	1.6507e+128
8.58284	10.1452	484.081	506.336	509.802	415.827	1.58868e+128
8.58227	10.1445	484.012	506.266	509.733	415.668	1.52899e+128
8.58171	10.1438	483.943	506.196	509.663	415.509	1.47155e+128
8.58114	10.1431	483.874	506.126	509.593	415.35	1.41626e+128
8.58057	10.1424	483.805	506.057	509.523	415.19	1.36304e+128
8.58001	10.1417	483.735	505.987	509.453	415.031	1.31183e+128
8.57944	10.141	483.666	505.917	509.383	414.871	1.26254e+128
8.57888	10.1403	483.597	505.847	509.313	414.712	1.2151e+128
8.57831	10.1395	483.528	505.777	509.244	414.552	1.16945e+128
8.57774	10.1388	483.459	505.707	509.174	414.392	1.12551e+128
8.57718	10.1381	483.389	505.638	509.104	414.232	1.08322e+128
8.57661	10.1374	483.32	505.568	509.034	414.072	1.04251e+128
8.57604	10.1367	483.251	505.498	508.964	413.912	1.00334e+128
8.57548	10.136	483.182	505.428	508.894	413.752	9.6564e+127
8.57491	10.1353	483.113	505.358	508.825	413.592	9.29355e+127
8.57435	10.1345	483.044	505.288	508.755	413.431	8.94433e+127
8.57378	10.1338	482.974	505.218	508.685	413.271	8.60823e+127
8.57321	10.1331	482.905	505.149	508.615	413.11	8.28476e+127
8.57265	10.1324	482.836	505.079	508.545	412.95	7.97344e+127
8.57208	10.1317	482.767	505.009	508.475	412.789	7.67382e+127
8.57151	10.131	482.698	504.939	508.405	412.628	7.38545e+127
8.57095	10.1303	482.629	504.869	508.336	412.467	7.10792e+127
8.57038	10.1296	482.559	504.799	508.266	412.306	6.84081e+127
8.56981	10.1288	482.49	504.73	508.196	412.145	6.58374e+127
8.56925	10.1281	482.421	504.66	508.126	411.984	6.33632e+127
8.56868	10.1274	482.352	504.59	508.056	411.823	6.09821e+127
8.56811	10.1267	482.283	504.52	507.986	411.661	5.86903e+127
8.56754	10.126	482.214	504.45	507.917	411.5	5.64847e+127
8.56698	10.1253	482.144	504.38	507.847	411.338	5.4362e+127
8.56641	10.1246	482.075	504.31	507.777	411.177	5.2319e+127
8.56584	10.1238	482.006	504.241	507.707	411.015	5.03528e+127
8.56528	10.1231	481.937	504.171	507.637	410.853	4.84604e+127
8.56471	10.1224	481.868	504.101	507.567	410.691	4.66392e+127
8.56414	10.1217	481.799	504.031	507.498	410.529	4.48863e+127
8.56358	10.121	481.729	503.961	507.428	410.367	4.31994e+127
8.56301	10.1203	481.66	503.891	507.358	410.205	4.15758e+127
8.56244	10.1196	481.591	503.822	507.288	410.043	4.00132e+127
8.56187	10.1188	481.522	503.752	507.218	409.881	3.85094e+127
8.56131	10.1181	481.453	503.682	507.149	409.718	3.7062e+127
8.56074	10.1174	481.384	503.612	507.079	409.556	3.56691e+127
8.56017	10.1167	481.315	503.542	507.009	409.393	3.43284e+127
8.5596	10.116	481.245	503.473	506.939	409.23	3.30382e+127
8.55904	10.1153	481.176	503.403	506.869	409.068	3.17964e+127
8.55847	10.1146	481.107	503.333	506.799	408.905	3.06013e+127
8.5579	10.1138	481.038	503.263	506.73	408.742	2.94511e+127
8.55733	10.1131	480.969	503.193	506.66	408.579	2.83442e+127
8.55677	10.1124	480.9	503.123	506.59	408.416	2.72788e+127
8.5562	10.1117	480.831	503.054	506.52	408.252	2.62535e+127
8.55563	10.111	480.761	502.984	506.45	408.089	2.52666e+127
8.55506	10.1103	480.692	502.914	506.38	407.926	2.43169e+127
8.5545	10.1096	480.623	502.844	506.311	407.762	2.34029e+127
8.55393	10.1088	480.554	502.774	506.241	407.599	2.25232e+127
8.55336	10.1081	480.485	502.704	506.171	407.435	2.16766e+127
8.55279	10.1074	480.416	502.635	506.101	407.271	2.08618e+127
8.55222	10.1067	480.347	502.565	506.031	407.107	2.00776e+127
8.55166	10.106	480.277	502.495	505.962	406.943	1.93228e+127
8.55109	10.1053	480.208	502.425	505.892	406.779	1.85965e+127
8.55052	10.1045	480.139	502.355	505.822	406.615	1.78974e+127
8.54995	10.1038	480.07	502.286	505.752	406.451	1.72246e+127
8.54938	10.1031	480.001	502.216	505.682	406.287	1.65771e+127
8.54882	10.1024	479.932	502.146	505.613	406.122	1.5954e+127
8.54825	10.1017	479.863	502.076	505.543	405.958	1.53542e+127
8.54768	10.101	479.793	502.006	505.473	405.793	1.4777e+127
8.54711	10.1003	479.724	501.937	505.403	405.628	1.42215e+127
8.54654	10.0995	479.655	501.867	505.333	405.464	1.36869e+127
8.54597	10.0988	479.586	501.797	505.264	405.299	1.31723e+127
8.54541	10.0981	479.517	501.727	505.194	405.134	1.26771e+127
8.54484	10.0974	479.448	501.657	505.124	404.969	1.22005e+127
8.54427	10.0967	479.379	501.588	505.054	404.804	1.17419e+127
8.5437	10.096	479.31	501.518	504.984	404.638	1.13004e+127
8.54313	10.0952	479.24	501.448	504.915	404.473	1.08756e+127
8.54256	10.0945	479.171	501.378	504.845	404.308	1.04667e+127
8.542	10.0938	479.102	501.308	504.775	404.142	1.00732e+127
8.54143	10.0931	479.033	501.239	504.705	403.977	9.69449e+126
8.54086	10.0924	478.964	501.169	504.635	403.811	9.33001e+126
8.54029	10.0917	478.895	501.099	504.566	403.645	8.97923e+126
8.53972	10.0909	478.826	501.029	504.496	403.479	8.64163e+126
8.53915	10.0902	478.757	500.959	504.426	403.313	8.31672e+126
8.53858	10.0895	478.688	500.89	504.356	403.147	8.00403e+126
8.53801	10.0888	478.618	500.82	504.286	402.981	7.70309e+126
8.53745	10.0881	478.549	500.75	504.217	402.815	7.41346e+126
8.53688	10.0874	478.48	500.68	504.147	402.649	7.13472e+126
8.53631	10.0867	478.411	500.61	504.077	402.482	6.86646e+126
8.53574	10.0859	478.342	500.541	504.007	402.316	6.60828e+126
8.53517	10.0852	478.273	500.471	503.937	402.149	6.35981e+126
8.5346	10.0845	478.204	500.401	503.868	401.983	6.12068e+126
8.53403	10.0838	478.135	500.331	503.798	401.816	5.89053e+126
8.53346	10.0831	478.066	500.261	503.728	401.649	5.66904e+126
8.53289	10.0824	477.996	500.192	503.658	401.482	5.45588e+126
8.53232	10.0816	477.927	500.122	503.589	401.315	5.25072e+126
