Q2:	1.6

u	fQ	dfQ/du	fQ^2 + (dfQ/du)^2/Q2
0.000130964	1	-0.00856471	1.00005
0.000135326	1	-0.0085957	1.00005
0.000139821	1	-0.00862763	1.00005
0.000144453	1	-0.00866052	1.00005
0.000149223	1	-0.00869439	1.00005
0.000154137	1	-0.00872927	1.00005
0.000159197	1	-0.00876518	1.00005
0.000164408	1	-0.00880216	1.00005
0.000169771	1	-0.00884021	1.00005
0.000175292	0.999999	-0.00887937	1.00005
0.000180974	0.999999	-0.00891966	1.00005
0.00018682	0.999999	-0.0089611	1.00005
0.000192835	0.999999	-0.00900373	1.00005
0.000199021	0.999999	-0.00904756	1.00005
0.000205382	0.999999	-0.00909262	1.00005
0.000211922	0.999999	-0.00913893	1.00005
0.000218644	0.999999	-0.00918653	1.00005
0.000225553	0.999999	-0.00923543	1.00005
0.000232651	0.999999	-0.00928565	1.00005
0.000239943	0.999999	-0.00933723	1.00005
0.000247431	0.999999	-0.00939018	1.00005
0.000255119	0.999999	-0.00944453	1.00005
0.000263011	0.999998	-0.0095003	1.00005
0.000271109	0.999998	-0.00955752	1.00005
0.000279417	0.999998	-0.00961619	1.00005
0.000287939	0.999998	-0.00967635	1.00005
0.000296676	0.999998	-0.00973801	1.00006
0.000305633	0.999998	-0.00980119	1.00006
0.000314811	0.999998	-0.00986592	1.00006
0.000324213	0.999998	-0.0099322	1.00006
0.000333843	0.999998	-0.0100001	1.00006
0.000343702	0.999997	-0.0100695	1.00006
0.000353792	0.999997	-0.0101405	1.00006
0.000364116	0.999997	-0.0102132	1.00006
0.000374676	0.999997	-0.0102875	1.00006
0.000385474	0.999997	-0.0103634	1.00006
0.00039651	0.999997	-0.010441	1.00006
0.000407787	0.999997	-0.0105202	1.00006
0.000419305	0.999997	-0.010601	1.00006
0.000431066	0.999996	-0.0106836	1.00006
0.000443071	0.999996	-0.0107678	1.00006
0.000455321	0.999996	-0.0108537	1.00007
0.000467816	0.999996	-0.0109412	1.00007
0.000480556	0.999996	-0.0110305	1.00007
0.000493542	0.999996	-0.0111214	1.00007
0.000506774	0.999995	-0.0112139	1.00007
0.000520252	0.999995	-0.0113082	1.00007
0.000533977	0.999995	-0.0114041	1.00007
0.000547947	0.999995	-0.0115017	1.00007
0.000562162	0.999995	-0.0116009	1.00007
0.000576622	0.999994	-0.0117017	1.00007
0.000591327	0.999994	-0.0118043	1.00008
0.000606276	0.999994	-0.0119084	1.00008
0.000621468	0.999994	-0.0120142	1.00008
0.000636902	0.999994	-0.0121216	1.00008
0.000652579	0.999993	-0.0122306	1.00008
0.000668496	0.999993	-0.0123412	1.00008
0.000684654	0.999993	-0.0124534	1.00008
0.000701051	0.999993	-0.0125672	1.00008
0.000717687	0.999992	-0.0126826	1.00009
0.00073456	0.999992	-0.0127995	1.00009
0.000751671	0.999992	-0.012918	1.00009
0.000769017	0.999992	-0.013038	1.00009
0.000786599	0.999991	-0.0131596	1.00009
0.000804416	0.999991	-0.0132827	1.00009
0.000822466	0.999991	-0.0134074	1.00009
0.000840749	0.99999	-0.0135335	1.0001
0.000859264	0.99999	-0.0136612	1.0001
0.000878011	0.99999	-0.0137903	1.0001
0.000896989	0.99999	-0.0139209	1.0001
0.000916197	0.999989	-0.014053	1.0001
0.000935634	0.999989	-0.0141866	1.0001
0.0009553	0.999989	-0.0143217	1.00011
0.000975194	0.999988	-0.0144581	1.00011
0.000995317	0.999988	-0.0145961	1.00011
0.00101567	0.999988	-0.0147355	1.00011
0.00103624	0.999987	-0.0148763	1.00011
0.00105704	0.999987	-0.0150185	1.00011
0.00107807	0.999987	-0.0151622	1.00012
0.00109933	0.999986	-0.0153072	1.00012
0.0011208	0.999986	-0.0154537	1.00012
0.00114251	0.999985	-0.0156015	1.00012
0.00116443	0.999985	-0.0157508	1.00013
0.00118659	0.999985	-0.0159014	1.00013
0.00120896	0.999984	-0.0160534	1.00013
0.00123156	0.999984	-0.0162068	1.00013
0.00125438	0.999983	-0.0163616	1.00013
0.00127742	0.999983	-0.0165177	1.00014
0.00130069	0.999983	-0.0166752	1.00014
0.00132418	0.999982	-0.016834	1.00014
0.00134789	0.999982	-0.0169941	1.00014
0.00137182	0.999981	-0.0171556	1.00015
0.00139597	0.999981	-0.0173184	1.00015
0.00142035	0.99998	-0.0174826	1.00015
0.00144494	0.99998	-0.017648	1.00015
0.00146976	0.999979	-0.0178148	1.00016
0.0014948	0.999979	-0.0179829	1.00016
0.00152005	0.999978	-0.0181523	1.00016
0.00154553	0.999978	-0.0183229	1.00017
0.00157123	0.999977	-0.0184949	1.00017
0.00159715	0.999977	-0.0186682	1.00017
0.00162329	0.999976	-0.0188427	1.00017
0.00164965	0.999976	-0.0190185	1.00018
0.00167624	0.999975	-0.0191956	1.00018
0.00170304	0.999975	-0.0193739	1.00018
0.00173006	0.999974	-0.0195535	1.00019
0.0017573	0.999974	-0.0197344	1.00019
0.00178476	0.999973	-0.0199165	1.00019
0.00181244	0.999972	-0.0200999	1.0002
0.00184034	0.999972	-0.0202845	1.0002
