Q2:	1.65477

z	fQ	dfQ/dz	fQ^2 + (dfQ/dz)^2/Q2
1.02606e-06	1	-0.00810593	1.00004
1.06939e-06	1	-0.00810624	1.00004
1.11449e-06	1	-0.00810657	1.00004
1.16141e-06	1	-0.00810691	1.00004
1.21023e-06	1	-0.00810727	1.00004
1.26102e-06	1	-0.00810764	1.00004
1.31386e-06	1	-0.00810803	1.00004
1.36883e-06	1	-0.00810843	1.00004
1.42601e-06	1	-0.00810885	1.00004
1.48548e-06	1	-0.00810928	1.00004
1.54734e-06	1	-0.00810973	1.00004
1.61167e-06	1	-0.0081102	1.00004
1.67856e-06	1	-0.00811069	1.00004
1.74813e-06	1	-0.0081112	1.00004
1.82046e-06	1	-0.00811173	1.00004
1.89566e-06	1	-0.00811228	1.00004
1.97385e-06	1	-0.00811285	1.00004
2.05512e-06	1	-0.00811344	1.00004
2.13962e-06	1	-0.00811406	1.00004
2.22744e-06	1	-0.0081147	1.00004
2.31872e-06	1	-0.00811537	1.00004
2.41359e-06	1	-0.00811606	1.00004
2.51219e-06	1	-0.00811678	1.00004
2.61464e-06	1	-0.00811753	1.00004
2.7211e-06	1	-0.00811831	1.00004
2.83172e-06	1	-0.00811911	1.00004
2.94665e-06	1	-0.00811995	1.00004
3.06605e-06	1	-0.00812082	1.00004
3.19009e-06	1	-0.00812173	1.00004
3.31894e-06	1	-0.00812267	1.00004
3.45277e-06	1	-0.00812365	1.00004
3.59178e-06	1	-0.00812466	1.00004
3.73614e-06	1	-0.00812572	1.00004
3.88606e-06	1	-0.00812681	1.00004
4.04175e-06	1	-0.00812795	1.00004
4.2034e-06	1	-0.00812913	1.00004
4.37125e-06	1	-0.00813036	1.00004
4.54551e-06	1	-0.00813163	1.00004
4.72643e-06	1	-0.00813295	1.00004
4.91423e-06	1	-0.00813432	1.00004
5.10918e-06	1	-0.00813575	1.00004
5.31152e-06	1	-0.00813722	1.00004
5.52153e-06	1	-0.00813876	1.00004
5.73948e-06	1	-0.00814035	1.00004
5.96567e-06	1	-0.008142	1.00004
6.20037e-06	1	-0.00814371	1.00004
6.44391e-06	1	-0.00814549	1.00004
6.69658e-06	1	-0.00814734	1.00004
6.95874e-06	1	-0.00814925	1.00004
7.23069e-06	1	-0.00815124	1.00004
7.51281e-06	1	-0.0081533	1.00004
7.80544e-06	1	-0.00815543	1.00004
8.10896e-06	1	-0.00815765	1.00004
8.42376e-06	1	-0.00815995	1.00004
8.75022e-06	1	-0.00816233	1.00004
9.08877e-06	1	-0.0081648	1.00004
9.43983e-06	1	-0.00816737	1.00004
9.80382e-06	1	-0.00817002	1.00004
1.01812e-05	1	-0.00817278	1.00004
1.05725e-05	1	-0.00817564	1.00004
1.09781e-05	1	-0.0081786	1.00004
1.13985e-05	1	-0.00818167	1.00004
1.18343e-05	1	-0.00818485	1.00004
1.2286e-05	1	-0.00818815	1.00004
1.27542e-05	1	-0.00819156	1.00004
1.32393e-05	1	-0.00819511	1.00004
1.37421e-05	1	-0.00819878	1.00004
1.4263e-05	1	-0.00820258	1.00004
1.48027e-05	1	-0.00820652	1.00004
1.53619e-05	1	-0.0082106	1.00004
1.59413e-05	1	-0.00821483	1.00004
1.65414e-05	1	-0.00821921	1.00004
1.7163e-05	1	-0.00822375	1.00004
1.78069e-05	1	-0.00822845	1.00004
1.84738e-05	1	-0.00823331	1.00004
1.91644e-05	1	-0.00823835	1.00004
1.98796e-05	1	-0.00824357	1.00004
2.06202e-05	1	-0.00824898	1.00004
2.1387e-05	1	-0.00825457	1.00004
2.2181e-05	1	-0.00826037	1.00004
2.30029e-05	1	-0.00826637	1.00004
2.38538e-05	1	-0.00827258	1.00004
2.47346e-05	1	-0.008279	1.00004
2.56463e-05	1	-0.00828565	1.00004
2.65899e-05	1	-0.00829254	1.00004
2.75665e-05	1	-0.00829966	1.00004
2.85771e-05	1	-0.00830704	1.00004
2.96228e-05	1	-0.00831467	1.00004
3.07049e-05	1	-0.00832256	1.00004
3.18244e-05	1	-0.00833073	1.00004
3.29826e-05	1	-0.00833917	1.00004
3.41808e-05	1	-0.00834791	1.00004
3.54202e-05	1	-0.00835695	1.00004
3.67022e-05	1	-0.0083663	1.00004
3.80281e-05	1	-0.00837597	1.00004
3.93993e-05	1	-0.00838597	1.00004
4.08173e-05	1	-0.00839631	1.00004
4.22836e-05	1	-0.008407	1.00004
4.37996e-05	1	-0.00841806	1.00004
4.5367e-05	1	-0.00842949	1.00004
4.69874e-05	0.999999	-0.0084413	1.00004
4.86625e-05	0.999999	-0.00845351	1.00004
5.03938e-05	0.999999	-0.00846613	1.00004
5.21833e-05	0.999999	-0.00847917	1.00004
5.40326e-05	0.999999	-0.00849265	1.00004
5.59437e-05	0.999999	-0.00850658	1.00004
5.79185e-05	0.999999	-0.00852097	1.00004
5.99588e-05	0.999999	-0.00853584	1.00004
6.20667e-05	0.999999	-0.00855119	1.00004
6.42443e-05	0.999999	-0.00856706	1.00004
6.64936e-05	0.999999	-0.00858344	1.00004
6.88169e-05	0.999999	-0.00860037	1.00004
7.12163e-05	0.999999	-0.00861784	1.00004
7.3694e-05	0.999999	-0.00863589	1.00004
7.62525e-05	0.999999	-0.00865452	1.00004
7.88941e-05	0.999999	-0.00867375	1.00004
8.16212e-05	0.999999	-0.0086936	1.00004
8.44363e-05	0.999999	-0.00871409	1.00004
8.73421e-05	0.999999	-0.00873524	1.00004
9.0341e-05	0.999999	-0.00875707	1.00004
9.34357e-05	0.999999	-0.00877959	1.00004
9.66291e-05	0.999999	-0.00880282	1.00004
9.99238e-05	0.999999	-0.00882679	1.00004
0.000103323	0.999999	-0.00885151	1.00005
0.000106829	0.999999	-0.00887701	1.00005
0.000110445	0.999999	-0.00890331	1.00005
0.000114174	0.999999	-0.00893042	1.00005
0.000118019	0.999999	-0.00895838	1.00005
0.000121984	0.999999	-0.00898719	1.00005
0.000126071	0.999999	-0.00901689	1.00005
0.000130283	0.999999	-0.0090475	1.00005
0.000134625	0.999998	-0.00907904	1.00005
0.000139098	0.999998	-0.00911153	1.00005
0.000143708	0.999998	-0.00914501	1.00005
0.000148456	0.999998	-0.00917948	1.00005
0.000153347	0.999998	-0.00921499	1.00005
0.000158384	0.999998	-0.00925154	1.00005
0.00016357	0.999998	-0.00928918	1.00005
0.000168909	0.999998	-0.00932791	1.00005
0.000174405	0.999998	-0.00936777	1.00005
0.000180061	0.999998	-0.00940879	1.00005
0.000185881	0.999998	-0.00945098	1.00005
0.000191868	0.999998	-0.00949438	1.00005
0.000198026	0.999998	-0.009539	1.00005
0.000204359	0.999998	-0.00958488	1.00005
0.000210871	0.999998	-0.00963204	1.00005
0.000217564	0.999997	-0.0096805	1.00005
0.000224443	0.999997	-0.0097303	1.00005
0.000231511	0.999997	-0.00978144	1.00005
0.000238772	0.999997	-0.00983397	1.00005
0.000246228	0.999997	-0.0098879	1.00005
0.000253885	0.999997	-0.00994325	1.00005
0.000261744	0.999997	-0.0100001	1.00005
0.000269809	0.999997	-0.0100583	1.00005
0.000278084	0.999997	-0.0101181	1.00006
0.000286571	0.999997	-0.0101794	1.00006
0.000295274	0.999996	-0.0102422	1.00006
0.000304195	0.999996	-0.0103066	1.00006
0.000313338	0.999996	-0.0103725	1.00006
0.000322705	0.999996	-0.0104401	1.00006
0.000332298	0.999996	-0.0105092	1.00006
0.000342121	0.999996	-0.01058	1.00006
0.000352174	0.999996	-0.0106524	1.00006
0.000362461	0.999996	-0.0107264	1.00006
0.000372984	0.999995	-0.0108021	1.00006
0.000383743	0.999995	-0.0108795	1.00006
0.000394741	0.999995	-0.0109586	1.00006
0.00040598	0.999995	-0.0110393	1.00006
0.00041746	0.999995	-0.0111218	1.00006
0.000429183	0.999995	-0.0112059	1.00007
0.000441149	0.999995	-0.0112918	1.00007
0.00045336	0.999994	-0.0113794	1.00007
0.000465816	0.999994	-0.0114687	1.00007
0.000478517	0.999994	-0.0115597	1.00007
0.000491464	0.999994	-0.0116524	1.00007
0.000504657	0.999994	-0.0117468	1.00007
0.000518097	0.999993	-0.011843	1.00007
0.000531782	0.999993	-0.0119408	1.00007
0.000545713	0.999993	-0.0120403	1.00007
0.000559889	0.999993	-0.0121416	1.00007
0.000574311	0.999993	-0.0122445	1.00008
0.000588977	0.999992	-0.0123491	1.00008
0.000603887	0.999992	-0.0124554	1.00008
0.00061904	0.999992	-0.0125634	1.00008
0.000634437	0.999992	-0.012673	1.00008
0.000650075	0.999991	-0.0127843	1.00008
0.000665954	0.999991	-0.0128972	1.00008
0.000682074	0.999991	-0.0130117	1.00008
0.000698433	0.999991	-0.0131279	1.00009
0.000715031	0.99999	-0.0132457	1.00009
0.000731867	0.99999	-0.0133651	1.00009
0.00074894	0.99999	-0.0134861	1.00009
0.00076625	0.99999	-0.0136086	1.00009
0.000783795	0.999989	-0.0137328	1.00009
0.000801574	0.999989	-0.0138585	1.00009
0.000819587	0.999989	-0.0139858	1.0001
0.000837834	0.999989	-0.0141147	1.0001
0.000856312	0.999988	-0.014245	1.0001
0.000875023	0.999988	-0.014377	1.0001
0.000893964	0.999988	-0.0145104	1.0001
0.000913135	0.999987	-0.0146454	1.0001
0.000932536	0.999987	-0.0147818	1.00011
0.000952166	0.999987	-0.0149198	1.00011
0.000972025	0.999986	-0.0150593	1.00011
0.000992111	0.999986	-0.0152002	1.00011
0.00101242	0.999986	-0.0153426	1.00011
0.00103296	0.999985	-0.0154865	1.00012
0.00105373	0.999985	-0.0156319	1.00012
0.00107472	0.999984	-0.0157787	1.00012
0.00109594	0.999984	-0.0159269	1.00012
0.00111739	0.999984	-0.0160766	1.00012
0.00113905	0.999983	-0.0162278	1.00013
0.00116094	0.999983	-0.0163803	1.00013
0.00118306	0.999982	-0.0165343	1.00013
0.0012054	0.999982	-0.0166897	1.00013
0.00122796	0.999982	-0.0168465	1.00013
