Q2:	2

u	fQ	dfQ/du	fQ^2 + (dfQ/du)^2/Q2
4.84808e-05	1	-0.00982919	1.00005
5.0221e-05	1	-0.00984122	1.00005
5.20201e-05	1	-0.00985366	1.00005
5.388e-05	1	-0.00986651	1.00005
5.58024e-05	1	-0.0098798	1.00005
5.77895e-05	1	-0.00989353	1.00005
5.9843e-05	1	-0.00990772	1.00005
6.19652e-05	1	-0.00992239	1.00005
6.41581e-05	1	-0.00993754	1.00005
6.64238e-05	1	-0.00995319	1.00005
6.87645e-05	1	-0.00996936	1.00005
7.11826e-05	1	-0.00998606	1.00005
7.36802e-05	1	-0.0100033	1.00005
7.62598e-05	1	-0.0100211	1.00005
7.89238e-05	1	-0.0100395	1.00005
8.16747e-05	1	-0.0100585	1.00005
8.4515e-05	1	-0.0100781	1.00005
8.74473e-05	0.999999	-0.0100984	1.00005
9.04743e-05	0.999999	-0.0101193	1.00005
9.35986e-05	0.999999	-0.0101408	1.00005
9.68231e-05	0.999999	-0.0101631	1.00005
0.00010015	0.999999	-0.010186	1.00005
0.000103584	0.999999	-0.0102097	1.00005
0.000107126	0.999999	-0.0102342	1.00005
0.000110779	0.999999	-0.0102594	1.00005
0.000114548	0.999999	-0.0102853	1.00005
0.000118434	0.999999	-0.0103121	1.00005
0.000122442	0.999999	-0.0103398	1.00005
0.000126573	0.999999	-0.0103682	1.00005
0.000130832	0.999999	-0.0103976	1.00005
0.000135222	0.999999	-0.0104278	1.00005
0.000139746	0.999999	-0.010459	1.00005
0.000144407	0.999999	-0.0104911	1.00005
0.000149209	0.999999	-0.0105242	1.00005
0.000154155	0.999999	-0.0105582	1.00005
0.000159249	0.999999	-0.0105933	1.00005
0.000164494	0.999998	-0.0106294	1.00005
0.000169894	0.999998	-0.0106666	1.00005
0.000175452	0.999998	-0.0107048	1.00005
0.000181171	0.999998	-0.0107441	1.00005
0.000187056	0.999998	-0.0107846	1.00005
0.000193109	0.999998	-0.0108262	1.00005
0.000199334	0.999998	-0.010869	1.00005
0.000205736	0.999998	-0.010913	1.00006
0.000212316	0.999998	-0.0109582	1.00006
0.000219079	0.999998	-0.0110047	1.00006
0.000226028	0.999998	-0.0110524	1.00006
0.000233166	0.999997	-0.0111014	1.00006
0.000240497	0.999997	-0.0111517	1.00006
0.000248024	0.999997	-0.0112033	1.00006
0.00025575	0.999997	-0.0112563	1.00006
0.000263677	0.999997	-0.0113107	1.00006
0.00027181	0.999997	-0.0113664	1.00006
0.000280151	0.999997	-0.0114235	1.00006
0.000288702	0.999997	-0.0114821	1.00006
0.000297467	0.999997	-0.0115421	1.00006
0.000306447	0.999996	-0.0116036	1.00006
0.000315645	0.999996	-0.0116665	1.00006
0.000325064	0.999996	-0.011731	1.00006
0.000334705	0.999996	-0.0117969	1.00006
0.00034457	0.999996	-0.0118643	1.00006
0.000354662	0.999996	-0.0119333	1.00006
0.000364981	0.999996	-0.0120037	1.00006
0.00037553	0.999995	-0.0120758	1.00006
0.000386308	0.999995	-0.0121493	1.00006
0.000397319	0.999995	-0.0122244	1.00006
0.000408561	0.999995	-0.0123011	1.00007
0.000420037	0.999995	-0.0123793	1.00007
0.000431747	0.999995	-0.012459	1.00007
0.000443691	0.999994	-0.0125404	1.00007
0.000455869	0.999994	-0.0126232	1.00007
0.000468282	0.999994	-0.0127077	1.00007
0.00048093	0.999994	-0.0127937	1.00007
0.000493813	0.999994	-0.0128812	1.00007
0.00050693	0.999993	-0.0129703	1.00007
0.000520282	0.999993	-0.0130609	1.00007
0.000533867	0.999993	-0.0131531	1.00007
0.000547685	0.999993	-0.0132468	1.00007
0.000561736	0.999992	-0.013342	1.00007
0.000576019	0.999992	-0.0134388	1.00007
0.000590534	0.999992	-0.0135371	1.00008
0.000605279	0.999992	-0.0136368	1.00008
0.000620254	0.999991	-0.0137381	1.00008
0.000635458	0.999991	-0.0138408	1.00008
0.000650891	0.999991	-0.0139451	1.00008
0.000666552	0.999991	-0.0140508	1.00008
0.000682439	0.99999	-0.014158	1.00008
0.000698552	0.99999	-0.0142666	1.00008
0.00071489	0.99999	-0.0143767	1.00008
0.000731452	0.99999	-0.0144882	1.00008
0.000748239	0.999989	-0.0146011	1.00009
0.000765248	0.999989	-0.0147155	1.00009
0.000782479	0.999989	-0.0148313	1.00009
0.000799931	0.999988	-0.0149485	1.00009
0.000817605	0.999988	-0.015067	1.00009
0.000835498	0.999988	-0.015187	1.00009
0.000853611	0.999987	-0.0153084	1.00009
0.000871942	0.999987	-0.0154311	1.00009
0.000890492	0.999987	-0.0155553	1.00009
0.000909259	0.999986	-0.0156807	1.0001
0.000928244	0.999986	-0.0158076	1.0001
0.000947445	0.999986	-0.0159358	1.0001
0.000966862	0.999985	-0.0160653	1.0001
0.000986495	0.999985	-0.0161962	1.0001
0.00100634	0.999985	-0.0163284	1.0001
0.00102641	0.999984	-0.0164619	1.0001
0.00104668	0.999984	-0.0165968	1.00011
0.00106718	0.999983	-0.0167329	1.00011
0.00108788	0.999983	-0.0168704	1.00011
0.0011088	0.999983	-0.0170092	1.00011
0.00112993	0.999982	-0.0171493	1.00011
0.00115128	0.999982	-0.0172907	1.00011
0.00117283	0.999981	-0.0174333	1.00011
0.0011946	0.999981	-0.0175773	1.00012
0.00121659	0.999981	-0.0177225	1.00012
0.00123878	0.99998	-0.017869	1.00012
0.00126119	0.99998	-0.0180167	1.00012
0.0012838	0.999979	-0.0181657	1.00012
0.00130663	0.999979	-0.018316	1.00013
0.00132967	0.999978	-0.0184676	1.00013
0.00135292	0.999978	-0.0186203	1.00013
0.00137638	0.999977	-0.0187744	1.00013
0.00140006	0.999977	-0.0189296	1.00013
0.00142394	0.999976	-0.0190861	1.00013
0.00144803	0.999976	-0.0192438	1.00014
0.00147234	0.999975	-0.0194028	1.00014
0.00149685	0.999975	-0.019563	1.00014
0.00152157	0.999974	-0.0197243	1.00014
0.00154651	0.999974	-0.0198869	1.00014
0.00157165	0.999973	-0.0200508	1.00015
0.00159701	0.999972	-0.0202158	1.00015
0.00162257	0.999972	-0.020382	1.00015
0.00164834	0.999971	-0.0205494	1.00015
0.00167433	0.999971	-0.020718	1.00016
0.00170052	0.99997	-0.0208877	1.00016
0.00172692	0.999969	-0.0210587	1.00016
