Q2:	5

z	fQ	dfQ/dz	fQ^2 + (dfQ/dz)^2/Q2
0.000130964	1	-0.0138802	1.00004
0.000135326	1	-0.0139988	1.00004
0.000139821	1	-0.014121	1.00004
0.000144453	1	-0.0142468	1.00004
0.000149223	1	-0.0143764	1.00004
0.000154137	1	-0.0145099	1.00004
0.000159197	1	-0.0146472	1.00004
0.000164408	0.999999	-0.0147886	1.00004
0.000169771	0.999999	-0.014934	1.00004
0.000175292	0.999999	-0.0150837	1.00004
0.000180974	0.999999	-0.0152377	1.00004
0.00018682	0.999999	-0.0153961	1.00005
0.000192835	0.999999	-0.0155589	1.00005
0.000199021	0.999999	-0.0157263	1.00005
0.000205382	0.999999	-0.0158984	1.00005
0.000211922	0.999999	-0.0160752	1.00005
0.000218644	0.999998	-0.0162568	1.00005
0.000225553	0.999998	-0.0164434	1.00005
0.000232651	0.999998	-0.016635	1.00005
0.000239943	0.999998	-0.0168317	1.00005
0.000247431	0.999998	-0.0170336	1.00005
0.000255119	0.999998	-0.0172408	1.00005
0.000263011	0.999998	-0.0174534	1.00006
0.000271109	0.999997	-0.0176713	1.00006
0.000279417	0.999997	-0.0178948	1.00006
0.000287939	0.999997	-0.0181239	1.00006
0.000296676	0.999997	-0.0183586	1.00006
0.000305633	0.999997	-0.018599	1.00006
0.000314811	0.999996	-0.0188453	1.00006
0.000324213	0.999996	-0.0190973	1.00007
0.000333843	0.999996	-0.0193553	1.00007
0.000343702	0.999996	-0.0196192	1.00007
0.000353792	0.999996	-0.0198891	1.00007
0.000364116	0.999995	-0.020165	1.00007
0.000374676	0.999995	-0.020447	1.00007
0.000385474	0.999995	-0.0207352	1.00008
0.00039651	0.999995	-0.0210294	1.00008
0.000407787	0.999994	-0.0213298	1.00008
0.000419305	0.999994	-0.0216364	1.00008
0.000431066	0.999994	-0.0219492	1.00008
0.000443071	0.999993	-0.0222681	1.00009
0.000455321	0.999993	-0.0225933	1.00009
0.000467816	0.999993	-0.0229246	1.00009
0.000480556	0.999992	-0.0232621	1.00009
0.000493542	0.999992	-0.0236059	1.0001
0.000506774	0.999992	-0.0239557	1.0001
0.000520252	0.999991	-0.0243117	1.0001
0.000533977	0.999991	-0.0246739	1.0001
0.000547947	0.999991	-0.0250421	1.00011
0.000562162	0.99999	-0.0254164	1.00011
0.000576622	0.99999	-0.0257967	1.00011
0.000591327	0.999989	-0.026183	1.00012
0.000606276	0.999989	-0.0265753	1.00012
0.000621468	0.999989	-0.0269735	1.00012
0.000636902	0.999988	-0.0273777	1.00013
0.000652579	0.999988	-0.0277876	1.00013
0.000668496	0.999987	-0.0282034	1.00013
0.000684654	0.999987	-0.0286249	1.00014
0.000701051	0.999986	-0.0290521	1.00014
0.000717687	0.999986	-0.029485	1.00015
0.00073456	0.999985	-0.0299235	1.00015
0.000751671	0.999985	-0.0303676	1.00015
0.000769017	0.999984	-0.0308173	1.00016
0.000786599	0.999983	-0.0312724	1.00016
0.000804416	0.999983	-0.031733	1.00017
0.000822466	0.999982	-0.032199	1.00017
0.000840749	0.999982	-0.0326703	1.00018
