u	psi
0.000211761	6.33239e-06
0.000403458	2.53781e-05
0.000978539	5.69497e-05
0.00193697	0.000100609
0.00327868	0.000155825
0.00500361	0.000222078
0.00711163	0.000298852
0.00960262	0.000385666
0.0124764	0.000482053
0.0157329	0.000587568
0.0193718	0.000701786
0.0233929	0.000824294
0.0277959	0.000954701
0.0325807	0.00109262
0.0377468	0.00123768
0.0432941	0.0013895
0.049222	0.00154776
0.0555304	0.00171208
0.0622187	0.00188214
0.0692866	0.00205758
0.0767336	0.0022381
0.0845593	0.00242332
0.0927632	0.00261297
0.101345	0.00280667
0.110304	0.00300414
0.119639	0.00320502
0.12935	0.00340903
0.139437	0.00361578
0.149899	0.00382504
0.160734	0.00403638
0.171944	0.00424957
0.183526	0.00446418
0.19548	0.00467999
0.207805	0.00489655
0.220502	0.00511365
0.233567	0.00533082
0.247002	0.00554785
0.260806	0.00576426
0.274976	0.00597985
0.289513	0.00619412
0.304415	0.00640687
0.319682	0.00661758
0.335313	0.00682608
0.351307	0.00703182
0.367662	0.00723463
0.384379	0.00743395
0.401455	0.00762963
0.41889	0.0078211
0.436682	0.00800822
0.454831	0.00819039
0.473336	0.00836751
0.492195	0.00853897
0.511408	0.00870469
0.530973	0.00886404
0.550889	0.00901699
0.571155	0.0091629
0.591771	0.00930176
0.612734	0.00943294
0.634043	0.00955648
0.655699	0.00967173
0.677699	0.00977879
0.700042	0.00987703
0.722728	0.00996659
0.745755	0.0100468
0.769123	0.010118
0.792831	0.0101794
0.816877	0.0102314
0.841262	0.0102734
0.865983	0.0103056
0.891041	0.0103276
0.916436	0.0103398
0.942166	0.0103415
0.968232	0.0103334
0.994633	0.0103148
1.02137	0.0102863
1.04844	0.0102475
1.07585	0.010199
1.1036	0.0101404
1.13168	0.0100723
1.1601	0.0099943
1.18886	0.00990727
1.21797	0.00981076
1.24741	0.00970567
1.27721	0.00959158
1.30735	0.00946946
1.33784	0.00933892
1.36869	0.00920099
1.3999	0.00905529
1.43148	0.00890291
1.46342	0.00874347
1.49574	0.0085781
1.52844	0.00840641
1.56152	0.00822959
1.595	0.00804724
1.62889	0.00786058
1.66318	0.00766916
1.69789	0.00747425
1.73304	0.00727538
1.76862	0.00707381
1.80466	0.00686904
1.84117	0.00666236
1.87815	0.0064532
1.91563	0.00624285
1.95361	0.0060307
1.99212	0.00581804
2.03117	0.00560419
2.07077	0.00539045
2.11096	0.00517605
2.15175	0.00496229
2.19315	0.00474836
2.2352	0.00453551
2.27792	0.00432287
2.32133	0.00411169
2.36546	0.00390101
2.41034	0.00369209
2.456	0.00348388
2.50246	0.00327763
2.54977	0.00307223
2.59796	0.00286891
2.64705	0.00266649
2.6971	0.00246619
2.74814	0.00226676
2.80021	0.00206942
2.85336	0.00187285
2.90763	0.00167823
2.96307	0.00148421
3.01973	0.00129195
3.07767	0.0011
3.13693	0.000909508
3.19757	0.00071896
3.25966	0.000529461
3.32325	0.000339398
3.3884	0.000149827
3.45519	-4.09801e-05
3.52368	-0.000232046
3.59393	-0.000425244
3.66602	-0.000619713
3.74002	-0.000817512
3.816	-0.00101794
3.89404	-0.00122329
3.97422	-0.0014331
4.05659	-0.00164994
4.14126	-0.00187363
4.22828	-0.00210714
4.31773	-0.00235063
4.40969	-0.00260751
4.50422	-0.00287839
4.60141	-0.00316718
4.70132	-0.00347499
4.80402	-0.00380632
4.90957	-0.00416284
5.01805	-0.00454969
5.1295	-0.00496915
5.244	-0.00542702
5.3616	-0.00592625
5.48236	-0.00647334
5.60633	-0.00707193
5.73357	-0.00772929
5.86413	-0.00844979
5.99806	-0.00924151
6.13541	-0.0101097
6.27622	-0.0110632
6.42055	-0.0121083
6.56843	-0.0132548
6.7199	-0.01451
6.87501	-0.0158849
7.03379	-0.0173878
7.19628	-0.019031
7.3625	-0.020824
7.53249	-0.0227803
7.70629	-0.0249107
7.8839	-0.0272301
8.06537	-0.0297504
8.2507	-0.0324877
8.43992	-0.0354553
8.63304	-0.0386702
8.83009	-0.0421468
9.03106	-0.0459031
9.23598	-0.0499541
9.44485	-0.0543186
9.65768	-0.0590121
9.87447	-0.0640534
10.0952	-0.0694582
10.3199	-0.0752451
10.5486	-0.081429
10.7812	-0.0880278
11.0178	-0.0950553
11.2583	-0.102528
11.5028	-0.110457
11.7511	-0.118856
12.0034	-0.127735
12.2596	-0.137104
