u	psi
0.000211761	7.07402e-07
0.000419675	3.52987e-06
0.00104341	9.9997e-06
0.00208291	2.18429e-05
0.00353813	4.0667e-05
0.00540898	6.81121e-05
0.00769533	0.000105737
0.0103971	0.000155123
0.013514	0.000217803
0.0170459	0.000295306
0.0209926	0.000389148
0.0253539	0.00050081
0.0301294	0.000631796
0.035319	0.000783535
0.0409221	0.000957526
0.0469387	0.00115514
0.0533681	0.00137787
0.0602101	0.00162704
0.0674642	0.00190413
0.0751301	0.0022104
0.0832071	0.00254735
0.0916948	0.00291615
0.100593	0.0033183
0.1099	0.00375491
0.119617	0.00422748
0.129742	0.00473705
0.140275	0.00528512
0.151215	0.00587264
0.162562	0.00650113
0.174314	0.00717144
0.186472	0.00788513
0.199033	0.00864292
0.211999	0.00944641
0.225367	0.0102962
0.239137	0.011194
0.253308	0.0121403
0.26788	0.0131366
0.282851	0.0141836
0.29822	0.0152828
0.313986	0.0164346
0.330149	0.0176408
0.346708	0.0189017
0.363661	0.020219
0.381007	0.021593
0.398746	0.0230255
0.416876	0.0245168
0.435396	0.0260688
0.454305	0.0276818
0.473602	0.0293578
0.493286	0.0310971
0.513355	0.0329019
0.533808	0.0347725
0.554644	0.0367114
0.575862	0.0387189
0.59746	0.0407979
0.619437	0.0429487
0.641791	0.0451744
0.664522	0.0474756
0.687628	0.0498559
0.711107	0.0523158
0.734958	0.0548595
0.75918	0.0574879
0.783771	0.0602053
0.808729	0.0630131
0.834053	0.0659161
0.859741	0.0689159
0.885793	0.0720179
0.912205	0.0752242
0.938977	0.0785406
0.966107	0.0819694
0.993593	0.0855172
1.02143	0.0891866
1.04963	0.0929848
1.07817	0.0969146
1.10707	0.100984
1.13631	0.105195
1.1659	0.109557
1.19583	0.114073
1.2261	0.118752
1.25671	0.123596
1.28767	0.128615
1.31895	0.133812
1.35058	0.139196
1.38253	0.144771
1.41482	0.150544
1.44743	0.156519
1.48037	0.162704
1.51364	0.169102
1.54723	0.17572
1.58114	0.18256
1.61536	0.189628
1.64991	0.196925
1.68476	0.204457
1.71993	0.212223
1.75541	0.220226
1.7912	0.228463
1.82729	0.236936
1.86368	0.245641
1.90038	0.254577
1.93737	0.263735
1.97466	0.273113
2.01225	0.2827
2.05012	0.292488
2.08829	0.302464
2.12674	0.312618
2.16548	0.32293
2.2045	0.333387
2.2438	0.343965
2.28338	0.354646
2.32323	0.365401
2.36335	0.376209
2.40375	0.387033
2.44441	0.397848
2.48534	0.408614
2.52652	0.419297
2.56797	0.429853
2.60968	0.440242
2.65164	0.450416
2.69386	0.460328
2.73632	0.469925
2.77903	0.479156
2.82199	0.48796
2.86518	0.496284
2.90862	0.504063
2.95229	0.511238
2.9962	0.517741
3.04034	0.523512
3.0847	0.528478
3.12929	0.532578
3.17411	0.535741
3.21914	0.537904
3.26439	0.538997
3.30986	0.538961
3.35554	0.537728
3.40142	0.535245
3.44752	0.531451
3.49381	0.526298
3.54031	0.519734
3.587	0.511724
3.63389	0.502225
3.68097	0.491216
3.72824	0.478669
3.77569	0.464578
3.82333	0.448932
3.87115	0.431742
3.91914	0.413016
3.96731	0.392786
4.01565	0.37108
4.06416	0.347949
4.11283	0.323442
4.16166	0.297633
4.21066	0.270589
4.25981	0.242405
4.30911	0.213168
4.35857	0.182989
4.40817	0.151974
4.45791	0.12025
4.50779	0.0879358
4.55782	0.0551706
4.60797	0.0220838
4.65826	-0.0111771
4.70868	-0.0444768
4.75922	-0.0776645
4.80989	-0.110603
4.86067	-0.143143
4.91157	-0.175152
4.96259	-0.206484
5.01371	-0.237014
5.06494	-0.266609
5.11627	-0.295155
5.16771	-0.322531
5.21924	-0.348641
5.27086	-0.373381
5.32258	-0.396672
5.37438	-0.41843
5.42627	-0.438597
5.47823	-0.457111
5.53028	-0.473935
5.5824	-0.489028
5.63459	-0.502376
5.68685	-0.51396
5.73918	-0.523788
5.79157	-0.531862
5.84401	-0.538209
5.89651	-0.542851
5.94907	-0.545833
6.00167	-0.547195
6.05432	-0.546999
6.10701	-0.545298
6.15974	-0.542167
6.2125	-0.537671
6.2653	-0.531896
6.31813	-0.524915
6.37098	-0.516821
6.42385	-0.507692
6.47675	-0.497625
6.52966	-0.486702
6.58259	-0.47502
6.63552	-0.46266
6.68846	-0.449719
6.74141	-0.436274
6.79435	-0.422418
6.84729	-0.408224
6.90023	-0.393779
6.95315	-0.379149
7.00607	-0.364415
7.05896	-0.349634
7.11184	-0.334877
7.16469	-0.320197
7.21752	-0.305653
7.27032	-0.291288
7.32308	-0.277156
7.37581	-0.263287
7.4285	-0.249727
7.48115	-0.236498
7.53375	-0.223636
7.5863	-0.211156
7.63881	-0.199085
7.69125	-0.187431
7.74364	-0.176214
7.79596	-0.165435
7.84822	-0.155106
7.90042	-0.145223
7.95254	-0.135794
8.00458	-0.126808
8.05655	-0.118269
8.10844	-0.110163
8.16024	-0.10249
8.21195	-0.095232
8.26358	-0.088386
8.31511	-0.0819328
8.36654	-0.0758669
8.41788	-0.0701675
8.46911	-0.0648279
8.52023	-0.0598262
8.57124	-0.0551551
8.62214	-0.0507922
8.67293	-0.04673
8.72359	-0.0429463
8.77414	-0.0394336
8.82455	-0.0361702
8.87484	-0.033149
8.925	-0.030349
8.97502	-0.0277638
9.02491	-0.0253734
9.07465	-0.0231722
9.12425	-0.0211411
9.17371	-0.0192755
9.22301	-0.0175575
9.27216	-0.0159834
9.32115	-0.0145365
9.36999	-0.0132139
9.41866	-0.0120001
9.46717	-0.0108934
9.51551	-0.00987914
9.56368	-0.00895651
9.61167	-0.00811205
9.65949	-0.00734569
9.70712	-0.00664497
9.75458	-0.00601059
9.80185	-0.005431
9.84893	-0.00490758
9.89582	-0.0044296
9.94251	-0.00399905
9.989	-0.00360596
10.0353	-0.00325281
10.0814	-0.00293035
10.1273	-0.00264149
10.173	-0.00237759
10.2184	-0.00214192
10.2637	-0.00192639
10.3087	-0.00173458
10.3535	-0.00155888
10.3981	-0.00140312
10.4425	-0.00126014
10.4866	-0.00113393
10.5305	-0.00101773
10.5742	-0.00091567
10.6176	-0.000821339
10.6608	-0.000738976
10.7038	-0.000662469
10.7465	-0.000596123
10.789	-0.000534109
10.8312	-0.000480763
10.8731	-0.000430512
10.9148	-0.000387698
10.9563	-0.000346979
10.9975	-0.000312679
11.0384	-0.000279672
11.0791	-0.000252246
11.1195	-0.000225473
11.1596	-0.000203586
11.1994	-0.000181845
11.239	-0.000164417
11.2783	-0.000146736
11.3173	-0.000132893
11.3561	-0.000118485
11.3945	-0.00010752
11.4327	-9.57516e-05
11.4706	-8.70937e-05
11.5082	-7.74537e-05
11.5454	-7.06446e-05
11.5824	-6.27206e-05
11.6191	-5.73911e-05
11.6555	-5.0852e-05
11.6916	-4.67052e-05
11.7274	-4.12847e-05
11.7629	-3.80821e-05
11.7981	-3.35664e-05
11.8329	-3.11167e-05
11.8675	-2.73343e-05
11.9017	-2.54839e-05
11.9356	-2.22968e-05
11.9692	-2.09227e-05
12.0024	-1.82203e-05
12.0354	-1.72238e-05
12.068	-1.49173e-05
12.1003	-1.42192e-05
12.1322	-1.22374e-05
12.1639	-1.17744e-05
12.1952	-1.00598e-05
12.2261	-9.781e-06
12.2567	-8.28768e-06
12.287	-8.15233e-06
12.3169	-6.84307e-06
12.3465	-6.81858e-06
12.3758	-5.66345e-06
12.4046	-5.72367e-06
12.4332	-4.69847e-06
12.4614	-4.82245e-06
12.4892	-3.90759e-06
12.5167	-4.07856e-06
12.5438	-3.25815e-06
12.5706	-3.46269e-06
12.597	-2.72379e-06
12.6231	-2.95117e-06
12.6488	-2.28319e-06
12.6741	-2.52487e-06
12.699	-1.91913e-06
12.7236	-2.16829e-06
12.7479	-1.61762e-06
12.7717	-1.86887e-06
12.7952	-1.36733e-06
12.8183	-1.61643e-06
12.841	-1.15904e-06
12.8634	-1.40265e-06
12.8854	-9.8524e-07
12.907	-1.22079e-06
12.9282	-8.39806e-07
12.949	-1.06534e-06
12.9695	-7.17732e-07
12.9895	-9.31777e-07
13.0092	-6.14919e-07
13.0285	-8.16423e-07
13.0474	-5.28008e-07
13.0659	-7.16255e-07
13.0841	-4.54243e-07
13.1018	-6.28794e-07
13.1192	-3.91358e-07
13.1361	-5.52007e-07
13.1527	-3.37493e-07
13.1688	-4.84224e-07
13.1846	-2.91119e-07
13.2	-4.2408e-07
13.2149	-2.50982e-07
13.2295	-3.70454e-07
13.2437	-2.16055e-07
13.2574	-3.22436e-07
13.2708	-1.85498e-07
13.2838	-2.79283e-07
13.2963	-1.58631e-07
13.3085	-2.40397e-07
13.3203	-1.34904e-07
13.3316	-2.053e-07
13.3425	-1.13877e-07
13.3531	-1.73613e-07
13.3632	-9.52012e-08
13.3729	-1.45038e-07
13.3822	-7.86048e-08
13.3911	-1.19347e-07
13.3996	-6.38794e-08
13.4077	-9.63709e-08
13.4154	-5.08684e-08
13.4226	-7.59829e-08
13.4294	-3.94578e-08
13.4359	-5.80954e-08
13.4419	-2.95669e-08
13.4475	-4.2649e-08
13.4527	-2.11416e-08
13.4575	-2.96063e-08
13.4618	-1.41472e-08
13.4658	-1.8946e-08
13.4693	-8.56371e-09
13.4724	-1.06576e-08
13.4751	-4.38041e-09
13.4774	-4.73714e-09
13.4793	-1.59267e-09
13.4807	-1.18439e-09
13.4818	-1.98942e-10
