A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-79.9933	-1.00368e-36	125.538	999.654	-1.00982e-36	-1.50458	-23.1471	-1.01608e-36	-5.62137e-05	0.25046	0.0100198
-79.9833	-1.01383e-36	125.523	999.423	-1.02003e-36	-1.50458	-23.1446	-1.02636e-36	-5.62275e-05	0.250464	0.00735164
-79.9733	-1.02408e-36	125.508	999.191	-1.03035e-36	-1.50459	-23.1421	-1.03674e-36	-5.62413e-05	0.250468	-0.0112416
-79.9633	-1.03443e-36	125.493	998.96	-1.04077e-36	-1.50459	-23.1396	-1.04722e-36	-5.62552e-05	0.250472	-0.0223617
-79.9533	-1.04489e-36	125.478	998.728	-1.05129e-36	-1.50459	-23.1371	-1.05781e-36	-5.6269e-05	0.250475	-0.00909336
-79.9433	-1.05546e-36	125.463	998.497	-1.06193e-36	-1.50459	-23.1346	-1.06851e-36	-5.62828e-05	0.250478	0.0091756
-79.9333	-1.06613e-36	125.447	998.266	-1.07267e-36	-1.50459	-23.1321	-1.07932e-36	-5.62967e-05	0.250482	0.00724245
-79.9233	-1.07691e-36	125.432	998.034	-1.08351e-36	-1.50459	-23.1296	-1.09023e-36	-5.63105e-05	0.250486	-0.0111886
-79.9133	-1.0878e-36	125.417	997.803	-1.09447e-36	-1.50459	-23.1271	-1.10126e-36	-5.63243e-05	0.25049	-0.0224381
-79.9033	-1.0988e-36	125.402	997.572	-1.10554e-36	-1.50459	-23.1246	-1.1124e-36	-5.63382e-05	0.250493	-0.00949923
-79.8933	-1.10992e-36	125.387	997.341	-1.11672e-36	-1.50459	-23.1221	-1.12365e-36	-5.63521e-05	0.250497	0.00882059
-79.8833	-1.12114e-36	125.372	997.109	-1.12801e-36	-1.50459	-23.1196	-1.13501e-36	-5.63659e-05	0.250501	0.00700949
-79.8733	-1.13248e-36	125.357	996.878	-1.13942e-36	-1.50459	-23.117	-1.14649e-36	-5.63798e-05	0.250505	-0.00838162
-79.8633	-1.14393e-36	125.342	996.647	-1.15094e-36	-1.50459	-23.1145	-1.15809e-36	-5.63937e-05	0.250508	-0.0212034
-79.8533	-1.1555e-36	125.327	996.416	-1.16258e-36	-1.50459	-23.112	-1.1698e-36	-5.64075e-05	0.250512	-0.0129255
-79.8433	-1.16718e-36	125.312	996.185	-1.17434e-36	-1.50459	-23.1095	-1.18163e-36	-5.64214e-05	0.250515	0.00844115
-79.8333	-1.17898e-36	125.297	995.954	-1.18621e-36	-1.50459	-23.107	-1.19358e-36	-5.64353e-05	0.250519	0.00778429
-79.8233	-1.1909e-36	125.282	995.723	-1.19821e-36	-1.50459	-23.1045	-1.20565e-36	-5.64492e-05	0.250523	-0.00709786
-79.8133	-1.20295e-36	125.267	995.492	-1.21033e-36	-1.50459	-23.102	-1.21784e-36	-5.64631e-05	0.250527	-0.0206898
