A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-9.99	-6.84896e-06	19.4608	34.5241	-7.15799e-06	-1.53347	-3.79622	-7.5079e-06	-0.00288624	0.0310876	-0.00218496
-9.98	-6.92091e-06	19.4454	34.4862	-7.23346e-06	-1.5335	-3.7959	-7.5874e-06	-0.00289067	0.0310657	-0.0021968
-9.97	-6.99363e-06	19.4301	34.4482	-7.30974e-06	-1.53353	-3.79559	-7.66773e-06	-0.00289511	0.0310436	-0.00220894
-9.96	-7.06711e-06	19.4148	34.4102	-7.38682e-06	-1.53355	-3.79528	-7.74893e-06	-0.00289956	0.0310215	-0.00222113
-9.95	-7.14137e-06	19.3994	34.3723	-7.46472e-06	-1.53358	-3.79497	-7.83098e-06	-0.00290402	0.0309992	-0.00223301
-9.94	-7.21641e-06	19.3841	34.3343	-7.54344e-06	-1.53361	-3.79466	-7.91391e-06	-0.00290848	0.0309768	-0.00224519
-9.93	-7.29224e-06	19.3687	34.2964	-7.623e-06	-1.53364	-3.79435	-7.99772e-06	-0.00291296	0.0309543	-0.00225742
-9.92	-7.36887e-06	19.3534	34.2585	-7.7034e-06	-1.53367	-3.79404	-8.08242e-06	-0.00291744	0.0309317	-0.00226933
-9.91	-7.44631e-06	19.3381	34.2205	-7.78465e-06	-1.5337	-3.79374	-8.16803e-06	-0.00292193	0.0309089	-0.00228153
-9.9	-7.52456e-06	19.3227	34.1826	-7.86676e-06	-1.53373	-3.79343	-8.25454e-06	-0.00292643	0.0308861	-0.00229379
-9.89	-7.60365e-06	19.3074	34.1447	-7.94974e-06	-1.53376	-3.79312	-8.34198e-06	-0.00293093	0.0308631	-0.00230575
-9.88	-7.68356e-06	19.2921	34.1067	-8.03361e-06	-1.53379	-3.79281	-8.43034e-06	-0.00293545	0.0308399	-0.00231788
-9.87	-7.76432e-06	19.2767	34.0688	-8.11835e-06	-1.53382	-3.7925	-8.51965e-06	-0.00293997	0.0308167	-0.00233028
-9.86	-7.84593e-06	19.2614	34.0309	-8.204e-06	-1.53385	-3.79219	-8.60991e-06	-0.0029445	0.0307933	-0.00234228
-9.85	-7.9284e-06	19.246	33.993	-8.29056e-06	-1.53388	-3.79189	-8.70113e-06	-0.00294904	0.0307699	-0.00235458
-9.84	-8.01175e-06	19.2307	33.955	-8.37803e-06	-1.53391	-3.79158	-8.79332e-06	-0.00295359	0.0307462	-0.00236669
-9.83	-8.09597e-06	19.2154	33.9171	-8.46643e-06	-1.53393	-3.79127	-8.88649e-06	-0.00295814	0.0307225	-0.00237891
-9.82	-8.18108e-06	19.2	33.8792	-8.55576e-06	-1.53396	-3.79096	-8.98065e-06	-0.00296271	0.0306987	-0.00239115
-9.81	-8.26709e-06	19.1847	33.8413	-8.64604e-06	-1.53399	-3.79066	-9.07582e-06	-0.00296728	0.0306747	-0.00240328
-9.8	-8.354e-06	19.1693	33.8034	-8.73728e-06	-1.53402	-3.79035	-9.172e-06	-0.00297186	0.0306506	-0.00241563
-9.79	-8.44184e-06	19.154	33.7655	-8.82948e-06	-1.53405	-3.79004	-9.2692e-06	-0.00297645	0.0306264	-0.00242769
-9.78	-8.5306e-06	19.1387	33.7276	-8.92267e-06	-1.53408	-3.78974	-9.36744e-06	-0.00298105	0.0306021	-0.00244012
-9.77	-8.62029e-06	19.1233	33.6897	-9.01684e-06	-1.53411	-3.78943	-9.46672e-06	-0.00298566	0.0305776	-0.00245215
-9.76	-8.71094e-06	19.108	33.6518	-9.11201e-06	-1.53414	-3.78913	-9.56706e-06	-0.00299027	0.030553	-0.00246462
-9.75	-8.80254e-06	19.0926	33.6139	-9.20818e-06	-1.53417	-3.78882	-9.66847e-06	-0.00299489	0.0305283	-0.00247665
-9.74	-8.8951e-06	19.0773	33.576	-9.30538e-06	-1.5342	-3.78851	-9.77096e-06	-0.00299952	0.0305035	-0.00248912
-9.73	-8.98865e-06	19.062	33.5381	-9.4036e-06	-1.53423	-3.78821	-9.87455e-06	-0.00300416	0.0304785	-0.00250119
-9.72	-9.08318e-06	19.0466	33.5003	-9.50287e-06	-1.53426	-3.78791	-9.97923e-06	-0.00300881	0.0304535	-0.0025136
-9.71	-9.17871e-06	19.0313	33.4624	-9.60319e-06	-1.53429	-3.7876	-1.0085e-05	-0.00301347	0.0304283	-0.00252576
-9.7	-9.27525e-06	19.0159	33.4245	-9.70458e-06	-1.53432	-3.7873	-1.0192e-05	-0.00301813	0.0304029	-0.00253807
-9.69	-9.3728e-06	19.0006	33.3866	-9.80704e-06	-1.53435	-3.78699	-1.03e-05	-0.0030228	0.0303775	-0.00255033
-9.68	-9.47139e-06	18.9852	33.3488	-9.91058e-06	-1.53438	-3.78669	-1.04092e-05	-0.00302749	0.0303519	-0.00256256
-9.67	-9.57102e-06	18.9699	33.3109	-1.00152e-05	-1.53441	-3.78639	-1.05196e-05	-0.00303218	0.0303262	-0.00257492
-9.66	-9.6717e-06	18.9546	33.273	-1.0121e-05	-1.53444	-3.78608	-1.06312e-05	-0.00303687	0.0303004	-0.00258706
-9.65	-9.77344e-06	18.9392	33.2352	-1.02279e-05	-1.53447	-3.78578	-1.07439e-05	-0.00304158	0.0302745	-0.0025995
-9.64	-9.87626e-06	18.9239	33.1973	-1.03359e-05	-1.53451	-3.78548	-1.08579e-05	-0.0030463	0.0302484	-0.00261159
-9.63	-9.98016e-06	18.9085	33.1595	-1.0445e-05	-1.53454	-3.78517	-1.09731e-05	-0.00305102	0.0302223	-0.00262407
-9.62	-1.00852e-05	18.8932	33.1216	-1.05553e-05	-1.53457	-3.78487	-1.10894e-05	-0.00305575	0.030196	-0.00263613
-9.61	-1.01913e-05	18.8778	33.0838	-1.06668e-05	-1.5346	-3.78457	-1.12071e-05	-0.00306049	0.0301695	-0.00264861
-9.6	-1.02985e-05	18.8625	33.0459	-1.07795e-05	-1.53463	-3.78427	-1.1326e-05	-0.00306524	0.030143	-0.00266069
-9.59	-1.04069e-05	18.8471	33.0081	-1.08933e-05	-1.53466	-3.78397	-1.14461e-05	-0.00307	0.0301163	-0.00267312
-9.58	-1.05164e-05	18.8318	32.9703	-1.10084e-05	-1.53469	-3.78367	-1.15676e-05	-0.00307477	0.0300895	-0.00268526
-9.57	-1.0627e-05	18.8164	32.9324	-1.11247e-05	-1.53472	-3.78337	-1.16903e-05	-0.00307954	0.0300626	-0.0026976
-9.56	-1.07389e-05	18.8011	32.8946	-1.12422e-05	-1.53475	-3.78307	-1.18143e-05	-0.00308433	0.0300356	-0.00270981
-9.55	-1.08519e-05	18.7857	32.8568	-1.1361e-05	-1.53478	-3.78277	-1.19397e-05	-0.00308912	0.0300084	-0.00272205
-9.54	-1.09661e-05	18.7704	32.8189	-1.1481e-05	-1.53481	-3.78247	-1.20664e-05	-0.00309392	0.0299812	-0.00273435
-9.53	-1.10815e-05	18.755	32.7811	-1.16023e-05	-1.53484	-3.78217	-1.21944e-05	-0.00309873	0.0299537	-0.0027465
-9.52	-1.11981e-05	18.7397	32.7433	-1.17249e-05	-1.53487	-3.78187	-1.23238e-05	-0.00310355	0.0299262	-0.00275886
-9.51	-1.1316e-05	18.7244	32.7055	-1.18488e-05	-1.53491	-3.78157	-1.24546e-05	-0.00310837	0.0298986	-0.00277094
-9.5	-1.14351e-05	18.709	32.6677	-1.1974e-05	-1.53494	-3.78127	-1.25868e-05	-0.00311321	0.0298708	-0.00278333
-9.49	-1.15555e-05	18.6937	32.6298	-1.21005e-05	-1.53497	-3.78097	-1.27204e-05	-0.00311805	0.0298429	-0.00279536
-9.48	-1.16771e-05	18.6783	32.592	-1.22284e-05	-1.535	-3.78067	-1.28555e-05	-0.0031229	0.0298149	-0.00280776
-9.47	-1.18001e-05	18.663	32.5542	-1.23576e-05	-1.53503	-3.78037	-1.29919e-05	-0.00312777	0.0297868	-0.00281978
-9.46	-1.19243e-05	18.6476	32.5164	-1.24883e-05	-1.53506	-3.78008	-1.31299e-05	-0.00313264	0.0297585	-0.00283214
-9.45	-1.20498e-05	18.6323	32.4786	-1.26202e-05	-1.53509	-3.77978	-1.32692e-05	-0.00313751	0.0297301	-0.00284417
-9.44	-1.21767e-05	18.6169	32.4408	-1.27536e-05	-1.53512	-3.77948	-1.34101e-05	-0.0031424	0.0297016	-0.00285645
-9.43	-1.23049e-05	18.6016	32.403	-1.28885e-05	-1.53516	-3.77918	-1.35525e-05	-0.0031473	0.029673	-0.00286853
-9.42	-1.24345e-05	18.5862	32.3653	-1.30247e-05	-1.53519	-3.77889	-1.36964e-05	-0.0031522	0.0296442	-0.00288069
-9.41	-1.25654e-05	18.5708	32.3275	-1.31624e-05	-1.53522	-3.77859	-1.38419e-05	-0.00315712	0.0296154	-0.00289282
-9.4	-1.26977e-05	18.5555	32.2897	-1.33015e-05	-1.53525	-3.7783	-1.39889e-05	-0.00316204	0.0295864	-0.00290485
-9.39	-1.28315e-05	18.5401	32.2519	-1.34422e-05	-1.53528	-3.778	-1.41374e-05	-0.00316697	0.0295573	-0.00291703
-9.38	-1.29666e-05	18.5248	32.2141	-1.35843e-05	-1.53531	-3.7777	-1.42876e-05	-0.00317191	0.029528	-0.00292926
-9.37	-1.31031e-05	18.5094	32.1763	-1.37279e-05	-1.53535	-3.77741	-1.44393e-05	-0.00317686	0.0294987	-0.00294127
-9.36	-1.32411e-05	18.4941	32.1386	-1.38731e-05	-1.53538	-3.77711	-1.45927e-05	-0.00318181	0.0294692	-0.00295321
-9.35	-1.33806e-05	18.4787	32.1008	-1.40198e-05	-1.53541	-3.77682	-1.47477e-05	-0.00318678	0.0294396	-0.00296527
-9.34	-1.35215e-05	18.4634	32.063	-1.4168e-05	-1.53544	-3.77653	-1.49044e-05	-0.00319175	0.0294099	-0.00297746
-9.33	-1.3664e-05	18.448	32.0253	-1.43179e-05	-1.53547	-3.77623	-1.50627e-05	-0.00319674	0.0293801	-0.00298945
-9.32	-1.38079e-05	18.4327	31.9875	-1.44693e-05	-1.5355	-3.77594	-1.52227e-05	-0.00320173	0.0293501	-0.00300132
-9.31	-1.39534e-05	18.4173	31.9498	-1.46223e-05	-1.53554	-3.77564	-1.53845e-05	-0.00320673	0.0293201	-0.00301326
-9.3	-1.41004e-05	18.402	31.912	-1.4777e-05	-1.53557	-3.77535	-1.55479e-05	-0.00321174	0.0292899	-0.00302535
-9.29	-1.42489e-05	18.3866	31.8742	-1.49333e-05	-1.5356	-3.77506	-1.57131e-05	-0.00321676	0.0292596	-0.00303733
-9.28	-1.4399e-05	18.3712	31.8365	-1.50913e-05	-1.53563	-3.77477	-1.58801e-05	-0.00322178	0.0292291	-0.00304913
-9.27	-1.45507e-05	18.3559	31.7988	-1.52509e-05	-1.53567	-3.77447	-1.60489e-05	-0.00322682	0.0291986	-0.00306095
-9.26	-1.47041e-05	18.3405	31.761	-1.54123e-05	-1.5357	-3.77418	-1.62194e-05	-0.00323187	0.0291679	-0.00307292
-9.25	-1.4859e-05	18.3252	31.7233	-1.55753e-05	-1.53573	-3.77389	-1.63918e-05	-0.00323692	0.0291371	-0.00308486
-9.24	-1.50156e-05	18.3098	31.6855	-1.57401e-05	-1.53576	-3.7736	-1.6566e-05	-0.00324198	0.0291062	-0.0030966
-9.23	-1.51738e-05	18.2945	31.6478	-1.59066e-05	-1.53579	-3.77331	-1.67421e-05	-0.00324705	0.0290752	-0.0031083
-9.22	-1.53337e-05	18.2791	31.6101	-1.60749e-05	-1.53583	-3.77302	-1.69201e-05	-0.00325214	0.029044	-0.00312013
-9.21	-1.54953e-05	18.2637	31.5723	-1.6245e-05	-1.53586	-3.77273	-1.71e-05	-0.00325722	0.0290128	-0.00313201
-9.2	-1.56586e-05	18.2484	31.5346	-1.64169e-05	-1.53589	-3.77244	-1.72817e-05	-0.00326232	0.0289814	-0.00314368
-9.19	-1.58237e-05	18.233	31.4969	-1.65907e-05	-1.53593	-3.77215	-1.74655e-05	-0.00326743	0.0289499	-0.00315526
-9.18	-1.59904e-05	18.2177	31.4592	-1.67663e-05	-1.53596	-3.77186	-1.76512e-05	-0.00327255	0.0289183	-0.00316693
-9.17	-1.6159e-05	18.2023	31.4214	-1.69437e-05	-1.53599	-3.77157	-1.78389e-05	-0.00327767	0.0288866	-0.00317871
-9.16	-1.63293e-05	18.1869	31.3837	-1.7123e-05	-1.53602	-3.77128	-1.80286e-05	-0.00328281	0.0288547	-0.00319031
-9.15	-1.65015e-05	18.1716	31.346	-1.73043e-05	-1.53606	-3.77099	-1.82203e-05	-0.00328795	0.0288228	-0.00320178
-9.14	-1.66754e-05	18.1562	31.3083	-1.74875e-05	-1.53609	-3.7707	-1.8414e-05	-0.0032931	0.0287907	-0.00321328
-9.13	-1.68512e-05	18.1409	31.2706	-1.76726e-05	-1.53612	-3.77042	-1.86099e-05	-0.00329826	0.0287585	-0.00322491
-9.12	-1.70289e-05	18.1255	31.2329	-1.78597e-05	-1.53616	-3.77013	-1.88078e-05	-0.00330343	0.0287262	-0.00323645
-9.11	-1.72084e-05	18.1101	31.1952	-1.80487e-05	-1.53619	-3.76984	-1.90079e-05	-0.00330861	0.0286938	-0.0032478
-9.1	-1.73898e-05	18.0948	31.1575	-1.82398e-05	-1.53622	-3.76956	-1.921e-05	-0.0033138	0.0286612	-0.00325914
-9.09	-1.75732e-05	18.0794	31.1198	-1.8433e-05	-1.53625	-3.76927	-1.94144e-05	-0.00331899	0.0286286	-0.00327059
-9.08	-1.77585e-05	18.064	31.0821	-1.86281e-05	-1.53629	-3.76898	-1.96209e-05	-0.0033242	0.0285958	-0.00328203
-9.07	-1.79458e-05	18.0487	31.0444	-1.88254e-05	-1.53632	-3.7687	-1.98297e-05	-0.00332941	0.028563	-0.00329326
-9.06	-1.8135e-05	18.0333	31.0067	-1.90247e-05	-1.53635	-3.76841	-2.00407e-05	-0.00333464	0.02853	-0.00330443
-9.05	-1.83263e-05	18.018	30.9691	-1.92262e-05	-1.53639	-3.76813	-2.02539e-05	-0.00333987	0.0284969	-0.00331569
-9.04	-1.85196e-05	18.0026	30.9314	-1.94298e-05	-1.53642	-3.76784	-2.04694e-05	-0.00334511	0.0284637	-0.003327
-9.03	-1.87149e-05	17.9872	30.8937	-1.96356e-05	-1.53645	-3.76756	-2.06872e-05	-0.00335036	0.0284303	-0.00333811
-9.02	-1.89123e-05	17.9719	30.856	-1.98436e-05	-1.53649	-3.76727	-2.09074e-05	-0.00335562	0.0283969	-0.00334911
-9.01	-1.91118e-05	17.9565	30.8184	-2.00537e-05	-1.53652	-3.76699	-2.11299e-05	-0.00336089	0.0283633	-0.00336016
-9	-1.93134e-05	17.9411	30.7807	-2.02662e-05	-1.53656	-3.76671	-2.13548e-05	-0.00336617	0.0283297	-0.00337129
-8.99	-1.95171e-05	17.9258	30.743	-2.04809e-05	-1.53659	-3.76642	-2.15821e-05	-0.00337146	0.0282959	-0.00338227
-8.98	-1.9723e-05	17.9104	30.7054	-2.06978e-05	-1.53662	-3.76614	-2.18118e-05	-0.00337675	0.028262	-0.0033931
-8.97	-1.99311e-05	17.895	30.6677	-2.09171e-05	-1.53666	-3.76586	-2.2044e-05	-0.00338206	0.0282281	-0.00340393
-8.96	-2.01413e-05	17.8797	30.6301	-2.11387e-05	-1.53669	-3.76558	-2.22787e-05	-0.00338737	0.028194	-0.00341486
-8.95	-2.03538e-05	17.8643	30.5924	-2.13627e-05	-1.53672	-3.76529	-2.25158e-05	-0.0033927	0.0281598	-0.00342555
-8.94	-2.05686e-05	17.8489	30.5547	-2.1589e-05	-1.53676	-3.76501	-2.27556e-05	-0.00339803	0.0281255	-0.00343628
-8.93	-2.07856e-05	17.8336	30.5171	-2.18178e-05	-1.53679	-3.76473	-2.29979e-05	-0.00340337	0.028091	-0.00344696
-8.92	-2.1005e-05	17.8182	30.4795	-2.2049e-05	-1.53683	-3.76445	-2.32427e-05	-0.00340872	0.0280565	-0.00345759
-8.91	-2.12266e-05	17.8028	30.4418	-2.22827e-05	-1.53686	-3.76417	-2.34902e-05	-0.00341408	0.0280219	-0.00346817
-8.9	-2.14506e-05	17.7875	30.4042	-2.25188e-05	-1.53689	-3.76389	-2.37404e-05	-0.00341945	0.0279872	-0.0034787
-8.89	-2.1677e-05	17.7721	30.3665	-2.27575e-05	-1.53693	-3.76361	-2.39932e-05	-0.00342483	0.0279523	-0.00348917
-8.88	-2.19058e-05	17.7567	30.3289	-2.29987e-05	-1.53696	-3.76333	-2.42488e-05	-0.00343021	0.0279174	-0.00349959
-8.87	-2.2137e-05	17.7414	30.2913	-2.32425e-05	-1.537	-3.76305	-2.45071e-05	-0.00343561	0.0278823	-0.00350995
-8.86	-2.23706e-05	17.726	30.2536	-2.34888e-05	-1.53703	-3.76277	-2.47681e-05	-0.00344102	0.0278472	-0.00352026
-8.85	-2.26068e-05	17.7106	30.216	-2.37378e-05	-1.53707	-3.7625	-2.50319e-05	-0.00344643	0.0278119	-0.0035305
-8.84	-2.28454e-05	17.6952	30.1784	-2.39895e-05	-1.5371	-3.76222	-2.52986e-05	-0.00345185	0.0277766	-0.0035407
-8.83	-2.30866e-05	17.6799	30.1408	-2.42438e-05	-1.53714	-3.76194	-2.55681e-05	-0.00345729	0.0277411	-0.00355082
-8.82	-2.33303e-05	17.6645	30.1031	-2.45009e-05	-1.53717	-3.76166	-2.58405e-05	-0.00346273	0.0277055	-0.00356089
-8.81	-2.35766e-05	17.6491	30.0655	-2.47606e-05	-1.5372	-3.76139	-2.61159e-05	-0.00346818	0.0276699	-0.00357089
-8.8	-2.38255e-05	17.6338	30.0279	-2.50232e-05	-1.53724	-3.76111	-2.63942e-05	-0.00347364	0.0276341	-0.00358082
-8.79	-2.40771e-05	17.6184	29.9903	-2.52885e-05	-1.53727	-3.76083	-2.66754e-05	-0.00347911	0.0275983	-0.0035907
-8.78	-2.43313e-05	17.603	29.9527	-2.55567e-05	-1.53731	-3.76056	-2.69597e-05	-0.00348459	0.0275623	-0.0036005
-8.77	-2.45882e-05	17.5876	29.9151	-2.58277e-05	-1.53734	-3.76028	-2.7247e-05	-0.00349008	0.0275263	-0.00361023
-8.76	-2.48479e-05	17.5723	29.8775	-2.61017e-05	-1.53738	-3.76001	-2.75374e-05	-0.00349557	0.0274901	-0.0036199
-8.75	-2.51103e-05	17.5569	29.8399	-2.63785e-05	-1.53741	-3.75973	-2.78309e-05	-0.00350108	0.0274539	-0.00362949
-8.74	-2.53754e-05	17.5415	29.8023	-2.66583e-05	-1.53745	-3.75946	-2.81276e-05	-0.00350659	0.0274175	-0.00363901
-8.73	-2.56434e-05	17.5261	29.7647	-2.69411e-05	-1.53748	-3.75918	-2.84274e-05	-0.00351212	0.0273811	-0.00364846
-8.72	-2.59143e-05	17.5108	29.7271	-2.72268e-05	-1.53752	-3.75891	-2.87305e-05	-0.00351765	0.0273446	-0.00365783
-8.71	-2.6188e-05	17.4954	29.6895	-2.75157e-05	-1.53755	-3.75864	-2.90368e-05	-0.0035232	0.0273079	-0.00366712
-8.7	-2.64646e-05	17.48	29.6519	-2.78076e-05	-1.53759	-3.75836	-2.93464e-05	-0.00352875	0.0272712	-0.00367634
-8.69	-2.67441e-05	17.4646	29.6144	-2.81026e-05	-1.53762	-3.75809	-2.96593e-05	-0.00353431	0.0272344	-0.00368547
-8.68	-2.70267e-05	17.4493	29.5768	-2.84008e-05	-1.53766	-3.75782	-2.99755e-05	-0.00353988	0.0271975	-0.00369453
-8.67	-2.73122e-05	17.4339	29.5392	-2.87021e-05	-1.5377	-3.75755	-3.02952e-05	-0.00354546	0.0271605	-0.0037035
-8.66	-2.76007e-05	17.4185	29.5016	-2.90067e-05	-1.53773	-3.75728	-3.06183e-05	-0.00355105	0.0271234	-0.00371239
-8.65	-2.78923e-05	17.4031	29.4641	-2.93145e-05	-1.53777	-3.757	-3.09448e-05	-0.00355665	0.0270863	-0.0037212
-8.64	-2.8187e-05	17.3878	29.4265	-2.96256e-05	-1.5378	-3.75673	-3.12749e-05	-0.00356226	0.027049	-0.00372992
-8.63	-2.84848e-05	17.3724	29.3889	-2.994e-05	-1.53784	-3.75646	-3.16085e-05	-0.00356787	0.0270117	-0.00373855
