A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-9.99	-6.84092e-06	19.4548	32.3838	-7.14894e-06	-1.5334	-3.51365	-7.49765e-06	-0.00287772	0.0228779	-0.00289622
-9.98	-6.91279e-06	19.4394	32.3487	-7.22431e-06	-1.53343	-3.51342	-7.57702e-06	-0.00288215	0.0228488	-0.00291016
-9.97	-6.98541e-06	19.4241	32.3136	-7.30048e-06	-1.53345	-3.51319	-7.65724e-06	-0.00288658	0.0228197	-0.00292403
-9.96	-7.0588e-06	19.4087	32.2784	-7.37746e-06	-1.53348	-3.51296	-7.73831e-06	-0.00289103	0.0227904	-0.00293789
-9.95	-7.13297e-06	19.3934	32.2433	-7.45525e-06	-1.53351	-3.51274	-7.82025e-06	-0.00289548	0.0227609	-0.0029518
-9.94	-7.20791e-06	19.3781	32.2082	-7.53387e-06	-1.53354	-3.51251	-7.90305e-06	-0.00289995	0.0227313	-0.00296581
-9.93	-7.28365e-06	19.3627	32.1731	-7.61331e-06	-1.53357	-3.51228	-7.98674e-06	-0.00290442	0.0227016	-0.00297987
-9.92	-7.36018e-06	19.3474	32.1379	-7.6936e-06	-1.5336	-3.51205	-8.07132e-06	-0.0029089	0.0226717	-0.00299395
-9.91	-7.43752e-06	19.3321	32.1028	-7.77474e-06	-1.53363	-3.51183	-8.15679e-06	-0.00291338	0.0226417	-0.00300801
-9.9	-7.51568e-06	19.3167	32.0677	-7.85674e-06	-1.53366	-3.5116	-8.24318e-06	-0.00291788	0.0226116	-0.00302202
-9.89	-7.59466e-06	19.3014	32.0326	-7.93961e-06	-1.53369	-3.51138	-8.33049e-06	-0.00292238	0.0225813	-0.00303602
-9.88	-7.67447e-06	19.2861	31.9975	-8.02335e-06	-1.53372	-3.51115	-8.41872e-06	-0.0029269	0.0225509	-0.00305008
-9.87	-7.75513e-06	19.2707	31.9624	-8.10799e-06	-1.53375	-3.51092	-8.50789e-06	-0.00293142	0.0225203	-0.00306421
-9.86	-7.83663e-06	19.2554	31.9273	-8.19352e-06	-1.53377	-3.5107	-8.59802e-06	-0.00293595	0.0224896	-0.0030784
-9.85	-7.919e-06	19.24	31.8922	-8.27995e-06	-1.5338	-3.51047	-8.6891e-06	-0.00294048	0.0224587	-0.0030926
-9.84	-8.00224e-06	19.2247	31.8571	-8.3673e-06	-1.53383	-3.51025	-8.78115e-06	-0.00294503	0.0224277	-0.00310678
-9.83	-8.08635e-06	19.2094	31.822	-8.45558e-06	-1.53386	-3.51003	-8.87418e-06	-0.00294958	0.0223966	-0.00312091
-9.82	-8.17135e-06	19.194	31.7869	-8.54479e-06	-1.53389	-3.5098	-8.9682e-06	-0.00295414	0.0223653	-0.00313503
-9.81	-8.25725e-06	19.1787	31.7518	-8.63494e-06	-1.53392	-3.50958	-9.06323e-06	-0.00295871	0.0223339	-0.00314921
-9.8	-8.34405e-06	19.1634	31.7167	-8.72606e-06	-1.53395	-3.50936	-9.15926e-06	-0.00296329	0.0223023	-0.00316346
-9.79	-8.43177e-06	19.148	31.6816	-8.81813e-06	-1.53398	-3.50913	-9.25632e-06	-0.00296788	0.0222706	-0.00317776
-9.78	-8.52042e-06	19.1327	31.6465	-8.91119e-06	-1.53401	-3.50891	-9.35441e-06	-0.00297248	0.0222388	-0.00319207
-9.77	-8.61e-06	19.1173	31.6114	-9.00522e-06	-1.53404	-3.50869	-9.45354e-06	-0.00297708	0.0222068	-0.00320635
-9.76	-8.70053e-06	19.102	31.5763	-9.10026e-06	-1.53407	-3.50847	-9.55373e-06	-0.00298169	0.0221746	-0.00322058
-9.75	-8.79201e-06	19.0867	31.5412	-9.1963e-06	-1.5341	-3.50824	-9.65499e-06	-0.00298631	0.0221424	-0.00323481
-9.74	-8.88446e-06	19.0713	31.5061	-9.29336e-06	-1.53413	-3.50802	-9.75733e-06	-0.00299094	0.0221099	-0.0032491
-9.73	-8.97788e-06	19.056	31.4711	-9.39145e-06	-1.53416	-3.5078	-9.86075e-06	-0.00299558	0.0220774	-0.00326345
