A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-9.99	-6.79806e-06	19.6529	34.8561	-7.09953e-06	-1.5329	-3.8472	-7.43987e-06	-0.00275364	0.0426746	-0.000406917
-9.98	-6.86943e-06	19.6376	34.8177	-7.17432e-06	-1.53293	-3.84678	-7.51856e-06	-0.00275758	0.0426705	-0.000413234
-9.97	-6.94155e-06	19.6223	34.7792	-7.2499e-06	-1.53295	-3.84635	-7.59807e-06	-0.00276153	0.0426663	-0.0004197
-9.96	-7.01443e-06	19.607	34.7407	-7.32629e-06	-1.53298	-3.84592	-7.67844e-06	-0.00276549	0.0426621	-0.000426086
-9.95	-7.08808e-06	19.5916	34.7023	-7.40348e-06	-1.53301	-3.8455	-7.75965e-06	-0.00276945	0.0426578	-0.000432469
-9.94	-7.1625e-06	19.5763	34.6638	-7.48148e-06	-1.53304	-3.84507	-7.84173e-06	-0.00277342	0.0426534	-0.000438844
-9.93	-7.23771e-06	19.561	34.6254	-7.56031e-06	-1.53306	-3.84464	-7.92469e-06	-0.00277739	0.042649	-0.000445213
-9.92	-7.31371e-06	19.5456	34.5869	-7.63998e-06	-1.53309	-3.84422	-8.00852e-06	-0.00278137	0.0426445	-0.000451577
-9.91	-7.39052e-06	19.5303	34.5485	-7.72049e-06	-1.53312	-3.84379	-8.09324e-06	-0.00278535	0.04264	-0.000457931
-9.9	-7.46813e-06	19.515	34.5101	-7.80185e-06	-1.53315	-3.84336	-8.17887e-06	-0.00278934	0.0426354	-0.000464278
-9.89	-7.54655e-06	19.4996	34.4716	-7.88407e-06	-1.53318	-3.84294	-8.2654e-06	-0.00279334	0.0426307	-0.00047062
-9.88	-7.62581e-06	19.4843	34.4332	-7.96716e-06	-1.5332	-3.84251	-8.35286e-06	-0.00279734	0.042626	-0.000476955
-9.87	-7.7059e-06	19.469	34.3948	-8.05113e-06	-1.53323	-3.84209	-8.44124e-06	-0.00280135	0.0426212	-0.000483282
