A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-9.99	-6.84127e-06	19.4532	32.4023	-7.14933e-06	-1.5334	-3.51737	-7.49811e-06	-0.00287868	0.0230734	-0.00287923
-9.98	-6.91314e-06	19.4379	32.3671	-7.22471e-06	-1.53343	-3.51714	-7.57749e-06	-0.00288311	0.0230445	-0.00289312
-9.97	-6.98576e-06	19.4225	32.332	-7.30088e-06	-1.53346	-3.51691	-7.65772e-06	-0.00288755	0.0230155	-0.00290709
-9.96	-7.05916e-06	19.4072	32.2968	-7.37787e-06	-1.53349	-3.51668	-7.73879e-06	-0.002892	0.0229864	-0.00292104
-9.95	-7.13332e-06	19.3919	32.2616	-7.45566e-06	-1.53352	-3.51645	-7.82073e-06	-0.00289646	0.0229571	-0.00293487
-9.94	-7.20827e-06	19.3765	32.2265	-7.53428e-06	-1.53355	-3.51622	-7.90354e-06	-0.00290093	0.0229277	-0.00294873
-9.93	-7.28401e-06	19.3612	32.1913	-7.61374e-06	-1.53357	-3.51599	-7.98724e-06	-0.0029054	0.0228982	-0.00296273
-9.92	-7.36055e-06	19.3458	32.1561	-7.69403e-06	-1.5336	-3.51576	-8.07182e-06	-0.00290988	0.0228685	-0.0029768
-9.91	-7.4379e-06	19.3305	32.121	-7.77518e-06	-1.53363	-3.51553	-8.1573e-06	-0.00291437	0.0228386	-0.00299083
-9.9	-7.51606e-06	19.3152	32.0858	-7.85718e-06	-1.53366	-3.5153	-8.24369e-06	-0.00291887	0.0228086	-0.00300475
-9.89	-7.59504e-06	19.2998	32.0507	-7.94005e-06	-1.53369	-3.51508	-8.33101e-06	-0.00292338	0.0227785	-0.00301871
-9.88	-7.67486e-06	19.2845	32.0155	-8.0238e-06	-1.53372	-3.51485	-8.41925e-06	-0.0029279	0.0227483	-0.00303282
-9.87	-7.75552e-06	19.2692	31.9804	-8.10844e-06	-1.53375	-3.51462	-8.50843e-06	-0.00293242	0.0227179	-0.00304697
-9.86	-7.83703e-06	19.2538	31.9452	-8.19398e-06	-1.53378	-3.51439	-8.59856e-06	-0.00293695	0.0226873	-0.00306108
-9.85	-7.9194e-06	19.2385	31.9101	-8.28042e-06	-1.53381	-3.51417	-8.68964e-06	-0.0029415	0.0226566	-0.00307507
-9.84	-8.00264e-06	19.2231	31.875	-8.36777e-06	-1.53384	-3.51394	-8.7817e-06	-0.00294604	0.0226258	-0.00308915
-9.83	-8.08676e-06	19.2078	31.8398	-8.45605e-06	-1.53387	-3.51372	-8.87474e-06	-0.0029506	0.0225949	-0.00310334
-9.82	-8.17177e-06	19.1925	31.8047	-8.54527e-06	-1.5339	-3.51349	-8.96877e-06	-0.00295517	0.0225638	-0.00311757
-9.81	-8.25767e-06	19.1771	31.7696	-8.63543e-06	-1.53393	-3.51326	-9.0638e-06	-0.00295974	0.0225325	-0.00313175
-9.8	-8.34448e-06	19.1618	31.7344	-8.72655e-06	-1.53396	-3.51304	-9.15984e-06	-0.00296433	0.0225011	-0.00314583
