A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-76.79	-2.52766e-35	119.985	7.93336	-2.54386e-35	-1.5048	-0.0348423	-2.56037e-35	-6.16156e-05	-0.000297069	540.544
-76.78	-2.55322e-35	119.97	7.93301	-2.56959e-35	-1.5048	-0.0348452	-2.58627e-35	-6.16315e-05	-0.000297133	538.185
-76.77	-2.57905e-35	119.955	7.93267	-2.59558e-35	-1.5048	-0.0348482	-2.61244e-35	-6.16474e-05	-0.000297197	535.836
-76.76	-2.60514e-35	119.94	7.93232	-2.62184e-35	-1.5048	-0.0348512	-2.63887e-35	-6.16632e-05	-0.000297261	533.497
-76.75	-2.63149e-35	119.925	7.93197	-2.64836e-35	-1.5048	-0.0348542	-2.66556e-35	-6.16791e-05	-0.000297325	531.169
-76.74	-2.65811e-35	119.91	7.93162	-2.67515e-35	-1.5048	-0.0348571	-2.69253e-35	-6.1695e-05	-0.000297389	528.851
-76.73	-2.68499e-35	119.895	7.93127	-2.70221e-35	-1.5048	-0.0348601	-2.71977e-35	-6.17108e-05	-0.000297453	526.543
-76.72	-2.71215e-35	119.88	7.93092	-2.72955e-35	-1.5048	-0.0348631	-2.74728e-35	-6.17267e-05	-0.000297517	524.246
-76.71	-2.73958e-35	119.865	7.93057	-2.75716e-35	-1.5048	-0.0348661	-2.77508e-35	-6.17426e-05	-0.000297581	521.959
-76.7	-2.76729e-35	119.85	7.93023	-2.78505e-35	-1.5048	-0.034869	-2.80315e-35	-6.17585e-05	-0.000297645	519.681
-76.69	-2.79529e-35	119.835	7.92988	-2.81322e-35	-1.50481	-0.034872	-2.83151e-35	-6.17744e-05	-0.000297709	517.414
-76.68	-2.82356e-35	119.82	7.92953	-2.84168e-35	-1.50481	-0.034875	-2.86015e-35	-6.17903e-05	-0.000297774	515.157
-76.67	-2.85212e-35	119.805	7.92918	-2.87043e-35	-1.50481	-0.034878	-2.88909e-35	-6.18062e-05	-0.000297838	512.91
-76.66	-2.88097e-35	119.79	7.92883	-2.89947e-35	-1.50481	-0.0348809	-2.91832e-35	-6.18222e-05	-0.000297902	510.672
-76.65	-2.91011e-35	119.775	7.92848	-2.9288e-35	-1.50481	-0.0348839	-2.94784e-35	-6.18381e-05	-0.000297966	508.445
-76.64	-2.93955e-35	119.76	7.92813	-2.95842e-35	-1.50481	-0.0348869	-2.97766e-35	-6.1854e-05	-0.00029803	506.227
-76.63	-2.96928e-35	119.745	7.92778	-2.98835e-35	-1.50481	-0.0348899	-3.00779e-35	-6.187e-05	-0.000298094	504.019
-76.62	-2.99931e-35	119.729	7.92743	-3.01858e-35	-1.50481	-0.0348929	-3.03822e-35	-6.18859e-05	-0.000298159	501.821
