A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-79.9963	-1.00081e-36	125.532	939.673	-1.00694e-36	-1.50458	-20.7614	-1.01318e-36	-5.62267e-05	0.202599	2.99117e-05
-79.9863	-1.01093e-36	125.517	939.465	-1.01712e-36	-1.50459	-20.7594	-1.02342e-36	-5.62405e-05	0.202604	0.00201883
-79.9763	-1.02115e-36	125.502	939.258	-1.02741e-36	-1.50459	-20.7573	-1.03377e-36	-5.62543e-05	0.20261	-0.0144029
-79.9663	-1.03148e-36	125.487	939.05	-1.0378e-36	-1.50459	-20.7553	-1.04423e-36	-5.62682e-05	0.202614	0.00752185
-79.9563	-1.04191e-36	125.472	938.843	-1.04829e-36	-1.50459	-20.7533	-1.05479e-36	-5.6282e-05	0.20262	-0.0110506
-79.9463	-1.05244e-36	125.457	938.635	-1.05889e-36	-1.50459	-20.7513	-1.06546e-36	-5.62958e-05	0.202625	-0.00493484
-79.9363	-1.06309e-36	125.442	938.428	-1.0696e-36	-1.50459	-20.7492	-1.07623e-36	-5.63097e-05	0.20263	0.00617634
-79.9263	-1.07384e-36	125.427	938.22	-1.08042e-36	-1.50459	-20.7472	-1.08712e-36	-5.63235e-05	0.202636	-0.0167972
-79.9163	-1.0847e-36	125.412	938.013	-1.09134e-36	-1.50459	-20.7452	-1.09811e-36	-5.63374e-05	0.20264	0.00553121
-79.9063	-1.09566e-36	125.397	937.805	-1.10238e-36	-1.50459	-20.7432	-1.10922e-36	-5.63512e-05	0.202646	-0.00436559
-79.8963	-1.10674e-36	125.382	937.598	-1.11353e-36	-1.50459	-20.7411	-1.12044e-36	-5.63651e-05	0.202651	-0.00967324
-79.8863	-1.11793e-36	125.367	937.39	-1.12479e-36	-1.50459	-20.7391	-1.13177e-36	-5.63789e-05	0.202655	0.00889457
-79.8763	-1.12924e-36	125.352	937.183	-1.13616e-36	-1.50459	-20.7371	-1.14321e-36	-5.63928e-05	0.202661	-0.0156502
-79.8663	-1.14066e-36	125.337	936.976	-1.14765e-36	-1.50459	-20.735	-1.15478e-36	-5.64067e-05	0.202666	0.000607637
-79.8563	-1.15219e-36	125.322	936.768	-1.15926e-36	-1.50459	-20.733	-1.16646e-36	-5.64206e-05	0.202671	0.00245506
-79.8463	-1.16384e-36	125.307	936.561	-1.17098e-36	-1.50459	-20.731	-1.17825e-36	-5.64344e-05	0.202677	-0.0140488
-79.8363	-1.17561e-36	125.292	936.354	-1.18282e-36	-1.50459	-20.729	-1.19017e-36	-5.64483e-05	0.202681	0.00790787
-79.8263	-1.1875e-36	125.277	936.146	-1.19479e-36	-1.50459	-20.7269	-1.20221e-36	-5.64622e-05	0.202687	-0.0114218
-79.8163	-1.19951e-36	125.261	935.939	-1.20687e-36	-1.50459	-20.7249	-1.21437e-36	-5.64761e-05	0.202692	-0.00425877
-79.8063	-1.21164e-36	125.246	935.732	-1.21907e-36	-1.5046	-20.7229	-1.22665e-36	-5.649e-05	0.202697	0.00616359
-79.7963	-1.22389e-36	125.231	935.525	-1.2314e-36	-1.5046	-20.7209	-1.23905e-36	-5.6504e-05	0.202702	-0.0161904
-79.7863	-1.23627e-36	125.216	935.318	-1.24386e-36	-1.5046	-20.7188	-1.25158e-36	-5.65179e-05	0.202707	0.00526483
-79.7763	-1.24877e-36	125.201	935.11	-1.25643e-36	-1.5046	-20.7168	-1.26424e-36	-5.65318e-05	0.202712	-0.00514723
-79.7663	-1.2614e-36	125.186	934.903	-1.26914e-36	-1.5046	-20.7148	-1.27703e-36	-5.65457e-05	0.202718	-0.00866392
-79.7563	-1.27415e-36	125.171	934.696	-1.28198e-36	-1.5046	-20.7127	-1.28994e-36	-5.65597e-05	0.202722	0.00826011
-79.7463	-1.28704e-36	125.156	934.489	-1.29494e-36	-1.5046	-20.7107	-1.30299e-36	-5.65736e-05	0.202728	-0.0151821
-79.7363	-1.30005e-36	125.141	934.282	-1.30804e-36	-1.5046	-20.7087	-1.31617e-36	-5.65875e-05	0.202733	0.00127836
-79.7263	-1.3132e-36	125.126	934.075	-1.32126e-36	-1.5046	-20.7067	-1.32948e-36	-5.66015e-05	0.202738	0.00109879
-79.7163	-1.32648e-36	125.111	933.868	-1.33463e-36	-1.5046	-20.7046	-1.34293e-36	-5.66154e-05	0.202743	-0.0131238
-79.7063	-1.33989e-36	125.096	933.661	-1.34812e-36	-1.5046	-20.7026	-1.35651e-36	-5.66294e-05	0.202748	0.00807703
-79.6963	-1.35344e-36	125.081	933.454	-1.36176e-36	-1.5046	-20.7006	-1.37023e-36	-5.66434e-05	0.202754	-0.0108474
-79.6863	-1.36713e-36	125.066	933.247	-1.37553e-36	-1.5046	-20.6986	-1.38409e-36	-5.66573e-05	0.202759	-0.00375067
-79.6763	-1.38095e-36	125.051	933.04	-1.38944e-36	-1.5046	-20.6965	-1.39808e-36	-5.66713e-05	0.202764	0.00534496
-79.6663	-1.39492e-36	125.036	932.833	-1.40349e-36	-1.5046	-20.6945	-1.41222e-36	-5.66853e-05	0.202769	-0.0155849
-79.6563	-1.40902e-36	125.021	932.626	-1.41768e-36	-1.5046	-20.6925	-1.42651e-36	-5.66993e-05	0.202774	0.00526001
-79.6463	-1.42327e-36	125.006	932.419	-1.43202e-36	-1.5046	-20.6904	-1.44093e-36	-5.67132e-05	0.202779	-0.00541449
-79.6363	-1.43766e-36	124.991	932.212	-1.4465e-36	-1.50461	-20.6884	-1.45551e-36	-5.67272e-05	0.202784	-0.0086669
-79.6263	-1.4522e-36	124.976	932.005	-1.46113e-36	-1.50461	-20.6864	-1.47023e-36	-5.67412e-05	0.202789	0.00766257
-79.6163	-1.46688e-36	124.961	931.798	-1.47591e-36	-1.50461	-20.6844	-1.4851e-36	-5.67552e-05	0.202795	-0.0149653
-79.6063	-1.48172e-36	124.946	931.591	-1.49083e-36	-1.50461	-20.6823	-1.50012e-36	-5.67693e-05	0.2028	0.00176369
-79.5963	-1.4967e-36	124.93	931.385	-1.50591e-36	-1.50461	-20.6803	-1.51529e-36	-5.67833e-05	0.202805	0.000675099
-79.5863	-1.51184e-36	124.915	931.178	-1.52114e-36	-1.50461	-20.6783	-1.53062e-36	-5.67973e-05	0.20281	-0.0123389
-79.5763	-1.52713e-36	124.9	930.971	-1.53652e-36	-1.50461	-20.6763	-1.5461e-36	-5.68113e-05	0.202815	0.00751263
-79.5663	-1.54257e-36	124.885	930.764	-1.55206e-36	-1.50461	-20.6742	-1.56173e-36	-5.68253e-05	0.202821	-0.0113288
-79.5563	-1.55817e-36	124.87	930.558	-1.56776e-36	-1.50461	-20.6722	-1.57753e-36	-5.68394e-05	0.202826	-0.00325627
-79.5463	-1.57392e-36	124.855	930.351	-1.58361e-36	-1.50461	-20.6702	-1.59348e-36	-5.68534e-05	0.202831	0.00505886
-79.5363	-1.58984e-36	124.84	930.144	-1.59963e-36	-1.50461	-20.6681	-1.6096e-36	-5.68675e-05	0.202836	-0.015189
-79.5263	-1.60592e-36	124.825	929.938	-1.61581e-36	-1.50461	-20.6661	-1.62588e-36	-5.68815e-05	0.202841	0.00537703
-79.5163	-1.62216e-36	124.81	929.731	-1.63215e-36	-1.50461	-20.6641	-1.64232e-36	-5.68956e-05	0.202846	-0.00539559
