A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-79.99	-1.00797e-36	125.336	105.844	-1.01415e-36	-1.50459	-2.2641	-1.02044e-36	-5.64224e-05	0.0204681	6.68267e-05
-79.98	-1.01816e-36	125.321	105.822	-1.0244e-36	-1.50459	-2.26389	-1.03076e-36	-5.64363e-05	0.0204687	6.66193e-05
-79.97	-1.02845e-36	125.306	105.799	-1.03476e-36	-1.50459	-2.26369	-1.04119e-36	-5.64502e-05	0.0204694	6.67469e-05
-79.96	-1.03885e-36	125.291	105.776	-1.04523e-36	-1.50459	-2.26348	-1.05172e-36	-5.64641e-05	0.0204701	6.6924e-05
-79.95	-1.04936e-36	125.276	105.754	-1.0558e-36	-1.5046	-2.26328	-1.06236e-36	-5.6478e-05	0.0204708	6.68585e-05
-79.94	-1.05997e-36	125.261	105.731	-1.06648e-36	-1.5046	-2.26307	-1.0731e-36	-5.64919e-05	0.0204714	6.66735e-05
-79.93	-1.07069e-36	125.246	105.708	-1.07726e-36	-1.5046	-2.26287	-1.08395e-36	-5.65058e-05	0.0204721	6.67592e-05
-79.92	-1.08152e-36	125.23	105.686	-1.08815e-36	-1.5046	-2.26266	-1.09492e-36	-5.65197e-05	0.0204728	6.69619e-05
-79.91	-1.09245e-36	125.215	105.663	-1.09916e-36	-1.5046	-2.26246	-1.10599e-36	-5.65336e-05	0.0204734	6.69274e-05
-79.9	-1.1035e-36	125.2	105.641	-1.11027e-36	-1.5046	-2.26225	-1.11718e-36	-5.65476e-05	0.0204741	6.66982e-05
-79.89	-1.11466e-36	125.185	105.618	-1.1215e-36	-1.5046	-2.26205	-1.12847e-36	-5.65615e-05	0.0204748	6.68242e-05
-79.88	-1.12593e-36	125.17	105.595	-1.13284e-36	-1.5046	-2.26184	-1.13989e-36	-5.65754e-05	0.0204754	6.70166e-05
-79.87	-1.13732e-36	125.155	105.573	-1.1443e-36	-1.5046	-2.26164	-1.15142e-36	-5.65894e-05	0.0204761	6.69712e-05
-79.86	-1.14882e-36	125.14	105.55	-1.15587e-36	-1.5046	-2.26143	-1.16306e-36	-5.66033e-05	0.0204768	6.67479e-05
-79.85	-1.16043e-36	125.125	105.527	-1.16756e-36	-1.5046	-2.26123	-1.17482e-36	-5.66173e-05	0.0204774	6.68522e-05
-79.84	-1.17217e-36	125.11	105.505	-1.17937e-36	-1.5046	-2.26102	-1.18671e-36	-5.66312e-05	0.0204781	6.70534e-05
-79.83	-1.18402e-36	125.095	105.482	-1.1913e-36	-1.5046	-2.26082	-1.19871e-36	-5.66452e-05	0.0204788	6.70027e-05
-79.82	-1.19599e-36	125.08	105.46	-1.20334e-36	-1.5046	-2.26062	-1.21083e-36	-5.66592e-05	0.0204795	6.67659e-05
-79.81	-1.20809e-36	125.065	105.437	-1.21551e-36	-1.5046	-2.26041	-1.22308e-36	-5.66732e-05	0.0204801	6.69076e-05
-79.8	-1.2203e-36	125.05	105.414	-1.22781e-36	-1.5046	-2.26021	-1.23545e-36	-5.66871e-05	0.0204808	6.70882e-05
-79.79	-1.23264e-36	125.035	105.392	-1.24022e-36	-1.5046	-2.26	-1.24794e-36	-5.67011e-05	0.0204815	6.70422e-05
-79.78	-1.24511e-36	125.02	105.369	-1.25277e-36	-1.5046	-2.2598	-1.26056e-36	-5.67151e-05	0.0204821	6.68207e-05
-79.77	-1.2577e-36	125.005	105.347	-1.26544e-36	-1.50461	-2.25959	-1.27331e-36	-5.67291e-05	0.0204828	6.69478e-05
-79.76	-1.27042e-36	124.99	105.324	-1.27823e-36	-1.50461	-2.25939	-1.28619e-36	-5.67431e-05	0.0204835	6.71341e-05
-79.75	-1.28327e-36	124.975	105.301	-1.29116e-36	-1.50461	-2.25918	-1.2992e-36	-5.67571e-05	0.0204841	6.71092e-05
-79.74	-1.29624e-36	124.96	105.279	-1.30422e-36	-1.50461	-2.25898	-1.31234e-36	-5.67711e-05	0.0204848	6.68634e-05
-79.73	-1.30935e-36	124.945	105.256	-1.31741e-36	-1.50461	-2.25877	-1.32561e-36	-5.67851e-05	0.0204855	6.69757e-05
-79.72	-1.32259e-36	124.93	105.234	-1.33073e-36	-1.50461	-2.25857	-1.33902e-36	-5.67992e-05	0.0204862	6.71691e-05
-79.71	-1.33597e-36	124.915	105.211	-1.34419e-36	-1.50461	-2.25836	-1.35256e-36	-5.68132e-05	0.0204868	6.71324e-05
-79.7	-1.34948e-36	124.899	105.189	-1.35778e-36	-1.50461	-2.25816	-1.36624e-36	-5.68272e-05	0.0204875	6.69196e-05
-79.69	-1.36312e-36	124.884	105.166	-1.37151e-36	-1.50461	-2.25795	-1.38006e-36	-5.68413e-05	0.0204882	6.70158e-05
-79.68	-1.37691e-36	124.869	105.143	-1.38538e-36	-1.50461	-2.25775	-1.39402e-36	-5.68553e-05	0.0204888	6.72317e-05
