A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-79.99	-1.00796e-36	125.336	104.381	-1.01414e-36	-1.50459	-2.22759	-1.02044e-36	-5.64213e-05	0.020027	6.64459e-05
-79.98	-1.01815e-36	125.321	104.359	-1.0244e-36	-1.50459	-2.22739	-1.03076e-36	-5.64352e-05	0.0200276	6.64663e-05
-79.97	-1.02845e-36	125.306	104.337	-1.03476e-36	-1.50459	-2.22719	-1.04118e-36	-5.64491e-05	0.0200283	6.65031e-05
-79.96	-1.03885e-36	125.291	104.315	-1.04522e-36	-1.50459	-2.22699	-1.05171e-36	-5.6463e-05	0.020029	6.64851e-05
-79.95	-1.04935e-36	125.276	104.292	-1.05579e-36	-1.5046	-2.22678	-1.06235e-36	-5.64769e-05	0.0200296	6.64786e-05
-79.94	-1.05997e-36	125.261	104.27	-1.06647e-36	-1.5046	-2.22658	-1.07309e-36	-5.64908e-05	0.0200303	6.64585e-05
-79.93	-1.07068e-36	125.246	104.248	-1.07726e-36	-1.5046	-2.22638	-1.08395e-36	-5.65047e-05	0.0200309	6.64546e-05
-79.92	-1.08151e-36	125.231	104.226	-1.08815e-36	-1.5046	-2.22618	-1.09491e-36	-5.65186e-05	0.0200316	6.64382e-05
-79.91	-1.09245e-36	125.216	104.203	-1.09915e-36	-1.5046	-2.22598	-1.10598e-36	-5.65325e-05	0.0200323	6.64082e-05
-79.9	-1.10349e-36	125.201	104.181	-1.11027e-36	-1.5046	-2.22578	-1.11717e-36	-5.65465e-05	0.0200329	6.63988e-05
-79.89	-1.11465e-36	125.186	104.159	-1.1215e-36	-1.5046	-2.22558	-1.12847e-36	-5.65604e-05	0.0200336	6.63714e-05
-79.88	-1.12592e-36	125.171	104.137	-1.13284e-36	-1.5046	-2.22538	-1.13988e-36	-5.65743e-05	0.0200343	6.63486e-05
-79.87	-1.13731e-36	125.156	104.114	-1.1443e-36	-1.5046	-2.22518	-1.15141e-36	-5.65883e-05	0.0200349	6.6337e-05
-79.86	-1.14881e-36	125.14	104.092	-1.15587e-36	-1.5046	-2.22498	-1.16305e-36	-5.66022e-05	0.0200356	6.63364e-05
-79.85	-1.16043e-36	125.125	104.07	-1.16756e-36	-1.5046	-2.22478	-1.17482e-36	-5.66162e-05	0.0200363	6.63307e-05
-79.84	-1.17216e-36	125.11	104.048	-1.17936e-36	-1.5046	-2.22458	-1.1867e-36	-5.66301e-05	0.0200369	6.63176e-05
-79.83	-1.18402e-36	125.095	104.025	-1.19129e-36	-1.5046	-2.22438	-1.1987e-36	-5.66441e-05	0.0200376	6.63405e-05
-79.82	-1.19599e-36	125.08	104.003	-1.20334e-36	-1.5046	-2.22418	-1.21083e-36	-5.66581e-05	0.0200383	6.63701e-05
-79.81	-1.20808e-36	125.065	103.981	-1.21551e-36	-1.5046	-2.22398	-1.22307e-36	-5.6672e-05	0.0200389	6.6379e-05
-79.8	-1.2203e-36	125.05	103.959	-1.2278e-36	-1.5046	-2.22378	-1.23544e-36	-5.6686e-05	0.0200396	6.64272e-05
-79.79	-1.23264e-36	125.035	103.936	-1.24022e-36	-1.5046	-2.22358	-1.24794e-36	-5.67e-05	0.0200403	6.64585e-05
-79.78	-1.2451e-36	125.02	103.914	-1.25276e-36	-1.5046	-2.22338	-1.26056e-36	-5.6714e-05	0.0200409	6.65137e-05
-79.77	-1.25769e-36	125.005	103.892	-1.26543e-36	-1.50461	-2.22318	-1.27331e-36	-5.6728e-05	0.0200416	6.65744e-05
-79.76	-1.27041e-36	124.99	103.87	-1.27823e-36	-1.50461	-2.22298	-1.28618e-36	-5.6742e-05	0.0200423	6.66208e-05
-79.75	-1.28326e-36	124.975	103.847	-1.29115e-36	-1.50461	-2.22278	-1.29919e-36	-5.6756e-05	0.0200429	6.66578e-05
-79.74	-1.29624e-36	124.96	103.825	-1.30421e-36	-1.50461	-2.22258	-1.31233e-36	-5.677e-05	0.0200436	6.66944e-05
-79.73	-1.30934e-36	124.945	103.803	-1.3174e-36	-1.50461	-2.22238	-1.32561e-36	-5.6784e-05	0.0200443	6.67311e-05
-79.72	-1.32258e-36	124.93	103.781	-1.33072e-36	-1.50461	-2.22218	-1.33901e-36	-5.6798e-05	0.0200449	6.67482e-05
-79.71	-1.33596e-36	124.915	103.759	-1.34418e-36	-1.50461	-2.22198	-1.35255e-36	-5.68121e-05	0.0200456	6.67632e-05
-79.7	-1.34947e-36	124.9	103.736	-1.35777e-36	-1.50461	-2.22178	-1.36623e-36	-5.68261e-05	0.0200463	6.67681e-05
-79.69	-1.36312e-36	124.885	103.714	-1.37151e-36	-1.50461	-2.22157	-1.38005e-36	-5.68401e-05	0.0200469	6.67704e-05
-79.68	-1.3769e-36	124.87	103.692	-1.38538e-36	-1.50461	-2.22137	-1.39401e-36	-5.68542e-05	0.0200476	6.67536e-05
-79.67	-1.39082e-36	124.855	103.67	-1.39939e-36	-1.50461	-2.22117	-1.40811e-36	-5.68682e-05	0.0200483	6.67412e-05
-79.66	-1.40489e-36	124.84	103.647	-1.41354e-36	-1.50461	-2.22097	-1.42235e-36	-5.68823e-05	0.0200489	6.67257e-05
-79.65	-1.41909e-36	124.825	103.625	-1.42783e-36	-1.50461	-2.22077	-1.43674e-36	-5.68963e-05	0.0200496	6.67208e-05
-79.64	-1.43344e-36	124.809	103.603	-1.44227e-36	-1.50461	-2.22057	-1.45127e-36	-5.69104e-05	0.0200503	6.66934e-05
-79.63	-1.44794e-36	124.794	103.581	-1.45686e-36	-1.50461	-2.22037	-1.46595e-36	-5.69245e-05	0.0200509	6.66798e-05
-79.62	-1.46258e-36	124.779	103.559	-1.47159e-36	-1.50461	-2.22017	-1.48077e-36	-5.69385e-05	0.0200516	6.66503e-05
-79.61	-1.47737e-36	124.764	103.536	-1.48648e-36	-1.50461	-2.21997	-1.49575e-36	-5.69526e-05	0.0200523	6.66342e-05
-79.6	-1.49231e-36	124.749	103.514	-1.50151e-36	-1.50461	-2.21977	-1.51088e-36	-5.69667e-05	0.0200529	6.66329e-05
-79.59	-1.5074e-36	124.734	103.492	-1.51669e-36	-1.50462	-2.21957	-1.52616e-36	-5.69808e-05	0.0200536	6.66298e-05
-79.58	-1.52265e-36	124.719	103.47	-1.53203e-36	-1.50462	-2.21937	-1.54159e-36	-5.69949e-05	0.0200543	6.66084e-05
-79.57	-1.53804e-36	124.704	103.448	-1.54753e-36	-1.50462	-2.21917	-1.55718e-36	-5.7009e-05	0.0200549	6.66189e-05
-79.56	-1.5536e-36	124.689	103.425	-1.56318e-36	-1.50462	-2.21897	-1.57293e-36	-5.70231e-05	0.0200556	6.6639e-05
-79.55	-1.56931e-36	124.674	103.403	-1.57899e-36	-1.50462	-2.21877	-1.58884e-36	-5.70372e-05	0.0200563	6.66572e-05
-79.54	-1.58518e-36	124.659	103.381	-1.59495e-36	-1.50462	-2.21857	-1.60491e-36	-5.70513e-05	0.0200569	6.66871e-05
-79.53	-1.60121e-36	124.644	103.359	-1.61108e-36	-1.50462	-2.21837	-1.62114e-36	-5.70654e-05	0.0200576	6.67244e-05
-79.52	-1.6174e-36	124.629	103.337	-1.62738e-36	-1.50462	-2.21817	-1.63754e-36	-5.70795e-05	0.0200583	6.67774e-05
-79.51	-1.63376e-36	124.614	103.315	-1.64384e-36	-1.50462	-2.21797	-1.6541e-36	-5.70937e-05	0.020059	6.68234e-05
-79.5	-1.65028e-36	124.599	103.292	-1.66046e-36	-1.50462	-2.21776	-1.67083e-36	-5.71078e-05	0.0200596	6.68728e-05
-79.49	-1.66697e-36	124.584	103.27	-1.67725e-36	-1.50462	-2.21756	-1.68773e-36	-5.71219e-05	0.0200603	6.69287e-05
-79.48	-1.68382e-36	124.569	103.248	-1.69422e-36	-1.50462	-2.21736	-1.7048e-36	-5.71361e-05	0.020061	6.69549e-05
-79.47	-1.70085e-36	124.554	103.226	-1.71135e-36	-1.50462	-2.21716	-1.72204e-36	-5.71502e-05	0.0200616	6.69801e-05
-79.46	-1.71805e-36	124.539	103.204	-1.72866e-36	-1.50462	-2.21696	-1.73946e-36	-5.71644e-05	0.0200623	6.70043e-05
-79.45	-1.73542e-36	124.524	103.181	-1.74614e-36	-1.50462	-2.21676	-1.75705e-36	-5.71786e-05	0.020063	6.70203e-05
-79.44	-1.75297e-36	124.509	103.159	-1.7638e-36	-1.50462	-2.21656	-1.77482e-36	-5.71927e-05	0.0200636	6.70432e-05
-79.43	-1.7707e-36	124.494	103.137	-1.78164e-36	-1.50462	-2.21636	-1.79277e-36	-5.72069e-05	0.0200643	6.70501e-05
-79.42	-1.78861e-36	124.478	103.115	-1.79965e-36	-1.50463	-2.21616	-1.81091e-36	-5.72211e-05	0.020065	6.7034e-05
-79.41	-1.80669e-36	124.463	103.093	-1.81786e-36	-1.50463	-2.21596	-1.82922e-36	-5.72353e-05	0.0200657	6.70413e-05
-79.4	-1.82497e-36	124.448	103.071	-1.83624e-36	-1.50463	-2.21576	-1.84772e-36	-5.72494e-05	0.0200663	6.70181e-05
-79.39	-1.84342e-36	124.433	103.049	-1.85481e-36	-1.50463	-2.21556	-1.86641e-36	-5.72636e-05	0.020067	6.70087e-05
-79.38	-1.86206e-36	124.418	103.026	-1.87357e-36	-1.50463	-2.21536	-1.88529e-36	-5.72778e-05	0.0200677	6.69949e-05
-79.37	-1.88089e-36	124.403	103.004	-1.89252e-36	-1.50463	-2.21516	-1.90436e-36	-5.7292e-05	0.0200683	6.6971e-05
-79.36	-1.89991e-36	124.388	102.982	-1.91166e-36	-1.50463	-2.21496	-1.92362e-36	-5.73063e-05	0.020069	6.69643e-05
-79.35	-1.91913e-36	124.373	102.96	-1.93099e-36	-1.50463	-2.21476	-1.94307e-36	-5.73205e-05	0.0200697	6.69528e-05
-79.34	-1.93853e-36	124.358	102.938	-1.95052e-36	-1.50463	-2.21455	-1.96273e-36	-5.73347e-05	0.0200703	6.69245e-05
-79.33	-1.95814e-36	124.343	102.916	-1.97024e-36	-1.50463	-2.21435	-1.98258e-36	-5.73489e-05	0.020071	6.69114e-05
-79.32	-1.97794e-36	124.328	102.893	-1.99017e-36	-1.50463	-2.21415	-2.00263e-36	-5.73631e-05	0.0200717	6.69265e-05
-79.31	-1.99794e-36	124.313	102.871	-2.0103e-36	-1.50463	-2.21395	-2.02288e-36	-5.73774e-05	0.0200724	6.69155e-05
-79.3	-2.01815e-36	124.298	102.849	-2.03063e-36	-1.50463	-2.21375	-2.04334e-36	-5.73916e-05	0.020073	6.69232e-05
-79.29	-2.03855e-36	124.283	102.827	-2.05117e-36	-1.50463	-2.21355	-2.06401e-36	-5.74059e-05	0.0200737	6.69409e-05
-79.28	-2.05917e-36	124.268	102.805	-2.07191e-36	-1.50463	-2.21335	-2.08489e-36	-5.74201e-05	0.0200744	6.69462e-05
-79.27	-2.07999e-36	124.253	102.783	-2.09286e-36	-1.50463	-2.21315	-2.10597e-36	-5.74344e-05	0.020075	6.69915e-05
-79.26	-2.10103e-36	124.238	102.761	-2.11403e-36	-1.50463	-2.21295	-2.12727e-36	-5.74486e-05	0.0200757	6.70169e-05
-79.25	-2.12227e-36	124.223	102.739	-2.13541e-36	-1.50463	-2.21275	-2.14879e-36	-5.74629e-05	0.0200764	6.70803e-05
-79.24	-2.14374e-36	124.208	102.716	-2.15701e-36	-1.50464	-2.21255	-2.17052e-36	-5.74772e-05	0.0200771	6.7125e-05
-79.23	-2.16542e-36	124.193	102.694	-2.17882e-36	-1.50464	-2.21235	-2.19248e-36	-5.74915e-05	0.0200777	6.71799e-05
-79.22	-2.18731e-36	124.178	102.672	-2.20086e-36	-1.50464	-2.21215	-2.21465e-36	-5.75057e-05	0.0200784	6.72149e-05
-79.21	-2.20943e-36	124.162	102.65	-2.22312e-36	-1.50464	-2.21194	-2.23705e-36	-5.752e-05	0.0200791	6.72512e-05
-79.2	-2.23178e-36	124.147	102.628	-2.2456e-36	-1.50464	-2.21174	-2.25968e-36	-5.75343e-05	0.0200797	6.72791e-05
