A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-79.9933	-1.0037e-36	125.538	999.654	-1.00984e-36	-1.50458	-23.1471	-1.0161e-36	-5.62137e-05	0.25046	-0.00796759
-79.9833	-1.01385e-36	125.523	999.422	-1.02005e-36	-1.50458	-23.1446	-1.02637e-36	-5.62275e-05	0.250464	-0.00680511
-79.9733	-1.0241e-36	125.508	999.191	-1.03037e-36	-1.50459	-23.1421	-1.03676e-36	-5.62414e-05	0.250468	-0.00668873
-79.9633	-1.03445e-36	125.493	998.959	-1.04079e-36	-1.50459	-23.1396	-1.04724e-36	-5.62552e-05	0.250471	-0.0046413
-79.9533	-1.04491e-36	125.478	998.728	-1.05131e-36	-1.50459	-23.1371	-1.05783e-36	-5.6269e-05	0.250475	-0.00373435
-79.9433	-1.05548e-36	125.463	998.497	-1.06195e-36	-1.50459	-23.1346	-1.06853e-36	-5.62828e-05	0.250479	-0.00243917
-79.9333	-1.06615e-36	125.447	998.265	-1.07268e-36	-1.50459	-23.1321	-1.07934e-36	-5.62967e-05	0.250482	-0.000202907
-79.9233	-1.07693e-36	125.432	998.034	-1.08353e-36	-1.50459	-23.1296	-1.09025e-36	-5.63105e-05	0.250486	-0.000140209
-79.9133	-1.08782e-36	125.417	997.803	-1.09449e-36	-1.50459	-23.1271	-1.10128e-36	-5.63244e-05	0.25049	0.000991827
-79.9033	-1.09882e-36	125.402	997.572	-1.10556e-36	-1.50459	-23.1246	-1.11242e-36	-5.63382e-05	0.250493	0.00305998
-79.8933	-1.10994e-36	125.387	997.34	-1.11674e-36	-1.50459	-23.1221	-1.12367e-36	-5.63521e-05	0.250497	0.00389034
-79.8833	-1.12116e-36	125.372	997.109	-1.12803e-36	-1.50459	-23.1195	-1.13503e-36	-5.63659e-05	0.250501	0.00426028
-79.8733	-1.1325e-36	125.357	996.878	-1.13944e-36	-1.50459	-23.117	-1.14651e-36	-5.63798e-05	0.250504	0.00535154
-79.8633	-1.14395e-36	125.342	996.647	-1.15096e-36	-1.50459	-23.1145	-1.15811e-36	-5.63937e-05	0.250508	0.00611934
-79.8533	-1.15552e-36	125.327	996.416	-1.1626e-36	-1.50459	-23.112	-1.16982e-36	-5.64076e-05	0.250512	0.00559978
-79.8433	-1.1672e-36	125.312	996.184	-1.17436e-36	-1.50459	-23.1095	-1.18165e-36	-5.64214e-05	0.250515	0.00701078
-79.8333	-1.179e-36	125.297	995.953	-1.18624e-36	-1.50459	-23.107	-1.1936e-36	-5.64353e-05	0.250519	0.00802901
-79.8233	-1.19093e-36	125.282	995.722	-1.19823e-36	-1.50459	-23.1045	-1.20567e-36	-5.64492e-05	0.250523	0.00851551
-79.8133	-1.20297e-36	125.267	995.491	-1.21035e-36	-1.50459	-23.102	-1.21787e-36	-5.64631e-05	0.250526	0.00903129
-79.8033	-1.21513e-36	125.252	995.26	-1.22259e-36	-1.5046	-23.0995	-1.23018e-36	-5.6477e-05	0.25053	0.0100803
-79.7933	-1.22742e-36	125.237	995.029	-1.23495e-36	-1.5046	-23.097	-1.24263e-36	-5.64909e-05	0.250534	0.0101395
-79.7833	-1.23983e-36	125.222	994.798	-1.24744e-36	-1.5046	-23.0945	-1.25519e-36	-5.65049e-05	0.250537	0.0099525
-79.7733	-1.25237e-36	125.207	994.567	-1.26006e-36	-1.5046	-23.092	-1.26789e-36	-5.65188e-05	0.250541	0.0106632
-79.7633	-1.26503e-36	125.192	994.337	-1.2728e-36	-1.5046	-23.0895	-1.28071e-36	-5.65327e-05	0.250545	0.00928448
-79.7533	-1.27783e-36	125.177	994.106	-1.28567e-36	-1.5046	-23.087	-1.29366e-36	-5.65466e-05	0.250549	0.0105035
-79.7433	-1.29075e-36	125.162	993.875	-1.29867e-36	-1.5046	-23.0845	-1.30675e-36	-5.65606e-05	0.250552	0.0108987
-79.7333	-1.3038e-36	125.147	993.644	-1.31181e-36	-1.5046	-23.082	-1.31996e-36	-5.65745e-05	0.250556	0.010978
-79.7233	-1.31699e-36	125.131	993.413	-1.32507e-36	-1.5046	-23.0795	-1.33331e-36	-5.65884e-05	0.25056	0.0105107
-79.7133	-1.3303e-36	125.116	993.182	-1.33848e-36	-1.5046	-23.077	-1.3468e-36	-5.66024e-05	0.250563	0.00979409
-79.7033	-1.34376e-36	125.101	992.952	-1.35201e-36	-1.5046	-23.0745	-1.36042e-36	-5.66164e-05	0.250567	0.0100124
