A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-79.99	-1.0093e-36	125.911	61.7818	-1.0155e-36	-1.5046	-0.906955	-1.02182e-36	-5.67216e-05	0.002136	2.11017e-05
-79.98	-1.0195e-36	125.896	61.7727	-1.02577e-36	-1.50461	-0.906934	-1.03216e-36	-5.67356e-05	0.00213621	2.11068e-05
-79.97	-1.02981e-36	125.881	61.7636	-1.03615e-36	-1.50461	-0.906912	-1.0426e-36	-5.67496e-05	0.00213642	2.1112e-05
-79.96	-1.04022e-36	125.866	61.7546	-1.04662e-36	-1.50461	-0.906891	-1.05314e-36	-5.67636e-05	0.00213663	2.11167e-05
-79.95	-1.05074e-36	125.851	61.7455	-1.05721e-36	-1.50461	-0.906869	-1.06379e-36	-5.67777e-05	0.00213685	2.11207e-05
-79.94	-1.06137e-36	125.836	61.7364	-1.0679e-36	-1.50461	-0.906848	-1.07455e-36	-5.67917e-05	0.00213706	2.11253e-05
-79.93	-1.0721e-36	125.821	61.7274	-1.0787e-36	-1.50461	-0.906827	-1.08542e-36	-5.68057e-05	0.00213727	2.11304e-05
-79.92	-1.08294e-36	125.806	61.7183	-1.08961e-36	-1.50461	-0.906805	-1.0964e-36	-5.68197e-05	0.00213748	2.11356e-05
-79.91	-1.09389e-36	125.791	61.7092	-1.10063e-36	-1.50461	-0.906784	-1.10749e-36	-5.68338e-05	0.00213769	2.11403e-05
-79.9	-1.10496e-36	125.775	61.7002	-1.11176e-36	-1.50461	-0.906763	-1.11869e-36	-5.68478e-05	0.0021379	2.11444e-05
-79.89	-1.11613e-36	125.76	61.6911	-1.123e-36	-1.50461	-0.906741	-1.13e-36	-5.68618e-05	0.00213811	2.11489e-05
-79.88	-1.12742e-36	125.745	61.682	-1.13436e-36	-1.50461	-0.90672	-1.14143e-36	-5.68759e-05	0.00213833	2.11541e-05
-79.87	-1.13882e-36	125.73	61.673	-1.14583e-36	-1.50461	-0.906698	-1.15297e-36	-5.68899e-05	0.00213854	2.11593e-05
-79.86	-1.15033e-36	125.715	61.6639	-1.15742e-36	-1.50461	-0.906677	-1.16464e-36	-5.6904e-05	0.00213875	2.1164e-05
-79.85	-1.16197e-36	125.7	61.6548	-1.16912e-36	-1.50461	-0.906656	-1.17641e-36	-5.69181e-05	0.00213896	2.11681e-05
-79.84	-1.17372e-36	125.685	61.6458	-1.18095e-36	-1.50461	-0.906634	-1.18831e-36	-5.69321e-05	0.00213917	2.11726e-05
-79.83	-1.18559e-36	125.67	61.6367	-1.19289e-36	-1.50461	-0.906613	-1.20033e-36	-5.69462e-05	0.00213938	2.11776e-05
-79.82	-1.19758e-36	125.655	61.6276	-1.20496e-36	-1.50461	-0.906592	-1.21247e-36	-5.69603e-05	0.0021396	2.11829e-05
-79.81	-1.20969e-36	125.64	61.6186	-1.21714e-36	-1.50462	-0.90657	-1.22473e-36	-5.69744e-05	0.00213981	2.11876e-05
-79.8	-1.22192e-36	125.625	61.6095	-1.22945e-36	-1.50462	-0.906549	-1.23712e-36	-5.69885e-05	0.00214002	2.11917e-05
-79.79	-1.23428e-36	125.61	61.6004	-1.24188e-36	-1.50462	-0.906527	-1.24963e-36	-5.70026e-05	0.00214023	2.11962e-05
-79.78	-1.24676e-36	125.595	61.5914	-1.25444e-36	-1.50462	-0.906506	-1.26227e-36	-5.70167e-05	0.00214044	2.12013e-05
-79.77	-1.25936e-36	125.58	61.5823	-1.26713e-36	-1.50462	-0.906485	-1.27504e-36	-5.70308e-05	0.00214066	2.12065e-05
-79.76	-1.2721e-36	125.565	61.5732	-1.27994e-36	-1.50462	-0.906463	-1.28793e-36	-5.70449e-05	0.00214087	2.12113e-05
-79.75	-1.28496e-36	125.55	61.5642	-1.29289e-36	-1.50462	-0.906442	-1.30096e-36	-5.7059e-05	0.00214108	2.12155e-05
-79.74	-1.29796e-36	125.535	61.5551	-1.30596e-36	-1.50462	-0.90642	-1.31412e-36	-5.70731e-05	0.00214129	2.12199e-05
-79.73	-1.31108e-36	125.52	61.546	-1.31917e-36	-1.50462	-0.906399	-1.32741e-36	-5.70873e-05	0.0021415	2.1225e-05
-79.72	-1.32434e-36	125.505	61.537	-1.33251e-36	-1.50462	-0.906377	-1.34084e-36	-5.71014e-05	0.00214172	2.12303e-05
-79.71	-1.33773e-36	125.49	61.5279	-1.34599e-36	-1.50462	-0.906356	-1.3544e-36	-5.71155e-05	0.00214193	2.12351e-05
