A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-79.99	-1.00782e-36	126.035	21.7622	-1.014e-36	-1.50459	-0.0914521	-1.02029e-36	-5.63894e-05	-0.000726644	3.9366e+13
-79.98	-1.01801e-36	126.02	21.7613	-1.02425e-36	-1.50459	-0.0914594	-1.03061e-36	-5.64033e-05	-0.000726791	3.9129e+13
-79.97	-1.0283e-36	126.004	21.7604	-1.03461e-36	-1.50459	-0.0914666	-1.04103e-36	-5.64171e-05	-0.000726938	3.88934e+13
-79.96	-1.0387e-36	125.989	21.7594	-1.04507e-36	-1.50459	-0.0914739	-1.05156e-36	-5.6431e-05	-0.000727085	3.86593e+13
-79.95	-1.04921e-36	125.974	21.7585	-1.05564e-36	-1.50459	-0.0914812	-1.0622e-36	-5.64449e-05	-0.000727233	3.84266e+13
-79.94	-1.05982e-36	125.959	21.7576	-1.06632e-36	-1.50459	-0.0914884	-1.07294e-36	-5.64588e-05	-0.00072738	3.81952e+13
-79.93	-1.07053e-36	125.944	21.7567	-1.0771e-36	-1.50459	-0.0914957	-1.08379e-36	-5.64727e-05	-0.000727527	3.79653e+13
-79.92	-1.08136e-36	125.929	21.7558	-1.08799e-36	-1.5046	-0.091503	-1.09475e-36	-5.64866e-05	-0.000727675	3.77367e+13
-79.91	-1.09229e-36	125.914	21.7549	-1.099e-36	-1.5046	-0.0915103	-1.10582e-36	-5.65005e-05	-0.000727822	3.75096e+13
-79.9	-1.10334e-36	125.899	21.754	-1.11011e-36	-1.5046	-0.0915175	-1.11701e-36	-5.65145e-05	-0.00072797	3.72838e+13
-79.89	-1.1145e-36	125.884	21.753	-1.12134e-36	-1.5046	-0.0915248	-1.12831e-36	-5.65284e-05	-0.000728117	3.70594e+13
-79.88	-1.12577e-36	125.869	21.7521	-1.13268e-36	-1.5046	-0.0915321	-1.13972e-36	-5.65423e-05	-0.000728265	3.68363e+13
-79.87	-1.13715e-36	125.854	21.7512	-1.14413e-36	-1.5046	-0.0915394	-1.15124e-36	-5.65562e-05	-0.000728413	3.66146e+13
-79.86	-1.14865e-36	125.839	21.7503	-1.1557e-36	-1.5046	-0.0915467	-1.16289e-36	-5.65702e-05	-0.00072856	3.63942e+13
-79.85	-1.16026e-36	125.824	21.7494	-1.16739e-36	-1.5046	-0.091554	-1.17465e-36	-5.65841e-05	-0.000728708	3.61752e+13
-79.84	-1.172e-36	125.809	21.7485	-1.1792e-36	-1.5046	-0.0915612	-1.18653e-36	-5.6598e-05	-0.000728856	3.59574e+13
-79.83	-1.18385e-36	125.794	21.7476	-1.19112e-36	-1.5046	-0.0915685	-1.19853e-36	-5.6612e-05	-0.000729004	3.5741e+13
-79.82	-1.19582e-36	125.779	21.7466	-1.20317e-36	-1.5046	-0.0915758	-1.21065e-36	-5.6626e-05	-0.000729152	3.55259e+13
-79.81	-1.20791e-36	125.764	21.7457	-1.21533e-36	-1.5046	-0.0915831	-1.22289e-36	-5.66399e-05	-0.0007293	3.53121e+13
-79.8	-1.22013e-36	125.749	21.7448	-1.22763e-36	-1.5046	-0.0915904	-1.23526e-36	-5.66539e-05	-0.000729448	3.50996e+13
-79.79	-1.23246e-36	125.734	21.7439	-1.24004e-36	-1.5046	-0.0915977	-1.24776e-36	-5.66679e-05	-0.000729596	3.48884e+13
-79.78	-1.24493e-36	125.719	21.743	-1.25258e-36	-1.5046	-0.091605	-1.26037e-36	-5.66818e-05	-0.000729744	3.46784e+13
-79.77	-1.25752e-36	125.704	21.7421	-1.26525e-36	-1.5046	-0.0916123	-1.27312e-36	-5.66958e-05	-0.000729892	3.44698e+13
-79.76	-1.27023e-36	125.689	21.7411	-1.27804e-36	-1.5046	-0.0916196	-1.286e-36	-5.67098e-05	-0.00073004	3.42623e+13
-79.75	-1.28308e-36	125.673	21.7402	-1.29097e-36	-1.50461	-0.0916269	-1.299e-36	-5.67238e-05	-0.000730189	3.40562e+13
-79.74	-1.29605e-36	125.658	21.7393	-1.30402e-36	-1.50461	-0.0916342	-1.31214e-36	-5.67378e-05	-0.000730337	3.38513e+13
-79.73	-1.30916e-36	125.643	21.7384	-1.31721e-36	-1.50461	-0.0916415	-1.32541e-36	-5.67518e-05	-0.000730485	3.36476e+13
-79.72	-1.3224e-36	125.628	21.7375	-1.33053e-36	-1.50461	-0.0916488	-1.33882e-36	-5.67658e-05	-0.000730634	3.34451e+13
-79.71	-1.33577e-36	125.613	21.7366	-1.34399e-36	-1.50461	-0.0916561	-1.35236e-36	-5.67798e-05	-0.000730782	3.32439e+13
-79.7	-1.34928e-36	125.598	21.7356	-1.35758e-36	-1.50461	-0.0916634	-1.36604e-36	-5.67939e-05	-0.000730931	3.30439e+13
-79.69	-1.36292e-36	125.583	21.7347	-1.37131e-36	-1.50461	-0.0916707	-1.37985e-36	-5.68079e-05	-0.000731079	3.28451e+13
-79.68	-1.3767e-36	125.568	21.7338	-1.38518e-36	-1.50461	-0.0916781	-1.39381e-36	-5.68219e-05	-0.000731228	3.26475e+13
-79.67	-1.39063e-36	125.553	21.7329	-1.39919e-36	-1.50461	-0.0916854	-1.4079e-36	-5.68359e-05	-0.000731376	3.24511e+13
-79.66	-1.40469e-36	125.538	21.732	-1.41334e-36	-1.50461	-0.0916927	-1.42214e-36	-5.685e-05	-0.000731525	3.22558e+13
-79.65	-1.41889e-36	125.523	21.7311	-1.42763e-36	-1.50461	-0.0917	-1.43653e-36	-5.6864e-05	-0.000731674	3.20618e+13
-79.64	-1.43324e-36	125.508	21.7301	-1.44207e-36	-1.50461	-0.0917073	-1.45106e-36	-5.68781e-05	-0.000731823	3.18689e+13
-79.63	-1.44774e-36	125.493	21.7292	-1.45665e-36	-1.50461	-0.0917146	-1.46573e-36	-5.68921e-05	-0.000731971	3.16772e+13
-79.62	-1.46238e-36	125.478	21.7283	-1.47138e-36	-1.50461	-0.091722	-1.48056e-36	-5.69062e-05	-0.00073212	3.14867e+13
-79.61	-1.47716e-36	125.463	21.7274	-1.48626e-36	-1.50461	-0.0917293	-1.49553e-36	-5.69203e-05	-0.000732269	3.12973e+13
-79.6	-1.4921e-36	125.448	21.7265	-1.50129e-36	-1.50461	-0.0917366	-1.51066e-36	-5.69343e-05	-0.000732418	3.1109e+13
-79.59	-1.50719e-36	125.433	21.7256	-1.51648e-36	-1.50461	-0.0917439	-1.52594e-36	-5.69484e-05	-0.000732567	3.09219e+13
-79.58	-1.52243e-36	125.418	21.7246	-1.53181e-36	-1.50461	-0.0917512	-1.54137e-36	-5.69625e-05	-0.000732716	3.07359e+13
-79.57	-1.53783e-36	125.403	21.7237	-1.5473e-36	-1.50462	-0.0917586	-1.55696e-36	-5.69766e-05	-0.000732866	3.0551e+13
-79.56	-1.55338e-36	125.388	21.7228	-1.56295e-36	-1.50462	-0.0917659	-1.57271e-36	-5.69907e-05	-0.000733015	3.03673e+13
-79.55	-1.56909e-36	125.373	21.7219	-1.57876e-36	-1.50462	-0.0917732	-1.58861e-36	-5.70048e-05	-0.000733164	3.01847e+13
-79.54	-1.58495e-36	125.357	21.721	-1.59473e-36	-1.50462	-0.0917806	-1.60468e-36	-5.70189e-05	-0.000733313	3.00031e+13
-79.53	-1.60098e-36	125.342	21.72	-1.61085e-36	-1.50462	-0.0917879	-1.62091e-36	-5.7033e-05	-0.000733463	2.98227e+13
-79.52	-1.61717e-36	125.327	21.7191	-1.62714e-36	-1.50462	-0.0917952	-1.6373e-36	-5.70471e-05	-0.000733612	2.96433e+13
-79.51	-1.63352e-36	125.312	21.7182	-1.6436e-36	-1.50462	-0.0918026	-1.65386e-36	-5.70612e-05	-0.000733761	2.94651e+13
-79.5	-1.65004e-36	125.297	21.7173	-1.66022e-36	-1.50462	-0.0918099	-1.67059e-36	-5.70753e-05	-0.000733911	2.92879e+13
-79.49	-1.66673e-36	125.282	21.7164	-1.67701e-36	-1.50462	-0.0918173	-1.68749e-36	-5.70895e-05	-0.00073406	2.91118e+13
-79.48	-1.68358e-36	125.267	21.7155	-1.69397e-36	-1.50462	-0.0918246	-1.70455e-36	-5.71036e-05	-0.00073421	2.89367e+13
-79.47	-1.70061e-36	125.252	21.7145	-1.7111e-36	-1.50462	-0.0918319	-1.72179e-36	-5.71177e-05	-0.00073436	2.87627e+13
-79.46	-1.71781e-36	125.237	21.7136	-1.72841e-36	-1.50462	-0.0918393	-1.73921e-36	-5.71319e-05	-0.000734509	2.85898e+13
-79.45	-1.73518e-36	125.222	21.7127	-1.74589e-36	-1.50462	-0.0918466	-1.7568e-36	-5.7146e-05	-0.000734659	2.84179e+13
-79.44	-1.75273e-36	125.207	21.7118	-1.76355e-36	-1.50462	-0.091854	-1.77457e-36	-5.71602e-05	-0.000734809	2.8247e+13
-79.43	-1.77045e-36	125.192	21.7109	-1.78138e-36	-1.50462	-0.0918613	-1.79251e-36	-5.71743e-05	-0.000734959	2.80772e+13
-79.42	-1.78835e-36	125.177	21.7099	-1.7994e-36	-1.50462	-0.0918687	-1.81064e-36	-5.71885e-05	-0.000735108	2.79084e+13
-79.41	-1.80644e-36	125.162	21.709	-1.81759e-36	-1.50462	-0.091876	-1.82896e-36	-5.72027e-05	-0.000735258	2.77406e+13
-79.4	-1.82471e-36	125.147	21.7081	-1.83598e-36	-1.50462	-0.0918834	-1.84745e-36	-5.72168e-05	-0.000735408	2.75738e+13
-79.39	-1.84316e-36	125.132	21.7072	-1.85454e-36	-1.50463	-0.0918907	-1.86614e-36	-5.7231e-05	-0.000735558	2.7408e+13
-79.38	-1.8618e-36	125.117	21.7063	-1.8733e-36	-1.50463	-0.0918981	-1.88501e-36	-5.72452e-05	-0.000735708	2.72433e+13
-79.37	-1.88063e-36	125.102	21.7054	-1.89224e-36	-1.50463	-0.0919054	-1.90408e-36	-5.72594e-05	-0.000735859	2.70795e+13
-79.36	-1.89964e-36	125.087	21.7044	-1.91138e-36	-1.50463	-0.0919128	-1.92334e-36	-5.72736e-05	-0.000736009	2.69167e+13
-79.35	-1.91885e-36	125.072	21.7035	-1.93071e-36	-1.50463	-0.0919202	-1.94279e-36	-5.72878e-05	-0.000736159	2.67549e+13
-79.34	-1.93826e-36	125.057	21.7026	-1.95024e-36	-1.50463	-0.0919275	-1.96244e-36	-5.7302e-05	-0.000736309	2.65941e+13
-79.33	-1.95786e-36	125.042	21.7017	-1.96996e-36	-1.50463	-0.0919349	-1.98229e-36	-5.73162e-05	-0.00073646	2.64342e+13
-79.32	-1.97766e-36	125.026	21.7008	-1.98988e-36	-1.50463	-0.0919423	-2.00234e-36	-5.73304e-05	-0.00073661	2.62753e+13
-79.31	-1.99766e-36	125.011	21.6998	-2.01001e-36	-1.50463	-0.0919496	-2.02259e-36	-5.73447e-05	-0.00073676	2.61174e+13
-79.3	-2.01786e-36	124.996	21.6989	-2.03034e-36	-1.50463	-0.091957	-2.04305e-36	-5.73589e-05	-0.000736911	2.59604e+13
-79.29	-2.03826e-36	124.981	21.698	-2.05087e-36	-1.50463	-0.0919644	-2.06371e-36	-5.73731e-05	-0.000737061	2.58044e+13
-79.28	-2.05888e-36	124.966	21.6971	-2.07161e-36	-1.50463	-0.0919717	-2.08458e-36	-5.73874e-05	-0.000737212	2.56493e+13
-79.27	-2.0797e-36	124.951	21.6962	-2.09256e-36	-1.50463	-0.0919791	-2.10567e-36	-5.74016e-05	-0.000737362	2.54951e+13
-79.26	-2.10073e-36	124.936	21.6952	-2.11373e-36	-1.50463	-0.0919865	-2.12696e-36	-5.74159e-05	-0.000737513	2.53419e+13
-79.25	-2.12197e-36	124.921	21.6943	-2.1351e-36	-1.50463	-0.0919939	-2.14848e-36	-5.74301e-05	-0.000737664	2.51896e+13
-79.24	-2.14343e-36	124.906	21.6934	-2.1567e-36	-1.50463	-0.0920012	-2.17021e-36	-5.74444e-05	-0.000737815	2.50382e+13
-79.23	-2.16511e-36	124.891	21.6925	-2.17851e-36	-1.50463	-0.0920086	-2.19216e-36	-5.74586e-05	-0.000737965	2.48878e+13
-79.22	-2.187e-36	124.876	21.6916	-2.20054e-36	-1.50464	-0.092016	-2.21433e-36	-5.74729e-05	-0.000738116	2.47382e+13
-79.21	-2.20912e-36	124.861	21.6906	-2.2228e-36	-1.50464	-0.0920234	-2.23673e-36	-5.74872e-05	-0.000738267	2.45896e+13
-79.2	-2.23146e-36	124.846	21.6897	-2.24528e-36	-1.50464	-0.0920308	-2.25935e-36	-5.75015e-05	-0.000738418	2.44418e+13
-79.19	-2.25403e-36	124.831	21.6888	-2.26798e-36	-1.50464	-0.0920381	-2.2822e-36	-5.75158e-05	-0.000738569	2.42949e+13
-79.18	-2.27682e-36	124.816	21.6879	-2.29092e-36	-1.50464	-0.0920455	-2.30528e-36	-5.753e-05	-0.00073872	2.41489e+13
-79.17	-2.29984e-36	124.801	21.687	-2.31409e-36	-1.50464	-0.0920529	-2.3286e-36	-5.75444e-05	-0.000738871	2.40038e+13
-79.16	-2.3231e-36	124.786	21.686	-2.33749e-36	-1.50464	-0.0920603	-2.35215e-36	-5.75587e-05	-0.000739022	2.38596e+13
-79.15	-2.3466e-36	124.771	21.6851	-2.36113e-36	-1.50464	-0.0920677	-2.37594e-36	-5.7573e-05	-0.000739174	2.37163e+13
-79.14	-2.37033e-36	124.756	21.6842	-2.38501e-36	-1.50464	-0.0920751	-2.39997e-36	-5.75873e-05	-0.000739325	2.35738e+13
-79.13	-2.3943e-36	124.741	21.6833	-2.40913e-36	-1.50464	-0.0920825	-2.42425e-36	-5.76016e-05	-0.000739476	2.34321e+13
-79.12	-2.41851e-36	124.726	21.6824	-2.4335e-36	-1.50464	-0.0920899	-2.44877e-36	-5.76159e-05	-0.000739628	2.32914e+13
-79.11	-2.44297e-36	124.711	21.6814	-2.45811e-36	-1.50464	-0.0920973	-2.47353e-36	-5.76303e-05	-0.000739779	2.31514e+13
