A	Vg	Vf	k	w
-79.9933	8.91538e+72	0	4.88895e-71	3.72509e-70
-79.9833	8.73777e+72	0	4.98771e-71	3.80011e-70
-79.9733	8.5637e+72	0	5.08846e-71	3.87663e-70
-79.9633	8.3931e+72	0	5.19126e-71	3.9547e-70
-79.9533	8.22589e+72	0	5.29612e-71	4.03434e-70
-79.9433	8.06202e+72	0	5.40311e-71	4.11558e-70
-79.9333	7.90141e+72	0	5.51226e-71	4.19846e-70
-79.9233	7.744e+72	0	5.62361e-71	4.28301e-70
-79.9133	7.58973e+72	0	5.73722e-71	4.36926e-70
-79.9033	7.43853e+72	0	5.85311e-71	4.45725e-70
-79.8933	7.29034e+72	0	5.97135e-71	4.54701e-70
-79.8833	7.1451e+72	0	6.09198e-71	4.63858e-70
-79.8733	7.00276e+72	0	6.21504e-71	4.73199e-70
-79.8633	6.86325e+72	0	6.34059e-71	4.82728e-70
-79.8533	6.72652e+72	0	6.46868e-71	4.92449e-70
-79.8433	6.59252e+72	0	6.59935e-71	5.02366e-70
-79.8333	6.46119e+72	0	6.73267e-71	5.12482e-70
-79.8233	6.33247e+72	0	6.86867e-71	5.22803e-70
-79.8133	6.20631e+72	0	7.00743e-71	5.33331e-70
-79.8033	6.08267e+72	0	7.14898e-71	5.44071e-70
-79.7933	5.96149e+72	0	7.2934e-71	5.55027e-70
-79.7833	5.84273e+72	0	7.44073e-71	5.66204e-70
-79.7733	5.72633e+72	0	7.59104e-71	5.77606e-70
-79.7633	5.61225e+72	0	7.74439e-71	5.89238e-70
-79.7533	5.50044e+72	0	7.90083e-71	6.01104e-70
-79.7433	5.39086e+72	0	8.06044e-71	6.13209e-70
-79.7333	5.28347e+72	0	8.22327e-71	6.25558e-70
-79.7233	5.17821e+72	0	8.38939e-71	6.38155e-70
-79.7133	5.07505e+72	0	8.55886e-71	6.51006e-70
-79.7033	4.97395e+72	0	8.73176e-71	6.64116e-70
-79.6933	4.87485e+72	0	8.90815e-71	6.77489e-70
-79.6833	4.77774e+72	0	9.0881e-71	6.91133e-70
-79.6733	4.68256e+72	0	9.27169e-71	7.0505e-70
-79.6633	4.58927e+72	0	9.45899e-71	7.19248e-70
-79.6533	4.49784e+72	0	9.65007e-71	7.33732e-70
-79.6433	4.40824e+72	0	9.84501e-71	7.48508e-70
-79.6333	4.32041e+72	0	1.00439e-70	7.63581e-70
-79.6233	4.23434e+72	0	1.02468e-70	7.78958e-70
-79.6133	4.14998e+72	0	1.04538e-70	7.94645e-70
-79.6033	4.06731e+72	0	1.0665e-70	8.10647e-70
-79.5933	3.98628e+72	0	1.08804e-70	8.26971e-70
-79.5833	3.90686e+72	0	1.11002e-70	8.43625e-70
-79.5733	3.82903e+72	0	1.13244e-70	8.60613e-70
-79.5633	3.75275e+72	0	1.15532e-70	8.77944e-70
-79.5533	3.67798e+72	0	1.17866e-70	8.95624e-70
-79.5433	3.60471e+72	0	1.20247e-70	9.13659e-70
-79.5333	3.5329e+72	0	1.22676e-70	9.32058e-70
-79.5233	3.46251e+72	0	1.25154e-70	9.50828e-70
-79.5133	3.39353e+72	0	1.27682e-70	9.69975e-70
-79.5033	3.32593e+72	0	1.30262e-70	9.89508e-70
-79.4933	3.25967e+72	0	1.32893e-70	1.00943e-69
-79.4833	3.19472e+72	0	1.35578e-70	1.02976e-69
-79.4733	3.13108e+72	0	1.38316e-70	1.0505e-69
-79.4633	3.0687e+72	0	1.41111e-70	1.07165e-69
-79.4533	3.00756e+72	0	1.43961e-70	1.09323e-69
-79.4433	2.94765e+72	0	1.46869e-70	1.11525e-69
-79.4333	2.88892e+72	0	1.49836e-70	1.13771e-69
-79.4233	2.83137e+72	0	1.52863e-70	1.16062e-69
-79.4133	2.77496e+72	0	1.55951e-70	1.18399e-69
-79.4033	2.71968e+72	0	1.59101e-70	1.20783e-69
-79.3933	2.66549e+72	0	1.62315e-70	1.23215e-69
-79.3833	2.61239e+72	0	1.65594e-70	1.25697e-69
-79.3733	2.56034e+72	0	1.68939e-70	1.28228e-69
