A	Vg	Vf	k	w
-9.99	1.88978e+11	0	6.72229e-10	5.26341e-09
-9.98	1.85067e+11	0	6.85755e-10	5.36685e-09
-9.97	1.81236e+11	0	6.99553e-10	5.47232e-09
-9.96	1.77484e+11	0	7.13628e-10	5.57986e-09
-9.95	1.7381e+11	0	7.27987e-10	5.68951e-09
-9.94	1.70212e+11	0	7.42634e-10	5.80131e-09
-9.93	1.66688e+11	0	7.57575e-10	5.9153e-09
-9.92	1.63237e+11	0	7.72817e-10	6.03153e-09
-9.91	1.59857e+11	0	7.88366e-10	6.15004e-09
-9.9	1.56547e+11	0	8.04227e-10	6.27088e-09
-9.89	1.53306e+11	0	8.20406e-10	6.39408e-09
-9.88	1.50131e+11	0	8.36911e-10	6.5197e-09
-9.87	1.47023e+11	0	8.53748e-10	6.64779e-09
-9.86	1.43978e+11	0	8.70923e-10	6.77838e-09
-9.85	1.40996e+11	0	8.88444e-10	6.91154e-09
-9.84	1.38076e+11	0	9.06316e-10	7.04731e-09
-9.83	1.35216e+11	0	9.24548e-10	7.18575e-09
-9.82	1.32416e+11	0	9.43146e-10	7.32689e-09
-9.81	1.29673e+11	0	9.62118e-10	7.47081e-09
-9.8	1.26987e+11	0	9.81472e-10	7.61755e-09
-9.79	1.24357e+11	0	1.00121e-09	7.76716e-09
-9.78	1.21781e+11	0	1.02135e-09	7.91971e-09
-9.77	1.19258e+11	0	1.0419e-09	8.07525e-09
-9.76	1.16787e+11	0	1.06285e-09	8.23384e-09
-9.75	1.14368e+11	0	1.08423e-09	8.39553e-09
-9.74	1.11998e+11	0	1.10604e-09	8.5604e-09
-9.73	1.09678e+11	0	1.12829e-09	8.7285e-09
-9.72	1.07405e+11	0	1.15098e-09	8.8999e-09
-9.71	1.0518e+11	0	1.17413e-09	9.07465e-09
-9.7	1.03e+11	0	1.19774e-09	9.25283e-09
-9.69	1.00866e+11	0	1.22183e-09	9.4345e-09
-9.68	9.87756e+10	0	1.2464e-09	9.61974e-09
-9.67	9.67286e+10	0	1.27147e-09	9.8086e-09
-9.66	9.47239e+10	0	1.29704e-09	1.00012e-08
-9.65	9.27607e+10	0	1.32312e-09	1.01975e-08
