A	Vg	Vf	k	w
-9.99	1.89217e+11	0	2.37104e-10	2.92624e-09
-9.98	1.853e+11	0	2.41876e-10	2.98372e-09
-9.97	1.81465e+11	0	2.46744e-10	3.04233e-09
-9.96	1.77708e+11	0	2.51709e-10	3.10208e-09
-9.95	1.74029e+11	0	2.56774e-10	3.16301e-09
-9.94	1.70427e+11	0	2.61942e-10	3.22514e-09
-9.93	1.66898e+11	0	2.67213e-10	3.28848e-09
-9.92	1.63443e+11	0	2.7259e-10	3.35306e-09
-9.91	1.60059e+11	0	2.78075e-10	3.41891e-09
-9.9	1.56745e+11	0	2.83671e-10	3.48605e-09
-9.89	1.53499e+11	0	2.89379e-10	3.55451e-09
-9.88	1.50321e+11	0	2.95201e-10	3.62431e-09
-9.87	1.47208e+11	0	3.01141e-10	3.69548e-09
-9.86	1.4416e+11	0	3.072e-10	3.76804e-09
-9.85	1.41174e+11	0	3.13382e-10	3.84203e-09
-9.84	1.38251e+11	0	3.19687e-10	3.91746e-09
-9.83	1.35387e+11	0	3.26119e-10	3.99438e-09
-9.82	1.32583e+11	0	3.32681e-10	4.0728e-09
-9.81	1.29837e+11	0	3.39374e-10	4.15276e-09
-9.8	1.27148e+11	0	3.46202e-10	4.23428e-09
-9.79	1.24514e+11	0	3.53167e-10	4.31741e-09
-9.78	1.21935e+11	0	3.60272e-10	4.40216e-09
-9.77	1.19409e+11	0	3.6752e-10	4.48857e-09
-9.76	1.16935e+11	0	3.74914e-10	4.57668e-09
-9.75	1.14512e+11	0	3.82456e-10	4.66651e-09
-9.74	1.1214e+11	0	3.9015e-10	4.7581e-09
-9.73	1.09816e+11	0	3.97999e-10	4.85149e-09
-9.72	1.07541e+11	0	4.06006e-10	4.94671e-09
-9.71	1.05313e+11	0	4.14173e-10	5.04379e-09
-9.7	1.03131e+11	0	4.22504e-10	5.14277e-09
-9.69	1.00993e+11	0	4.31003e-10	5.2437e-09
-9.68	9.89005e+10	0	4.39673e-10	5.3466e-09
-9.67	9.68509e+10	0	4.48517e-10	5.45151e-09
-9.66	9.48437e+10	0	4.57539e-10	5.55849e-09
-9.65	9.2878e+10	0	4.66742e-10	5.66755e-09
-9.64	9.09529e+10	0	4.7613e-10	5.77875e-09
-9.63	8.90677e+10	0	4.85707e-10	5.89214e-09
-9.62	8.72215e+10	0	4.95476e-10	6.00774e-09
-9.61	8.54135e+10	0	5.05442e-10	6.1256e-09
-9.6	8.36428e+10	0	5.15607e-10	6.24577e-09
-9.59	8.19089e+10	0	5.25978e-10	6.3683e-09
-9.58	8.02108e+10	0	5.36556e-10	6.49323e-09
-9.57	7.85478e+10	0	5.47347e-10	6.6206e-09
-9.56	7.69192e+10	0	5.58355e-10	6.75046e-09
-9.55	7.53244e+10	0	5.69584e-10	6.88287e-09
-9.54	7.37625e+10	0	5.81039e-10	7.01787e-09
-9.53	7.2233e+10	0	5.92724e-10	7.15552e-09
-9.52	7.07351e+10	0	6.04643e-10	7.29586e-09
-9.51	6.92683e+10	0	6.16802e-10	7.43894e-09
-9.5	6.78317e+10	0	6.29206e-10	7.58483e-09
-9.49	6.6425e+10	0	6.41858e-10	7.73357e-09
-9.48	6.50473e+10	0	6.54765e-10	7.88522e-09
-9.47	6.36981e+10	0	6.67931e-10	8.03985e-09
-9.46	6.23769e+10	0	6.81362e-10	8.19749e-09
-9.45	6.10831e+10	0	6.95062e-10	8.35823e-09
-9.44	5.9816e+10	0	7.09038e-10	8.52211e-09
-9.43	5.85751e+10	0	7.23294e-10	8.68919e-09
-9.42	5.736e+10	0	7.37837e-10	8.85955e-09
-9.41	5.617e+10	0	7.52672e-10	9.03324e-09
-9.4	5.50046e+10	0	7.67805e-10	9.21033e-09
-9.39	5.38634e+10	0	7.83242e-10	9.39088e-09
-9.38	5.27458e+10	0	7.98989e-10	9.57496e-09
-9.37	5.16513e+10	0	8.15052e-10	9.76265e-09
-9.36	5.05795e+10	0	8.31438e-10	9.95401e-09
-9.35	4.95299e+10	0	8.48153e-10	1.01491e-08
-9.34	4.8502e+10	0	8.65204e-10	1.0348e-08
-9.33	4.74955e+10	0	8.82597e-10	1.05508e-08
-9.32	4.65097e+10	0	9.0034e-10	1.07576e-08
-9.31	4.55444e+10	0	9.18438e-10	1.09684e-08
-9.3	4.45991e+10	0	9.36901e-10	1.11834e-08
-9.29	4.36734e+10	0	9.55734e-10	1.14025e-08
-9.28	4.27668e+10	0	9.74945e-10	1.1626e-08
-9.27	4.1879e+10	0	9.94542e-10	1.18538e-08
-9.26	4.10096e+10	0	1.01453e-09	1.2086e-08
-9.25	4.01583e+10	0	1.03492e-09	1.23228e-08
-9.24	3.93245e+10	0	1.05573e-09	1.25643e-08
-9.23	3.85081e+10	0	1.07695e-09	1.28104e-08
-9.22	3.77085e+10	0	1.09859e-09	1.30614e-08
-9.21	3.69255e+10	0	1.12067e-09	1.33173e-08
-9.2	3.61588e+10	0	1.14319e-09	1.35781e-08
-9.19	3.54079e+10	0	1.16617e-09	1.38441e-08
-9.18	3.46726e+10	0	1.18961e-09	1.41153e-08
-9.17	3.39526e+10	0	1.21351e-09	1.43917e-08
-9.16	3.32474e+10	0	1.2379e-09	1.46736e-08
-9.15	3.25569e+10	0	1.26278e-09	1.4961e-08
-9.14	3.18807e+10	0	1.28815e-09	1.5254e-08
-9.13	3.12185e+10	0	1.31404e-09	1.55527e-08
-9.12	3.057e+10	0	1.34044e-09	1.58573e-08
-9.11	2.9935e+10	0	1.36738e-09	1.61678e-08
-9.1	2.93131e+10	0	1.39485e-09	1.64844e-08
-9.09	2.87041e+10	0	1.42288e-09	1.68072e-08
-9.08	2.81078e+10	0	1.45147e-09	1.71363e-08
-9.07	2.75238e+10	0	1.48063e-09	1.74718e-08
-9.06	2.69519e+10	0	1.51038e-09	1.78139e-08
-9.05	2.63919e+10	0	1.54073e-09	1.81626e-08
-9.04	2.58435e+10	0	1.57168e-09	1.85182e-08
-9.03	2.53064e+10	0	1.60326e-09	1.88807e-08
-9.02	2.47805e+10	0	1.63547e-09	1.92503e-08
-9.01	2.42655e+10	0	1.66833e-09	1.96271e-08
-9	2.37612e+10	0	1.70184e-09	2.00113e-08
-8.99	2.32674e+10	0	1.73603e-09	2.04029e-08
-8.98	2.27837e+10	0	1.77091e-09	2.08023e-08
-8.97	2.23102e+10	0	1.80648e-09	2.12094e-08
-8.96	2.18464e+10	0	1.84277e-09	2.16245e-08
-8.95	2.13923e+10	0	1.87979e-09	2.20476e-08
-8.94	2.09475e+10	0	1.91754e-09	2.24791e-08
-8.93	2.0512e+10	0	1.95606e-09	2.29189e-08
-8.92	2.00856e+10	0	1.99535e-09	2.33674e-08
-8.91	1.9668e+10	0	2.03543e-09	2.38246e-08
-8.9	1.9259e+10	0	2.07631e-09	2.42907e-08
-8.89	1.88586e+10	0	2.11801e-09	2.4766e-08
-8.88	1.84664e+10	0	2.16055e-09	2.52505e-08
-8.87	1.80824e+10	0	2.20394e-09	2.57445e-08
-8.86	1.77063e+10	0	2.2482e-09	2.62481e-08
-8.85	1.73381e+10	0	2.29335e-09	2.67615e-08
-8.84	1.69775e+10	0	2.33941e-09	2.7285e-08
-8.83	1.66244e+10	0	2.38639e-09	2.78187e-08
-8.82	1.62786e+10	0	2.43431e-09	2.83628e-08
-8.81	1.594e+10	0	2.48319e-09	2.89175e-08
-8.8	1.56084e+10	0	2.53306e-09	2.9483e-08
-8.79	1.52837e+10	0	2.58392e-09	3.00596e-08
-8.78	1.49657e+10	0	2.6358e-09	3.06474e-08
-8.77	1.46543e+10	0	2.68873e-09	3.12467e-08
-8.76	1.43494e+10	0	2.74271e-09	3.18577e-08
-8.75	1.40509e+10	0	2.79778e-09	3.24806e-08
-8.74	1.37585e+10	0	2.85395e-09	3.31156e-08
-8.73	1.34722e+10	0	2.91125e-09	3.37631e-08
-8.72	1.31919e+10	0	2.9697e-09	3.44232e-08
-8.71	1.29173e+10	0	3.02932e-09	3.50961e-08
-8.7	1.26485e+10	0	3.09013e-09	3.57822e-08
-8.69	1.23852e+10	0	3.15217e-09	3.64816e-08
-8.68	1.21274e+10	0	3.21545e-09	3.71947e-08
-8.67	1.1875e+10	0	3.27999e-09	3.79217e-08
-8.66	1.16278e+10	0	3.34583e-09	3.86629e-08
-8.65	1.13858e+10	0	3.41299e-09	3.94185e-08
-8.64	1.11487e+10	0	3.4815e-09	4.01889e-08
-8.63	1.09166e+10	0	3.55138e-09	4.09743e-08
-8.62	1.06894e+10	0	3.62266e-09	4.1775e-08
-8.61	1.04668e+10	0	3.69537e-09	4.25913e-08
-8.6	1.02489e+10	0	3.76954e-09	4.34235e-08
-8.59	1.00355e+10	0	3.8452e-09	4.42719e-08
-8.58	9.82648e+09	0	3.92237e-09	4.51369e-08
-8.57	9.62184e+09	0	4.00108e-09	4.60187e-08
-8.56	9.42146e+09	0	4.08138e-09	4.69177e-08
-8.55	9.22524e+09	0	4.16328e-09	4.78343e-08
-8.54	9.0331e+09	0	4.24683e-09	4.87687e-08
-8.53	8.84495e+09	0	4.33205e-09	4.97213e-08
-8.52	8.66071e+09	0	4.41898e-09	5.06924e-08
-8.51	8.4803e+09	0	4.50765e-09	5.16825e-08
-8.5	8.30364e+09	0	4.59809e-09	5.26919e-08
-8.49	8.13065e+09	0	4.69035e-09	5.3721e-08
-8.48	7.96126e+09	0	4.78446e-09	5.47701e-08
-8.47	7.79539e+09	0	4.88045e-09	5.58396e-08
-8.46	7.63296e+09	0	4.97837e-09	5.693e-08
-8.45	7.47392e+09	0	5.07824e-09	5.80416e-08
-8.44	7.31818e+09	0	5.18012e-09	5.91748e-08
-8.43	7.16567e+09	0	5.28404e-09	6.03302e-08
-8.42	7.01634e+09	0	5.39004e-09	6.1508e-08
-8.41	6.87011e+09	0	5.49817e-09	6.27087e-08
-8.4	6.72692e+09	0	5.60846e-09	6.39329e-08
-8.39	6.58671e+09	0	5.72096e-09	6.51809e-08
-8.38	6.44942e+09	0	5.83571e-09	6.64532e-08
-8.37	6.31498e+09	0	5.95277e-09	6.77502e-08
-8.36	6.18334e+09	0	6.07216e-09	6.90725e-08
-8.35	6.05443e+09	0	6.19395e-09	7.04206e-08
-8.34	5.92821e+09	0	6.31818e-09	7.17948e-08
-8.33	5.80461e+09	0	6.44489e-09	7.31959e-08
-8.32	5.68358e+09	0	6.57414e-09	7.46242e-08
-8.31	5.56507e+09	0	6.70598e-09	7.60803e-08
-8.3	5.44902e+09	0	6.84046e-09	7.75647e-08
-8.29	5.33539e+09	0	6.97764e-09	7.9078e-08
-8.28	5.22413e+09	0	7.11756e-09	8.06208e-08
-8.27	5.11517e+09	0	7.26028e-09	8.21936e-08
-8.26	5.00849e+09	0	7.40586e-09	8.3797e-08
-8.25	4.90402e+09	0	7.55435e-09	8.54316e-08
