A	Vg	Vf	k	w
-9.99	1.91869e+11	0	4.46508e-10	3.52971e-09
-9.98	1.879e+11	0	4.55496e-10	3.59914e-09
-9.97	1.84014e+11	0	4.64664e-10	3.66994e-09
-9.96	1.80208e+11	0	4.74017e-10	3.74212e-09
-9.95	1.7648e+11	0	4.83557e-10	3.81573e-09
-9.94	1.72829e+11	0	4.9329e-10	3.89078e-09
-9.93	1.69254e+11	0	5.03218e-10	3.96731e-09
-9.92	1.65753e+11	0	5.13346e-10	4.04533e-09
-9.91	1.62323e+11	0	5.23678e-10	4.1249e-09
-9.9	1.58965e+11	0	5.34218e-10	4.20602e-09
-9.89	1.55676e+11	0	5.44969e-10	4.28873e-09
-9.88	1.52455e+11	0	5.55937e-10	4.37307e-09
-9.87	1.493e+11	0	5.67125e-10	4.45907e-09
-9.86	1.46211e+11	0	5.78538e-10	4.54675e-09
-9.85	1.43186e+11	0	5.90181e-10	4.63616e-09
-9.84	1.40223e+11	0	6.02058e-10	4.72732e-09
-9.83	1.37321e+11	0	6.14174e-10	4.82027e-09
-9.82	1.34479e+11	0	6.26533e-10	4.91504e-09
-9.81	1.31696e+11	0	6.39141e-10	5.01168e-09
-9.8	1.2897e+11	0	6.52003e-10	5.11021e-09
-9.79	1.26301e+11	0	6.65123e-10	5.21068e-09
-9.78	1.23686e+11	0	6.78506e-10	5.31312e-09
-9.77	1.21126e+11	0	6.92159e-10	5.41757e-09
-9.76	1.18619e+11	0	7.06087e-10	5.52407e-09
-9.75	1.16163e+11	0	7.20294e-10	5.63266e-09
-9.74	1.13759e+11	0	7.34788e-10	5.74338e-09
-9.73	1.11404e+11	0	7.49572e-10	5.85627e-09
-9.72	1.09097e+11	0	7.64654e-10	5.97138e-09
-9.71	1.06838e+11	0	7.80039e-10	6.08875e-09
-9.7	1.04626e+11	0	7.95733e-10	6.20842e-09
-9.69	1.0246e+11	0	8.11743e-10	6.33044e-09
-9.68	1.00338e+11	0	8.28075e-10	6.45485e-09
-9.67	9.82607e+10	0	8.44735e-10	6.5817e-09
-9.66	9.6226e+10	0	8.61729e-10	6.71105e-09
-9.65	9.42333e+10	0	8.79066e-10	6.84293e-09
-9.64	9.22818e+10	0	8.96751e-10	6.9774e-09
-9.63	9.03706e+10	0	9.14792e-10	7.1145e-09
-9.62	8.84989e+10	0	9.33195e-10	7.2543e-09
-9.61	8.6666e+10	0	9.51968e-10	7.39684e-09
-9.6	8.48709e+10	0	9.71118e-10	7.54217e-09
-9.59	8.31129e+10	0	9.90653e-10	7.69036e-09
-9.58	8.13913e+10	0	1.01058e-09	7.84145e-09
-9.57	7.97053e+10	0	1.03091e-09	7.99551e-09
-9.56	7.80541e+10	0	1.05165e-09	8.15258e-09
-9.55	7.64371e+10	0	1.0728e-09	8.31274e-09
-9.54	7.48535e+10	0	1.09438e-09	8.47604e-09
-9.53	7.33027e+10	0	1.11639e-09	8.64254e-09
-9.52	7.1784e+10	0	1.13885e-09	8.81231e-09
-9.51	7.02966e+10	0	1.16175e-09	8.9854e-09
-9.5	6.884e+10	0	1.18512e-09	9.16189e-09
-9.49	6.74136e+10	0	1.20896e-09	9.34184e-09
-9.48	6.60166e+10	0	1.23327e-09	9.52532e-09
-9.47	6.46486e+10	0	1.25808e-09	9.71239e-09
-9.46	6.33088e+10	0	1.28338e-09	9.90314e-09
-9.45	6.19967e+10	0	1.30919e-09	1.00976e-08
-9.44	6.07118e+10	0	1.33552e-09	1.02959e-08
