A	Vg	Vf	k	w
-76.39	6.31229e+69	0	8.30925e-68	8.26482e-67
-76.38	6.1865e+69	0	8.4771e-68	8.43123e-67
-76.37	6.06322e+69	0	8.64835e-68	8.60099e-67
-76.36	5.9424e+69	0	8.82305e-68	8.77416e-67
-76.35	5.82398e+69	0	9.00129e-68	8.95083e-67
-76.34	5.70792e+69	0	9.18312e-68	9.13105e-67
-76.33	5.59418e+69	0	9.36863e-68	9.3149e-67
-76.32	5.4827e+69	0	9.55788e-68	9.50245e-67
-76.31	5.37345e+69	0	9.75096e-68	9.69378e-67
-76.3	5.26637e+69	0	9.94794e-68	9.88895e-67
-76.29	5.16142e+69	0	1.01489e-67	1.00881e-66
-76.28	5.05857e+69	0	1.03539e-67	1.02912e-66
-76.27	4.95776e+69	0	1.05631e-67	1.04984e-66
-76.26	4.85897e+69	0	1.07765e-67	1.07098e-66
-76.25	4.76214e+69	0	1.09942e-67	1.09254e-66
-76.24	4.66724e+69	0	1.12162e-67	1.11454e-66
-76.23	4.57424e+69	0	1.14428e-67	1.13698e-66
-76.22	4.48308e+69	0	1.1674e-67	1.15987e-66
-76.21	4.39375e+69	0	1.19098e-67	1.18322e-66
-76.2	4.30619e+69	0	1.21504e-67	1.20705e-66
-76.19	4.22038e+69	0	1.23958e-67	1.23135e-66
-76.18	4.13627e+69	0	1.26462e-67	1.25614e-66
-76.17	4.05385e+69	0	1.29017e-67	1.28144e-66
-76.16	3.97306e+69	0	1.31623e-67	1.30724e-66
-76.15	3.89389e+69	0	1.34282e-67	1.33356e-66
-76.14	3.81629e+69	0	1.36995e-67	1.36041e-66
-76.13	3.74024e+69	0	1.39762e-67	1.3878e-66
-76.12	3.66571e+69	0	1.42586e-67	1.41574e-66
-76.11	3.59266e+69	0	1.45466e-67	1.44425e-66
-76.1	3.52107e+69	0	1.48405e-67	1.47332e-66
-76.09	3.4509e+69	0	1.51403e-67	1.50299e-66
-76.08	3.38213e+69	0	1.54461e-67	1.53325e-66
-76.07	3.31473e+69	0	1.57581e-67	1.56412e-66
-76.06	3.24868e+69	0	1.60765e-67	1.59561e-66
-76.05	3.18394e+69	0	1.64012e-67	1.62774e-66
-76.04	3.12049e+69	0	1.67325e-67	1.66051e-66
-76.03	3.0583e+69	0	1.70705e-67	1.69395e-66
-76.02	2.99736e+69	0	1.74154e-67	1.72805e-66
-76.01	2.93763e+69	0	1.77672e-67	1.76285e-66
-76	2.87909e+69	0	1.81261e-67	1.79834e-66
-75.99	2.82171e+69	0	1.84923e-67	1.83455e-66
-75.98	2.76548e+69	0	1.88658e-67	1.87149e-66
-75.97	2.71037e+69	0	1.92469e-67	1.90917e-66
-75.96	2.65636e+69	0	1.96357e-67	1.94761e-66
-75.95	2.60342e+69	0	2.00324e-67	1.98682e-66
-75.94	2.55154e+69	0	2.04371e-67	2.02682e-66
-75.93	2.50069e+69	0	2.08499e-67	2.06763e-66
-75.92	2.45086e+69	0	2.12711e-67	2.10926e-66
-75.91	2.40202e+69	0	2.17008e-67	2.15173e-66
-75.9	2.35415e+69	0	2.21392e-67	2.19505e-66
-75.89	2.30724e+69	0	2.25864e-67	2.23925e-66
-75.88	2.26126e+69	0	2.30427e-67	2.28433e-66
-75.87	2.2162e+69	0	2.35082e-67	2.33033e-66
-75.86	2.17203e+69	0	2.39831e-67	2.37725e-66
-75.85	2.12875e+69	0	2.44675e-67	2.42511e-66
-75.84	2.08632e+69	0	2.49618e-67	2.47394e-66
-75.83	2.04475e+69	0	2.54661e-67	2.52375e-66
-75.82	2.004e+69	0	2.59805e-67	2.57456e-66
-75.81	1.96406e+69	0	2.65053e-67	2.6264e-66
-75.8	1.92492e+69	0	2.70408e-67	2.67928e-66
-75.79	1.88656e+69	0	2.7587e-67	2.73322e-66
-75.78	1.84897e+69	0	2.81443e-67	2.78825e-66
-75.77	1.81212e+69	0	2.87128e-67	2.84439e-66
-75.76	1.77601e+69	0	2.92929e-67	2.90166e-66
-75.75	1.74061e+69	0	2.98846e-67	2.96008e-66
-75.74	1.70593e+69	0	3.04883e-67	3.01968e-66
-75.73	1.67193e+69	0	3.11042e-67	3.08048e-66
-75.72	1.63861e+69	0	3.17325e-67	3.1425e-66
-75.71	1.60596e+69	0	3.23735e-67	3.20577e-66
-75.7	1.57395e+69	0	3.30275e-67	3.27032e-66
-75.69	1.54259e+69	0	3.36947e-67	3.33616e-66
-75.68	1.51184e+69	0	3.43754e-67	3.40333e-66
-75.67	1.48172e+69	0	3.50698e-67	3.47186e-66
-75.66	1.45219e+69	0	3.57782e-67	3.54176e-66
-75.65	1.42325e+69	0	3.6501e-67	3.61307e-66
-75.64	1.39488e+69	0	3.72383e-67	3.68581e-66
-75.63	1.36709e+69	0	3.79906e-67	3.76002e-66
-75.62	1.33984e+69	0	3.8758e-67	3.83573e-66
-75.61	1.31314e+69	0	3.9541e-67	3.91296e-66
-75.6	1.28697e+69	0	4.03397e-67	3.99174e-66
-75.59	1.26132e+69	0	4.11546e-67	4.07211e-66
-75.58	1.23619e+69	0	4.1986e-67	4.1541e-66
-75.57	1.21155e+69	0	4.28341e-67	4.23773e-66
-75.56	1.18741e+69	0	4.36994e-67	4.32306e-66
-75.55	1.16374e+69	0	4.45822e-67	4.4101e-66
-75.54	1.14055e+69	0	4.54828e-67	4.49889e-66
-75.53	1.11782e+69	0	4.64016e-67	4.58947e-66
-75.52	1.09555e+69	0	4.7339e-67	4.68187e-66
-75.51	1.07371e+69	0	4.82952e-67	4.77613e-66
-75.5	1.05232e+69	0	4.92709e-67	4.8723e-66
-75.49	1.03134e+69	0	5.02662e-67	4.97039e-66
-75.48	1.01079e+69	0	5.12816e-67	5.07047e-66
-75.47	9.90647e+68	0	5.23175e-67	5.17256e-66
-75.46	9.70904e+68	0	5.33744e-67	5.2767e-66
-75.45	9.51555e+68	0	5.44526e-67	5.38294e-66
-75.44	9.32592e+68	0	5.55526e-67	5.49132e-66
-75.43	9.14006e+68	0	5.66748e-67	5.60188e-66
-75.42	8.95791e+68	0	5.78197e-67	5.71466e-66
-75.41	8.77939e+68	0	5.89877e-67	5.82972e-66
-75.4	8.60443e+68	0	6.01793e-67	5.9471e-66
-75.39	8.43295e+68	0	6.1395e-67	6.06683e-66
-75.38	8.26489e+68	0	6.26352e-67	6.18898e-66
-75.37	8.10018e+68	0	6.39005e-67	6.31359e-66
-75.36	7.93875e+68	0	6.51914e-67	6.4407e-66
-75.35	7.78054e+68	0	6.65083e-67	6.57038e-66
-75.34	7.62548e+68	0	6.78518e-67	6.70266e-66
-75.33	7.47351e+68	0	6.92225e-67	6.83761e-66
-75.32	7.32457e+68	0	7.06208e-67	6.97528e-66
-75.31	7.1786e+68	0	7.20474e-67	7.11572e-66
-75.3	7.03554e+68	0	7.35029e-67	7.25898e-66
-75.29	6.89532e+68	0	7.49877e-67	7.40513e-66
-75.28	6.75791e+68	0	7.65025e-67	7.55422e-66
-75.27	6.62323e+68	0	7.80479e-67	7.70632e-66
-75.26	6.49123e+68	0	7.96246e-67	7.86147e-66
-75.25	6.36187e+68	0	8.12331e-67	8.01975e-66
-75.24	6.23508e+68	0	8.2874e-67	8.18122e-66
-75.23	6.11082e+68	0	8.45482e-67	8.34594e-66
-75.22	5.98904e+68	0	8.62561e-67	8.51397e-66
-75.21	5.86968e+68	0	8.79986e-67	8.68539e-66
-75.2	5.7527e+68	0	8.97762e-67	8.86025e-66
-75.19	5.63805e+68	0	9.15898e-67	9.03864e-66
-75.18	5.52569e+68	0	9.344e-67	9.22062e-66
-75.17	5.41557e+68	0	9.53276e-67	9.40627e-66
-75.16	5.30764e+68	0	9.72533e-67	9.59565e-66
-75.15	5.20186e+68	0	9.92179e-67	9.78884e-66
-75.14	5.09819e+68	0	1.01222e-66	9.98592e-66
-75.13	4.99659e+68	0	1.03267e-66	1.0187e-65
-75.12	4.89701e+68	0	1.05353e-66	1.03921e-65
-75.11	4.79941e+68	0	1.07481e-66	1.06013e-65
-75.1	4.70376e+68	0	1.09652e-66	1.08147e-65
-75.09	4.61002e+68	0	1.11868e-66	1.10325e-65
-75.08	4.51815e+68	0	1.14127e-66	1.12546e-65
-75.07	4.4281e+68	0	1.16433e-66	1.14812e-65
-75.06	4.33985e+68	0	1.18785e-66	1.17124e-65
-75.05	4.25336e+68	0	1.21184e-66	1.19482e-65
-75.04	4.16859e+68	0	1.23633e-66	1.21887e-65
-75.03	4.08551e+68	0	1.2613e-66	1.24341e-65
-75.02	4.00409e+68	0	1.28678e-66	1.26845e-65
-75.01	3.92429e+68	0	1.31277e-66	1.29398e-65
-75	3.84608e+68	0	1.33929e-66	1.32004e-65
-74.99	3.76943e+68	0	1.36635e-66	1.34661e-65
-74.98	3.69431e+68	0	1.39395e-66	1.37373e-65
-74.97	3.62068e+68	0	1.42211e-66	1.40138e-65
-74.96	3.54852e+68	0	1.45084e-66	1.4296e-65
-74.95	3.4778e+68	0	1.48014e-66	1.45838e-65
-74.94	3.40849e+68	0	1.51004e-66	1.48774e-65
-74.93	3.34056e+68	0	1.54055e-66	1.51769e-65
-74.92	3.27398e+68	0	1.57167e-66	1.54825e-65
-74.91	3.20873e+68	0	1.60342e-66	1.57942e-65
-74.9	3.14478e+68	0	1.63581e-66	1.61122e-65
-74.89	3.08211e+68	0	1.66885e-66	1.64366e-65
-74.88	3.02068e+68	0	1.70257e-66	1.67675e-65
-74.87	2.96048e+68	0	1.73696e-66	1.71051e-65
-74.86	2.90148e+68	0	1.77205e-66	1.74495e-65
-74.85	2.84365e+68	0	1.80784e-66	1.78008e-65
-74.84	2.78698e+68	0	1.84436e-66	1.81592e-65
-74.83	2.73144e+68	0	1.88162e-66	1.85248e-65
-74.82	2.677e+68	0	1.91963e-66	1.88978e-65
-74.81	2.62365e+68	0	1.95841e-66	1.92782e-65
-74.8	2.57136e+68	0	1.99797e-66	1.96664e-65
-74.79	2.52011e+68	0	2.03833e-66	2.00623e-65
-74.78	2.46989e+68	0	2.07951e-66	2.04662e-65
-74.77	2.42066e+68	0	2.12152e-66	2.08783e-65
-74.76	2.37242e+68	0	2.16437e-66	2.12986e-65
-74.75	2.32513e+68	0	2.2081e-66	2.17274e-65
-74.74	2.27879e+68	0	2.2527e-66	2.21649e-65
-74.73	2.23338e+68	0	2.29821e-66	2.26111e-65
-74.72	2.18887e+68	0	2.34464e-66	2.30664e-65
-74.71	2.14524e+68	0	2.392e-66	2.35308e-65
-74.7	2.10249e+68	0	2.44032e-66	2.40045e-65
-74.69	2.06058e+68	0	2.48962e-66	2.44878e-65
-74.68	2.01952e+68	0	2.53991e-66	2.49808e-65
-74.67	1.97927e+68	0	2.59122e-66	2.54837e-65
-74.66	1.93982e+68	0	2.64356e-66	2.59968e-65
-74.65	1.90116e+68	0	2.69696e-66	2.65202e-65
-74.64	1.86327e+68	0	2.75145e-66	2.70541e-65
-74.63	1.82613e+68	0	2.80703e-66	2.75988e-65
-74.62	1.78974e+68	0	2.86373e-66	2.81545e-65
-74.61	1.75407e+68	0	2.92158e-66	2.87213e-65
-74.6	1.71911e+68	0	2.9806e-66	2.92995e-65
-74.59	1.68485e+68	0	3.04081e-66	2.98894e-65
-74.58	1.65127e+68	0	3.10224e-66	3.04912e-65
-74.57	1.61836e+68	0	3.16491e-66	3.11051e-65
-74.56	1.5861e+68	0	3.22884e-66	3.17313e-65
-74.55	1.55449e+68	0	3.29407e-66	3.23701e-65
-74.54	1.52351e+68	0	3.36061e-66	3.30219e-65
-74.53	1.49315e+68	0	3.4285e-66	3.36867e-65
-74.52	1.46339e+68	0	3.49776e-66	3.43649e-65
