A	Vg	Vf	k	w
-79.9963	8.96711e+72	0	5.02846e-71	4.26449e-70
-79.9863	8.78847e+72	0	5.13004e-71	4.35037e-70
-79.9763	8.61339e+72	0	5.23367e-71	4.43797e-70
-79.9663	8.4418e+72	0	5.33939e-71	4.52734e-70
-79.9563	8.27362e+72	0	5.44725e-71	4.61851e-70
-79.9463	8.1088e+72	0	5.55729e-71	4.71152e-70
-79.9363	7.94726e+72	0	5.66956e-71	4.80639e-70
-79.9263	7.78894e+72	0	5.78409e-71	4.90318e-70
-79.9163	7.63377e+72	0	5.90093e-71	5.00192e-70
-79.9063	7.48169e+72	0	6.02014e-71	5.10264e-70
-79.8963	7.33264e+72	0	6.14175e-71	5.2054e-70
-79.8863	7.18656e+72	0	6.26582e-71	5.31022e-70
-79.8763	7.04339e+72	0	6.39239e-71	5.41715e-70
-79.8663	6.90308e+72	0	6.52153e-71	5.52624e-70
-79.8563	6.76556e+72	0	6.65327e-71	5.63752e-70
-79.8463	6.63077e+72	0	6.78767e-71	5.75105e-70
-79.8363	6.49868e+72	0	6.92479e-71	5.86686e-70
-79.8263	6.36921e+72	0	7.06467e-71	5.985e-70
-79.8163	6.24232e+72	0	7.20739e-71	6.10552e-70
-79.8063	6.11797e+72	0	7.35298e-71	6.22847e-70
-79.7963	5.99608e+72	0	7.50152e-71	6.35389e-70
-79.7863	5.87663e+72	0	7.65306e-71	6.48184e-70
-79.7763	5.75956e+72	0	7.80766e-71	6.61237e-70
-79.7663	5.64482e+72	0	7.96538e-71	6.74553e-70
-79.7563	5.53236e+72	0	8.12629e-71	6.88136e-70
-79.7463	5.42214e+72	0	8.29045e-71	7.01993e-70
-79.7363	5.31412e+72	0	8.45793e-71	7.16129e-70
-79.7263	5.20826e+72	0	8.62878e-71	7.3055e-70
-79.7163	5.1045e+72	0	8.80309e-71	7.45261e-70
-79.7063	5.00281e+72	0	8.98092e-71	7.60269e-70
-79.6963	4.90314e+72	0	9.16235e-71	7.75579e-70
-79.6863	4.80546e+72	0	9.34744e-71	7.91197e-70
-79.6763	4.70972e+72	0	9.53626e-71	8.07129e-70
-79.6663	4.6159e+72	0	9.72891e-71	8.23382e-70
-79.6563	4.52394e+72	0	9.92544e-71	8.39963e-70
-79.6463	4.43381e+72	0	1.01259e-70	8.56877e-70
-79.6363	4.34548e+72	0	1.03305e-70	8.74132e-70
-79.6263	4.25891e+72	0	1.05392e-70	8.91735e-70
