A	Vg	Vf	k	w
-79.99	8.8402e+72	0	5.67829e-71	2.2045e-70
-79.98	8.66409e+72	0	5.793e-71	2.24889e-70
-79.97	8.49149e+72	0	5.91003e-71	2.29418e-70
-79.96	8.32232e+72	0	6.02941e-71	2.34038e-70
-79.95	8.15652e+72	0	6.15121e-71	2.38751e-70
-79.94	7.99403e+72	0	6.27548e-71	2.43558e-70
-79.93	7.83477e+72	0	6.40225e-71	2.48463e-70
-79.92	7.67869e+72	0	6.53158e-71	2.53466e-70
-79.91	7.52572e+72	0	6.66352e-71	2.5857e-70
-79.9	7.37579e+72	0	6.79813e-71	2.63777e-70
-79.89	7.22885e+72	0	6.93546e-71	2.69089e-70
-79.88	7.08484e+72	0	7.07557e-71	2.74508e-70
-79.87	6.94369e+72	0	7.2185e-71	2.80035e-70
-79.86	6.80536e+72	0	7.36432e-71	2.85674e-70
-79.85	6.66978e+72	0	7.51309e-71	2.91427e-70
-79.84	6.53691e+72	0	7.66486e-71	2.97296e-70
-79.83	6.40668e+72	0	7.8197e-71	3.03282e-70
-79.82	6.27905e+72	0	7.97766e-71	3.0939e-70
-79.81	6.15395e+72	0	8.13882e-71	3.1562e-70
-79.8	6.03136e+72	0	8.30323e-71	3.21975e-70
-79.79	5.9112e+72	0	8.47097e-71	3.28459e-70
-79.78	5.79343e+72	0	8.64209e-71	3.35073e-70
-79.77	5.67802e+72	0	8.81667e-71	3.41821e-70
-79.76	5.5649e+72	0	8.99478e-71	3.48704e-70
-79.75	5.45403e+72	0	9.17648e-71	3.55726e-70
-79.74	5.34538e+72	0	9.36185e-71	3.62889e-70
-79.73	5.23889e+72	0	9.55097e-71	3.70197e-70
-79.72	5.13452e+72	0	9.74391e-71	3.77651e-70
-79.71	5.03223e+72	0	9.94075e-71	3.85256e-70
-79.7	4.93197e+72	0	1.01416e-70	3.93014e-70
-79.69	4.83372e+72	0	1.03464e-70	4.00928e-70
-79.68	4.73742e+72	0	1.05554e-70	4.09001e-70
-79.67	4.64304e+72	0	1.07687e-70	4.17237e-70
-79.66	4.55054e+72	0	1.09862e-70	4.25639e-70
-79.65	4.45988e+72	0	1.12081e-70	4.3421e-70
-79.64	4.37103e+72	0	1.14346e-70	4.42954e-70
-79.63	4.28395e+72	0	1.16655e-70	4.51874e-70
-79.62	4.1986e+72	0	1.19012e-70	4.60973e-70
-79.61	4.11496e+72	0	1.21416e-70	4.70256e-70
-79.6	4.03298e+72	0	1.23869e-70	4.79725e-70
-79.59	3.95263e+72	0	1.26371e-70	4.89385e-70
-79.58	3.87388e+72	0	1.28924e-70	4.9924e-70
-79.57	3.79671e+72	0	1.31528e-70	5.09293e-70
-79.56	3.72107e+72	0	1.34185e-70	5.19549e-70
-79.55	3.64693e+72	0	1.36896e-70	5.30011e-70
-79.54	3.57428e+72	0	1.39662e-70	5.40684e-70
-79.53	3.50307e+72	0	1.42483e-70	5.51571e-70
-79.52	3.43328e+72	0	1.45361e-70	5.62678e-70
-79.51	3.36488e+72	0	1.48298e-70	5.74009e-70
-79.5	3.29784e+72	0	1.51293e-70	5.85568e-70
-79.49	3.23214e+72	0	1.5435e-70	5.97359e-70
-79.48	3.16775e+72	0	1.57468e-70	6.09388e-70
-79.47	3.10464e+72	0	1.60649e-70	6.21659e-70
