A	Vg	Vf	k	w
-79.99	8.84029e+72	0	5.69412e-71	2.21134e-70
-79.98	8.66418e+72	0	5.80914e-71	2.25587e-70
-79.97	8.49157e+72	0	5.92649e-71	2.3013e-70
-79.96	8.3224e+72	0	6.04622e-71	2.34764e-70
-79.95	8.1566e+72	0	6.16836e-71	2.39492e-70
-79.94	7.99411e+72	0	6.29296e-71	2.44314e-70
-79.93	7.83485e+72	0	6.42009e-71	2.49234e-70
-79.92	7.67877e+72	0	6.54978e-71	2.54253e-70
-79.91	7.52579e+72	0	6.68209e-71	2.59373e-70
-79.9	7.37586e+72	0	6.81708e-71	2.64596e-70
-79.89	7.22892e+72	0	6.95479e-71	2.69924e-70
-79.88	7.08491e+72	0	7.09528e-71	2.7536e-70
-79.87	6.94376e+72	0	7.23862e-71	2.80905e-70
-79.86	6.80543e+72	0	7.38484e-71	2.86561e-70
-79.85	6.66985e+72	0	7.53402e-71	2.92332e-70
-79.84	6.53697e+72	0	7.68622e-71	2.98218e-70
-79.83	6.40674e+72	0	7.84149e-71	3.04224e-70
-79.82	6.27911e+72	0	7.9999e-71	3.1035e-70
-79.81	6.15402e+72	0	8.1615e-71	3.16599e-70
-79.8	6.03141e+72	0	8.32637e-71	3.22975e-70
-79.79	5.91126e+72	0	8.49457e-71	3.29479e-70
-79.78	5.79349e+72	0	8.66617e-71	3.36113e-70
-79.77	5.67807e+72	0	8.84124e-71	3.42882e-70
-79.76	5.56495e+72	0	9.01984e-71	3.49786e-70
-79.75	5.45409e+72	0	9.20205e-71	3.5683e-70
-79.74	5.34543e+72	0	9.38794e-71	3.64015e-70
-79.73	5.23894e+72	0	9.57759e-71	3.71346e-70
-79.72	5.13457e+72	0	9.77107e-71	3.78823e-70
-79.71	5.03228e+72	0	9.96845e-71	3.86452e-70
-79.7	4.93202e+72	0	1.01698e-70	3.94234e-70
-79.69	4.83376e+72	0	1.03753e-70	4.02172e-70
-79.68	4.73746e+72	0	1.05849e-70	4.10271e-70
-79.67	4.64308e+72	0	1.07987e-70	4.18533e-70
-79.66	4.55058e+72	0	1.10168e-70	4.2696e-70
-79.65	4.45992e+72	0	1.12394e-70	4.35558e-70
-79.64	4.37107e+72	0	1.14664e-70	4.44329e-70
-79.63	4.28399e+72	0	1.16981e-70	4.53276e-70
-79.62	4.19864e+72	0	1.19344e-70	4.62404e-70
-79.61	4.115e+72	0	1.21755e-70	4.71715e-70
-79.6	4.03302e+72	0	1.24214e-70	4.81214e-70
-79.59	3.95267e+72	0	1.26723e-70	4.90904e-70
-79.58	3.87392e+72	0	1.29283e-70	5.0079e-70
-79.57	3.79674e+72	0	1.31895e-70	5.10874e-70
-79.56	3.7211e+72	0	1.34559e-70	5.21161e-70
-79.55	3.64697e+72	0	1.37278e-70	5.31656e-70
-79.54	3.57431e+72	0	1.40051e-70	5.42362e-70
-79.53	3.5031e+72	0	1.4288e-70	5.53283e-70
-79.52	3.43331e+72	0	1.45766e-70	5.64425e-70
-79.51	3.36491e+72	0	1.48711e-70	5.75791e-70
-79.5	3.29788e+72	0	1.51715e-70	5.87385e-70
-79.49	3.23217e+72	0	1.5478e-70	5.99213e-70
-79.48	3.16778e+72	0	1.57907e-70	6.11279e-70
-79.47	3.10467e+72	0	1.61096e-70	6.23589e-70
-79.46	3.04282e+72	0	1.64351e-70	6.36146e-70
-79.45	2.9822e+72	0	1.67671e-70	6.48956e-70
-79.44	2.92278e+72	0	1.71058e-70	6.62024e-70
-79.43	2.86455e+72	0	1.74513e-70	6.75355e-70
-79.42	2.80748e+72	0	1.78039e-70	6.88954e-70
-79.41	2.75155e+72	0	1.81635e-70	7.02827e-70
-79.4	2.69673e+72	0	1.85305e-70	7.1698e-70
-79.39	2.64301e+72	0	1.89048e-70	7.31418e-70
-79.38	2.59035e+72	0	1.92867e-70	7.46146e-70
-79.37	2.53874e+72	0	1.96763e-70	7.61171e-70
-79.36	2.48817e+72	0	2.00738e-70	7.76498e-70
-79.35	2.43859e+72	0	2.04793e-70	7.92135e-70
-79.34	2.39001e+72	0	2.0893e-70	8.08085e-70
-79.33	2.3424e+72	0	2.13151e-70	8.24358e-70
-79.32	2.29573e+72	0	2.17456e-70	8.40957e-70
-79.31	2.24999e+72	0	2.21849e-70	8.57892e-70
-79.3	2.20517e+72	0	2.26331e-70	8.75167e-70
-79.29	2.16123e+72	0	2.30903e-70	8.9279e-70
-79.28	2.11817e+72	0	2.35567e-70	9.10767e-70
-79.27	2.07597e+72	0	2.40326e-70	9.29107e-70
-79.26	2.03461e+72	0	2.45181e-70	9.47816e-70
-79.25	1.99408e+72	0	2.50134e-70	9.66902e-70
-79.24	1.95435e+72	0	2.55187e-70	9.86372e-70
-79.23	1.91541e+72	0	2.60342e-70	1.00623e-69
-79.22	1.87725e+72	0	2.65601e-70	1.0265e-69
-79.21	1.83985e+72	0	2.70967e-70	1.04717e-69
-79.2	1.8032e+72	0	2.7644e-70	1.06825e-69
-79.19	1.76727e+72	0	2.82025e-70	1.08976e-69
-79.18	1.73206e+72	0	2.87722e-70	1.11171e-69
-79.17	1.69756e+72	0	2.93534e-70	1.13409e-69
-79.16	1.66374e+72	0	2.99464e-70	1.15693e-69
-79.15	1.63059e+72	0	3.05513e-70	1.18023e-69
-79.14	1.5981e+72	0	3.11685e-70	1.20399e-69
-79.13	1.56626e+72	0	3.17981e-70	1.22824e-69
-79.12	1.53506e+72	0	3.24405e-70	1.25297e-69
-79.11	1.50448e+72	0	3.30958e-70	1.2782e-69
-79.1	1.4745e+72	0	3.37644e-70	1.30394e-69
-79.09	1.44512e+72	0	3.44465e-70	1.3302e-69
-79.08	1.41633e+72	0	3.51423e-70	1.35698e-69
