A	Vg	Vf	k	w
-79.9933	8.9156e+72	0	4.88883e-71	3.725e-70
-79.9833	8.73799e+72	0	4.98759e-71	3.80001e-70
-79.9733	8.56391e+72	0	5.08834e-71	3.87654e-70
-79.9633	8.3933e+72	0	5.19113e-71	3.9546e-70
-79.9533	8.2261e+72	0	5.29599e-71	4.03424e-70
-79.9433	8.06222e+72	0	5.40298e-71	4.11548e-70
-79.9333	7.90161e+72	0	5.51212e-71	4.19836e-70
-79.9233	7.74419e+72	0	5.62347e-71	4.28291e-70
-79.9133	7.58991e+72	0	5.73707e-71	4.36916e-70
-79.9033	7.43871e+72	0	5.85297e-71	4.45714e-70
-79.8933	7.29052e+72	0	5.97121e-71	4.5469e-70
-79.8833	7.14528e+72	0	6.09183e-71	4.63846e-70
-79.8733	7.00293e+72	0	6.21489e-71	4.73187e-70
-79.8633	6.86342e+72	0	6.34044e-71	4.82716e-70
-79.8533	6.72669e+72	0	6.46852e-71	4.92437e-70
-79.8433	6.59268e+72	0	6.59919e-71	5.02354e-70
-79.8333	6.46134e+72	0	6.7325e-71	5.1247e-70
-79.8233	6.33262e+72	0	6.8685e-71	5.2279e-70
-79.8133	6.20647e+72	0	7.00725e-71	5.33318e-70
-79.8033	6.08282e+72	0	7.14881e-71	5.44058e-70
-79.7933	5.96164e+72	0	7.29322e-71	5.55014e-70
-79.7833	5.84287e+72	0	7.44055e-71	5.66191e-70
-79.7733	5.72647e+72	0	7.59086e-71	5.77592e-70
-79.7633	5.61239e+72	0	7.7442e-71	5.89224e-70
-79.7533	5.50058e+72	0	7.90064e-71	6.01089e-70
-79.7433	5.391e+72	0	8.06024e-71	6.13194e-70
-79.7333	5.2836e+72	0	8.22307e-71	6.25542e-70
-79.7233	5.17834e+72	0	8.38918e-71	6.38139e-70
-79.7133	5.07518e+72	0	8.55865e-71	6.5099e-70
-79.7033	4.97407e+72	0	8.73154e-71	6.641e-70
-79.6933	4.87497e+72	0	8.90793e-71	6.77473e-70
-79.6833	4.77786e+72	0	9.08788e-71	6.91116e-70
-79.6733	4.68267e+72	0	9.27146e-71	7.05033e-70
-79.6633	4.58938e+72	0	9.45875e-71	7.19231e-70
-79.6533	4.49795e+72	0	9.64983e-71	7.33715e-70
-79.6433	4.40834e+72	0	9.84477e-71	7.4849e-70
-79.6333	4.32052e+72	0	1.00436e-70	7.63563e-70
-79.6233	4.23445e+72	0	1.02465e-70	7.78939e-70
-79.6133	4.15009e+72	0	1.04535e-70	7.94625e-70
-79.6033	4.06741e+72	0	1.06647e-70	8.10627e-70
-79.5933	3.98638e+72	0	1.08801e-70	8.26951e-70
-79.5833	3.90696e+72	0	1.10999e-70	8.43604e-70
-79.5733	3.82912e+72	0	1.13242e-70	8.60592e-70
-79.5633	3.75284e+72	0	1.15529e-70	8.77922e-70
-79.5533	3.67807e+72	0	1.17863e-70	8.95602e-70
-79.5433	3.6048e+72	0	1.20244e-70	9.13637e-70
-79.5333	3.53298e+72	0	1.22673e-70	9.32035e-70
-79.5233	3.4626e+72	0	1.25151e-70	9.50804e-70
-79.5133	3.39362e+72	0	1.27679e-70	9.69951e-70
-79.5033	3.32601e+72	0	1.30258e-70	9.89484e-70
-79.4933	3.25975e+72	0	1.3289e-70	1.00941e-69
-79.4833	3.1948e+72	0	1.35574e-70	1.02974e-69
-79.4733	3.13116e+72	0	1.38313e-70	1.05047e-69
-79.4633	3.06878e+72	0	1.41107e-70	1.07163e-69
-79.4533	3.00764e+72	0	1.43958e-70	1.09321e-69
-79.4433	2.94772e+72	0	1.46866e-70	1.11522e-69
-79.4333	2.88899e+72	0	1.49832e-70	1.13768e-69
-79.4233	2.83144e+72	0	1.52859e-70	1.16059e-69
-79.4133	2.77503e+72	0	1.55947e-70	1.18396e-69
-79.4033	2.71974e+72	0	1.59097e-70	1.2078e-69
-79.3933	2.66556e+72	0	1.62311e-70	1.23212e-69
-79.3833	2.61245e+72	0	1.6559e-70	1.25694e-69
-79.3733	2.56041e+72	0	1.68935e-70	1.28225e-69
-79.3633	2.5094e+72	0	1.72348e-70	1.30807e-69
-79.3533	2.4594e+72	0	1.7583e-70	1.33441e-69
-79.3433	2.41041e+72	0	1.79381e-70	1.36128e-69
-79.3333	2.36239e+72	0	1.83005e-70	1.38869e-69
-79.3233	2.31532e+72	0	1.86702e-70	1.41666e-69
-79.3133	2.26919e+72	0	1.90474e-70	1.44519e-69
-79.3033	2.22399e+72	0	1.94321e-70	1.47429e-69
-79.2933	2.17968e+72	0	1.98247e-70	1.50398e-69
-79.2833	2.13625e+72	0	2.02252e-70	1.53426e-69
-79.2733	2.09369e+72	0	2.06337e-70	1.56516e-69
-79.2633	2.05198e+72	0	2.10506e-70	1.59668e-69
-79.2533	2.0111e+72	0	2.14758e-70	1.62883e-69
-79.2433	1.97103e+72	0	2.19096e-70	1.66163e-69
-79.2333	1.93177e+72	0	2.23522e-70	1.69509e-69
-79.2233	1.89328e+72	0	2.28038e-70	1.72923e-69
-79.2133	1.85556e+72	0	2.32644e-70	1.76405e-69
-79.2033	1.81859e+72	0	2.37344e-70	1.79957e-69
-79.1933	1.78236e+72	0	2.42138e-70	1.83581e-69
-79.1833	1.74685e+72	0	2.4703e-70	1.87278e-69
-79.1733	1.71205e+72	0	2.5202e-70	1.91049e-69
-79.1633	1.67794e+72	0	2.57111e-70	1.94896e-69
-79.1533	1.64451e+72	0	2.62305e-70	1.98821e-69
-79.1433	1.61175e+72	0	2.67604e-70	2.02825e-69
-79.1333	1.57964e+72	0	2.7301e-70	2.06909e-69
-79.1233	1.54817e+72	0	2.78525e-70	2.11076e-69
-79.1133	1.51732e+72	0	2.84151e-70	2.15326e-69
-79.1033	1.48709e+72	0	2.89891e-70	2.19662e-69
-79.0933	1.45747e+72	0	2.95747e-70	2.24086e-69
-79.0833	1.42843e+72	0	3.01722e-70	2.28598e-69
-79.0733	1.39997e+72	0	3.07817e-70	2.33201e-69
-79.0633	1.37208e+72	0	3.14035e-70	2.37897e-69
