A	Vg	Vf	k	w
-79.99	8.81688e+72	0	2.63664e-71	1.55123e-69
-79.98	8.64123e+72	0	2.68991e-71	1.58247e-69
-79.97	8.46908e+72	0	2.74425e-71	1.61434e-69
-79.96	8.30035e+72	0	2.79969e-71	1.64684e-69
-79.95	8.13499e+72	0	2.85624e-71	1.68001e-69
-79.94	7.97293e+72	0	2.91395e-71	1.71384e-69
-79.93	7.81409e+72	0	2.97281e-71	1.74835e-69
-79.92	7.65841e+72	0	3.03287e-71	1.78356e-69
-79.91	7.50584e+72	0	3.09413e-71	1.81947e-69
-79.9	7.35631e+72	0	3.15664e-71	1.85611e-69
-79.89	7.20975e+72	0	3.22041e-71	1.89349e-69
-79.88	7.06612e+72	0	3.28547e-71	1.93161e-69
-79.87	6.92534e+72	0	3.35184e-71	1.97051e-69
-79.86	6.78738e+72	0	3.41955e-71	2.01019e-69
-79.85	6.65216e+72	0	3.48863e-71	2.05067e-69
-79.84	6.51963e+72	0	3.55911e-71	2.09197e-69
-79.83	6.38974e+72	0	3.63101e-71	2.13409e-69
-79.82	6.26244e+72	0	3.70436e-71	2.17706e-69
-79.81	6.13768e+72	0	3.77919e-71	2.2209e-69
-79.8	6.0154e+72	0	3.85554e-71	2.26563e-69
-79.79	5.89556e+72	0	3.93342e-71	2.31125e-69
-79.78	5.77811e+72	0	4.01289e-71	2.35779e-69
-79.77	5.66299e+72	0	4.09395e-71	2.40527e-69
-79.76	5.55017e+72	0	4.17666e-71	2.4537e-69
-79.75	5.4396e+72	0	4.26103e-71	2.50311e-69
-79.74	5.33123e+72	0	4.34711e-71	2.55352e-69
-79.73	5.22502e+72	0	4.43493e-71	2.60494e-69
-79.72	5.12092e+72	0	4.52452e-71	2.65739e-69
-79.71	5.0189e+72	0	4.61592e-71	2.7109e-69
-79.7	4.91891e+72	0	4.70917e-71	2.76549e-69
-79.69	4.82092e+72	0	4.8043e-71	2.82118e-69
-79.68	4.72487e+72	0	4.90136e-71	2.87799e-69
-79.67	4.63074e+72	0	5.00037e-71	2.93594e-69
-79.66	4.53848e+72	0	5.10139e-71	2.99506e-69
-79.65	4.44806e+72	0	5.20444e-71	3.05538e-69
-79.64	4.35945e+72	0	5.30958e-71	3.1169e-69
-79.63	4.27259e+72	0	5.41684e-71	3.17967e-69
-79.62	4.18747e+72	0	5.52627e-71	3.24369e-69
-79.61	4.10405e+72	0	5.63791e-71	3.30901e-69
-79.6	4.02228e+72	0	5.7518e-71	3.37564e-69
-79.59	3.94215e+72	0	5.868e-71	3.44362e-69
-79.58	3.86361e+72	0	5.98654e-71	3.51296e-69
