A	Vg	Vf	k	w
-79.99	8.84279e+72	3.59142e+88	2.34268e-71	1.61754e-69
-79.98	8.66662e+72	3.49838e+88	2.39001e-71	1.65012e-69
-79.97	8.49397e+72	3.40775e+88	2.43829e-71	1.68335e-69
-79.96	8.32475e+72	3.31946e+88	2.48755e-71	1.71725e-69
-79.95	8.15891e+72	3.23347e+88	2.5378e-71	1.75183e-69
-79.94	7.99637e+72	3.1497e+88	2.58907e-71	1.78711e-69
-79.93	7.83707e+72	3.0681e+88	2.64137e-71	1.8231e-69
-79.92	7.68094e+72	2.98862e+88	2.69473e-71	1.85981e-69
-79.91	7.52792e+72	2.9112e+88	2.74916e-71	1.89726e-69
-79.9	7.37795e+72	2.83578e+88	2.8047e-71	1.93547e-69
-79.89	7.23097e+72	2.76231e+88	2.86136e-71	1.97445e-69
-79.88	7.08691e+72	2.69075e+88	2.91916e-71	2.01421e-69
-79.87	6.94573e+72	2.62105e+88	2.97813e-71	2.05477e-69
-79.86	6.80735e+72	2.55315e+88	3.03829e-71	2.09615e-69
-79.85	6.67174e+72	2.48701e+88	3.09967e-71	2.13836e-69
-79.84	6.53882e+72	2.42258e+88	3.16229e-71	2.18142e-69
-79.83	6.40856e+72	2.35982e+88	3.22617e-71	2.22535e-69
-79.82	6.28089e+72	2.29869e+88	3.29134e-71	2.27017e-69
-79.81	6.15576e+72	2.23915e+88	3.35783e-71	2.31588e-69
-79.8	6.03312e+72	2.18114e+88	3.42567e-71	2.36252e-69
-79.79	5.91293e+72	2.12464e+88	3.49487e-71	2.4101e-69
-79.78	5.79513e+72	2.0696e+88	3.56547e-71	2.45863e-69
-79.77	5.67968e+72	2.01599e+88	3.6375e-71	2.50814e-69
-79.76	5.56653e+72	1.96377e+88	3.71098e-71	2.55865e-69
-79.75	5.45563e+72	1.9129e+88	3.78595e-71	2.61018e-69
-79.74	5.34695e+72	1.86334e+88	3.86243e-71	2.66274e-69
-79.73	5.24042e+72	1.81508e+88	3.94045e-71	2.71636e-69
-79.72	5.13602e+72	1.76806e+88	4.02006e-71	2.77107e-69
-79.71	5.0337e+72	1.72226e+88	4.10127e-71	2.82687e-69
-79.7	4.93342e+72	1.67765e+88	4.18412e-71	2.8838e-69
-79.69	4.83513e+72	1.63419e+88	4.26864e-71	2.94187e-69
-79.68	4.73881e+72	1.59186e+88	4.35487e-71	3.00111e-69
-79.67	4.6444e+72	1.55063e+88	4.44285e-71	3.06155e-69
-79.66	4.55187e+72	1.51046e+88	4.5326e-71	3.1232e-69
-79.65	4.46119e+72	1.47133e+88	4.62416e-71	3.1861e-69
-79.64	4.37231e+72	1.43322e+88	4.71758e-71	3.25026e-69
-79.63	4.28521e+72	1.3961e+88	4.81288e-71	3.31571e-69
-79.62	4.19983e+72	1.35994e+88	4.9101e-71	3.38248e-69
-79.61	4.11616e+72	1.32471e+88	5.00929e-71	3.4506e-69
-79.6	4.03416e+72	1.2904e+88	5.11049e-71	3.52009e-69
-79.59	3.95379e+72	1.25697e+88	5.21373e-71	3.59097e-69
-79.58	3.87502e+72	1.22441e+88	5.31905e-71	3.66329e-69
-79.57	3.79782e+72	1.1927e+88	5.4265e-71	3.73706e-69
-79.56	3.72216e+72	1.16181e+88	5.53613e-71	3.81231e-69
-79.55	3.64801e+72	1.13171e+88	5.64796e-71	3.88909e-69
-79.54	3.57533e+72	1.1024e+88	5.76206e-71	3.9674e-69
-79.53	3.5041e+72	1.07385e+88	5.87846e-71	4.0473e-69
-79.52	3.43429e+72	1.04603e+88	5.99721e-71	4.1288e-69
-79.51	3.36587e+72	1.01894e+88	6.11836e-71	4.21195e-69
-79.5	3.29881e+72	9.92547e+87	6.24196e-71	4.29677e-69
-79.49	3.23309e+72	9.66839e+87	6.36806e-71	4.38329e-69
-79.48	3.16868e+72	9.41797e+87	6.4967e-71	4.47156e-69
-79.47	3.10555e+72	9.17404e+87	6.62794e-71	4.56161e-69
-79.46	3.04368e+72	8.93643e+87	6.76184e-71	4.65347e-69
-79.45	2.98304e+72	8.70497e+87	6.89843e-71	4.74718e-69
-79.44	2.92361e+72	8.47951e+87	7.03779e-71	4.84278e-69
-79.43	2.86537e+72	8.25989e+87	7.17996e-71	4.9403e-69
-79.42	2.80828e+72	8.04596e+87	7.32501e-71	5.03979e-69
-79.41	2.75233e+72	7.83757e+87	7.47298e-71	5.14128e-69
-79.4	2.6975e+72	7.63457e+87	7.62395e-71	5.24481e-69
-79.39	2.64376e+72	7.43684e+87	7.77796e-71	5.35043e-69
-79.38	2.59109e+72	7.24423e+87	7.93508e-71	5.45817e-69
-79.37	2.53947e+72	7.05661e+87	8.09538e-71	5.56809e-69
-79.36	2.48887e+72	6.87385e+87	8.25892e-71	5.68021e-69
-79.35	2.43929e+72	6.69582e+87	8.42576e-71	5.7946e-69
-79.34	2.39069e+72	6.5224e+87	8.59597e-71	5.91129e-69
-79.33	2.34306e+72	6.35348e+87	8.76962e-71	6.03033e-69
-79.32	2.29638e+72	6.18893e+87	8.94678e-71	6.15177e-69
-79.31	2.25063e+72	6.02864e+87	9.12752e-71	6.27565e-69
-79.3	2.20579e+72	5.87251e+87	9.3119e-71	6.40202e-69
-79.29	2.16185e+72	5.72042e+87	9.50002e-71	6.53094e-69
-79.28	2.11878e+72	5.57227e+87	9.69193e-71	6.66246e-69
-79.27	2.07657e+72	5.42796e+87	9.88772e-71	6.79663e-69
-79.26	2.03519e+72	5.28739e+87	1.00875e-70	6.9335e-69
-79.25	1.99465e+72	5.15045e+87	1.02912e-70	7.07312e-69
-79.24	1.95491e+72	5.01707e+87	1.04991e-70	7.21555e-69
-79.23	1.91596e+72	4.88714e+87	1.07112e-70	7.36086e-69
-79.22	1.87779e+72	4.76057e+87	1.09276e-70	7.50909e-69
-79.21	1.84038e+72	4.63728e+87	1.11484e-70	7.6603e-69
-79.2	1.80371e+72	4.51719e+87	1.13736e-70	7.81456e-69
-79.19	1.76778e+72	4.40021e+87	1.16033e-70	7.97193e-69
-79.18	1.73256e+72	4.28626e+87	1.18377e-70	8.13246e-69
-79.17	1.69804e+72	4.17525e+87	1.20769e-70	8.29623e-69
-79.16	1.66421e+72	4.06713e+87	1.23208e-70	8.46329e-69
-79.15	1.63105e+72	3.9618e+87	1.25697e-70	8.63372e-69
-79.14	1.59856e+72	3.85921e+87	1.28237e-70	8.80758e-69
-79.13	1.56671e+72	3.75927e+87	1.30827e-70	8.98495e-69
-79.12	1.5355e+72	3.66191e+87	1.3347e-70	9.16588e-69
-79.11	1.5049e+72	3.56708e+87	1.36166e-70	9.35046e-69
-79.1	1.47492e+72	3.47471e+87	1.38917e-70	9.53875e-69
-79.09	1.44554e+72	3.38473e+87	1.41723e-70	9.73084e-69
-79.08	1.41674e+72	3.29708e+87	1.44586e-70	9.92679e-69
-79.07	1.38851e+72	3.2117e+87	1.47507e-70	1.01267e-68
-79.06	1.36085e+72	3.12853e+87	1.50487e-70	1.03306e-68
-79.05	1.33374e+72	3.04751e+87	1.53527e-70	1.05386e-68
-79.04	1.30716e+72	2.9686e+87	1.56629e-70	1.07509e-68
-79.03	1.28112e+72	2.89173e+87	1.59793e-70	1.09674e-68
-79.02	1.2556e+72	2.81684e+87	1.63021e-70	1.11882e-68
-79.01	1.23058e+72	2.7439e+87	1.66314e-70	1.14135e-68
-79	1.20606e+72	2.67285e+87	1.69674e-70	1.16434e-68
-78.99	1.18204e+72	2.60364e+87	1.73101e-70	1.18778e-68
-78.98	1.15849e+72	2.53622e+87	1.76598e-70	1.2117e-68
-78.97	1.1354e+72	2.47054e+87	1.80166e-70	1.2361e-68
-78.96	1.11278e+72	2.40657e+87	1.83805e-70	1.26099e-68
-78.95	1.09061e+72	2.34425e+87	1.87518e-70	1.28639e-68
-78.94	1.06888e+72	2.28355e+87	1.91306e-70	1.31229e-68
-78.93	1.04759e+72	2.22442e+87	1.95171e-70	1.33872e-68
-78.92	1.02672e+72	2.16682e+87	1.99114e-70	1.36567e-68
-78.91	1.00626e+72	2.11071e+87	2.03136e-70	1.39318e-68
-78.9	9.86213e+71	2.05606e+87	2.0724e-70	1.42123e-68
-78.89	9.66565e+71	2.00282e+87	2.11426e-70	1.44985e-68
-78.88	9.47307e+71	1.95096e+87	2.15697e-70	1.47905e-68
-78.87	9.28434e+71	1.90044e+87	2.20055e-70	1.50883e-68
-78.86	9.09936e+71	1.85124e+87	2.245e-70	1.53921e-68
-78.85	8.91807e+71	1.8033e+87	2.29035e-70	1.57021e-68
-78.84	8.74039e+71	1.75661e+87	2.33662e-70	1.60183e-68
-78.83	8.56625e+71	1.71113e+87	2.38382e-70	1.63408e-68
-78.82	8.39558e+71	1.66682e+87	2.43198e-70	1.66699e-68
-78.81	8.22831e+71	1.62366e+87	2.48111e-70	1.70056e-68
-78.8	8.06438e+71	1.58162e+87	2.53123e-70	1.7348e-68
-78.79	7.90371e+71	1.54067e+87	2.58236e-70	1.76974e-68
-78.78	7.74624e+71	1.50078e+87	2.63453e-70	1.80538e-68
-78.77	7.5919e+71	1.46192e+87	2.68775e-70	1.84173e-68
-78.76	7.44064e+71	1.42407e+87	2.74205e-70	1.87882e-68
-78.75	7.2924e+71	1.3872e+87	2.79744e-70	1.91665e-68
-78.74	7.14711e+71	1.35128e+87	2.85395e-70	1.95525e-68
-78.73	7.00471e+71	1.31629e+87	2.91161e-70	1.99462e-68
-78.72	6.86515e+71	1.28221e+87	2.97043e-70	2.03479e-68
