z	u	VVM	VAVM	VPSM	VSM	VSAVM
8.19649	384.744	8.44285e+06	8.90778e+06	8.90779e+06	8.44285e+06	8.90778e+06
8.19594	384.655	8.43894e+06	8.90372e+06	8.90372e+06	8.43894e+06	8.90372e+06
8.19539	384.566	8.43503e+06	8.89966e+06	8.89966e+06	8.43503e+06	8.89966e+06
8.19484	384.477	8.43113e+06	8.8956e+06	8.8956e+06	8.43113e+06	8.8956e+06
8.19428	384.388	8.42723e+06	8.89154e+06	8.89154e+06	8.42723e+06	8.89154e+06
8.19373	384.299	8.42333e+06	8.88748e+06	8.88748e+06	8.42333e+06	8.88748e+06
8.19318	384.21	8.41943e+06	8.88342e+06	8.88342e+06	8.41943e+06	8.88342e+06
8.19263	384.121	8.41553e+06	8.87936e+06	8.87937e+06	8.41553e+06	8.87936e+06
8.19207	384.032	8.41163e+06	8.87531e+06	8.87531e+06	8.41163e+06	8.87531e+06
8.19152	383.943	8.40774e+06	8.87126e+06	8.87126e+06	8.40774e+06	8.87126e+06
8.19097	383.854	8.40384e+06	8.86721e+06	8.86721e+06	8.40384e+06	8.86721e+06
8.19041	383.765	8.39995e+06	8.86315e+06	8.86316e+06	8.39995e+06	8.86315e+06
8.18986	383.676	8.39606e+06	8.85911e+06	8.85911e+06	8.39606e+06	8.85911e+06
8.18931	383.587	8.39217e+06	8.85506e+06	8.85506e+06	8.39217e+06	8.85506e+06
8.18876	383.498	8.38828e+06	8.85101e+06	8.85102e+06	8.38828e+06	8.85101e+06
8.1882	383.409	8.38439e+06	8.84697e+06	8.84697e+06	8.38439e+06	8.84697e+06
8.18765	383.32	8.3805e+06	8.84292e+06	8.84293e+06	8.3805e+06	8.84292e+06
8.1871	383.232	8.37662e+06	8.83888e+06	8.83889e+06	8.37662e+06	8.83888e+06
8.18654	383.143	8.37274e+06	8.83484e+06	8.83484e+06	8.37274e+06	8.83484e+06
8.18599	383.054	8.36885e+06	8.8308e+06	8.83081e+06	8.36885e+06	8.8308e+06
8.18544	382.965	8.36497e+06	8.82676e+06	8.82677e+06	8.36497e+06	8.82676e+06
