z	u	VVM	VAVM	VPSM	VSM	VSAVM
2.84597	18.4563	8643.86	8887.13	8891.09	8643.58	8887.13
2.84447	18.4348	8625.55	8868.52	8872.49	8625.26	8868.52
2.84298	18.4133	8607.26	8849.94	8853.9	8606.97	8849.94
2.84148	18.3918	8588.99	8831.38	8835.34	8588.7	8831.38
2.83999	18.3703	8570.74	8812.84	8816.8	8570.45	8812.84
2.83849	18.3488	8552.51	8794.32	8798.28	8552.23	8794.32
2.83699	18.3273	8534.31	8775.83	8779.78	8534.02	8775.83
2.8355	18.3058	8516.13	8757.35	8761.31	8515.84	8757.35
2.834	18.2843	8497.97	8738.9	8742.86	8497.68	8738.9
2.8325	18.2628	8479.84	8720.47	8724.42	8479.54	8720.47
2.831	18.2413	8461.72	8702.06	8706.02	8461.43	8702.06
2.8295	18.2198	8443.63	8683.68	8687.63	8443.33	8683.68
2.828	18.1983	8425.56	8665.32	8669.27	8425.26	8665.32
2.82649	18.1769	8407.51	8646.98	8650.92	8407.21	8646.98
2.82499	18.1554	8389.48	8628.66	8632.6	8389.18	8628.66
2.82349	18.1339	8371.48	8610.36	8614.31	8371.18	8610.36
2.82198	18.1124	8353.49	8592.09	8596.03	8353.19	8592.09
2.82048	18.0909	8335.53	8573.83	8577.78	8335.23	8573.83
2.81897	18.0695	8317.6	8555.6	8559.54	8317.29	8555.6
2.81747	18.048	8299.68	8537.39	8541.33	8299.37	8537.39
2.81596	18.0265	8281.78	8519.21	8523.15	8281.48	8519.21
2.81445	18.0051	8263.91	8501.04	8504.98	8263.6	8501.04
2.81295	17.9836	8246.06	8482.9	8486.84	8245.75	8482.9
2.81144	17.9622	8228.23	8464.78	8468.71	8227.92	8464.78
2.80993	17.9407	8210.42	8446.68	8450.61	8210.11	8446.68
2.80842	17.9192	8192.64	8428.6	8432.54	8192.32	8428.6
2.80691	17.8978	8174.88	8410.55	8414.48	8174.56	8410.55
2.80539	17.8763	8157.14	8392.52	8396.45	8156.82	8392.52
2.80388	17.8549	8139.42	8374.5	8378.43	8139.1	8374.5
2.80237	17.8335	8121.72	8356.52	8360.44	8121.4	8356.52
2.80085	17.812	8104.04	8338.55	8342.48	8103.72	8338.55
2.79934	17.7906	8086.39	8320.6	8324.53	8086.07	8320.6
2.79782	17.7691	8068.76	8302.68	8306.6	8068.43	8302.68
2.79631	17.7477	8051.15	8284.78	8288.7	8050.82	8284.78
