z	u	VVM	VAVM	VPSM	VSM	VSAVM
2.84489	17.517	7630.51	7925.06	7928.99	7630.19	7925.06
2.8434	17.4969	7614.6	7908.8	7912.73	7614.27	7908.8
2.84191	17.4767	7598.7	7892.56	7896.49	7598.38	7892.56
2.84041	17.4565	7582.82	7876.33	7880.26	7582.5	7876.33
2.83892	17.4364	7566.97	7860.13	7864.05	7566.64	7860.13
2.83743	17.4162	7551.13	7843.94	7847.87	7550.8	7843.94
2.83593	17.396	7535.31	7827.77	7831.7	7534.98	7827.77
2.83443	17.3759	7519.51	7811.63	7815.55	7519.17	7811.63
2.83294	17.3557	7503.72	7795.5	7799.42	7503.39	7795.5
2.83144	17.3356	7487.96	7779.39	7783.3	7487.62	7779.39
2.82994	17.3154	7472.21	7763.29	7767.21	7471.88	7763.29
2.82844	17.2953	7456.49	7747.22	7751.14	7456.15	7747.22
2.82694	17.2751	7440.78	7731.16	7735.08	7440.44	7731.16
2.82544	17.255	7425.09	7715.13	7719.04	7424.75	7715.13
2.82394	17.2348	7409.42	7699.11	7703.02	7409.08	7699.11
2.82244	17.2147	7393.77	7683.11	7687.02	7393.42	7683.11
2.82094	17.1946	7378.13	7667.13	7671.04	7377.79	7667.13
2.81943	17.1744	7362.52	7651.17	7655.08	7362.17	7651.17
2.81793	17.1543	7346.92	7635.23	7639.13	7346.58	7635.23
2.81643	17.1342	7331.35	7619.3	7623.21	7331	7619.3
2.81492	17.114	7315.79	7603.4	7607.3	7315.44	7603.4
2.81341	17.0939	7300.25	7587.51	7591.41	7299.9	7587.51
2.81191	17.0738	7284.73	7571.64	7575.54	7284.37	7571.64
2.8104	17.0537	7269.22	7555.79	7559.69	7268.87	7555.79
2.80889	17.0335	7253.74	7539.96	7543.86	7253.38	7539.96
2.80738	17.0134	7238.27	7524.15	7528.05	7237.92	7524.15
2.80588	16.9933	7222.83	7508.36	7512.25	7222.47	7508.36
2.80437	16.9732	7207.4	7492.58	7496.48	7207.04	7492.58
2.80286	16.9531	7191.99	7476.82	7480.72	7191.63	7476.82
2.80134	16.933	7176.6	7461.09	7464.98	7176.23	7461.09
2.79983	16.9129	7161.23	7445.37	7449.26	7160.86	7445.37
2.79832	16.8928	7145.87	7429.67	7433.56	7145.51	7429.67
2.79681	16.8726	7130.54	7413.99	7417.87	7130.17	7413.99
2.79529	16.8525	7115.22	7398.32	7402.21	7114.85	7398.32
2.79378	16.8324	7099.92	7382.68	7386.56	7099.55	7382.68
2.79226	16.8123	7084.64	7367.05	7370.93	7084.27	7367.05
2.79074	16.7923	7069.38	7351.44	7355.33	7069.01	7351.44
2.78923	16.7722	7054.14	7335.85	7339.74	7053.76	7335.85
2.78771	16.7521	7038.92	7320.28	7324.16	7038.54	7320.28
2.78619	16.732	7023.71	7304.73	7308.61	7023.33	7304.73
2.78467	16.7119	7008.52	7289.2	7293.08	7008.14	7289.2
2.78315	16.6918	6993.36	7273.68	7277.56	6992.97	7273.68
2.78163	16.6717	6978.21	7258.19	7262.06	6977.82	7258.19
2.78011	16.6516	6963.08	7242.71	7246.58	6962.69	7242.71
2.77859	16.6316	6947.96	7227.25	7231.12	6947.57	7227.25
2.77707	16.6115	6932.87	7211.81	7215.68	6932.48	7211.81
2.77554	16.5914	6917.79	7196.39	7200.26	6917.4	7196.39
2.77402	16.5713	6902.74	7180.98	7184.85	6902.34	7180.98
2.77249	16.5513	6887.7	7165.6	7169.46	6887.3	7165.6
2.77097	16.5312	6872.68	7150.23	7154.1	6872.28	7150.23
2.76944	16.5111	6857.68	7134.88	7138.75	6857.28	7134.88
2.76792	16.4911	6842.69	7119.55	7123.42	6842.29	7119.55
2.76639	16.471	6827.73	7104.24	7108.1	6827.33	7104.24
2.76486	16.451	6812.78	7088.95	7092.81	6812.38	7088.95
2.76333	16.4309	6797.85	7073.68	7077.53	6797.45	7073.68
2.7618	16.4108	6782.95	7058.42	7062.28	6782.54	7058.42
2.76027	16.3908	6768.05	7043.18	7047.04	6767.65	7043.18
2.75874	16.3707	6753.18	7027.96	7031.82	6752.77	7027.96
2.75721	16.3507	6738.33	7012.76	7016.61	6737.92	7012.76
2.75567	16.3306	6723.49	6997.58	7001.43	6723.08	6997.58
2.75414	16.3106	6708.68	6982.42	6986.27	6708.26	6982.42
2.75261	16.2906	6693.88	6967.27	6971.12	6693.46	6967.27
2.75107	16.2705	6679.1	6952.15	6955.99	6678.68	6952.15
2.74954	16.2505	6664.33	6937.04	6940.88	6663.91	6937.04
2.748	16.2305	6649.59	6921.95	6925.79	6649.17	6921.95
2.74646	16.2104	6634.87	6906.88	6910.72	6634.44	6906.88
2.74493	16.1904	6620.16	6891.82	6895.66	6619.73	6891.82
2.74339	16.1704	6605.47	6876.79	6880.63	6605.04	6876.79
2.74185	16.1503	6590.8	6861.77	6865.61	6590.37	6861.77
2.74031	16.1303	6576.15	6846.77	6850.61	6575.72	6846.77
2.73877	16.1103	6561.52	6831.8	6835.63	6561.08	6831.8
2.73723	16.0903	6546.9	6816.83	6820.66	6546.47	6816.83
2.73568	16.0702	6532.31	6801.89	6805.72	6531.87	6801.89
2.73414	16.0502	6517.73	6786.97	6790.79	6517.29	6786.97
2.7326	16.0302	6503.17	6772.06	6775.89	6502.73	6772.06
2.73105	16.0102	6488.63	6757.17	6761	6488.18	6757.17
2.72951	15.9902	6474.1	6742.3	6746.12	6473.66	6742.3
2.72796	15.9702	6459.6	6727.45	6731.27	6459.15	6727.45
2.72641	15.9502	6445.11	6712.62	6716.44	6444.66	6712.62
2.72487	15.9302	6430.64	6697.8	6701.62	6430.19	6697.8
2.72332	15.9102	6416.19	6683.01	6686.82	6415.74	6683.01
2.72177	15.8902	6401.76	6668.23	6672.04	6401.31	6668.23
2.72022	15.8702	6387.35	6653.47	6657.28	6386.89	6653.47
2.71867	15.8502	6372.95	6638.73	6642.54	6372.5	6638.73
2.71712	15.8302	6358.58	6624.01	6627.82	6358.12	6624.01
2.71557	15.8102	6344.22	6609.3	6613.11	6343.76	6609.3
2.71401	15.7902	6329.88	6594.62	6598.42	6329.42	6594.62
2.71246	15.7702	6315.55	6579.95	6583.75	6315.09	6579.95
2.71091	15.7503	6301.25	6565.3	6569.1	6300.79	6565.3
2.70935	15.7303	6286.97	6550.67	6554.47	6286.5	6550.67
2.7078	15.7103	6272.7	6536.05	6539.85	6272.23	6536.05
2.70624	15.6903	6258.45	6521.46	6525.25	6257.98	6521.46
2.70468	15.6704	6244.22	6506.88	6510.67	6243.75	6506.88
2.70312	15.6504	6230.01	6492.32	6496.11	6229.53	6492.32
2.70156	15.6304	6215.81	6477.78	6481.57	6215.33	6477.78
2.70001	15.6105	6201.63	6463.26	6467.05	6201.16	6463.26
2.69844	15.5905	6187.48	6448.75	6452.54	6187	6448.75
2.69688	15.5705	6173.34	6434.27	6438.05	6172.85	6434.27
2.69532	15.5506	6159.22	6419.8	6423.58	6158.73	6419.8
2.69376	15.5306	6145.11	6405.35	6409.13	6144.63	6405.35
2.6922	15.5106	6131.03	6390.92	6394.7	6130.54	6390.92
2.69063	15.4907	6116.96	6376.51	6380.28	6116.47	6376.51
2.68907	15.4707	6102.91	6362.11	6365.89	6102.42	6362.11
2.6875	15.4508	6088.88	6347.73	6351.51	6088.39	6347.73
2.68593	15.4309	6074.87	6333.37	6337.15	6074.37	6333.37
2.68437	15.4109	6060.87	6319.03	6322.81	6060.37	6319.03
2.6828	15.391	6046.9	6304.71	6308.48	6046.4	6304.71
2.68123	15.371	6032.94	6290.41	6294.18	6032.44	6290.41
2.67966	15.3511	6019	6276.12	6279.89	6018.49	6276.12
2.67809	15.3312	6005.07	6261.85	6265.62	6004.57	6261.85
2.67652	15.3112	5991.17	6247.6	6251.37	5990.66	6247.6
2.67495	15.2913	5977.29	6233.37	6237.13	5976.78	6233.37
2.67338	15.2714	5963.42	6219.16	6222.92	5962.91	6219.16
2.6718	15.2514	5949.57	6204.96	6208.72	5949.06	6204.96
2.67023	15.2315	5935.74	6190.78	6194.54	5935.22	6190.78
2.66865	15.2116	5921.92	6176.62	6180.38	5921.41	6176.62
2.66708	15.1917	5908.13	6162.48	6166.24	5907.61	6162.48
2.6655	15.1718	5894.35	6148.36	6152.11	5893.83	6148.36
2.66392	15.1518	5880.59	6134.25	6138	5880.07	6134.25
2.66234	15.1319	5866.85	6120.17	6123.91	5866.32	6120.17
2.66077	15.112	5853.13	6106.1	6109.84	5852.6	6106.1
2.65919	15.0921	5839.42	6092.04	6095.79	5838.89	6092.04
2.6576	15.0722	5825.73	6078.01	6081.75	5825.2	6078.01
2.65602	15.0523	5812.06	6064	6067.74	5811.53	6064
2.65444	15.0324	5798.41	6050	6053.74	5797.88	6050
2.65286	15.0125	5784.78	6036.02	6039.76	5784.24	6036.02
2.65127	14.9926	5771.16	6022.06	6025.79	5770.63	6022.06
2.64969	14.9727	5757.57	6008.12	6011.85	5757.03	6008.12
2.6481	14.9528	5743.99	5994.19	5997.92	5743.45	5994.19
2.64652	14.9329	5730.43	5980.28	5984.01	5729.88	5980.28
2.64493	14.913	5716.88	5966.39	5970.12	5716.34	5966.39
2.64334	14.8932	5703.36	5952.52	5956.25	5702.81	5952.52
2.64176	14.8733	5689.85	5938.67	5942.39	5689.3	5938.67
2.64017	14.8534	5676.36	5924.83	5928.56	5675.81	5924.83
2.63858	14.8335	5662.89	5911.02	5914.74	5662.33	5911.02
2.63698	14.8136	5649.44	5897.22	5900.93	5648.88	5897.22
2.63539	14.7938	5636	5883.43	5887.15	5635.44	5883.43
2.6338	14.7739	5622.58	5869.67	5873.39	5622.02	5869.67
2.63221	14.754	5609.18	5855.93	5859.64	5608.62	5855.93
2.63061	14.7342	5595.8	5842.2	5845.91	5595.24	5842.2
2.62902	14.7143	5582.44	5828.49	5832.2	5581.87	5828.49
2.62742	14.6944	5569.09	5814.8	5818.5	5568.52	5814.8
2.62582	14.6746	5555.76	5801.12	5804.83	5555.19	5801.12
2.62423	14.6547	5542.45	5787.47	5791.17	5541.88	5787.47
2.62263	14.6349	5529.16	5773.83	5777.53	5528.58	5773.83
2.62103	14.615	5515.88	5760.21	5763.91	5515.31	5760.21
2.61943	14.5952	5502.63	5746.6	5750.3	5502.05	5746.6
2.61783	14.5753	5489.39	5733.02	5736.71	5488.81	5733.02
2.61623	14.5555	5476.17	5719.45	5723.15	5475.58	5719.45
2.61462	14.5356	5462.96	5705.9	5709.59	5462.38	5705.9
2.61302	14.5158	5449.78	5692.37	5696.06	5449.19	5692.37
2.61142	14.4959	5436.61	5678.86	5682.55	5436.02	5678.86
2.60981	14.4761	5423.46	5665.36	5669.05	5422.87	5665.36
2.60821	14.4563	5410.33	5651.88	5655.57	5409.74	5651.88
2.6066	14.4364	5397.21	5638.42	5642.11	5396.62	5638.42
2.60499	14.4166	5384.12	5624.98	5628.66	5383.52	5624.98
2.60338	14.3968	5371.04	5611.56	5615.23	5370.44	5611.56
2.60178	14.377	5357.98	5598.15	5601.83	5357.38	5598.15
2.60017	14.3571	5344.94	5584.76	5588.43	5344.33	5584.76
2.59855	14.3373	5331.91	5571.39	5575.06	5331.3	5571.39
2.59694	14.3175	5318.9	5558.04	5561.71	5318.29	5558.04
2.59533	14.2977	5305.91	5544.7	5548.37	5305.3	5544.7
2.59372	14.2779	5292.94	5531.38	5535.05	5292.33	5531.38
2.5921	14.2581	5279.99	5518.08	5521.75	5279.37	5518.08
2.59049	14.2383	5267.05	5504.8	5508.46	5266.43	5504.8
2.58887	14.2185	5254.13	5491.54	5495.19	5253.51	5491.54
2.58726	14.1987	5241.23	5478.29	5481.95	5240.61	5478.29
2.58564	14.1789	5228.35	5465.06	5468.71	5227.72	5465.06
2.58402	14.1591	5215.48	5451.85	5455.5	5214.85	5451.85
2.5824	14.1393	5202.63	5438.65	5442.3	5202	5438.65
2.58078	14.1195	5189.8	5425.48	5429.13	5189.17	5425.48
2.57916	14.0997	5176.99	5412.32	5415.97	5176.36	5412.32
2.57754	14.0799	5164.19	5399.18	5402.82	5163.56	5399.18
2.57591	14.0601	5151.42	5386.05	5389.7	5150.78	5386.05
2.57429	14.0403	5138.66	5372.95	5376.59	5138.02	5372.95
2.57267	14.0205	5125.91	5359.86	5363.5	5125.27	5359.86
2.57104	14.0008	5113.19	5346.79	5350.43	5112.55	5346.79
2.56942	13.981	5100.48	5333.74	5337.37	5099.84	5333.74
2.56779	13.9612	5087.79	5320.7	5324.33	5087.15	5320.7
2.56616	13.9414	5075.12	5307.68	5311.31	5074.47	5307.68
2.56453	13.9217	5062.47	5294.68	5298.31	5061.82	5294.68
2.5629	13.9019	5049.83	5281.7	5285.33	5049.18	5281.7
2.56127	13.8822	5037.21	5268.74	5272.36	5036.56	5268.74
2.55964	13.8624	5024.61	5255.79	5259.41	5023.95	5255.79
2.55801	13.8426	5012.03	5242.86	5246.48	5011.37	5242.86
2.55638	13.8229	4999.46	5229.95	5233.57	4998.8	5229.95
