z	u	VVM	VAVM	VPSM	VSM	VSAVM
2.70837	15.2416	6094.08	6460.32	6464.25	6093.77	6460.32
2.70688	15.2238	6081.08	6446.87	6450.79	6080.77	6446.87
2.7054	15.206	6068.1	6433.43	6437.35	6067.79	6433.43
2.70392	15.1882	6055.13	6420.01	6423.93	6054.82	6420.01
2.70243	15.1705	6042.18	6406.61	6410.53	6041.87	6406.61
2.70095	15.1527	6029.25	6393.22	6397.14	6028.93	6393.22
2.69946	15.1349	6016.33	6379.85	6383.76	6016.01	6379.85
2.69797	15.1171	6003.43	6366.49	6370.41	6003.11	6366.49
2.69649	15.0994	5990.54	6353.15	6357.07	5990.22	6353.15
2.695	15.0816	5977.67	6339.83	6343.74	5977.35	6339.83
2.69351	15.0638	5964.82	6326.52	6330.43	5964.49	6326.52
2.69202	15.0461	5951.98	6313.23	6317.14	5951.65	6313.23
2.69053	15.0283	5939.15	6299.95	6303.86	5938.83	6299.95
2.68904	15.0106	5926.35	6286.69	6290.6	5926.02	6286.69
2.68755	14.9928	5913.56	6273.45	6277.35	5913.23	6273.45
2.68605	14.975	5900.78	6260.22	6264.13	5900.45	6260.22
2.68456	14.9573	5888.02	6247.01	6250.91	5887.69	6247.01
2.68307	14.9395	5875.28	6233.81	6237.72	5874.95	6233.81
2.68157	14.9218	5862.55	6220.63	6224.54	5862.22	6220.63
2.68008	14.9041	5849.84	6207.47	6211.37	5849.51	6207.47
2.67858	14.8863	5837.15	6194.32	6198.22	5836.81	6194.32
2.67709	14.8686	5824.47	6181.19	6185.09	5824.13	6181.19
2.67559	14.8508	5811.81	6168.07	6171.97	5811.47	6168.07
2.67409	14.8331	5799.16	6154.97	6158.87	5798.82	6154.97
2.6726	14.8154	5786.53	6141.89	6145.79	5786.19	6141.89
2.6711	14.7977	5773.91	6128.82	6132.72	5773.57	6128.82
2.6696	14.7799	5761.31	6115.77	6119.67	5760.97	6115.77
2.6681	14.7622	5748.73	6102.74	6106.63	5748.39	6102.74
2.6666	14.7445	5736.16	6089.72	6093.61	5735.82	6089.72
2.66509	14.7268	5723.61	6076.71	6080.6	5723.27	6076.71
2.66359	14.7091	5711.08	6063.73	6067.62	5710.73	6063.73
2.66209	14.6913	5698.56	6050.75	6054.64	5698.21	6050.75
2.66059	14.6736	5686.05	6037.8	6041.69	5685.7	6037.8
2.65908	14.6559	5673.56	6024.86	6028.75	5673.21	6024.86
2.65758	14.6382	5661.09	6011.94	6015.82	5660.74	6011.94
2.65607	14.6205	5648.64	5999.03	6002.91	5648.28	5999.03
2.65456	14.6028	5636.2	5986.14	5990.02	5635.84	5986.14
2.65306	14.5851	5623.77	5973.26	5977.14	5623.42	5973.26
2.65155	14.5674	5611.36	5960.4	5964.28	5611.01	5960.4
2.65004	14.5497	5598.97	5947.56	5951.43	5598.61	5947.56
2.64853	14.5321	5586.59	5934.73	5938.61	5586.23	5934.73
2.64702	14.5144	5574.23	5921.92	5925.79	5573.87	5921.92
2.64551	14.4967	5561.89	5909.12	5912.99	5561.53	5909.12
2.644	14.479	5549.56	5896.34	5900.21	5549.2	5896.34
2.64249	14.4613	5537.24	5883.57	5887.45	5536.88	5883.57
2.64098	14.4437	5524.95	5870.83	5874.7	5524.58	5870.83
2.63946	14.426	5512.66	5858.09	5861.96	5512.3	5858.09
2.63795	14.4083	5500.4	5845.38	5849.25	5500.03	5845.38
2.63643	14.3906	5488.15	5832.68	5836.54	5487.78	5832.68
2.63492	14.373	5475.91	5819.99	5823.86	5475.54	5819.99
2.6334	14.3553	5463.69	5807.32	5811.19	5463.32	5807.32
2.63189	14.3377	5451.49	5794.67	5798.53	5451.12	5794.67
2.63037	14.32	5439.3	5782.03	5785.89	5438.93	5782.03
2.62885	14.3024	5427.13	5769.41	5773.27	5426.76	5769.41
2.62733	14.2847	5414.98	5756.8	5760.66	5414.6	5756.8
2.62581	14.2671	5402.84	5744.21	5748.07	5402.46	5744.21
2.62429	14.2494	5390.71	5731.64	5735.5	5390.33	5731.64
2.62277	14.2318	5378.6	5719.08	5722.94	5378.22	5719.08
2.62125	14.2141	5366.51	5706.54	5710.39	5366.13	5706.54
2.61973	14.1965	5354.44	5694.01	5697.87	5354.05	5694.01
2.6182	14.1788	5342.37	5681.5	5685.35	5341.99	5681.5
2.61668	14.1612	5330.33	5669.01	5672.86	5329.94	5669.01
2.61515	14.1436	5318.3	5656.53	5660.38	5317.91	5656.53
2.61363	14.126	5306.29	5644.06	5647.91	5305.9	5644.06
2.6121	14.1083	5294.29	5631.62	5635.46	5293.9	5631.62
2.61058	14.0907	5282.3	5619.18	5623.03	5281.91	5619.18
2.60905	14.0731	5270.34	5606.77	5610.61	5269.95	5606.77
2.60752	14.0555	5258.39	5594.37	5598.21	5257.99	5594.37
2.60599	14.0379	5246.45	5581.98	5585.83	5246.06	5581.98
2.60446	14.0203	5234.53	5569.61	5573.46	5234.13	5569.61
2.60293	14.0026	5222.63	5557.26	5561.1	5222.23	5557.26
2.6014	13.985	5210.74	5544.92	5548.76	5210.34	5544.92
2.59987	13.9674	5198.87	5532.6	5536.44	5198.47	5532.6
2.59834	13.9498	5187.01	5520.3	5524.13	5186.61	5520.3
2.5968	13.9322	5175.17	5508.01	5511.84	5174.76	5508.01
2.59527	13.9146	5163.34	5495.73	5499.57	5162.94	5495.73
2.59374	13.897	5151.53	5483.47	5487.31	5151.13	5483.47
2.5922	13.8795	5139.74	5471.23	5475.06	5139.33	5471.23
2.59066	13.8619	5127.96	5459	5462.83	5127.55	5459
2.58913	13.8443	5116.2	5446.79	5450.62	5115.78	5446.79
2.58759	13.8267	5104.45	5434.6	5438.42	5104.04	5434.6
2.58605	13.8091	5092.72	5422.42	5426.24	5092.3	5422.42
2.58451	13.7916	5081	5410.25	5414.08	5080.58	5410.25
2.58297	13.774	5069.3	5398.1	5401.92	5068.88	5398.1
2.58143	13.7564	5057.61	5385.97	5389.79	5057.2	5385.97
2.57989	13.7388	5045.94	5373.85	5377.67	5045.52	5373.85
2.57835	13.7213	5034.29	5361.75	5365.57	5033.87	5361.75
2.57681	13.7037	5022.65	5349.66	5353.48	5022.23	5349.66
2.57526	13.6862	5011.03	5337.59	5341.41	5010.6	5337.59
2.57372	13.6686	4999.42	5325.54	5329.35	4999	5325.54
2.57217	13.651	4987.83	5313.5	5317.31	4987.4	5313.5
2.57063	13.6335	4976.25	5301.47	5305.29	4975.83	5301.47
2.56908	13.6159	4964.69	5289.47	5293.28	4964.26	5289.47
2.56753	13.5984	4953.15	5277.47	5281.28	4952.72	5277.47
2.56599	13.5809	4941.62	5265.5	5269.31	4941.19	5265.5
2.56444	13.5633	4930.1	5253.54	5257.34	4929.67	5253.54
2.56289	13.5458	4918.6	5241.59	5245.4	4918.17	5241.59
2.56134	13.5282	4907.12	5229.66	5233.46	4906.69	5229.66
2.55979	13.5107	4895.65	5217.75	5221.55	4895.22	5217.75
2.55824	13.4932	4884.2	5205.85	5209.65	4883.76	5205.85
2.55668	13.4757	4872.77	5193.96	5197.76	4872.33	5193.96
2.55513	13.4581	4861.34	5182.1	5185.89	4860.9	5182.1
2.55358	13.4406	4849.94	5170.24	5174.04	4849.5	5170.24
2.55202	13.4231	4838.55	5158.41	5162.2	4838.1	5158.41
2.55047	13.4056	4827.17	5146.59	5150.38	4826.73	5146.59
2.54891	13.3881	4815.82	5134.78	5138.57	4815.37	5134.78
2.54735	13.3705	4804.47	5122.99	5126.78	4804.02	5122.99
2.5458	13.353	4793.14	5111.22	5115.01	4792.69	5111.22
2.54424	13.3355	4781.83	5099.46	5103.25	4781.38	5099.46
2.54268	13.318	4770.53	5087.71	5091.5	4770.08	5087.71
2.54112	13.3005	4759.25	5075.99	5079.77	4758.8	5075.99
2.53956	13.283	4747.99	5064.27	5068.06	4747.53	5064.27
2.538	13.2655	4736.73	5052.58	5056.36	4736.28	5052.58
2.53643	13.2481	4725.5	5040.9	5044.68	4725.04	5040.9
2.53487	13.2306	4714.28	5029.23	5033.01	4713.82	5029.23
2.53331	13.2131	4703.07	5017.58	5021.36	4702.61	5017.58
2.53174	13.1956	4691.88	5005.94	5009.72	4691.42	5005.94
2.53018	13.1781	4680.71	4994.32	4998.1	4680.25	4994.32
2.52861	13.1606	4669.55	4982.72	4986.49	4669.09	4982.72
2.52704	13.1432	4658.41	4971.13	4974.9	4657.94	4971.13
2.52548	13.1257	4647.28	4959.56	4963.33	4646.81	4959.56
2.52391	13.1082	4636.17	4948	4951.77	4635.7	4948
2.52234	13.0908	4625.07	4936.46	4940.23	4624.6	4936.46
2.52077	13.0733	4613.99	4924.93	4928.7	4613.52	4924.93
2.5192	13.0558	4602.92	4913.42	4917.19	4602.45	4913.42
2.51763	13.0384	4591.87	4901.92	4905.69	4591.39	4901.92
2.51605	13.0209	4580.84	4890.44	4894.21	4580.36	4890.44
2.51448	13.0035	4569.82	4878.98	4882.74	4569.34	4878.98
2.51291	12.986	4558.81	4867.53	4871.29	4558.33	4867.53
2.51133	12.9686	4547.82	4856.09	4859.85	4547.34	4856.09
2.50976	12.9512	4536.85	4844.68	4848.43	4536.36	4844.68
2.50818	12.9337	4525.89	4833.27	4837.03	4525.4	4833.27
2.5066	12.9163	4514.95	4821.88	4825.64	4514.46	4821.88
2.50503	12.8988	4504.02	4810.51	4814.26	4503.53	4810.51
2.50345	12.8814	4493.1	4799.15	4802.9	4492.61	4799.15
2.50187	12.864	4482.21	4787.81	4791.56	4481.71	4787.81
2.50029	12.8466	4471.32	4776.48	4780.23	4470.83	4776.48
2.49871	12.8291	4460.46	4765.17	4768.92	4459.96	4765.17
2.49713	12.8117	4449.6	4753.88	4757.62	4449.11	4753.88
2.49554	12.7943	4438.77	4742.6	4746.34	4438.27	4742.6
2.49396	12.7769	4427.95	4731.33	4735.07	4427.44	4731.33
2.49238	12.7595	4417.14	4720.08	4723.82	4416.64	4720.08
2.49079	12.7421	4406.35	4708.85	4712.58	4405.84	4708.85
2.48921	12.7247	4395.57	4697.63	4701.36	4395.07	4697.63
2.48762	12.7073	4384.81	4686.42	4690.16	4384.3	4686.42
2.48603	12.6899	4374.07	4675.23	4678.97	4373.56	4675.23
2.48444	12.6725	4363.34	4664.06	4667.79	4362.82	4664.06
2.48286	12.6551	4352.62	4652.9	4656.63	4352.11	4652.9
2.48127	12.6377	4341.92	4641.76	4645.49	4341.41	4641.76
2.47968	12.6203	4331.24	4630.63	4634.36	4330.72	4630.63
2.47808	12.6029	4320.57	4619.52	4623.24	4320.05	4619.52
2.47649	12.5855	4309.91	4608.42	4612.14	4309.39	4608.42
2.4749	12.5682	4299.27	4597.34	4601.06	4298.75	4597.34
2.47331	12.5508	4288.65	4586.27	4589.99	4288.13	4586.27
2.47171	12.5334	4278.04	4575.22	4578.94	4277.52	4575.22
