z	u	VVM	VAVM	VPSM	VSM	VSAVM
2.69432	17.4303	10098.8	11572.5	11576.4	10098.5	11572.5
2.69283	17.4073	10074.4	11545.8	11549.7	10074	11545.8
2.69134	17.3842	10050	11519.1	11523	10049.6	11519.1
2.68985	17.3612	10025.7	11492.5	11496.4	10025.3	11492.5
2.68837	17.3382	10001.3	11466	11469.8	10001	11466
2.68688	17.3152	9977.06	11439.4	11443.3	9976.68	11439.4
2.68539	17.2922	9952.81	11412.9	11416.8	9952.43	11412.9
2.6839	17.2693	9928.61	11386.5	11390.3	9928.22	11386.5
2.6824	17.2463	9904.43	11360	11363.9	9904.05	11360
2.68091	17.2233	9880.3	11333.7	11337.5	9879.92	11333.7
2.67942	17.2003	9856.2	11307.3	11311.2	9855.82	11307.3
2.67793	17.1774	9832.14	11281	11284.9	9831.75	11281
2.67643	17.1544	9808.12	11254.7	11258.6	9807.73	11254.7
2.67494	17.1315	9784.13	11228.5	11232.3	9783.74	11228.5
2.67344	17.1085	9760.18	11202.3	11206.1	9759.78	11202.3
2.67195	17.0856	9736.26	11176.1	11180	9735.87	11176.1
2.67045	17.0627	9712.38	11150	11153.9	9711.99	11150
2.66895	17.0398	9688.54	11123.9	11127.8	9688.14	11123.9
2.66745	17.0168	9664.74	11097.9	11101.7	9664.34	11097.9
2.66595	16.9939	9640.97	11071.9	11075.7	9640.57	11071.9
2.66445	16.971	9617.24	11045.9	11049.7	9616.83	11045.9
2.66295	16.9481	9593.54	11020	11023.8	9593.13	11020
2.66145	16.9252	9569.88	10994.1	10997.9	9569.47	10994.1
2.65995	16.9024	9546.26	10968.2	10972	9545.85	10968.2
2.65845	16.8795	9522.67	10942.4	10946.2	9522.26	10942.4
2.65695	16.8566	9499.12	10916.6	10920.4	9498.71	10916.6
2.65544	16.8338	9475.61	10890.8	10894.7	9475.19	10890.8
2.65394	16.8109	9452.13	10865.1	10869	9451.71	10865.1
2.65243	16.7881	9428.69	10839.5	10843.3	9428.27	10839.5
2.65093	16.7652	9405.28	10813.8	10817.6	9404.86	10813.8
2.64942	16.7424	9381.91	10788.2	10792	9381.49	10788.2
2.64792	16.7195	9358.58	10762.7	10766.5	9358.16	10762.7
2.64641	16.6967	9335.28	10737.1	10741	9334.86	10737.1
2.6449	16.6739	9312.02	10711.6	10715.5	9311.6	10711.6
2.64339	16.6511	9288.8	10686.2	10690	9288.37	10686.2
2.64188	16.6283	9265.61	10660.8	10664.6	9265.18	10660.8
2.64037	16.6055	9242.46	10635.4	10639.2	9242.03	10635.4
2.63886	16.5827	9219.34	10610.1	10613.9	9218.91	10610.1
2.63735	16.5599	9196.26	10584.8	10588.6	9195.83	10584.8
2.63583	16.5371	9173.22	10559.5	10563.3	9172.78	10559.5
2.63432	16.5144	9150.21	10534.3	10538.1	9149.77	10534.3
2.63281	16.4916	9127.24	10509.1	10512.9	9126.8	10509.1
2.63129	16.4689	9104.3	10483.9	10487.7	9103.86	10483.9
2.62978	16.4461	9081.4	10458.8	10462.6	9080.96	10458.8
2.62826	16.4234	9058.54	10433.7	10437.5	9058.09	10433.7
