z	u	VVM	VAVM	VPSM	VSM	VSAVM
8.64873	8.65859	304.447	304.451	310.718	3.38721e+28	2.7046e+166
8.64817	8.65803	304.407	304.41	310.678	3.35369e+28	2.57282e+166
8.6476	8.65746	304.367	304.37	310.638	3.3205e+28	2.44746e+166
8.64704	8.6569	304.326	304.33	310.598	3.28764e+28	2.32821e+166
8.64647	8.65633	304.286	304.29	310.558	3.2551e+28	2.21477e+166
8.64591	8.65577	304.246	304.25	310.518	3.22289e+28	2.10685e+166
8.64534	8.6552	304.206	304.21	310.477	3.19099e+28	2.0042e+166
8.64478	8.65464	304.166	304.17	310.437	3.15941e+28	1.90654e+166
8.64421	8.65407	304.126	304.129	310.397	3.12815e+28	1.81365e+166
8.64365	8.65351	304.085	304.089	310.357	3.09719e+28	1.72528e+166
8.64308	8.65294	304.045	304.049	310.317	3.06654e+28	1.64122e+166
8.64252	8.65238	304.005	304.009	310.277	3.03619e+28	1.56125e+166
8.64195	8.65181	303.965	303.969	310.237	3.00614e+28	1.48518e+166
8.64139	8.65124	303.925	303.929	310.196	2.97639e+28	1.41282e+166
8.64082	8.65068	303.885	303.888	310.156	2.94694e+28	1.34398e+166
8.64026	8.65011	303.845	303.848	310.116	2.91777e+28	1.27849e+166
8.63969	8.64955	303.804	303.808	310.076	2.8889e+28	1.2162e+166
8.63912	8.64898	303.764	303.768	310.036	2.86031e+28	1.15694e+166
8.63856	8.64842	303.724	303.728	309.996	2.832e+28	1.10057e+166
8.63799	8.64785	303.684	303.688	309.956	2.80398e+28	1.04694e+166
8.63743	8.64728	303.644	303.648	309.915	2.77623e+28	9.95933e+165
8.63686	8.64672	303.604	303.607	309.875	2.74875e+28	9.47407e+165
8.6363	8.64615	303.563	303.567	309.835	2.72155e+28	9.01245e+165
8.63573	8.64559	303.523	303.527	309.795	2.69462e+28	8.57333e+165
8.63517	8.64502	303.483	303.487	309.755	2.66795e+28	8.1556e+165
8.6346	8.64446	303.443	303.447	309.715	2.64155e+28	7.75822e+165
8.63403	8.64389	303.403	303.407	309.675	2.61541e+28	7.38021e+165
8.63347	8.64332	303.363	303.366	309.634	2.58953e+28	7.02061e+165
8.6329	8.64276	303.323	303.326	309.594	2.5639e+28	6.67854e+165
8.63234	8.64219	303.282	303.286	309.554	2.53853e+28	6.35313e+165
8.63177	8.64162	303.242	303.246	309.514	2.5134e+28	6.04358e+165
8.6312	8.64106	303.202	303.206	309.474	2.48853e+28	5.74911e+165
8.63064	8.64049	303.162	303.166	309.434	2.4639e+28	5.46899e+165
8.63007	8.63993	303.122	303.126	309.394	2.43952e+28	5.20252e+165
8.62951	8.63936	303.082	303.085	309.353	2.41538e+28	4.94903e+165
8.62894	8.63879	303.041	303.045	309.313	2.39148e+28	4.70789e+165
8.62837	8.63823	303.001	303.005	309.273	2.36781e+28	4.4785e+165
8.62781	8.63766	302.961	302.965	309.233	2.34438e+28	4.26029e+165
8.62724	8.63709	302.921	302.925	309.193	2.32118e+28	4.05271e+165
8.62667	8.63653	302.881	302.885	309.153	2.29821e+28	3.85525e+165
8.62611	8.63596	302.841	302.844	309.113	2.27546e+28	3.6674e+165
8.62554	8.63539	302.801	302.804	309.073	2.25294e+28	3.48871e+165
8.62498	8.63483	302.76	302.764	309.032	2.23065e+28	3.31873e+165
8.62441	8.63426	302.72	302.724	308.992	2.20857e+28	3.15703e+165
8.62384	8.63369	302.68	302.684	308.952	2.18672e+28	3.0032e+165
8.62328	8.63313	302.64	302.644	308.912	2.16508e+28	2.85687e+165
8.62271	8.63256	302.6	302.604	308.872	2.14365e+28	2.71768e+165
8.62214	8.63199	302.56	302.563	308.832	2.12244e+28	2.58526e+165
8.62158	8.63143	302.519	302.523	308.792	2.10143e+28	2.45929e+165
8.62101	8.63086	302.479	302.483	308.751	2.08064e+28	2.33947e+165
8.62044	8.63029	302.439	302.443	308.711	2.06005e+28	2.22548e+165
8.61988	8.62973	302.399	302.403	308.671	2.03966e+28	2.11704e+165
8.61931	8.62916	302.359	302.363	308.631	2.01948e+28	2.01389e+165
8.61874	8.62859	302.319	302.322	308.591	1.99949e+28	1.91577e+165
8.61818	8.62803	302.279	302.282	308.551	1.97971e+28	1.82242e+165
8.61761	8.62746	302.238	302.242	308.511	1.96011e+28	1.73363e+165
8.61704	8.62689	302.198	302.202	308.47	1.94072e+28	1.64916e+165
8.61647	8.62632	302.158	302.162	308.43	1.92151e+28	1.56881e+165
8.61591	8.62576	302.118	302.122	308.39	1.9025e+28	1.49237e+165
8.61534	8.62519	302.078	302.082	308.35	1.88367e+28	1.41965e+165
8.61477	8.62462	302.038	302.041	308.31	1.86503e+28	1.35048e+165
8.61421	8.62406	301.997	302.001	308.27	1.84657e+28	1.28468e+165
8.61364	8.62349	301.957	301.961	308.23	1.8283e+28	1.22209e+165
8.61307	8.62292	301.917	301.921	308.189	1.8102e+28	1.16254e+165
8.6125	8.62235	301.877	301.881	308.149	1.79229e+28	1.1059e+165
8.61194	8.62179	301.837	301.841	308.109	1.77455e+28	1.05201e+165
8.61137	8.62122	301.797	301.8	308.069	1.75699e+28	1.00075e+165
8.6108	8.62065	301.757	301.76	308.029	1.73961e+28	9.51994e+164
8.61024	8.62008	301.716	301.72	307.989	1.72239e+28	9.05609e+164
8.60967	8.61952	301.676	301.68	307.949	1.70535e+28	8.61484e+164
8.6091	8.61895	301.636	301.64	307.908	1.68847e+28	8.19509e+164
8.60853	8.61838	301.596	301.6	307.868	1.67176e+28	7.79579e+164
8.60797	8.61781	301.556	301.56	307.828	1.65522e+28	7.41595e+164
8.6074	8.61724	301.516	301.519	307.788	1.63884e+28	7.05462e+164
8.60683	8.61668	301.475	301.479	307.748	1.62262e+28	6.71089e+164
8.60626	8.61611	301.435	301.439	307.708	1.60656e+28	6.38391e+164
8.60569	8.61554	301.395	301.399	307.668	1.59066e+28	6.07286e+164
8.60513	8.61497	301.355	301.359	307.627	1.57492e+28	5.77696e+164
8.60456	8.61441	301.315	301.319	307.587	1.55934e+28	5.49549e+164
8.60399	8.61384	301.275	301.278	307.547	1.54391e+28	5.22773e+164
8.60342	8.61327	301.234	301.238	307.507	1.52863e+28	4.97301e+164
8.60286	8.6127	301.194	301.198	307.467	1.5135e+28	4.7307e+164
8.60229	8.61213	301.154	301.158	307.427	1.49852e+28	4.50021e+164
8.60172	8.61157	301.114	301.118	307.387	1.48369e+28	4.28094e+164
8.60115	8.611	301.074	301.078	307.347	1.46901e+28	4.07235e+164
8.60058	8.61043	301.034	301.037	307.306	1.45448e+28	3.87393e+164
8.60002	8.60986	300.994	300.997	307.266	1.44008e+28	3.68518e+164
8.59945	8.60929	300.953	300.957	307.226	1.42583e+28	3.50562e+164
8.59888	8.60872	300.913	300.917	307.186	1.41172e+28	3.33482e+164
8.59831	8.60816	300.873	300.877	307.146	1.39775e+28	3.17233e+164
8.59774	8.60759	300.833	300.837	307.106	1.38392e+28	3.01776e+164
8.59718	8.60702	300.793	300.797	307.066	1.37022e+28	2.87073e+164
8.59661	8.60645	300.753	300.756	307.025	1.35666e+28	2.73085e+164
8.59604	8.60588	300.712	300.716	306.985	1.34324e+28	2.59779e+164
8.59547	8.60531	300.672	300.676	306.945	1.32995e+28	2.47122e+164
8.5949	8.60475	300.632	300.636	306.905	1.31679e+28	2.35081e+164
8.59433	8.60418	300.592	300.596	306.865	1.30376e+28	2.23627e+164
8.59377	8.60361	300.552	300.556	306.825	1.29085e+28	2.12731e+164
8.5932	8.60304	300.512	300.515	306.785	1.27808e+28	2.02366e+164
8.59263	8.60247	300.472	300.475	306.744	1.26543e+28	1.92506e+164
8.59206	8.6019	300.431	300.435	306.704	1.25291e+28	1.83126e+164
8.59149	8.60133	300.391	300.395	306.664	1.24051e+28	1.74204e+164
8.59092	8.60076	300.351	300.355	306.624	1.22824e+28	1.65716e+164
8.59035	8.6002	300.311	300.315	306.584	1.21608e+28	1.57642e+164
8.58979	8.59963	300.271	300.275	306.544	1.20405e+28	1.49961e+164
8.58922	8.59906	300.231	300.234	306.504	1.19213e+28	1.42654e+164
8.58865	8.59849	300.19	300.194	306.463	1.18033e+28	1.35703e+164
8.58808	8.59792	300.15	300.154	306.423	1.16865e+28	1.29091e+164
8.58751	8.59735	300.11	300.114	306.383	1.15709e+28	1.22802e+164
8.58694	8.59678	300.07	300.074	306.343	1.14564e+28	1.16818e+164
8.58637	8.59621	300.03	300.034	306.303	1.1343e+28	1.11126e+164
8.5858	8.59564	299.99	299.993	306.263	1.12308e+28	1.05712e+164
8.58523	8.59507	299.949	299.953	306.223	1.11196e+28	1.00561e+164
8.58467	8.5945	299.909	299.913	306.182	1.10096e+28	9.56615e+163
8.5841	8.59394	299.869	299.873	306.142	1.09007e+28	9.10005e+163
8.58353	8.59337	299.829	299.833	306.102	1.07928e+28	8.65667e+163
8.58296	8.5928	299.789	299.793	306.062	1.0686e+28	8.23488e+163
8.58239	8.59223	299.749	299.753	306.022	1.05802e+28	7.83365e+163
8.58182	8.59166	299.709	299.712	305.982	1.04755e+28	7.45196e+163
8.58125	8.59109	299.668	299.672	305.942	1.03719e+28	7.08887e+163
8.58068	8.59052	299.628	299.632	305.901	1.02692e+28	6.74348e+163
8.58011	8.58995	299.588	299.592	305.861	1.01676e+28	6.41491e+163
8.57954	8.58938	299.548	299.552	305.821	1.0067e+28	6.10235e+163
8.57897	8.58881	299.508	299.512	305.781	9.96739e+27	5.80502e+163
8.5784	8.58824	299.468	299.471	305.741	9.86876e+27	5.52218e+163
8.57783	8.58767	299.427	299.431	305.701	9.7711e+27	5.25312e+163
8.57726	8.5871	299.387	299.391	305.661	9.67441e+27	4.99717e+163
8.5767	8.58653	299.347	299.351	305.62	9.57867e+27	4.75369e+163
8.57613	8.58596	299.307	299.311	305.58	9.48389e+27	4.52207e+163
8.57556	8.58539	299.267	299.271	305.54	9.39004e+27	4.30174e+163
8.57499	8.58482	299.227	299.23	305.5	9.29712e+27	4.09214e+163
8.57442	8.58425	299.187	299.19	305.46	9.20512e+27	3.89276e+163
8.57385	8.58368	299.146	299.15	305.42	9.11403e+27	3.70309e+163
8.57328	8.58311	299.106	299.11	305.38	9.02384e+27	3.52266e+163
8.57271	8.58254	299.066	299.07	305.339	8.93454e+27	3.35102e+163
8.57214	8.58197	299.026	299.03	305.299	8.84613e+27	3.18775e+163
8.57157	8.5814	298.986	298.99	305.259	8.75859e+27	3.03243e+163
8.571	8.58083	298.946	298.949	305.219	8.67192e+27	2.88468e+163
8.57043	8.58026	298.905	298.909	305.179	8.58611e+27	2.74413e+163
8.56986	8.57969	298.865	298.869	305.139	8.50115e+27	2.61042e+163
8.56929	8.57912	298.825	298.829	305.099	8.41702e+27	2.48324e+163
8.56872	8.57855	298.785	298.789	305.058	8.33373e+27	2.36224e+163
8.56815	8.57798	298.745	298.749	305.018	8.25126e+27	2.24715e+163
8.56758	8.57741	298.705	298.708	304.978	8.16961e+27	2.13766e+163
8.56701	8.57684	298.664	298.668	304.938	8.08877e+27	2.0335e+163
8.56644	8.57627	298.624	298.628	304.898	8.00873e+27	1.93442e+163
8.56587	8.5757	298.584	298.588	304.858	7.92948e+27	1.84017e+163
8.5653	8.57513	298.544	298.548	304.818	7.85101e+27	1.75051e+163
8.56473	8.57456	298.504	298.508	304.777	7.77332e+27	1.66522e+163
8.56416	8.57399	298.464	298.467	304.737	7.6964e+27	1.58409e+163
8.56359	8.57342	298.424	298.427	304.697	7.62024e+27	1.5069e+163
8.56301	8.57285	298.383	298.387	304.657	7.54484e+27	1.43348e+163
8.56244	8.57228	298.343	298.347	304.617	7.47018e+27	1.36364e+163
8.56187	8.57171	298.303	298.307	304.577	7.39626e+27	1.2972e+163
8.5613	8.57113	298.263	298.267	304.537	7.32307e+27	1.23399e+163
8.56073	8.57056	298.223	298.227	304.497	7.2506e+27	1.17387e+163
8.56016	8.56999	298.183	298.186	304.456	7.17886e+27	1.11667e+163
8.55959	8.56942	298.142	298.146	304.416	7.10782e+27	1.06226e+163
8.55902	8.56885	298.102	298.106	304.376	7.03748e+27	1.01051e+163
8.55845	8.56828	298.062	298.066	304.336	6.96784e+27	9.61272e+162
8.55788	8.56771	298.022	298.026	304.296	6.89889e+27	9.14435e+162
8.55731	8.56714	297.982	297.986	304.256	6.83063e+27	8.69881e+162
8.55674	8.56657	297.942	297.945	304.216	6.76304e+27	8.27497e+162
8.55617	8.566	297.901	297.905	304.175	6.69611e+27	7.87179e+162
8.5556	8.56543	297.861	297.865	304.135	6.62985e+27	7.48824e+162
8.55502	8.56485	297.821	297.825	304.095	6.56425e+27	7.12339e+162
8.55445	8.56428	297.781	297.785	304.055	6.49929e+27	6.77632e+162
8.55388	8.56371	297.741	297.745	304.015	6.43498e+27	6.44615e+162
8.55331	8.56314	297.701	297.705	303.975	6.3713e+27	6.13207e+162
8.55274	8.56257	297.661	297.664	303.935	6.30826e+27	5.8333e+162
8.55217	8.562	297.62	297.624	303.894	6.24583e+27	5.54908e+162
8.5516	8.56143	297.58	297.584	303.854	6.18403e+27	5.27871e+162
8.55103	8.56085	297.54	297.544	303.814	6.12284e+27	5.02151e+162
8.55046	8.56028	297.5	297.504	303.774	6.06225e+27	4.77685e+162
8.54988	8.55971	297.46	297.464	303.734	6.00226e+27	4.5441e+162
8.54931	8.55914	297.42	297.423	303.694	5.94287e+27	4.3227e+162
8.54874	8.55857	297.379	297.383	303.654	5.88406e+27	4.11208e+162
8.54817	8.558	297.339	297.343	303.613	5.82584e+27	3.91173e+162
8.5476	8.55743	297.299	297.303	303.573	5.76819e+27	3.72113e+162
8.54703	8.55685	297.259	297.263	303.533	5.71111e+27	3.53983e+162
8.54646	8.55628	297.219	297.223	303.493	5.6546e+27	3.36736e+162
8.54588	8.55571	297.179	297.182	303.453	5.59864e+27	3.20329e+162
8.54531	8.55514	297.138	297.142	303.413	5.54324e+27	3.04721e+162
8.54474	8.55457	297.098	297.102	303.373	5.48839e+27	2.89874e+162
8.54417	8.55399	297.058	297.062	303.332	5.43408e+27	2.7575e+162
8.5436	8.55342	297.018	297.022	303.292	5.38031e+27	2.62315e+162
8.54303	8.55285	296.978	296.982	303.252	5.32707e+27	2.49534e+162
8.54245	8.55228	296.938	296.942	303.212	5.27436e+27	2.37376e+162
8.54188	8.55171	296.898	296.901	303.172	5.22217e+27	2.2581e+162
8.54131	8.55114	296.857	296.861	303.132	5.17049e+27	2.14808e+162
8.54074	8.55056	296.817	296.821	303.092	5.11933e+27	2.04342e+162
8.54017	8.54999	296.777	296.781	303.051	5.06867e+27	1.94386e+162
8.53959	8.54942	296.737	296.741	303.011	5.01852e+27	1.84915e+162
8.53902	8.54885	296.697	296.701	302.971	4.96886e+27	1.75905e+162
8.53845	8.54827	296.657	296.66	302.931	4.91969e+27	1.67334e+162
8.53788	8.5477	296.616	296.62	302.891	4.87101e+27	1.59181e+162
8.53731	8.54713	296.576	296.58	302.851	4.82281e+27	1.51425e+162
8.53673	8.54656	296.536	296.54	302.811	4.77509e+27	1.44047e+162
