z	u	VVM	VAVM	VPSM	VSM	VSAVM
8.20492	367.7	7.02578e+06	7.34629e+06	7.34629e+06	7.02578e+06	7.34629e+06
8.20436	367.619	7.02267e+06	7.34309e+06	7.34309e+06	7.02267e+06	7.34309e+06
8.20381	367.538	7.01957e+06	7.33988e+06	7.33989e+06	7.01957e+06	7.33988e+06
8.20326	367.457	7.01647e+06	7.33668e+06	7.33669e+06	7.01647e+06	7.33668e+06
8.20271	367.375	7.01337e+06	7.33348e+06	7.33349e+06	7.01338e+06	7.33348e+06
8.20215	367.294	7.01028e+06	7.33028e+06	7.33029e+06	7.01028e+06	7.33028e+06
8.2016	367.213	7.00718e+06	7.32708e+06	7.32709e+06	7.00718e+06	7.32708e+06
8.20105	367.132	7.00408e+06	7.32389e+06	7.32389e+06	7.00409e+06	7.32389e+06
8.2005	367.05	7.00099e+06	7.32069e+06	7.3207e+06	7.00099e+06	7.32069e+06
8.19994	366.969	6.9979e+06	7.3175e+06	7.3175e+06	6.9979e+06	7.3175e+06
8.19939	366.888	6.9948e+06	7.3143e+06	7.31431e+06	6.9948e+06	7.3143e+06
8.19884	366.807	6.99171e+06	7.31111e+06	7.31111e+06	6.99171e+06	7.31111e+06
8.19828	366.726	6.98862e+06	7.30792e+06	7.30792e+06	6.98862e+06	7.30792e+06
8.19773	366.645	6.98553e+06	7.30473e+06	7.30473e+06	6.98553e+06	7.30473e+06
8.19718	366.563	6.98244e+06	7.30154e+06	7.30154e+06	6.98244e+06	7.30154e+06
8.19663	366.482	6.97936e+06	7.29835e+06	7.29835e+06	6.97936e+06	7.29835e+06
8.19607	366.401	6.97627e+06	7.29516e+06	7.29516e+06	6.97627e+06	7.29516e+06
8.19552	366.32	6.97318e+06	7.29197e+06	7.29198e+06	6.97318e+06	7.29197e+06
8.19497	366.239	6.9701e+06	7.28879e+06	7.28879e+06	6.9701e+06	7.28879e+06
8.19441	366.158	6.96701e+06	7.2856e+06	7.2856e+06	6.96701e+06	7.2856e+06
8.19386	366.077	6.96393e+06	7.28242e+06	7.28242e+06	6.96393e+06	7.28242e+06
8.19331	365.995	6.96085e+06	7.27923e+06	7.27924e+06	6.96085e+06	7.27923e+06
8.19275	365.914	6.95777e+06	7.27605e+06	7.27606e+06	6.95777e+06	7.27605e+06
8.1922	365.833	6.95469e+06	7.27287e+06	7.27287e+06	6.95469e+06	7.27287e+06
8.19165	365.752	6.95161e+06	7.26969e+06	7.26969e+06	6.95161e+06	7.26969e+06
8.19109	365.671	6.94853e+06	7.26651e+06	7.26652e+06	6.94853e+06	7.26651e+06
8.19054	365.59	6.94545e+06	7.26333e+06	7.26334e+06	6.94545e+06	7.26333e+06
8.18999	365.509	6.94238e+06	7.26016e+06	7.26016e+06	6.94238e+06	7.26016e+06
8.18943	365.428	6.9393e+06	7.25698e+06	7.25698e+06	6.9393e+06	7.25698e+06
8.18888	365.347	6.93623e+06	7.25381e+06	7.25381e+06	6.93623e+06	7.25381e+06
8.18833	365.266	6.93316e+06	7.25063e+06	7.25064e+06	6.93316e+06	7.25063e+06
8.18777	365.185	6.93008e+06	7.24746e+06	7.24746e+06	6.93008e+06	7.24746e+06
8.18722	365.104	6.92701e+06	7.24429e+06	7.24429e+06	6.92701e+06	7.24429e+06
8.18667	365.023	6.92394e+06	7.24112e+06	7.24112e+06	6.92394e+06	7.24112e+06
8.18611	364.942	6.92087e+06	7.23795e+06	7.23795e+06	6.92087e+06	7.23795e+06
8.18556	364.861	6.91781e+06	7.23478e+06	7.23478e+06	6.91781e+06	7.23478e+06
8.18501	364.78	6.91474e+06	7.23161e+06	7.23161e+06	6.91474e+06	7.23161e+06
8.18445	364.699	6.91167e+06	7.22844e+06	7.22845e+06	6.91167e+06	7.22844e+06
8.1839	364.618	6.90861e+06	7.22527e+06	7.22528e+06	6.90861e+06	7.22527e+06
8.18334	364.537	6.90554e+06	7.22211e+06	7.22211e+06	6.90554e+06	7.22211e+06
8.18279	364.456	6.90248e+06	7.21895e+06	7.21895e+06	6.90248e+06	7.21895e+06
8.18224	364.375	6.89942e+06	7.21578e+06	7.21579e+06	6.89942e+06	7.21578e+06
8.18168	364.294	6.89636e+06	7.21262e+06	7.21262e+06	6.89636e+06	7.21262e+06
8.18113	364.213	6.8933e+06	7.20946e+06	7.20946e+06	6.8933e+06	7.20946e+06
8.18058	364.132	6.89024e+06	7.2063e+06	7.2063e+06	6.89024e+06	7.2063e+06
8.18002	364.051	6.88718e+06	7.20314e+06	7.20314e+06	6.88718e+06	7.20314e+06
8.17947	363.97	6.88412e+06	7.19998e+06	7.19999e+06	6.88412e+06	7.19998e+06
8.17891	363.89	6.88106e+06	7.19683e+06	7.19683e+06	6.88106e+06	7.19683e+06
8.17836	363.809	6.87801e+06	7.19367e+06	7.19367e+06	6.87801e+06	7.19367e+06
8.17781	363.728	6.87495e+06	7.19051e+06	7.19052e+06	6.87495e+06	7.19051e+06
8.17725	363.647	6.8719e+06	7.18736e+06	7.18736e+06	6.8719e+06	7.18736e+06
8.1767	363.566	6.86885e+06	7.18421e+06	7.18421e+06	6.86885e+06	7.18421e+06
8.17614	363.485	6.8658e+06	7.18106e+06	7.18106e+06	6.8658e+06	7.18106e+06
8.17559	363.404	6.86275e+06	7.1779e+06	7.17791e+06	6.86275e+06	7.1779e+06
8.17503	363.323	6.8597e+06	7.17475e+06	7.17476e+06	6.8597e+06	7.17475e+06
8.17448	363.243	6.85665e+06	7.17161e+06	7.17161e+06	6.85665e+06	7.17161e+06
8.17393	363.162	6.8536e+06	7.16846e+06	7.16846e+06	6.8536e+06	7.16846e+06
8.17337	363.081	6.85055e+06	7.16531e+06	7.16531e+06	6.85055e+06	7.16531e+06
8.17282	363	6.84751e+06	7.16216e+06	7.16217e+06	6.84751e+06	7.16216e+06
8.17226	362.919	6.84446e+06	7.15902e+06	7.15902e+06	6.84446e+06	7.15902e+06
8.17171	362.839	6.84142e+06	7.15587e+06	7.15588e+06	6.84142e+06	7.15587e+06
8.17115	362.758	6.83838e+06	7.15273e+06	7.15274e+06	6.83838e+06	7.15273e+06
8.1706	362.677	6.83534e+06	7.14959e+06	7.14959e+06	6.83534e+06	7.14959e+06
8.17004	362.596	6.83229e+06	7.14645e+06	7.14645e+06	6.83229e+06	7.14645e+06
8.16949	362.515	6.82926e+06	7.14331e+06	7.14331e+06	6.82926e+06	7.14331e+06
8.16894	362.435	6.82622e+06	7.14017e+06	7.14017e+06	6.82622e+06	7.14017e+06
8.16838	362.354	6.82318e+06	7.13703e+06	7.13704e+06	6.82318e+06	7.13703e+06
8.16783	362.273	6.82014e+06	7.13389e+06	7.1339e+06	6.82014e+06	7.13389e+06
8.16727	362.192	6.81711e+06	7.13076e+06	7.13076e+06	6.81711e+06	7.13076e+06
8.16672	362.112	6.81407e+06	7.12762e+06	7.12763e+06	6.81407e+06	7.12762e+06
8.16616	362.031	6.81104e+06	7.12449e+06	7.12449e+06	6.81104e+06	7.12449e+06
8.16561	361.95	6.808e+06	7.12136e+06	7.12136e+06	6.808e+06	7.12136e+06
8.16505	361.87	6.80497e+06	7.11822e+06	7.11823e+06	6.80497e+06	7.11822e+06
8.1645	361.789	6.80194e+06	7.11509e+06	7.1151e+06	6.80194e+06	7.11509e+06
8.16394	361.708	6.79891e+06	7.11196e+06	7.11197e+06	6.79891e+06	7.11196e+06
8.16339	361.628	6.79588e+06	7.10883e+06	7.10884e+06	6.79588e+06	7.10883e+06
8.16283	361.547	6.79285e+06	7.1057e+06	7.10571e+06	6.79285e+06	7.1057e+06
8.16228	361.466	6.78983e+06	7.10258e+06	7.10258e+06	6.78983e+06	7.10258e+06
8.16172	361.386	6.7868e+06	7.09945e+06	7.09946e+06	6.7868e+06	7.09945e+06
8.16117	361.305	6.78378e+06	7.09633e+06	7.09633e+06	6.78378e+06	7.09633e+06
8.16061	361.224	6.78075e+06	7.0932e+06	7.09321e+06	6.78075e+06	7.0932e+06
8.16006	361.144	6.77773e+06	7.09008e+06	7.09008e+06	6.77773e+06	7.09008e+06
