z	u	VVM	VAVM	VPSM	VSM	VSAVM
8.33906	46.0577	93159.5	110560	110564	93159.5	110560
8.33851	46.0483	93119.8	110515	110519	93119.8	110515
8.33795	46.0389	93080	110470	110474	93080	110470
8.3374	46.0296	93040.3	110425	110429	93040.3	110425
8.33685	46.0202	93000.6	110380	110384	93000.6	110380
8.3363	46.0108	92960.9	110335	110339	92961	110335
8.33574	46.0014	92921.3	110290	110294	92921.3	110290
8.33519	45.9921	92881.6	110245	110249	92881.6	110245
8.33464	45.9827	92842	110200	110204	92842	110200
8.33408	45.9733	92802.3	110155	110160	92802.3	110155
8.33353	45.964	92762.7	110111	110115	92762.7	110111
8.33298	45.9546	92723.1	110066	110070	92723.1	110066
8.33242	45.9452	92683.5	110021	110025	92683.5	110021
8.33187	45.9359	92643.9	109976	109980	92643.9	109976
8.33132	45.9265	92604.3	109931	109935	92604.3	109931
8.33076	45.9171	92564.7	109886	109890	92564.8	109886
8.33021	45.9078	92525.2	109842	109846	92525.2	109842
8.32966	45.8984	92485.7	109797	109801	92485.7	109797
8.3291	45.8891	92446.1	109752	109756	92446.1	109752
8.32855	45.8797	92406.6	109707	109711	92406.6	109707
8.328	45.8703	92367.1	109663	109667	92367.1	109663
8.32744	45.861	92327.6	109618	109622	92327.6	109618
8.32689	45.8516	92288.1	109573	109577	92288.1	109573
8.32633	45.8423	92248.7	109528	109532	92248.7	109528
8.32578	45.8329	92209.2	109484	109488	92209.2	109484
8.32523	45.8236	92169.8	109439	109443	92169.8	109439
8.32467	45.8142	92130.3	109394	109398	92130.3	109394
8.32412	45.8049	92090.9	109350	109354	92090.9	109350
8.32357	45.7955	92051.5	109305	109309	92051.5	109305
8.32301	45.7862	92012.1	109260	109264	92012.1	109260
8.32246	45.7768	91972.7	109216	109220	91972.7	109216
8.3219	45.7675	91933.3	109171	109175	91933.4	109171
8.32135	45.7581	91894	109127	109131	91894	109127
8.3208	45.7488	91854.6	109082	109086	91854.6	109082
8.32024	45.7394	91815.3	109037	109041	91815.3	109037
8.31969	45.7301	91776	108993	108997	91776	108993
8.31913	45.7207	91736.7	108948	108952	91736.7	108948
8.31858	45.7114	91697.4	108904	108908	91697.4	108904
8.31803	45.702	91658.1	108859	108863	91658.1	108859
