z	u	VVM	VAVM	VPSM	VSM	VSAVM
8.33866	45.5203	90441.4	107307	107311	90441.4	107307
8.33811	45.5111	90402.9	107263	107267	90402.9	107263
8.33755	45.5019	90364.4	107219	107223	90364.4	107219
8.337	45.4926	90326	107176	107180	90326	107176
8.33645	45.4834	90287.5	107132	107136	90287.5	107132
8.33589	45.4742	90249.1	107089	107093	90249.1	107089
8.33534	45.4649	90210.7	107045	107049	90210.7	107045
8.33479	45.4557	90172.3	107002	107006	90172.3	107002
8.33424	45.4465	90133.9	106958	106962	90133.9	106958
8.33368	45.4372	90095.5	106915	106919	90095.5	106915
8.33313	45.428	90057.1	106871	106875	90057.1	106871
8.33258	45.4188	90018.7	106828	106832	90018.7	106828
8.33202	45.4095	89980.4	106785	106789	89980.4	106785
8.33147	45.4003	89942	106741	106745	89942	106741
8.33092	45.3911	89903.7	106698	106702	89903.7	106698
8.33036	45.3819	89865.4	106654	106658	89865.4	106654
8.32981	45.3726	89827.1	106611	106615	89827.1	106611
8.32926	45.3634	89788.8	106568	106572	89788.8	106568
8.3287	45.3542	89750.5	106524	106528	89750.5	106524
8.32815	45.345	89712.2	106481	106485	89712.2	106481
8.32759	45.3358	89674	106438	106442	89674	106438
8.32704	45.3265	89635.7	106394	106398	89635.7	106394
8.32649	45.3173	89597.5	106351	106355	89597.5	106351
8.32593	45.3081	89559.2	106308	106312	89559.2	106308
8.32538	45.2989	89521	106264	106268	89521	106264
8.32483	45.2897	89482.8	106221	106225	89482.8	106221
8.32427	45.2804	89444.6	106178	106182	89444.6	106178
8.32372	45.2712	89406.5	106135	106139	89406.5	106135
8.32316	45.262	89368.3	106091	106095	89368.3	106091
8.32261	45.2528	89330.1	106048	106052	89330.1	106048
8.32206	45.2436	89292	106005	106009	89292	106005
8.3215	45.2344	89253.9	105962	105966	89253.9	105962
8.32095	45.2252	89215.7	105919	105923	89215.7	105919
8.32039	45.216	89177.6	105876	105880	89177.6	105876
8.31984	45.2067	89139.5	105832	105836	89139.5	105832
8.31929	45.1975	89101.4	105789	105793	89101.4	105789
8.31873	45.1883	89063.4	105746	105750	89063.4	105746
8.31818	45.1791	89025.3	105703	105707	89025.3	105703
8.31762	45.1699	88987.2	105660	105664	88987.2	105660
8.31707	45.1607	88949.2	105617	105621	88949.2	105617
8.31652	45.1515	88911.2	105574	105578	88911.2	105574
8.31596	45.1423	88873.2	105531	105535	88873.2	105531
8.31541	45.1331	88835.1	105488	105492	88835.2	105488
8.31485	45.1239	88797.2	105445	105449	88797.2	105445
8.3143	45.1147	88759.2	105402	105406	88759.2	105402
8.31374	45.1055	88721.2	105359	105363	88721.2	105359
8.31319	45.0963	88683.2	105316	105320	88683.2	105316
8.31264	45.0871	88645.3	105273	105277	88645.3	105273
8.31208	45.0779	88607.4	105230	105234	88607.4	105230
8.31153	45.0687	88569.4	105187	105191	88569.4	105187
8.31097	45.0595	88531.5	105144	105148	88531.5	105144
8.31042	45.0503	88493.6	105101	105105	88493.6	105101
8.30986	45.0411	88455.7	105058	105062	88455.7	105058
8.30931	45.0319	88417.8	105015	105019	88417.9	105015
8.30875	45.0227	88380	104972	104976	88380	104972
8.3082	45.0135	88342.1	104929	104933	88342.1	104929
8.30764	45.0043	88304.3	104886	104890	88304.3	104886
8.30709	44.9952	88266.4	104843	104847	88266.5	104843
8.30653	44.986	88228.6	104800	104804	88228.6	104800
8.30598	44.9768	88190.8	104758	104762	88190.8	104758
8.30542	44.9676	88153	104715	104719	88153	104715
8.30487	44.9584	88115.2	104672	104676	88115.2	104672
8.30431	44.9492	88077.5	104629	104633	88077.5	104629
8.30376	44.94	88039.7	104586	104590	88039.7	104586
8.3032	44.9308	88001.9	104544	104548	88002	104544
8.30265	44.9217	87964.2	104501	104505	87964.2	104501
8.30209	44.9125	87926.5	104458	104462	87926.5	104458
8.30154	44.9033	87888.8	104415	104419	87888.8	104415
8.30098	44.8941	87851	104373	104377	87851.1	104373
8.30043	44.8849	87813.4	104330	104334	87813.4	104330
8.29987	44.8758	87775.7	104287	104291	87775.7	104287
8.29932	44.8666	87738	104245	104249	87738	104245
8.29876	44.8574	87700.3	104202	104206	87700.3	104202
8.29821	44.8482	87662.7	104159	104163	87662.7	104159
8.29765	44.839	87625.1	104117	104121	87625.1	104117
8.2971	44.8299	87587.4	104074	104078	87587.4	104074
8.29654	44.8207	87549.8	104031	104035	87549.8	104031
8.29598	44.8115	87512.2	103989	103993	87512.2	103989
8.29543	44.8023	87474.6	103946	103950	87474.6	103946
