z	u	VVM	VAVM	VPSM	VSM	VSAVM
8.00471	19.6703	7193.83	7249.43	7253.31	7193.67	7249.43
8.00416	19.6677	7191.77	7247.36	7251.23	7191.6	7247.36
8.00361	19.6651	7189.71	7245.28	7249.16	7189.54	7245.28
8.00305	19.6625	7187.64	7243.21	7247.09	7187.48	7243.21
8.0025	19.6598	7185.58	7241.14	7245.02	7185.41	7241.14
8.00194	19.6572	7183.52	7239.07	7242.94	7183.35	7239.07
8.00139	19.6546	7181.46	7237	7240.87	7181.29	7237
8.00084	19.652	7179.4	7234.93	7238.8	7179.23	7234.93
8.00028	19.6494	7177.33	7232.86	7236.73	7177.17	7232.86
7.99973	19.6468	7175.27	7230.79	7234.66	7175.11	7230.79
7.99917	19.6442	7173.21	7228.72	7232.59	7173.05	7228.72
7.99862	19.6415	7171.15	7226.65	7230.52	7170.99	7226.65
7.99807	19.6389	7169.09	7224.58	7228.45	7168.93	7224.58
7.99751	19.6363	7167.03	7222.51	7226.38	7166.87	7222.51
7.99696	19.6337	7164.97	7220.44	7224.32	7164.81	7220.44
7.9964	19.6311	7162.92	7218.37	7222.25	7162.75	7218.37
7.99585	19.6285	7160.86	7216.31	7220.18	7160.69	7216.31
7.9953	19.6259	7158.8	7214.24	7218.11	7158.63	7214.24
7.99474	19.6233	7156.74	7212.17	7216.05	7156.57	7212.17
7.99419	19.6206	7154.68	7210.1	7213.98	7154.52	7210.1
7.99363	19.618	7152.63	7208.04	7211.91	7152.46	7208.04
7.99308	19.6154	7150.57	7205.97	7209.85	7150.4	7205.97
7.99252	19.6128	7148.51	7203.91	7207.78	7148.35	7203.91
7.99197	19.6102	7146.46	7201.84	7205.72	7146.29	7201.84
7.99142	19.6076	7144.4	7199.78	7203.65	7144.23	7199.78
7.99086	19.605	7142.35	7197.71	7201.59	7142.18	7197.71
7.99031	19.6024	7140.29	7195.65	7199.52	7140.12	7195.65
7.98975	19.5997	7138.24	7193.58	7197.46	7138.07	7193.58
7.9892	19.5971	7136.18	7191.52	7195.39	7136.01	7191.52
7.98864	19.5945	7134.13	7189.46	7193.33	7133.96	7189.46
7.98809	19.5919	7132.08	7187.39	7191.27	7131.91	7187.39
7.98753	19.5893	7130.02	7185.33	7189.21	7129.85	7185.33
7.98698	19.5867	7127.97	7183.27	7187.14	7127.8	7183.27
7.98642	19.5841	7125.92	7181.21	7185.08	7125.75	7181.21
7.98587	19.5815	7123.86	7179.15	7183.02	7123.7	7179.15
7.98531	19.5788	7121.81	7177.08	7180.96	7121.64	7177.08
7.98476	19.5762	7119.76	7175.02	7178.9	7119.59	7175.02
7.9842	19.5736	7117.71	7172.96	7176.84	7117.54	7172.96
7.98365	19.571	7115.66	7170.9	7174.78	7115.49	7170.9
7.98309	19.5684	7113.61	7168.84	7172.72	7113.44	7168.84
7.98254	19.5658	7111.56	7166.78	7170.66	7111.39	7166.78
7.98198	19.5632	7109.51	7164.72	7168.6	7109.34	7164.72
7.98143	19.5606	7107.46	7162.67	7166.54	7107.29	7162.67
