z	u	VVM	VAVM	VPSM	VSM	VSAVM
7.90845	8.94064	380.872	386.509	391.657	1.90923e+16	2.55811e+144
7.9079	8.94004	380.827	386.464	391.611	1.8974e+16	2.44279e+144
7.90735	8.93944	380.781	386.419	391.566	1.88564e+16	2.33267e+144
7.90679	8.93883	380.736	386.373	391.521	1.87396e+16	2.22752e+144
7.90624	8.93823	380.69	386.328	391.475	1.86234e+16	2.1271e+144
7.90569	8.93762	380.644	386.282	391.43	1.8508e+16	2.03121e+144
7.90513	8.93702	380.599	386.237	391.385	1.83934e+16	1.93965e+144
7.90458	8.93642	380.553	386.192	391.339	1.82794e+16	1.85221e+144
7.90403	8.93581	380.508	386.146	391.294	1.81661e+16	1.76871e+144
7.90347	8.93521	380.462	386.101	391.249	1.80536e+16	1.68898e+144
7.90292	8.9346	380.416	386.056	391.203	1.79417e+16	1.61285e+144
7.90237	8.934	380.371	386.01	391.158	1.78305e+16	1.54014e+144
7.90181	8.93339	380.325	385.965	391.112	1.77201e+16	1.47071e+144
7.90126	8.93279	380.28	385.919	391.067	1.76103e+16	1.40442e+144
7.90071	8.93219	380.234	385.874	391.022	1.75012e+16	1.34111e+144
7.90015	8.93158	380.188	385.829	390.976	1.73927e+16	1.28065e+144
7.8996	8.93098	380.143	385.783	390.931	1.7285e+16	1.22293e+144
7.89905	8.93037	380.097	385.738	390.886	1.71779e+16	1.1678e+144
7.89849	8.92977	380.052	385.693	390.84	1.70715e+16	1.11516e+144
7.89794	8.92916	380.006	385.647	390.795	1.69657e+16	1.06489e+144
7.89739	8.92856	379.96	385.602	390.75	1.68606e+16	1.01689e+144
7.89683	8.92795	379.915	385.556	390.704	1.67562e+16	9.71048e+143
7.89628	8.92735	379.869	385.511	390.659	1.66524e+16	9.27276e+143
7.89573	8.92674	379.824	385.466	390.613	1.65492e+16	8.85478e+143
7.89517	8.92614	379.778	385.42	390.568	1.64467e+16	8.45563e+143
7.89462	8.92554	379.732	385.375	390.523	1.63448e+16	8.07448e+143
7.89407	8.92493	379.687	385.33	390.477	1.62436e+16	7.71051e+143
