z	aF	bF	cF	dF	eF
12.431	0.155826	-0.0033257	5.53712	0.0804071	29.1345
12.4245	0.15582	-0.00332758	5.53234	0.0804055	29.1045
12.418	0.155814	-0.00332945	5.52756	0.0804039	29.0744
12.4114	0.155807	-0.00333133	5.52278	0.0804022	29.0444
12.4049	0.155801	-0.0033332	5.518	0.0804006	29.0144
12.3984	0.155795	-0.00333508	5.51322	0.0803989	28.9844
12.3919	0.155789	-0.00333695	5.50844	0.0803972	28.9544
12.3853	0.155783	-0.00333883	5.50367	0.0803955	28.9244
12.3788	0.155777	-0.0033407	5.49889	0.0803938	28.8945
12.3722	0.15577	-0.00334257	5.49411	0.0803921	28.8645
12.3657	0.155764	-0.00334444	5.48933	0.0803903	28.8346
12.3591	0.155758	-0.00334631	5.48455	0.0803886	28.8046
12.3526	0.155751	-0.00334817	5.47978	0.0803868	28.7747
12.346	0.155745	-0.00335004	5.475	0.080385	28.7448
12.3395	0.155739	-0.00335191	5.47022	0.0803832	28.7149
12.3329	0.155732	-0.00335377	5.46544	0.0803814	28.6851
12.3264	0.155726	-0.00335563	5.46067	0.0803796	28.6552
12.3198	0.155719	-0.00335749	5.45589	0.0803777	28.6253
12.3132	0.155713	-0.00335936	5.45111	0.0803759	28.5955
12.3067	0.155706	-0.00336122	5.44634	0.080374	28.5657
12.3001	0.1557	-0.00336307	5.44156	0.0803721	28.5359
12.2935	0.155693	-0.00336493	5.43678	0.0803702	28.5061
12.2869	0.155686	-0.00336679	5.432	0.0803683	28.4763
12.2803	0.15568	-0.00336864	5.42723	0.0803663	28.4465
12.2738	0.155673	-0.0033705	5.42245	0.0803644	28.4167
12.2672	0.155666	-0.00337235	5.41768	0.0803624	28.387
12.2606	0.15566	-0.0033742	5.4129	0.0803604	28.3573
12.254	0.155653	-0.00337605	5.40812	0.0803584	28.3275
12.2474	0.155646	-0.0033779	5.40335	0.0803564	28.2978
12.2408	0.155639	-0.00337975	5.39857	0.0803544	28.2681
12.2342	0.155632	-0.00338159	5.3938	0.0803524	28.2385
12.2276	0.155625	-0.00338344	5.38902	0.0803503	28.2088
12.221	0.155619	-0.00338528	5.38424	0.0803482	28.1791
12.2143	0.155612	-0.00338712	5.37947	0.0803461	28.1495
12.2077	0.155605	-0.00338896	5.37469	0.080344	28.1199
12.2011	0.155598	-0.0033908	5.36992	0.0803419	28.0903
12.1945	0.155591	-0.00339264	5.36514	0.0803397	28.0606
12.1879	0.155583	-0.00339447	5.36037	0.0803376	28.0311
12.1812	0.155576	-0.00339631	5.35559	0.0803354	28.0015
12.1746	0.155569	-0.00339814	5.35082	0.0803332	27.9719
12.168	0.155562	-0.00339997	5.34604	0.080331	27.9424
12.1613	0.155555	-0.0034018	5.34127	0.0803288	27.9128
12.1547	0.155548	-0.00340363	5.3365	0.0803265	27.8833
