j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-1.60589e+06	-46297.7	-1852.17	-99.7337
0.11	-1.58351e+06	-45241.9	-1796.58	-96.0918
0.12	-1.56096e+06	-44189.1	-1741.62	-92.5167
0.13	-1.53825e+06	-43139.6	-1687.33	-89.0098
0.14	-1.5154e+06	-42094.1	-1633.72	-85.5721
0.15	-1.49239e+06	-41053.1	-1580.82	-82.2045
0.16	-1.46925e+06	-40017.1	-1528.65	-78.908
0.17	-1.44598e+06	-38986.6	-1477.25	-75.6834
0.18	-1.42259e+06	-37962.2	-1426.63	-72.5315
0.19	-1.39909e+06	-36944.4	-1376.8	-69.4527
0.2	-1.37548e+06	-35933.7	-1327.81	-66.4477
0.21	-1.35177e+06	-34930.6	-1279.65	-63.5169
0.22	-1.32797e+06	-33935.6	-1232.36	-60.6607
0.23	-1.30409e+06	-32949.2	-1185.94	-57.8793
0.24	-1.28014e+06	-31971.9	-1140.42	-55.1729
0.25	-1.25612e+06	-31004.3	-1095.81	-52.5416
0.26	-1.23205e+06	-30046.7	-1052.12	-49.9854
0.27	-1.20793e+06	-29099.6	-1009.37	-47.5043
0.28	-1.18377e+06	-28163.5	-967.573	-45.0979
0.29	-1.15959e+06	-27238.9	-926.731	-42.7661
0.3	-1.13538e+06	-26326.1	-886.858	-40.5086
0.31	-1.11117e+06	-25425.6	-847.962	-38.3248
0.32	-1.08695e+06	-24537.9	-810.05	-36.2143
0.33	-1.06274e+06	-23663.3	-773.129	-34.1766
0.34	-1.03856e+06	-22802.3	-737.203	-32.2109
0.35	-1.0144e+06	-21955.1	-702.276	-30.3165
0.36	-990273	-21122.2	-668.35	-28.4926
0.37	-966200	-20304	-635.426	-26.7384
0.38	-942185	-19500.7	-603.503	-25.0528
0.39	-918239	-18712.7	-572.582	-23.435
0.4	-894372	-17940.4	-542.658	-21.8837
0.41	-870595	-17183.9	-513.73	-20.398
0.42	-846919	-16443.6	-485.791	-18.9765
0.43	-823354	-15719.8	-458.836	-17.6181
0.44	-799912	-15012.6	-432.858	-16.3215
0.45	-776602	-14322.3	-407.848	-15.0853
0.46	-753436	-13649.2	-383.797	-13.9082
0.47	-730426	-12993.3	-360.696	-12.7888
0.48	-707583	-12354.9	-338.531	-11.7256
0.49	-684917	-11734.1	-317.291	-10.7172
0.5	-662440	-11131	-296.962	-9.76193
0.51	-640165	-10545.8	-277.53	-8.85838
0.52	-618102	-9978.49	-258.979	-8.00498
0.53	-596262	-9429.15	-241.293	-7.20012
0.54	-574659	-8897.84	-224.454	-6.44221
0.55	-553303	-8384.56	-208.446	-5.72964
0.56	-532205	-7889.31	-193.248	-5.06078
0.57	-511379	-7412.05	-178.842	-4.43398
0.58	-490836	-6952.74	-165.206	-3.84759
0.59	-470586	-6511.29	-152.322	-3.29992
0.6	-450643	-6087.6	-140.166	-2.7893
0.61	-431018	-5681.56	-128.718	-2.31402
0.62	-411723	-5293.01	-117.954	-1.87236
0.63	-392769	-4921.77	-107.853	-1.46258
0.64	-374168	-4567.65	-98.3903	-1.08291
0.65	-355932	-4230.44	-89.543	-0.731589
0.66	-338071	-3909.88	-81.2876	-0.406819
0.67	-320597	-3605.71	-73.6002	-0.106806
0.68	-303521	-3317.63	-66.4568	0.170251
