j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-42406.8	-129.061	0.771513	2.81343
0.11	-40458	-119.889	0.874253	2.81228
0.12	-38530.1	-111.093	0.970934	2.81058
0.13	-36626.1	-102.677	1.06164	2.80832
0.14	-34749	-94.6453	1.14649	2.8055
0.15	-32901.7	-86.9996	1.2256	2.80211
0.16	-31086.9	-79.7403	1.29913	2.79818
0.17	-29307.6	-72.8665	1.36725	2.79374
0.18	-27566.3	-66.3758	1.43015	2.78883
0.19	-25865.9	-60.2646	1.48803	2.78349
0.2	-24208.7	-54.5277	1.54113	2.77778
0.21	-22597.3	-49.1589	1.58966	2.77176
0.22	-21034	-44.1506	1.63386	2.76551
0.23	-19521.1	-39.494	1.67398	2.75909
0.24	-18060.5	-35.1794	1.71025	2.75258
0.25	-16654.2	-31.1958	1.74293	2.74605
0.26	-15304	-27.5316	1.77225	2.73959
0.27	-14011.5	-24.1739	1.79845	2.73328
0.28	-12778	-21.1095	1.82175	2.7272
0.29	-11604.8	-18.3242	1.84238	2.72143
0.3	-10492.8	-15.8035	1.86057	2.71607
0.31	-9442.78	-13.5323	1.87651	2.71122
0.32	-8455.26	-11.4952	1.89041	2.70697
0.33	-7530.47	-9.6767	1.90249	2.70344
0.34	-6668.4	-8.06118	1.91294	2.70074
0.35	-5868.73	-6.63305	1.92198	2.69901
0.36	-5130.88	-5.37696	1.9298	2.69839
0.37	-4453.96	-4.27786	1.93664	2.69907
0.38	-3836.78	-3.32119	1.94273	2.70123
0.39	-3277.85	-2.49297	1.94833	2.70509
0.4	-2775.34	-1.77996	1.95373	2.71092
0.41	-2327.16	-1.16977	1.95925	2.71899
0.42	-1930.89	-0.650916	1.96526	2.72961
0.43	-1583.84	-0.212929	1.97218	2.74314
0.44	-1283.07	0.153672	1.98048	2.75989
0.45	-1025.38	0.457395	1.99063	2.78018
0.46	-807.381	0.705893	2.00312	2.80424
0.47	-625.522	0.906139	2.01828	2.83218
0.48	-476.137	1.06464	2.03627	2.86396
0.49	-355.505	1.18762	2.05687	2.89938
0.5	-259.916	1.2811	2.07955	2.93813
0.51	-185.735	1.35078	2.10354	2.97984
0.52	-129.477	1.40185	2.12811	3.02425
0.53	-87.8739	1.43872	2.15273	3.07123
0.54	-57.9435	1.46503	2.17721	3.12089
0.55	-37.0391	1.48364	2.20176	3.17357
0.56	-22.8893	1.49685	2.22688	3.22975
0.57	-13.6142	1.50653	2.25337	3.28986
0.58	-7.7213	1.51434	2.28226	3.35396
0.59	-4.07914	1.52197	2.3147	3.42127
0.6	-1.87465	1.53137	2.3518	3.48993
0.61	-0.557694	1.54504	2.39417	3.55712
0.62	0.221736	1.56621	2.4414	3.61998
0.63	0.67561	1.59811	2.49165	3.67643
0.64	0.931097	1.64107	2.54205	3.72563
0.65	1.06841	1.68963	2.58974	3.76771
0.66	1.13939	1.73573	2.63278	3.80337
0.67	1.17464	1.77444	2.67038	3.83348
0.68	1.19036	1.80474	2.70254	3.85891
0.69	1.19483	1.82759	2.7297	3.88041
0.7	1.19238	1.84435	2.75245	3.89863
0.71	1.18539	1.85629	2.77142	3.9141
0.72	1.17526	1.86444	2.78713	3.92723
0.73	1.16286	1.86957	2.80007	3.93836
0.74	1.14875	1.87228	2.81064	3.94778
0.75	1.1333	1.87301	2.81917	3.95572
0.76	1.11678	1.87212	2.82592	3.96234
0.77	1.0994	1.86987	2.83114	3.96783
0.78	1.08128	1.86646	2.83501	3.97229
0.79	1.06254	1.86207	2.83769	3.97584
0.8	1.04328	1.85682	2.83932	3.97858
0.81	1.02354	1.85083	2.84001	3.98057
0.82	1.0034	1.84418	2.83987	3.98189
0.83	0.982899	1.83694	2.83897	3.9826
0.84	0.962069	1.82918	2.83739	3.98275
0.85	0.940946	1.82094	2.83519	3.98238
0.86	0.919555	1.81227	2.83243	3.98153
0.87	0.897921	1.80321	2.82915	3.98024
0.88	0.876063	1.79379	2.8254	3.97854
0.89	0.853998	1.78404	2.82122	3.97646
0.9	0.831742	1.77398	2.81664	3.97401
0.91	0.809308	1.76363	2.81169	3.97124
0.92	0.786708	1.75301	2.80639	3.96814
0.93	0.763953	1.74214	2.80078	3.96476
0.94	0.741053	1.73103	2.79486	3.96109
0.95	0.718016	1.7197	2.78867	3.95716
0.96	0.694849	1.70816	2.78222	3.95298
0.97	0.671561	1.69642	2.77552	3.94856
0.98	0.648158	1.68448	2.76859	3.94393
0.99	0.624645	1.67237	2.76144	3.93908
1	0.601029	1.66008	2.75409	3.93402
1.01	0.577313	1.64762	2.74654	3.92878
1.02	0.553503	1.635	2.73881	3.92335
1.03	0.529603	1.62223	2.73091	3.91774
